region,province,countryOfResidence,typeOfExercise,period,arrivals,presences
TUS,AR,Altri,EXTRHOT,2009,1163.0,6013.0
TUS,AR,Altri,EXTRHOT,2010,197.0,833.0
TUS,AR,Altri,EXTRHOT,2011,414.0,1250.0
TUS,AR,Altri,EXTRHOT,2012,209.0,830.0
TUS,AR,Altri,EXTRHOT,2013,42.0,310.0
TUS,AR,Altri,EXTRHOT,2014,42.0,164.0
TUS,AR,Altri,EXTRHOT,2015,54.0,288.0
TUS,AR,Altri,EXTRHOT,2016,66.0,336.0
TUS,AR,Altri,EXTRHOT,2017,1178.0,1865.0
TUS,AR,Altri,EXTRHOT,2018,2051.0,7873.0
TUS,AR,Altri,EXTRHOT,2019,2848.0,8922.0
TUS,AR,Altri,EXTRHOT,2020,1428.0,4763.0
TUS,AR,Altri,EXTRHOT,2021,2103.0,6940.0
TUS,AR,Altri,HOT,2009,3715.0,7963.0
TUS,AR,Altri,HOT,2010,3884.0,8876.0
TUS,AR,Altri,HOT,2011,2257.0,4018.0
TUS,AR,Altri,HOT,2012,664.0,1392.0
TUS,AR,Altri,HOT,2013,265.0,542.0
TUS,AR,Altri,HOT,2014,377.0,870.0
TUS,AR,Altri,HOT,2015,409.0,666.0
TUS,AR,Altri,HOT,2016,358.0,691.0
TUS,AR,Altri,HOT,2017,1418.0,2417.0
TUS,AR,Altri,HOT,2018,7126.0,10782.0
TUS,AR,Altri,HOT,2019,5513.0,8085.0
TUS,AR,Altri,HOT,2020,974.0,1710.0
TUS,AR,Altri,HOT,2021,957.0,2339.0
TUS,AR,Altri,TOT,2009,4878.0,13976.0
TUS,AR,Altri,TOT,2010,4081.0,9709.0
TUS,AR,Altri,TOT,2011,2671.0,5268.0
TUS,AR,Altri,TOT,2012,873.0,2222.0
TUS,AR,Altri,TOT,2013,307.0,852.0
TUS,AR,Altri,TOT,2014,419.0,1034.0
TUS,AR,Altri,TOT,2015,463.0,954.0
TUS,AR,Altri,TOT,2016,424.0,1027.0
TUS,AR,Altri,TOT,2017,2596.0,4282.0
TUS,AR,Altri,TOT,2018,9177.0,18655.0
TUS,AR,Altri,TOT,2019,8361.0,17007.0
TUS,AR,Altri,TOT,2020,2402.0,6473.0
TUS,AR,Altri,TOT,2021,3060.0,9279.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2012,16.0,87.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2013,20.0,215.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2014,26.0,176.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2015,5.0,15.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2016,21.0,112.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2017,11.0,26.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2018,8.0,27.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2019,1.0,2.0
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2020,,
TUS,AR,Altri Paesi Nordamericani,EXTRHOT,2021,,
TUS,AR,Altri Paesi Nordamericani,HOT,2012,2.0,2.0
TUS,AR,Altri Paesi Nordamericani,HOT,2013,7.0,31.0
TUS,AR,Altri Paesi Nordamericani,HOT,2014,19.0,48.0
TUS,AR,Altri Paesi Nordamericani,HOT,2015,10.0,19.0
TUS,AR,Altri Paesi Nordamericani,HOT,2016,31.0,63.0
TUS,AR,Altri Paesi Nordamericani,HOT,2017,50.0,171.0
TUS,AR,Altri Paesi Nordamericani,HOT,2018,1.0,2.0
TUS,AR,Altri Paesi Nordamericani,HOT,2019,2.0,2.0
