region,province,countryOfResidence,typeOfExercise,period,arrivals,presences
TUS,Abruzzo,Abruzzo,EXTRHOT,2016,35630.0,254033.0
TUS,Abruzzo,Abruzzo,EXTRHOT,2017,37977.0,297524.0
TUS,Abruzzo,Abruzzo,EXTRHOT,2018,36609.0,257323.0
TUS,Abruzzo,Abruzzo,EXTRHOT,2019,36488.0,265432.0
TUS,Abruzzo,Abruzzo,EXTRHOT,2020,27768.0,173804.0
TUS,Abruzzo,Abruzzo,EXTRHOT,2021,33783.0,222398.0
TUS,Abruzzo,Abruzzo,HOT,2016,116328.0,296057.0
TUS,Abruzzo,Abruzzo,HOT,2017,122731.0,454158.0
TUS,Abruzzo,Abruzzo,HOT,2018,121900.0,350140.0
TUS,Abruzzo,Abruzzo,HOT,2019,120261.0,316070.0
TUS,Abruzzo,Abruzzo,HOT,2020,77054.0,218103.0
TUS,Abruzzo,Abruzzo,HOT,2021,95667.0,236005.0
TUS,Abruzzo,Abruzzo,TOT,2009,125393.0,742127.0
TUS,Abruzzo,Abruzzo,TOT,2010,145637.0,774640.0
TUS,Abruzzo,Abruzzo,TOT,2011,151869.0,735835.0
TUS,Abruzzo,Abruzzo,TOT,2012,155488.0,755489.0
TUS,Abruzzo,Abruzzo,TOT,2013,140193.0,661626.0
TUS,Abruzzo,Abruzzo,TOT,2014,137185.0,594873.0
TUS,Abruzzo,Abruzzo,TOT,2015,145937.0,566385.0
TUS,Abruzzo,Abruzzo,TOT,2016,151958.0,550090.0
TUS,Abruzzo,Abruzzo,TOT,2017,160708.0,751682.0
TUS,Abruzzo,Abruzzo,TOT,2018,158509.0,607463.0
TUS,Abruzzo,Abruzzo,TOT,2019,156749.0,581502.0
TUS,Abruzzo,Abruzzo,TOT,2020,104822.0,391907.0
TUS,Abruzzo,Abruzzo,TOT,2021,129450.0,458403.0
TUS,Abruzzo,Basilicata,EXTRHOT,2016,1495.0,6348.0
TUS,Abruzzo,Basilicata,EXTRHOT,2017,1757.0,7914.0
TUS,Abruzzo,Basilicata,EXTRHOT,2018,1776.0,8367.0
TUS,Abruzzo,Basilicata,EXTRHOT,2019,1810.0,11275.0
TUS,Abruzzo,Basilicata,EXTRHOT,2020,1126.0,6198.0
TUS,Abruzzo,Basilicata,EXTRHOT,2021,1284.0,6015.0
TUS,Abruzzo,Basilicata,HOT,2016,12322.0,36655.0
TUS,Abruzzo,Basilicata,HOT,2017,11418.0,35211.0
TUS,Abruzzo,Basilicata,HOT,2018,13466.0,55513.0
TUS,Abruzzo,Basilicata,HOT,2019,13018.0,46658.0
TUS,Abruzzo,Basilicata,HOT,2020,6950.0,21706.0
TUS,Abruzzo,Basilicata,HOT,2021,8397.0,27045.0
TUS,Abruzzo,Basilicata,TOT,2009,12299.0,57456.0
TUS,Abruzzo,Basilicata,TOT,2010,12626.0,60616.0
TUS,Abruzzo,Basilicata,TOT,2011,13534.0,56508.0
TUS,Abruzzo,Basilicata,TOT,2012,12968.0,49793.0
TUS,Abruzzo,Basilicata,TOT,2013,11910.0,50009.0
TUS,Abruzzo,Basilicata,TOT,2014,11627.0,41946.0
TUS,Abruzzo,Basilicata,TOT,2015,13174.0,43916.0
TUS,Abruzzo,Basilicata,TOT,2016,13817.0,43003.0
TUS,Abruzzo,Basilicata,TOT,2017,13175.0,43125.0
TUS,Abruzzo,Basilicata,TOT,2018,15242.0,63880.0
TUS,Abruzzo,Basilicata,TOT,2019,14828.0,57933.0
TUS,Abruzzo,Basilicata,TOT,2020,8076.0,27904.0
TUS,Abruzzo,Basilicata,TOT,2021,9681.0,33060.0
TUS,Abruzzo,Calabria,EXTRHOT,2016,1529.0,5501.0
TUS,Abruzzo,Calabria,EXTRHOT,2017,1765.0,5979.0
TUS,Abruzzo,Calabria,EXTRHOT,2018,2178.0,6531.0
TUS,Abruzzo,Calabria,EXTRHOT,2019,2115.0,6282.0
TUS,Abruzzo,Calabria,EXTRHOT,2020,984.0,3536.0
TUS,Abruzzo,Calabria,EXTRHOT,2021,1468.0,4405.0
TUS,Abruzzo,Calabria,HOT,2016,13487.0,30071.0
TUS,Abruzzo,Calabria,HOT,2017,12514.0,28078.0
TUS,Abruzzo,Calabria,HOT,2018,14617.0,31781.0
TUS,Abruzzo,Calabria,HOT,2019,14536.0,34678.0
TUS,Abruzzo,Calabria,HOT,2020,6704.0,16904.0
TUS,Abruzzo,Calabria,HOT,2021,9035.0,24479.0
TUS,Abruzzo,Calabria,TOT,2009,13469.0,50085.0
TUS,Abruzzo,Calabria,TOT,2010,14250.0,52527.0
TUS,Abruzzo,Calabria,TOT,2011,14652.0,46639.0
TUS,Abruzzo,Calabria,TOT,2012,13333.0,43308.0
TUS,Abruzzo,Calabria,TOT,2013,13981.0,42484.0
TUS,Abruzzo,Calabria,TOT,2014,13254.0,38891.0
TUS,Abruzzo,Calabria,TOT,2015,14588.0,33409.0
TUS,Abruzzo,Calabria,TOT,2016,15016.0,35572.0
TUS,Abruzzo,Calabria,TOT,2017,14279.0,34057.0
TUS,Abruzzo,Calabria,TOT,2018,16795.0,38312.0
TUS,Abruzzo,Calabria,TOT,2019,16651.0,40960.0
TUS,Abruzzo,Calabria,TOT,2020,7688.0,20440.0
TUS,Abruzzo,Calabria,TOT,2021,10503.0,28884.0
TUS,Abruzzo,Campania,EXTRHOT,2016,22452.0,168142.0
TUS,Abruzzo,Campania,EXTRHOT,2017,24034.0,154861.0
TUS,Abruzzo,Campania,EXTRHOT,2018,25690.0,153128.0
TUS,Abruzzo,Campania,EXTRHOT,2019,24645.0,147802.0
TUS,Abruzzo,Campania,EXTRHOT,2020,18604.0,103737.0
TUS,Abruzzo,Campania,EXTRHOT,2021,21019.0,110243.0
TUS,Abruzzo,Campania,HOT,2016,121142.0,349088.0
TUS,Abruzzo,Campania,HOT,2017,130884.0,371381.0
TUS,Abruzzo,Campania,HOT,2018,138518.0,421143.0
TUS,Abruzzo,Campania,HOT,2019,139009.0,391753.0
TUS,Abruzzo,Campania,HOT,2020,95547.0,288386.0
TUS,Abruzzo,Campania,HOT,2021,96485.0,304538.0
TUS,Abruzzo,Campania,TOT,2009,156170.0,614033.0
TUS,Abruzzo,Campania,TOT,2010,167705.0,689268.0
TUS,Abruzzo,Campania,TOT,2011,166884.0,675239.0
TUS,Abruzzo,Campania,TOT,2012,164849.0,650872.0
TUS,Abruzzo,Campania,TOT,2013,154524.0,608115.0
TUS,Abruzzo,Campania,TOT,2014,130727.0,510067.0
TUS,Abruzzo,Campania,TOT,2015,146821.0,504706.0
TUS,Abruzzo,Campania,TOT,2016,143594.0,517230.0
TUS,Abruzzo,Campania,TOT,2017,154918.0,526242.0
TUS,Abruzzo,Campania,TOT,2018,164208.0,574271.0
TUS,Abruzzo,Campania,TOT,2019,163654.0,539555.0
