region,province,countryOfResidence,typeOfExercise,period,arrivals,presences
TUS,AR,EXTR,AGR,2009,29642.0,229378.0
TUS,AR,EXTR,AGR,2010,31254.0,231944.0
TUS,AR,EXTR,AGR,2011,33323.0,240376.0
TUS,AR,EXTR,AGR,2012,33048.0,238154.0
TUS,AR,EXTR,AGR,2013,33807.0,235861.0
TUS,AR,EXTR,AGR,2014,34620.0,233328.0
TUS,AR,EXTR,AGR,2015,37207.0,240664.0
TUS,AR,EXTR,AGR,2016,38337.0,256553.0
TUS,AR,EXTR,AGR,2017,54457.0,310224.0
TUS,AR,EXTR,AGR,2018,60208.0,390394.0
TUS,AR,EXTR,AGR,2019,59581.0,367613.0
TUS,AR,EXTR,AGR,2020,18081.0,128494.0
TUS,AR,EXTR,AGR,2021,40681.0,274834.0
TUS,AR,EXTR,BB,2011,,
TUS,AR,EXTR,BB,2012,,
TUS,AR,EXTR,BB,2013,,
TUS,AR,EXTR,BB,2014,,
TUS,AR,EXTR,BB,2015,,
TUS,AR,EXTR,BB,2016,,
TUS,AR,EXTR,BB,2017,,
TUS,AR,EXTR,BB,2018,,
TUS,AR,EXTR,BB,2019,179.0,312.0
TUS,AR,EXTR,BB,2020,130.0,198.0
TUS,AR,EXTR,BB,2021,252.0,462.0
TUS,AR,EXTR,CAMP,2009,9593.0,41511.0
TUS,AR,EXTR,CAMP,2010,9540.0,43223.0
TUS,AR,EXTR,CAMP,2011,10042.0,52191.0
TUS,AR,EXTR,CAMP,2012,7893.0,38496.0
TUS,AR,EXTR,CAMP,2013,13170.0,82428.0
TUS,AR,EXTR,CAMP,2014,14175.0,97068.0
TUS,AR,EXTR,CAMP,2015,14249.0,83204.0
TUS,AR,EXTR,CAMP,2016,14323.0,91811.0
TUS,AR,EXTR,CAMP,2017,13253.0,85531.0
TUS,AR,EXTR,CAMP,2018,13403.0,88639.0
TUS,AR,EXTR,CAMP,2019,11308.0,62939.0
TUS,AR,EXTR,CAMP,2020,3390.0,16569.0
TUS,AR,EXTR,CAMP,2021,8750.0,47306.0
TUS,AR,EXTR,EXTRHOT,2009,59125.0,384029.0
TUS,AR,EXTR,EXTRHOT,2009-01,207.0,2350.0
TUS,AR,EXTR,EXTRHOT,2009-02,280.0,2773.0
TUS,AR,EXTR,EXTRHOT,2009-03,925.0,4831.0
TUS,AR,EXTR,EXTRHOT,2009-04,3238.0,15760.0
TUS,AR,EXTR,EXTRHOT,2009-05,6586.0,33984.0
TUS,AR,EXTR,EXTRHOT,2009-06,8076.0,52931.0
TUS,AR,EXTR,EXTRHOT,2009-07,14659.0,109548.0
TUS,AR,EXTR,EXTRHOT,2009-08,14852.0,100901.0
TUS,AR,EXTR,EXTRHOT,2009-09,6455.0,40251.0
TUS,AR,EXTR,EXTRHOT,2009-10,2736.0,14486.0
TUS,AR,EXTR,EXTRHOT,2009-11,671.0,3952.0
TUS,AR,EXTR,EXTRHOT,2009-12,440.0,2262.0
TUS,AR,EXTR,EXTRHOT,2010,61319.0,386454.0
TUS,AR,EXTR,EXTRHOT,2010-01,228.0,2274.0
TUS,AR,EXTR,EXTRHOT,2010-02,292.0,2817.0
TUS,AR,EXTR,EXTRHOT,2010-03,1054.0,5403.0
TUS,AR,EXTR,EXTRHOT,2010-04,2190.0,9330.0
TUS,AR,EXTR,EXTRHOT,2010-05,7409.0,37454.0
TUS,AR,EXTR,EXTRHOT,2010-06,8119.0,54055.0
TUS,AR,EXTR,EXTRHOT,2010-07,17014.0,103181.0
TUS,AR,EXTR,EXTRHOT,2010-08,12910.0,101420.0
TUS,AR,EXTR,EXTRHOT,2010-09,7509.0,45921.0
TUS,AR,EXTR,EXTRHOT,2010-10,3396.0,17798.0
TUS,AR,EXTR,EXTRHOT,2010-11,768.0,5171.0
TUS,AR,EXTR,EXTRHOT,2010-12,430.0,1630.0
TUS,AR,EXTR,EXTRHOT,2011,64409.0,415302.0
TUS,AR,EXTR,EXTRHOT,2011-01,314.0,2851.0
TUS,AR,EXTR,EXTRHOT,2011-02,370.0,3611.0
TUS,AR,EXTR,EXTRHOT,2011-03,1099.0,5149.0
TUS,AR,EXTR,EXTRHOT,2011-04,3719.0,15292.0
TUS,AR,EXTR,EXTRHOT,2011-05,5465.0,29519.0
TUS,AR,EXTR,EXTRHOT,2011-06,8557.0,54614.0
TUS,AR,EXTR,EXTRHOT,2011-07,18395.0,118629.0
TUS,AR,EXTR,EXTRHOT,2011-08,13953.0,116141.0
TUS,AR,EXTR,EXTRHOT,2011-09,7683.0,45447.0
TUS,AR,EXTR,EXTRHOT,2011-10,3652.0,16614.0
TUS,AR,EXTR,EXTRHOT,2011-11,810.0,4859.0
TUS,AR,EXTR,EXTRHOT,2011-12,392.0,2576.0
TUS,AR,EXTR,EXTRHOT,2012,66342.0,420213.0
TUS,AR,EXTR,EXTRHOT,2012-01,316.0,2090.0
TUS,AR,EXTR,EXTRHOT,2012-02,311.0,1642.0
TUS,AR,EXTR,EXTRHOT,2012-03,1133.0,4774.0
TUS,AR,EXTR,EXTRHOT,2012-04,3626.0,14345.0
TUS,AR,EXTR,EXTRHOT,2012-05,6777.0,35385.0
TUS,AR,EXTR,EXTRHOT,2012-06,9683.0,52428.0
TUS,AR,EXTR,EXTRHOT,2012-07,16958.0,128639.0
TUS,AR,EXTR,EXTRHOT,2012-08,13765.0,106007.0
TUS,AR,EXTR,EXTRHOT,2012-09,8538.0,49413.0
TUS,AR,EXTR,EXTRHOT,2012-10,4062.0,19166.0
TUS,AR,EXTR,EXTRHOT,2012-11,759.0,4658.0
TUS,AR,EXTR,EXTRHOT,2012-12,414.0,1666.0
TUS,AR,EXTR,EXTRHOT,2013,72121.0,458379.0
TUS,AR,EXTR,EXTRHOT,2013-01,233.0,1872.0
TUS,AR,EXTR,EXTRHOT,2013-02,292.0,1561.0
TUS,AR,EXTR,EXTRHOT,2013-03,1418.0,6051.0
TUS,AR,EXTR,EXTRHOT,2013-04,3550.0,12890.0
TUS,AR,EXTR,EXTRHOT,2013-05,8306.0,40946.0
TUS,AR,EXTR,EXTRHOT,2013-06,10175.0,52666.0
TUS,AR,EXTR,EXTRHOT,2013-07,18816.0,139343.0
TUS,AR,EXTR,EXTRHOT,2013-08,15767.0,128816.0
TUS,AR,EXTR,EXTRHOT,2013-09,8240.0,48216.0
TUS,AR,EXTR,EXTRHOT,2013-10,4108.0,20408.0
TUS,AR,EXTR,EXTRHOT,2013-11,799.0,3787.0
TUS,AR,EXTR,EXTRHOT,2013-12,417.0,1823.0
TUS,AR,EXTR,EXTRHOT,2014,72461.0,458662.0
TUS,AR,EXTR,EXTRHOT,2014-01,299.0,2172.0
TUS,AR,EXTR,EXTRHOT,2014-02,277.0,2452.0
TUS,AR,EXTR,EXTRHOT,2014-03,857.0,3518.0
TUS,AR,EXTR,EXTRHOT,2014-04,4461.0,18916.0
TUS,AR,EXTR,EXTRHOT,2014-05,7112.0,31252.0
TUS,AR,EXTR,EXTRHOT,2014-06,11409.0,63322.0
TUS,AR,EXTR,EXTRHOT,2014-07,17406.0,124690.0
TUS,AR,EXTR,EXTRHOT,2014-08,17373.0,135837.0
TUS,AR,EXTR,EXTRHOT,2014-09,8462.0,51159.0
TUS,AR,EXTR,EXTRHOT,2014-10,3733.0,17439.0
TUS,AR,EXTR,EXTRHOT,2014-11,641.0,4948.0
TUS,AR,EXTR,EXTRHOT,2014-12,431.0,2957.0
TUS,AR,EXTR,EXTRHOT,2015,77739.0,467930.0
TUS,AR,EXTR,EXTRHOT,2015-01,238.0,1972.0
TUS,AR,EXTR,EXTRHOT,2015-02,339.0,2338.0
TUS,AR,EXTR,EXTRHOT,2015-03,1124.0,4283.0
TUS,AR,EXTR,EXTRHOT,2015-04,3366.0,13753.0
TUS,AR,EXTR,EXTRHOT,2015-05,9195.0,39676.0
TUS,AR,EXTR,EXTRHOT,2015-06,10564.0,55754.0
TUS,AR,EXTR,EXTRHOT,2015-07,18485.0,128003.0
TUS,AR,EXTR,EXTRHOT,2015-08,18112.0,127808.0
TUS,AR,EXTR,EXTRHOT,2015-09,10462.0,60210.0
TUS,AR,EXTR,EXTRHOT,2015-10,4517.0,22516.0
TUS,AR,EXTR,EXTRHOT,2015-11,796.0,6256.0
TUS,AR,EXTR,EXTRHOT,2015-12,541.0,5361.0
TUS,AR,EXTR,EXTRHOT,2016,81474.0,486641.0
TUS,AR,EXTR,EXTRHOT,2016-01,391.0,1643.0
TUS,AR,EXTR,EXTRHOT,2016-02,368.0,1813.0
TUS,AR,EXTR,EXTRHOT,2016-03,1519.0,5353.0
TUS,AR,EXTR,EXTRHOT,2016-04,4366.0,13624.0
TUS,AR,EXTR,EXTRHOT,2016-05,9185.0,43678.0
TUS,AR,EXTR,EXTRHOT,2016-06,10282.0,54564.0
TUS,AR,EXTR,EXTRHOT,2016-07,20989.0,130677.0
TUS,AR,EXTR,EXTRHOT,2016-08,17692.0,144541.0
TUS,AR,EXTR,EXTRHOT,2016-09,10083.0,53995.0
TUS,AR,EXTR,EXTRHOT,2016-10,5141.0,25891.0
TUS,AR,EXTR,EXTRHOT,2016-11,813.0,5901.0
TUS,AR,EXTR,EXTRHOT,2016-12,645.0,4961.0
TUS,AR,EXTR,EXTRHOT,2017,97703.0,533424.0
TUS,AR,EXTR,EXTRHOT,2017-01,520.0,4085.0
TUS,AR,EXTR,EXTRHOT,2017-02,326.0,3230.0
TUS,AR,EXTR,EXTRHOT,2017-03,1261.0,6268.0
TUS,AR,EXTR,EXTRHOT,2017-04,5728.0,22301.0
TUS,AR,EXTR,EXTRHOT,2017-05,8548.0,36114.0
TUS,AR,EXTR,EXTRHOT,2017-06,14961.0,74638.0
TUS,AR,EXTR,EXTRHOT,2017-07,24582.0,142789.0
TUS,AR,EXTR,EXTRHOT,2017-08,20706.0,150418.0
TUS,AR,EXTR,EXTRHOT,2017-09,13618.0,60393.0
TUS,AR,EXTR,EXTRHOT,2017-10,5631.0,23158.0
TUS,AR,EXTR,EXTRHOT,2017-11,1057.0,6183.0
TUS,AR,EXTR,EXTRHOT,2017-12,765.0,3847.0
TUS,AR,EXTR,EXTRHOT,2018,108038.0,640360.0
TUS,AR,EXTR,EXTRHOT,2018-01,449.0,4798.0
TUS,AR,EXTR,EXTRHOT,2018-02,487.0,4286.0
TUS,AR,EXTR,EXTRHOT,2018-03,2183.0,9904.0
TUS,AR,EXTR,EXTRHOT,2018-04,6156.0,25334.0
TUS,AR,EXTR,EXTRHOT,2018-05,13249.0,64609.0
TUS,AR,EXTR,EXTRHOT,2018-06,15868.0,79580.0
TUS,AR,EXTR,EXTRHOT,2018-07,25041.0,167897.0
TUS,AR,EXTR,EXTRHOT,2018-08,20713.0,166818.0
TUS,AR,EXTR,EXTRHOT,2018-09,14204.0,70299.0
TUS,AR,EXTR,EXTRHOT,2018-10,7022.0,32272.0
TUS,AR,EXTR,EXTRHOT,2018-11,1512.0,8177.0
TUS,AR,EXTR,EXTRHOT,2018-12,1154.0,6386.0
TUS,AR,EXTR,EXTRHOT,2019,109417.0,598704.0
TUS,AR,EXTR,EXTRHOT,2019-01,564.0,4532.0
TUS,AR,EXTR,EXTRHOT,2019-02,474.0,4310.0
TUS,AR,EXTR,EXTRHOT,2019-03,1941.0,8383.0
TUS,AR,EXTR,EXTRHOT,2019-04,7785.0,33161.0
TUS,AR,EXTR,EXTRHOT,2019-05,11251.0,48059.0
TUS,AR,EXTR,EXTRHOT,2019-06,18198.0,88426.0
TUS,AR,EXTR,EXTRHOT,2019-07,23174.0,145933.0
TUS,AR,EXTR,EXTRHOT,2019-08,21815.0,149831.0
TUS,AR,EXTR,EXTRHOT,2019-09,14037.0,72386.0
TUS,AR,EXTR,EXTRHOT,2019-10,7141.0,33376.0
TUS,AR,EXTR,EXTRHOT,2019-11,1638.0,5727.0
TUS,AR,EXTR,EXTRHOT,2019-12,1399.0,4580.0
TUS,AR,EXTR,EXTRHOT,2020,31322.0,200216.0
TUS,AR,EXTR,EXTRHOT,2020-01,741.0,3821.0
TUS,AR,EXTR,EXTRHOT,2020-02,706.0,3453.0
TUS,AR,EXTR,EXTRHOT,2020-03,157.0,2126.0
TUS,AR,EXTR,EXTRHOT,2020-04,16.0,1653.0
TUS,AR,EXTR,EXTRHOT,2020-05,65.0,1819.0
TUS,AR,EXTR,EXTRHOT,2020-06,960.0,5197.0
TUS,AR,EXTR,EXTRHOT,2020-07,7964.0,52842.0
TUS,AR,EXTR,EXTRHOT,2020-08,11573.0,75923.0
TUS,AR,EXTR,EXTRHOT,2020-09,6672.0,38142.0
TUS,AR,EXTR,EXTRHOT,2020-10,2277.0,12094.0
TUS,AR,EXTR,EXTRHOT,2020-11,137.0,1792.0
TUS,AR,EXTR,EXTRHOT,2020-12,54.0,1354.0
TUS,AR,EXTR,EXTRHOT,2021,69411.0,418866.0
TUS,AR,EXTR,EXTRHOT,2021-01,119.0,2135.0
TUS,AR,EXTR,EXTRHOT,2021-02,81.0,2240.0
TUS,AR,EXTR,EXTRHOT,2021-03,85.0,2090.0
TUS,AR,EXTR,EXTRHOT,2021-04,174.0,2362.0
