period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,EXTR,EXTRHOT,207.0,2350.0
2009-02-01,TUS,AR,EXTR,EXTRHOT,280.0,2773.0
2009-03-01,TUS,AR,EXTR,EXTRHOT,925.0,4831.0
2009-04-01,TUS,AR,EXTR,EXTRHOT,3238.0,15760.0
2009-05-01,TUS,AR,EXTR,EXTRHOT,6586.0,33984.0
2009-06-01,TUS,AR,EXTR,EXTRHOT,8076.0,52931.0
2009-07-01,TUS,AR,EXTR,EXTRHOT,14659.0,109548.0
2009-08-01,TUS,AR,EXTR,EXTRHOT,14852.0,100901.0
2009-09-01,TUS,AR,EXTR,EXTRHOT,6455.0,40251.0
2009-10-01,TUS,AR,EXTR,EXTRHOT,2736.0,14486.0
2009-11-01,TUS,AR,EXTR,EXTRHOT,671.0,3952.0
2009-12-01,TUS,AR,EXTR,EXTRHOT,440.0,2262.0
2010-01-01,TUS,AR,EXTR,EXTRHOT,228.0,2274.0
2010-02-01,TUS,AR,EXTR,EXTRHOT,292.0,2817.0
2010-03-01,TUS,AR,EXTR,EXTRHOT,1054.0,5403.0
2010-04-01,TUS,AR,EXTR,EXTRHOT,2190.0,9330.0
2010-05-01,TUS,AR,EXTR,EXTRHOT,7409.0,37454.0
2010-06-01,TUS,AR,EXTR,EXTRHOT,8119.0,54055.0
2010-07-01,TUS,AR,EXTR,EXTRHOT,17014.0,103181.0
2010-08-01,TUS,AR,EXTR,EXTRHOT,12910.0,101420.0
2010-09-01,TUS,AR,EXTR,EXTRHOT,7509.0,45921.0
2010-10-01,TUS,AR,EXTR,EXTRHOT,3396.0,17798.0
2010-11-01,TUS,AR,EXTR,EXTRHOT,768.0,5171.0
2010-12-01,TUS,AR,EXTR,EXTRHOT,430.0,1630.0
2011-01-01,TUS,AR,EXTR,EXTRHOT,314.0,2851.0
2011-02-01,TUS,AR,EXTR,EXTRHOT,370.0,3611.0
2011-03-01,TUS,AR,EXTR,EXTRHOT,1099.0,5149.0
2011-04-01,TUS,AR,EXTR,EXTRHOT,3719.0,15292.0
2011-05-01,TUS,AR,EXTR,EXTRHOT,5465.0,29519.0
2011-06-01,TUS,AR,EXTR,EXTRHOT,8557.0,54614.0
2011-07-01,TUS,AR,EXTR,EXTRHOT,18395.0,118629.0
2011-08-01,TUS,AR,EXTR,EXTRHOT,13953.0,116141.0
2011-09-01,TUS,AR,EXTR,EXTRHOT,7683.0,45447.0
2011-10-01,TUS,AR,EXTR,EXTRHOT,3652.0,16614.0
2011-11-01,TUS,AR,EXTR,EXTRHOT,810.0,4859.0
2011-12-01,TUS,AR,EXTR,EXTRHOT,392.0,2576.0
2012-01-01,TUS,AR,EXTR,EXTRHOT,316.0,2090.0
2012-02-01,TUS,AR,EXTR,EXTRHOT,311.0,1642.0
2012-03-01,TUS,AR,EXTR,EXTRHOT,1133.0,4774.0
2012-04-01,TUS,AR,EXTR,EXTRHOT,3626.0,14345.0
2012-05-01,TUS,AR,EXTR,EXTRHOT,6777.0,35385.0
2012-06-01,TUS,AR,EXTR,EXTRHOT,9683.0,52428.0
2012-07-01,TUS,AR,EXTR,EXTRHOT,16958.0,128639.0
2012-08-01,TUS,AR,EXTR,EXTRHOT,13765.0,106007.0
2012-09-01,TUS,AR,EXTR,EXTRHOT,8538.0,49413.0
2012-10-01,TUS,AR,EXTR,EXTRHOT,4062.0,19166.0
2012-11-01,TUS,AR,EXTR,EXTRHOT,759.0,4658.0
2012-12-01,TUS,AR,EXTR,EXTRHOT,414.0,1666.0
2013-01-01,TUS,AR,EXTR,EXTRHOT,233.0,1872.0
2013-02-01,TUS,AR,EXTR,EXTRHOT,292.0,1561.0
2013-03-01,TUS,AR,EXTR,EXTRHOT,1418.0,6051.0
2013-04-01,TUS,AR,EXTR,EXTRHOT,3550.0,12890.0
2013-05-01,TUS,AR,EXTR,EXTRHOT,8306.0,40946.0
2013-06-01,TUS,AR,EXTR,EXTRHOT,10175.0,52666.0
2013-07-01,TUS,AR,EXTR,EXTRHOT,18816.0,139343.0
2013-08-01,TUS,AR,EXTR,EXTRHOT,15767.0,128816.0
2013-09-01,TUS,AR,EXTR,EXTRHOT,8240.0,48216.0
2013-10-01,TUS,AR,EXTR,EXTRHOT,4108.0,20408.0
2013-11-01,TUS,AR,EXTR,EXTRHOT,799.0,3787.0
2013-12-01,TUS,AR,EXTR,EXTRHOT,417.0,1823.0
2014-01-01,TUS,AR,EXTR,EXTRHOT,299.0,2172.0
2014-02-01,TUS,AR,EXTR,EXTRHOT,277.0,2452.0
2014-03-01,TUS,AR,EXTR,EXTRHOT,857.0,3518.0
2014-04-01,TUS,AR,EXTR,EXTRHOT,4461.0,18916.0
2014-05-01,TUS,AR,EXTR,EXTRHOT,7112.0,31252.0
2014-06-01,TUS,AR,EXTR,EXTRHOT,11409.0,63322.0
2014-07-01,TUS,AR,EXTR,EXTRHOT,17406.0,124690.0
2014-08-01,TUS,AR,EXTR,EXTRHOT,17373.0,135837.0
2014-09-01,TUS,AR,EXTR,EXTRHOT,8462.0,51159.0
2014-10-01,TUS,AR,EXTR,EXTRHOT,3733.0,17439.0
2014-11-01,TUS,AR,EXTR,EXTRHOT,641.0,4948.0
2014-12-01,TUS,AR,EXTR,EXTRHOT,431.0,2957.0
2015-01-01,TUS,AR,EXTR,EXTRHOT,238.0,1972.0
2015-02-01,TUS,AR,EXTR,EXTRHOT,339.0,2338.0
2015-03-01,TUS,AR,EXTR,EXTRHOT,1124.0,4283.0
2015-04-01,TUS,AR,EXTR,EXTRHOT,3366.0,13753.0
2015-05-01,TUS,AR,EXTR,EXTRHOT,9195.0,39676.0
2015-06-01,TUS,AR,EXTR,EXTRHOT,10564.0,55754.0
2015-07-01,TUS,AR,EXTR,EXTRHOT,18485.0,128003.0
2015-08-01,TUS,AR,EXTR,EXTRHOT,18112.0,127808.0
