period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,IT,EXTRHOT,1592.0,6310.0
2009-02-01,TUS,AR,IT,EXTRHOT,1718.0,3878.0
2009-03-01,TUS,AR,IT,EXTRHOT,2511.0,5718.0
2009-04-01,TUS,AR,IT,EXTRHOT,6078.0,12997.0
2009-05-01,TUS,AR,IT,EXTRHOT,7610.0,15855.0
2009-06-01,TUS,AR,IT,EXTRHOT,5407.0,15357.0
2009-07-01,TUS,AR,IT,EXTRHOT,6305.0,21177.0
2009-08-01,TUS,AR,IT,EXTRHOT,10959.0,45071.0
2009-09-01,TUS,AR,IT,EXTRHOT,5735.0,15067.0
2009-10-01,TUS,AR,IT,EXTRHOT,3766.0,7841.0
2009-11-01,TUS,AR,IT,EXTRHOT,2182.0,5146.0
2009-12-01,TUS,AR,IT,EXTRHOT,5068.0,10708.0
2010-01-01,TUS,AR,IT,EXTRHOT,1913.0,7841.0
2010-02-01,TUS,AR,IT,EXTRHOT,1363.0,3452.0
2010-03-01,TUS,AR,IT,EXTRHOT,2702.0,6409.0
2010-04-01,TUS,AR,IT,EXTRHOT,5928.0,13050.0
2010-05-01,TUS,AR,IT,EXTRHOT,5496.0,11828.0
2010-06-01,TUS,AR,IT,EXTRHOT,5139.0,14585.0
2010-07-01,TUS,AR,IT,EXTRHOT,7075.0,23233.0
2010-08-01,TUS,AR,IT,EXTRHOT,10116.0,42948.0
2010-09-01,TUS,AR,IT,EXTRHOT,4935.0,13568.0
2010-10-01,TUS,AR,IT,EXTRHOT,5211.0,10356.0
2010-11-01,TUS,AR,IT,EXTRHOT,2096.0,4813.0
2010-12-01,TUS,AR,IT,EXTRHOT,4408.0,8846.0
2011-01-01,TUS,AR,IT,EXTRHOT,1932.0,6634.0
2011-02-01,TUS,AR,IT,EXTRHOT,1496.0,3252.0
2011-03-01,TUS,AR,IT,EXTRHOT,2855.0,6137.0
2011-04-01,TUS,AR,IT,EXTRHOT,5288.0,11988.0
2011-05-01,TUS,AR,IT,EXTRHOT,4605.0,9350.0
2011-06-01,TUS,AR,IT,EXTRHOT,5463.0,14897.0
2011-07-01,TUS,AR,IT,EXTRHOT,6722.0,22319.0
2011-08-01,TUS,AR,IT,EXTRHOT,10194.0,39668.0
2011-09-01,TUS,AR,IT,EXTRHOT,5147.0,12422.0
2011-10-01,TUS,AR,IT,EXTRHOT,4446.0,8767.0
2011-11-01,TUS,AR,IT,EXTRHOT,2422.0,5830.0
2011-12-01,TUS,AR,IT,EXTRHOT,4163.0,8901.0
2012-01-01,TUS,AR,IT,EXTRHOT,1773.0,5216.0
2012-02-01,TUS,AR,IT,EXTRHOT,993.0,2272.0
2012-03-01,TUS,AR,IT,EXTRHOT,3239.0,5933.0
2012-04-01,TUS,AR,IT,EXTRHOT,7026.0,15195.0
2012-05-01,TUS,AR,IT,EXTRHOT,4122.0,8214.0
2012-06-01,TUS,AR,IT,EXTRHOT,6503.0,16487.0
2012-07-01,TUS,AR,IT,EXTRHOT,6852.0,22290.0
2012-08-01,TUS,AR,IT,EXTRHOT,9920.0,40314.0
