period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,AR,WLD,EXTRHOT,3053.0,11584.0
2016-02-01,TUS,AR,WLD,EXTRHOT,2722.0,7873.0
2016-03-01,TUS,AR,WLD,EXTRHOT,6184.0,17056.0
2016-04-01,TUS,AR,WLD,EXTRHOT,9886.0,26259.0
2016-05-01,TUS,AR,WLD,EXTRHOT,14379.0,55673.0
2016-06-01,TUS,AR,WLD,EXTRHOT,17176.0,72929.0
2016-07-01,TUS,AR,WLD,EXTRHOT,28579.0,153581.0
2016-08-01,TUS,AR,WLD,EXTRHOT,28070.0,184931.0
2016-09-01,TUS,AR,WLD,EXTRHOT,16051.0,69848.0
2016-10-01,TUS,AR,WLD,EXTRHOT,10021.0,39852.0
2016-11-01,TUS,AR,WLD,EXTRHOT,2865.0,13125.0
2016-12-01,TUS,AR,WLD,EXTRHOT,5399.0,18412.0
2017-01-01,TUS,AR,WLD,EXTRHOT,3225.0,14274.0
2017-02-01,TUS,AR,WLD,EXTRHOT,2352.0,10190.0
2017-03-01,TUS,AR,WLD,EXTRHOT,5333.0,16505.0
2017-04-01,TUS,AR,WLD,EXTRHOT,14385.0,42473.0
2017-05-01,TUS,AR,WLD,EXTRHOT,13551.0,47221.0
2017-06-01,TUS,AR,WLD,EXTRHOT,23383.0,95250.0
2017-07-01,TUS,AR,WLD,EXTRHOT,32909.0,168203.0
2017-08-01,TUS,AR,WLD,EXTRHOT,33476.0,196883.0
2017-09-01,TUS,AR,WLD,EXTRHOT,21271.0,77661.0
2017-10-01,TUS,AR,WLD,EXTRHOT,10631.0,35037.0
2017-11-01,TUS,AR,WLD,EXTRHOT,4692.0,14466.0
2017-12-01,TUS,AR,WLD,EXTRHOT,6799.0,17904.0
2018-01-01,TUS,AR,WLD,EXTRHOT,3605.0,15370.0
2018-02-01,TUS,AR,WLD,EXTRHOT,3163.0,12169.0
2018-03-01,TUS,AR,WLD,EXTRHOT,7658.0,22731.0
2018-04-01,TUS,AR,WLD,EXTRHOT,15294.0,48740.0
2018-05-01,TUS,AR,WLD,EXTRHOT,19681.0,81197.0
2018-06-01,TUS,AR,WLD,EXTRHOT,26039.0,104739.0
2018-07-01,TUS,AR,WLD,EXTRHOT,34294.0,199628.0
2018-08-01,TUS,AR,WLD,EXTRHOT,35224.0,219401.0
2018-09-01,TUS,AR,WLD,EXTRHOT,22286.0,90969.0
2018-10-01,TUS,AR,WLD,EXTRHOT,13479.0,47607.0
2018-11-01,TUS,AR,WLD,EXTRHOT,7524.0,23092.0
2018-12-01,TUS,AR,WLD,EXTRHOT,9811.0,27065.0
2019-01-01,TUS,AR,WLD,EXTRHOT,3657.0,15564.0
2019-02-01,TUS,AR,WLD,EXTRHOT,3114.0,11996.0
2019-03-01,TUS,AR,WLD,EXTRHOT,7307.0,21484.0
2019-04-01,TUS,AR,WLD,EXTRHOT,18568.0,59867.0
2019-05-01,TUS,AR,WLD,EXTRHOT,17798.0,64034.0
2019-06-01,TUS,AR,WLD,EXTRHOT,27647.0,110879.0
2019-07-01,TUS,AR,WLD,EXTRHOT,33184.0,176839.0
2019-08-01,TUS,AR,WLD,EXTRHOT,38116.0,207545.0
2019-09-01,TUS,AR,WLD,EXTRHOT,22514.0,94834.0
2019-10-01,TUS,AR,WLD,EXTRHOT,13892.0,48662.0
2019-11-01,TUS,AR,WLD,EXTRHOT,9068.0,21783.0
2019-12-01,TUS,AR,WLD,EXTRHOT,10463.0,24654.0
2020-01-01,TUS,AR,WLD,EXTRHOT,4654.0,17628.0
2020-02-01,TUS,AR,WLD,EXTRHOT,4305.0,13219.0
2020-03-01,TUS,AR,WLD,EXTRHOT,1214.0,10200.0
2020-04-01,TUS,AR,WLD,EXTRHOT,236.0,8217.0
2020-05-01,TUS,AR,WLD,EXTRHOT,789.0,9034.0
2020-06-01,TUS,AR,WLD,EXTRHOT,6975.0,24271.0
2020-07-01,TUS,AR,WLD,EXTRHOT,22686.0,104522.0
2020-08-01,TUS,AR,WLD,EXTRHOT,42388.0,202805.0
2020-09-01,TUS,AR,WLD,EXTRHOT,17963.0,70706.0
2020-10-01,TUS,AR,WLD,EXTRHOT,8094.0,28155.0
2020-11-01,TUS,AR,WLD,EXTRHOT,1288.0,8832.0
2020-12-01,TUS,AR,WLD,EXTRHOT,878.0,7250.0
2021-01-01,TUS,AR,WLD,EXTRHOT,1435.0,8886.0
2021-02-01,TUS,AR,WLD,EXTRHOT,1540.0,9444.0
2021-03-01,TUS,AR,WLD,EXTRHOT,1210.0,9569.0
2021-04-01,TUS,AR,WLD,EXTRHOT,2258.0,11143.0
2021-05-01,TUS,AR,WLD,EXTRHOT,8621.0,28687.0
2021-06-01,TUS,AR,WLD,EXTRHOT,17354.0,59693.0
2021-07-01,TUS,AR,WLD,EXTRHOT,36809.0,169274.0
2021-08-01,TUS,AR,WLD,EXTRHOT,45814.0,244317.0
2021-09-01,TUS,AR,WLD,EXTRHOT,23702.0,103190.0
2021-10-01,TUS,AR,WLD,EXTRHOT,17436.0,52664.0
2021-11-01,TUS,AR,WLD,EXTRHOT,7779.0,20360.0
2021-12-01,TUS,AR,WLD,EXTRHOT,12596.0,26964.0
