period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,EXTR,HOT,2035.0,5947.0
2009-02-01,TUS,AR,EXTR,HOT,1968.0,5665.0
2009-03-01,TUS,AR,EXTR,HOT,3504.0,10044.0
2009-04-01,TUS,AR,EXTR,HOT,5937.0,13179.0
2009-05-01,TUS,AR,EXTR,HOT,8254.0,19476.0
2009-06-01,TUS,AR,EXTR,HOT,7347.0,18532.0
2009-07-01,TUS,AR,EXTR,HOT,7984.0,21877.0
2009-08-01,TUS,AR,EXTR,HOT,6945.0,21146.0
2009-09-01,TUS,AR,EXTR,HOT,9808.0,25922.0
2009-10-01,TUS,AR,EXTR,HOT,6958.0,16784.0
2009-11-01,TUS,AR,EXTR,HOT,2463.0,6288.0
2009-12-01,TUS,AR,EXTR,HOT,2139.0,4869.0
2010-01-01,TUS,AR,EXTR,HOT,1804.0,4023.0
2010-02-01,TUS,AR,EXTR,HOT,1801.0,4235.0
2010-03-01,TUS,AR,EXTR,HOT,2519.0,5854.0
2010-04-01,TUS,AR,EXTR,HOT,5197.0,12029.0
2010-05-01,TUS,AR,EXTR,HOT,9572.0,21870.0
2010-06-01,TUS,AR,EXTR,HOT,8071.0,20051.0
2010-07-01,TUS,AR,EXTR,HOT,9844.0,29763.0
2010-08-01,TUS,AR,EXTR,HOT,7539.0,20907.0
2010-09-01,TUS,AR,EXTR,HOT,11129.0,27682.0
2010-10-01,TUS,AR,EXTR,HOT,7219.0,18134.0
2010-11-01,TUS,AR,EXTR,HOT,2988.0,6636.0
2010-12-01,TUS,AR,EXTR,HOT,3220.0,7445.0
2011-01-01,TUS,AR,EXTR,HOT,1734.0,3742.0
2011-02-01,TUS,AR,EXTR,HOT,1668.0,3595.0
2011-03-01,TUS,AR,EXTR,HOT,3148.0,6640.0
2011-04-01,TUS,AR,EXTR,HOT,6541.0,15267.0
2011-05-01,TUS,AR,EXTR,HOT,10197.0,21821.0
2011-06-01,TUS,AR,EXTR,HOT,9490.0,22686.0
2011-07-01,TUS,AR,EXTR,HOT,10070.0,24560.0
2011-08-01,TUS,AR,EXTR,HOT,7095.0,19136.0
2011-09-01,TUS,AR,EXTR,HOT,11171.0,27405.0
2011-10-01,TUS,AR,EXTR,HOT,7264.0,19347.0
2011-11-01,TUS,AR,EXTR,HOT,3026.0,7708.0
2011-12-01,TUS,AR,EXTR,HOT,2696.0,4899.0
2012-01-01,TUS,AR,EXTR,HOT,1967.0,3933.0
2012-02-01,TUS,AR,EXTR,HOT,1757.0,3945.0
2012-03-01,TUS,AR,EXTR,HOT,4734.0,10512.0
2012-04-01,TUS,AR,EXTR,HOT,6411.0,15173.0
2012-05-01,TUS,AR,EXTR,HOT,10923.0,23200.0
2012-06-01,TUS,AR,EXTR,HOT,10232.0,24983.0
2012-07-01,TUS,AR,EXTR,HOT,10292.0,25133.0
2012-08-01,TUS,AR,EXTR,HOT,8440.0,23106.0
2012-09-01,TUS,AR,EXTR,HOT,11293.0,28229.0
2012-10-01,TUS,AR,EXTR,HOT,8112.0,20241.0
2012-11-01,TUS,AR,EXTR,HOT,2552.0,7016.0
2012-12-01,TUS,AR,EXTR,HOT,1759.0,4131.0
2013-01-01,TUS,AR,EXTR,HOT,2297.0,5014.0
2013-02-01,TUS,AR,EXTR,HOT,1755.0,4146.0
2013-03-01,TUS,AR,EXTR,HOT,4189.0,9098.0
2013-04-01,TUS,AR,EXTR,HOT,7836.0,16958.0
2013-05-01,TUS,AR,EXTR,HOT,14806.0,29200.0
2013-06-01,TUS,AR,EXTR,HOT,14050.0,31157.0
2013-07-01,TUS,AR,EXTR,HOT,14183.0,34891.0
2013-08-01,TUS,AR,EXTR,HOT,11776.0,29977.0
2013-09-01,TUS,AR,EXTR,HOT,14201.0,34239.0
2013-10-01,TUS,AR,EXTR,HOT,9913.0,23077.0
2013-11-01,TUS,AR,EXTR,HOT,3296.0,8508.0
2013-12-01,TUS,AR,EXTR,HOT,3840.0,8049.0
2014-01-01,TUS,AR,EXTR,HOT,2140.0,4747.0
2014-02-01,TUS,AR,EXTR,HOT,2019.0,4506.0
2014-03-01,TUS,AR,EXTR,HOT,3561.0,7839.0
2014-04-01,TUS,AR,EXTR,HOT,8690.0,18326.0
2014-05-01,TUS,AR,EXTR,HOT,14383.0,27935.0
2014-06-01,TUS,AR,EXTR,HOT,13264.0,31475.0
2014-07-01,TUS,AR,EXTR,HOT,13346.0,32963.0
2014-08-01,TUS,AR,EXTR,HOT,11386.0,25522.0
2014-09-01,TUS,AR,EXTR,HOT,12838.0,29883.0
2014-10-01,TUS,AR,EXTR,HOT,8822.0,19539.0
2014-11-01,TUS,AR,EXTR,HOT,3172.0,7337.0
2014-12-01,TUS,AR,EXTR,HOT,3086.0,6109.0
2015-01-01,TUS,AR,EXTR,HOT,2238.0,5630.0
2015-02-01,TUS,AR,EXTR,HOT,2728.0,6071.0
2015-03-01,TUS,AR,EXTR,HOT,4451.0,10345.0
2015-04-01,TUS,AR,EXTR,HOT,8857.0,16563.0
2015-05-01,TUS,AR,EXTR,HOT,19689.0,35400.0
2015-06-01,TUS,AR,EXTR,HOT,17064.0,35726.0
2015-07-01,TUS,AR,EXTR,HOT,15582.0,32119.0
2015-08-01,TUS,AR,EXTR,HOT,14060.0,29457.0
2015-09-01,TUS,AR,EXTR,HOT,15390.0,33063.0
2015-10-01,TUS,AR,EXTR,HOT,10490.0,22100.0
2015-11-01,TUS,AR,EXTR,HOT,3864.0,9020.0
2015-12-01,TUS,AR,EXTR,HOT,2555.0,6065.0
2016-01-01,TUS,AR,EXTR,HOT,2597.0,6215.0
2016-02-01,TUS,AR,EXTR,HOT,3216.0,6623.0
2016-03-01,TUS,AR,EXTR,HOT,5398.0,12313.0
2016-04-01,TUS,AR,EXTR,HOT,9387.0,18924.0
2016-05-01,TUS,AR,EXTR,HOT,18870.0,35519.0
2016-06-01,TUS,AR,EXTR,HOT,14785.0,29405.0
2016-07-01,TUS,AR,EXTR,HOT,13127.0,28215.0
2016-08-01,TUS,AR,EXTR,HOT,13362.0,29136.0
2016-09-01,TUS,AR,EXTR,HOT,13015.0,29116.0
2016-10-01,TUS,AR,EXTR,HOT,10048.0,23780.0
2016-11-01,TUS,AR,EXTR,HOT,3995.0,11952.0
2016-12-01,TUS,AR,EXTR,HOT,2891.0,8965.0
2017-01-01,TUS,AR,EXTR,HOT,2635.0,5050.0
2017-02-01,TUS,AR,EXTR,HOT,2514.0,6196.0
2017-03-01,TUS,AR,EXTR,HOT,5436.0,12250.0
2017-04-01,TUS,AR,EXTR,HOT,11165.0,20639.0
2017-05-01,TUS,AR,EXTR,HOT,21533.0,39479.0
2017-06-01,TUS,AR,EXTR,HOT,18916.0,37579.0
2017-07-01,TUS,AR,EXTR,HOT,16011.0,31188.0
2017-08-01,TUS,AR,EXTR,HOT,15027.0,28613.0
2017-09-01,TUS,AR,EXTR,HOT,15681.0,32950.0
2017-10-01,TUS,AR,EXTR,HOT,12576.0,26178.0
2017-11-01,TUS,AR,EXTR,HOT,5647.0,10283.0
2017-12-01,TUS,AR,EXTR,HOT,3606.0,7148.0
2018-01-01,TUS,AR,EXTR,HOT,2984.0,6061.0
2018-02-01,TUS,AR,EXTR,HOT,2798.0,5870.0
2018-03-01,TUS,AR,EXTR,HOT,5530.0,11386.0
2018-04-01,TUS,AR,EXTR,HOT,12505.0,21083.0
2018-05-01,TUS,AR,EXTR,HOT,23272.0,42575.0
2018-06-01,TUS,AR,EXTR,HOT,20836.0,37976.0
2018-07-01,TUS,AR,EXTR,HOT,18301.0,33986.0
2018-08-01,TUS,AR,EXTR,HOT,15906.0,29547.0
2018-09-01,TUS,AR,EXTR,HOT,16705.0,32437.0
2018-10-01,TUS,AR,EXTR,HOT,14368.0,28069.0
2018-11-01,TUS,AR,EXTR,HOT,5241.0,10178.0
2018-12-01,TUS,AR,EXTR,HOT,4184.0,6955.0
2019-01-01,TUS,AR,EXTR,HOT,3580.0,6188.0
2019-02-01,TUS,AR,EXTR,HOT,3733.0,7634.0
2019-03-01,TUS,AR,EXTR,HOT,6134.0,12640.0
2019-04-01,TUS,AR,EXTR,HOT,14928.0,26187.0
2019-05-01,TUS,AR,EXTR,HOT,24514.0,41677.0
2019-06-01,TUS,AR,EXTR,HOT,21788.0,40881.0
2019-07-01,TUS,AR,EXTR,HOT,18076.0,34239.0
2019-08-01,TUS,AR,EXTR,HOT,16759.0,29751.0
2019-09-01,TUS,AR,EXTR,HOT,17232.0,31272.0
2019-10-01,TUS,AR,EXTR,HOT,15447.0,27604.0
2019-11-01,TUS,AR,EXTR,HOT,6224.0,10754.0
2019-12-01,TUS,AR,EXTR,HOT,4872.0,7603.0
2020-01-01,TUS,AR,EXTR,HOT,4526.0,6981.0
2020-02-01,TUS,AR,EXTR,HOT,2098.0,5701.0
2020-03-01,TUS,AR,EXTR,HOT,192.0,1132.0
2020-04-01,TUS,AR,EXTR,HOT,18.0,292.0
2020-05-01,TUS,AR,EXTR,HOT,103.0,388.0
2020-06-01,TUS,AR,EXTR,HOT,743.0,1565.0
2020-07-01,TUS,AR,EXTR,HOT,2734.0,5201.0
2020-08-01,TUS,AR,EXTR,HOT,4247.0,8598.0
2020-09-01,TUS,AR,EXTR,HOT,3214.0,6365.0
2020-10-01,TUS,AR,EXTR,HOT,1802.0,3766.0
2020-11-01,TUS,AR,EXTR,HOT,355.0,1110.0
2020-12-01,TUS,AR,EXTR,HOT,256.0,736.0
2021-01-01,TUS,AR,EXTR,HOT,310.0,817.0
2021-02-01,TUS,AR,EXTR,HOT,403.0,1152.0
