period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,IT,HOT,10452.0,22770.0
2009-02-01,TUS,AR,IT,HOT,11788.0,21587.0
2009-03-01,TUS,AR,IT,HOT,15642.0,28660.0
2009-04-01,TUS,AR,IT,HOT,17402.0,29611.0
2009-05-01,TUS,AR,IT,HOT,20748.0,35147.0
2009-06-01,TUS,AR,IT,HOT,14434.0,26532.0
2009-07-01,TUS,AR,IT,HOT,13933.0,30071.0
2009-08-01,TUS,AR,IT,HOT,14347.0,35396.0
2009-09-01,TUS,AR,IT,HOT,17615.0,33189.0
2009-10-01,TUS,AR,IT,HOT,16754.0,30061.0
2009-11-01,TUS,AR,IT,HOT,12561.0,22948.0
2009-12-01,TUS,AR,IT,HOT,12800.0,23672.0
2010-01-01,TUS,AR,IT,HOT,11213.0,21229.0
2010-02-01,TUS,AR,IT,HOT,9946.0,17883.0
2010-03-01,TUS,AR,IT,HOT,12921.0,23496.0
2010-04-01,TUS,AR,IT,HOT,18831.0,33892.0
2010-05-01,TUS,AR,IT,HOT,17399.0,31989.0
2010-06-01,TUS,AR,IT,HOT,14070.0,25902.0
2010-07-01,TUS,AR,IT,HOT,14937.0,33071.0
2010-08-01,TUS,AR,IT,HOT,13562.0,34806.0
2010-09-01,TUS,AR,IT,HOT,18536.0,32784.0
2010-10-01,TUS,AR,IT,HOT,18141.0,31854.0
2010-11-01,TUS,AR,IT,HOT,13823.0,25026.0
2010-12-01,TUS,AR,IT,HOT,13222.0,21270.0
2011-01-01,TUS,AR,IT,HOT,10533.0,19825.0
2011-02-01,TUS,AR,IT,HOT,11113.0,19266.0
2011-03-01,TUS,AR,IT,HOT,14895.0,26498.0
2011-04-01,TUS,AR,IT,HOT,19974.0,37318.0
2011-05-01,TUS,AR,IT,HOT,16395.0,30056.0
2011-06-01,TUS,AR,IT,HOT,15013.0,27143.0
2011-07-01,TUS,AR,IT,HOT,13786.0,28108.0
2011-08-01,TUS,AR,IT,HOT,12606.0,32808.0
2011-09-01,TUS,AR,IT,HOT,17330.0,32629.0
2011-10-01,TUS,AR,IT,HOT,17862.0,31665.0
2011-11-01,TUS,AR,IT,HOT,12672.0,26546.0
2011-12-01,TUS,AR,IT,HOT,12172.0,22867.0
2012-01-01,TUS,AR,IT,HOT,9944.0,19040.0
2012-02-01,TUS,AR,IT,HOT,8337.0,15633.0
2012-03-01,TUS,AR,IT,HOT,15817.0,27464.0
2012-04-01,TUS,AR,IT,HOT,17682.0,33222.0
2012-05-01,TUS,AR,IT,HOT,16729.0,30091.0
2012-06-01,TUS,AR,IT,HOT,15822.0,29419.0
2012-07-01,TUS,AR,IT,HOT,14061.0,33171.0
2012-08-01,TUS,AR,IT,HOT,14137.0,37131.0
2012-09-01,TUS,AR,IT,HOT,17159.0,34372.0
2012-10-01,TUS,AR,IT,HOT,16488.0,34167.0
2012-11-01,TUS,AR,IT,HOT,12522.0,23939.0
2012-12-01,TUS,AR,IT,HOT,8649.0,14756.0
2013-01-01,TUS,AR,IT,HOT,9743.0,19063.0
2013-02-01,TUS,AR,IT,HOT,9189.0,16597.0
2013-03-01,TUS,AR,IT,HOT,14993.0,26364.0
2013-04-01,TUS,AR,IT,HOT,16109.0,34754.0
2013-05-01,TUS,AR,IT,HOT,15722.0,32856.0
2013-06-01,TUS,AR,IT,HOT,14490.0,29696.0
2013-07-01,TUS,AR,IT,HOT,13200.0,36165.0
2013-08-01,TUS,AR,IT,HOT,14787.0,42410.0
2013-09-01,TUS,AR,IT,HOT,16294.0,40378.0
2013-10-01,TUS,AR,IT,HOT,15228.0,32804.0
2013-11-01,TUS,AR,IT,HOT,15267.0,32856.0
2013-12-01,TUS,AR,IT,HOT,11468.0,26871.0
2014-01-01,TUS,AR,IT,HOT,9703.0,19541.0
2014-02-01,TUS,AR,IT,HOT,9394.0,15730.0
2014-03-01,TUS,AR,IT,HOT,13207.0,22501.0
2014-04-01,TUS,AR,IT,HOT,16279.0,33163.0
2014-05-01,TUS,AR,IT,HOT,16787.0,31427.0
2014-06-01,TUS,AR,IT,HOT,13477.0,29863.0
2014-07-01,TUS,AR,IT,HOT,13503.0,30630.0
2014-08-01,TUS,AR,IT,HOT,15296.0,36771.0
2014-09-01,TUS,AR,IT,HOT,14864.0,30355.0
2014-10-01,TUS,AR,IT,HOT,17247.0,35090.0
2014-11-01,TUS,AR,IT,HOT,13405.0,27796.0
2014-12-01,TUS,AR,IT,HOT,11206.0,22403.0
2015-01-01,TUS,AR,IT,HOT,11218.0,24543.0
2015-02-01,TUS,AR,IT,HOT,11754.0,22686.0
2015-03-01,TUS,AR,IT,HOT,15625.0,30871.0
2015-04-01,TUS,AR,IT,HOT,18321.0,35324.0
2015-05-01,TUS,AR,IT,HOT,19735.0,39234.0
2015-06-01,TUS,AR,IT,HOT,14961.0,31798.0
2015-07-01,TUS,AR,IT,HOT,15159.0,35432.0
2015-08-01,TUS,AR,IT,HOT,16937.0,41003.0
2015-09-01,TUS,AR,IT,HOT,17920.0,38234.0
2015-10-01,TUS,AR,IT,HOT,18210.0,38397.0
2015-11-01,TUS,AR,IT,HOT,13524.0,28607.0
2015-12-01,TUS,AR,IT,HOT,14836.0,28985.0
2016-01-01,TUS,AR,IT,HOT,11841.0,25508.0
2016-02-01,TUS,AR,IT,HOT,11989.0,22968.0
2016-03-01,TUS,AR,IT,HOT,15630.0,32303.0
2016-04-01,TUS,AR,IT,HOT,18535.0,35683.0
2016-05-01,TUS,AR,IT,HOT,15873.0,30473.0
2016-06-01,TUS,AR,IT,HOT,16393.0,31179.0
2016-07-01,TUS,AR,IT,HOT,15722.0,32522.0
2016-08-01,TUS,AR,IT,HOT,19008.0,41316.0
2016-09-01,TUS,AR,IT,HOT,17606.0,34863.0
2016-10-01,TUS,AR,IT,HOT,19870.0,38659.0
2016-11-01,TUS,AR,IT,HOT,13411.0,29352.0
2016-12-01,TUS,AR,IT,HOT,16107.0,32834.0
2017-01-01,TUS,AR,IT,HOT,12383.0,24892.0
2017-02-01,TUS,AR,IT,HOT,12376.0,21809.0
2017-03-01,TUS,AR,IT,HOT,18132.0,32811.0
2017-04-01,TUS,AR,IT,HOT,21696.0,39823.0
2017-05-01,TUS,AR,IT,HOT,16734.0,30411.0
2017-06-01,TUS,AR,IT,HOT,18227.0,32357.0
2017-07-01,TUS,AR,IT,HOT,15914.0,31305.0
2017-08-01,TUS,AR,IT,HOT,18794.0,41374.0
2017-09-01,TUS,AR,IT,HOT,20195.0,40135.0
2017-10-01,TUS,AR,IT,HOT,18289.0,35937.0
2017-11-01,TUS,AR,IT,HOT,15775.0,26774.0
2017-12-01,TUS,AR,IT,HOT,19239.0,32460.0
2018-01-01,TUS,AR,IT,HOT,12847.0,24066.0
2018-02-01,TUS,AR,IT,HOT,12464.0,20547.0
2018-03-01,TUS,AR,IT,HOT,17301.0,29876.0
2018-04-01,TUS,AR,IT,HOT,21245.0,37408.0
2018-05-01,TUS,AR,IT,HOT,18663.0,32578.0
2018-06-01,TUS,AR,IT,HOT,18900.0,31844.0
2018-07-01,TUS,AR,IT,HOT,16523.0,31634.0
2018-08-01,TUS,AR,IT,HOT,19645.0,40630.0
2018-09-01,TUS,AR,IT,HOT,19742.0,35851.0
2018-10-01,TUS,AR,IT,HOT,18782.0,33629.0
2018-11-01,TUS,AR,IT,HOT,18848.0,30088.0
2018-12-01,TUS,AR,IT,HOT,21342.0,34268.0
2019-01-01,TUS,AR,IT,HOT,13570.0,24768.0
2019-02-01,TUS,AR,IT,HOT,12501.0,20893.0
2019-03-01,TUS,AR,IT,HOT,17950.0,31247.0
2019-04-01,TUS,AR,IT,HOT,20913.0,37127.0
2019-05-01,TUS,AR,IT,HOT,19108.0,31836.0
2019-06-01,TUS,AR,IT,HOT,18497.0,31213.0
2019-07-01,TUS,AR,IT,HOT,18101.0,31934.0
2019-08-01,TUS,AR,IT,HOT,21432.0,41786.0
2019-09-01,TUS,AR,IT,HOT,20410.0,34779.0
2019-10-01,TUS,AR,IT,HOT,19821.0,33240.0
2019-11-01,TUS,AR,IT,HOT,22267.0,35227.0
2019-12-01,TUS,AR,IT,HOT,21787.0,35302.0
2020-01-01,TUS,AR,IT,HOT,15227.0,26968.0
2020-02-01,TUS,AR,IT,HOT,12753.0,20723.0
2020-03-01,TUS,AR,IT,HOT,2282.0,5570.0
2020-04-01,TUS,AR,IT,HOT,291.0,2299.0
2020-05-01,TUS,AR,IT,HOT,1673.0,4998.0
2020-06-01,TUS,AR,IT,HOT,8306.0,14818.0
