period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,AR,WLD,HOT,14438.0,31723.0
2016-02-01,TUS,AR,WLD,HOT,15205.0,29591.0
2016-03-01,TUS,AR,WLD,HOT,21028.0,44616.0
2016-04-01,TUS,AR,WLD,HOT,27922.0,54607.0
2016-05-01,TUS,AR,WLD,HOT,34743.0,65992.0
2016-06-01,TUS,AR,WLD,HOT,31178.0,60584.0
2016-07-01,TUS,AR,WLD,HOT,28849.0,60737.0
2016-08-01,TUS,AR,WLD,HOT,32370.0,70452.0
2016-09-01,TUS,AR,WLD,HOT,30621.0,63979.0
2016-10-01,TUS,AR,WLD,HOT,29918.0,62439.0
2016-11-01,TUS,AR,WLD,HOT,17406.0,41304.0
2016-12-01,TUS,AR,WLD,HOT,18998.0,41799.0
2017-01-01,TUS,AR,WLD,HOT,15018.0,29942.0
2017-02-01,TUS,AR,WLD,HOT,14890.0,28005.0
2017-03-01,TUS,AR,WLD,HOT,23568.0,45061.0
2017-04-01,TUS,AR,WLD,HOT,32861.0,60462.0
2017-05-01,TUS,AR,WLD,HOT,38267.0,69890.0
2017-06-01,TUS,AR,WLD,HOT,37143.0,69936.0
2017-07-01,TUS,AR,WLD,HOT,31925.0,62493.0
2017-08-01,TUS,AR,WLD,HOT,33821.0,69987.0
2017-09-01,TUS,AR,WLD,HOT,35876.0,73085.0
2017-10-01,TUS,AR,WLD,HOT,30865.0,62115.0
2017-11-01,TUS,AR,WLD,HOT,21422.0,37057.0
2017-12-01,TUS,AR,WLD,HOT,22845.0,39608.0
2018-01-01,TUS,AR,WLD,HOT,15831.0,30127.0
2018-02-01,TUS,AR,WLD,HOT,15262.0,26417.0
2018-03-01,TUS,AR,WLD,HOT,22831.0,41262.0
2018-04-01,TUS,AR,WLD,HOT,33750.0,58491.0
2018-05-01,TUS,AR,WLD,HOT,41935.0,75153.0
2018-06-01,TUS,AR,WLD,HOT,39736.0,69820.0
2018-07-01,TUS,AR,WLD,HOT,34824.0,65620.0
2018-08-01,TUS,AR,WLD,HOT,35551.0,70177.0
2018-09-01,TUS,AR,WLD,HOT,36447.0,68288.0
2018-10-01,TUS,AR,WLD,HOT,33150.0,61698.0
2018-11-01,TUS,AR,WLD,HOT,24089.0,40266.0
2018-12-01,TUS,AR,WLD,HOT,25526.0,41223.0
2019-01-01,TUS,AR,WLD,HOT,17150.0,30956.0
2019-02-01,TUS,AR,WLD,HOT,16234.0,28527.0
2019-03-01,TUS,AR,WLD,HOT,24084.0,43887.0
2019-04-01,TUS,AR,WLD,HOT,35841.0,63314.0
2019-05-01,TUS,AR,WLD,HOT,43622.0,73513.0
2019-06-01,TUS,AR,WLD,HOT,40285.0,72094.0
2019-07-01,TUS,AR,WLD,HOT,36177.0,66173.0
2019-08-01,TUS,AR,WLD,HOT,38191.0,71537.0
2019-09-01,TUS,AR,WLD,HOT,37642.0,66051.0
2019-10-01,TUS,AR,WLD,HOT,35268.0,60844.0
2019-11-01,TUS,AR,WLD,HOT,28491.0,45981.0
2019-12-01,TUS,AR,WLD,HOT,26659.0,42905.0
2020-01-01,TUS,AR,WLD,HOT,19753.0,33949.0
2020-02-01,TUS,AR,WLD,HOT,14851.0,26424.0
2020-03-01,TUS,AR,WLD,HOT,2474.0,6702.0
2020-04-01,TUS,AR,WLD,HOT,309.0,2591.0
2020-05-01,TUS,AR,WLD,HOT,1776.0,5386.0
2020-06-01,TUS,AR,WLD,HOT,9049.0,16383.0
2020-07-01,TUS,AR,WLD,HOT,19209.0,36960.0
2020-08-01,TUS,AR,WLD,HOT,32664.0,65670.0
2020-09-01,TUS,AR,WLD,HOT,21215.0,42191.0
2020-10-01,TUS,AR,WLD,HOT,15630.0,30262.0
2020-11-01,TUS,AR,WLD,HOT,5224.0,14997.0
2020-12-01,TUS,AR,WLD,HOT,4304.0,12253.0
2021-01-01,TUS,AR,WLD,HOT,5665.0,14153.0
2021-02-01,TUS,AR,WLD,HOT,6986.0,17120.0
2021-03-01,TUS,AR,WLD,HOT,6311.0,15903.0
2021-04-01,TUS,AR,WLD,HOT,8997.0,19886.0
2021-05-01,TUS,AR,WLD,HOT,12752.0,26081.0
2021-06-01,TUS,AR,WLD,HOT,16930.0,32853.0
2021-07-01,TUS,AR,WLD,HOT,26422.0,51465.0
2021-08-01,TUS,AR,WLD,HOT,40965.0,83874.0
2021-09-01,TUS,AR,WLD,HOT,27639.0,55563.0
2021-10-01,TUS,AR,WLD,HOT,27563.0,50774.0
2021-11-01,TUS,AR,WLD,HOT,20885.0,36589.0
2021-12-01,TUS,AR,WLD,HOT,24178.0,39635.0
