period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,EXTR,TOT,2242.0,8297.0
2009-02-01,TUS,AR,EXTR,TOT,2248.0,8438.0
2009-03-01,TUS,AR,EXTR,TOT,4429.0,14875.0
2009-04-01,TUS,AR,EXTR,TOT,9175.0,28939.0
2009-05-01,TUS,AR,EXTR,TOT,14840.0,53460.0
2009-06-01,TUS,AR,EXTR,TOT,15423.0,71463.0
2009-07-01,TUS,AR,EXTR,TOT,22643.0,131425.0
2009-08-01,TUS,AR,EXTR,TOT,21797.0,122047.0
2009-09-01,TUS,AR,EXTR,TOT,16263.0,66173.0
2009-10-01,TUS,AR,EXTR,TOT,9694.0,31270.0
2009-11-01,TUS,AR,EXTR,TOT,3134.0,10240.0
2009-12-01,TUS,AR,EXTR,TOT,2579.0,7131.0
2010-01-01,TUS,AR,EXTR,TOT,2032.0,6297.0
2010-02-01,TUS,AR,EXTR,TOT,2093.0,7052.0
2010-03-01,TUS,AR,EXTR,TOT,3573.0,11257.0
2010-04-01,TUS,AR,EXTR,TOT,7387.0,21359.0
2010-05-01,TUS,AR,EXTR,TOT,16981.0,59324.0
2010-06-01,TUS,AR,EXTR,TOT,16190.0,74106.0
2010-07-01,TUS,AR,EXTR,TOT,26858.0,132944.0
2010-08-01,TUS,AR,EXTR,TOT,20449.0,122327.0
2010-09-01,TUS,AR,EXTR,TOT,18638.0,73603.0
2010-10-01,TUS,AR,EXTR,TOT,10615.0,35932.0
2010-11-01,TUS,AR,EXTR,TOT,3756.0,11807.0
2010-12-01,TUS,AR,EXTR,TOT,3650.0,9075.0
2011-01-01,TUS,AR,EXTR,TOT,2048.0,6593.0
2011-02-01,TUS,AR,EXTR,TOT,2038.0,7206.0
2011-03-01,TUS,AR,EXTR,TOT,4247.0,11789.0
2011-04-01,TUS,AR,EXTR,TOT,10260.0,30559.0
2011-05-01,TUS,AR,EXTR,TOT,15662.0,51340.0
2011-06-01,TUS,AR,EXTR,TOT,18047.0,77300.0
2011-07-01,TUS,AR,EXTR,TOT,28465.0,143189.0
2011-08-01,TUS,AR,EXTR,TOT,21048.0,135277.0
2011-09-01,TUS,AR,EXTR,TOT,18854.0,72852.0
2011-10-01,TUS,AR,EXTR,TOT,10916.0,35961.0
2011-11-01,TUS,AR,EXTR,TOT,3836.0,12567.0
2011-12-01,TUS,AR,EXTR,TOT,3088.0,7475.0
2012-01-01,TUS,AR,EXTR,TOT,2283.0,6023.0
2012-02-01,TUS,AR,EXTR,TOT,2068.0,5587.0
2012-03-01,TUS,AR,EXTR,TOT,5867.0,15286.0
2012-04-01,TUS,AR,EXTR,TOT,10037.0,29518.0
2012-05-01,TUS,AR,EXTR,TOT,17700.0,58585.0
