period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,AR,IT,TOT,12044.0,29080.0
2009-02-01,TUS,AR,IT,TOT,13506.0,25465.0
2009-03-01,TUS,AR,IT,TOT,18153.0,34378.0
2009-04-01,TUS,AR,IT,TOT,23480.0,42608.0
2009-05-01,TUS,AR,IT,TOT,28358.0,51002.0
2009-06-01,TUS,AR,IT,TOT,19841.0,41889.0
2009-07-01,TUS,AR,IT,TOT,20238.0,51248.0
2009-08-01,TUS,AR,IT,TOT,25306.0,80467.0
2009-09-01,TUS,AR,IT,TOT,23350.0,48256.0
2009-10-01,TUS,AR,IT,TOT,20520.0,37902.0
2009-11-01,TUS,AR,IT,TOT,14743.0,28094.0
2009-12-01,TUS,AR,IT,TOT,17868.0,34380.0
2010-01-01,TUS,AR,IT,TOT,13126.0,29070.0
2010-02-01,TUS,AR,IT,TOT,11309.0,21335.0
2010-03-01,TUS,AR,IT,TOT,15623.0,29905.0
2010-04-01,TUS,AR,IT,TOT,24759.0,46942.0
2010-05-01,TUS,AR,IT,TOT,22895.0,43817.0
2010-06-01,TUS,AR,IT,TOT,19209.0,40487.0
2010-07-01,TUS,AR,IT,TOT,22012.0,56304.0
2010-08-01,TUS,AR,IT,TOT,23678.0,77754.0
2010-09-01,TUS,AR,IT,TOT,23471.0,46352.0
2010-10-01,TUS,AR,IT,TOT,23352.0,42210.0
2010-11-01,TUS,AR,IT,TOT,15919.0,29839.0
2010-12-01,TUS,AR,IT,TOT,17630.0,30116.0
2011-01-01,TUS,AR,IT,TOT,12465.0,26459.0
2011-02-01,TUS,AR,IT,TOT,12609.0,22518.0
2011-03-01,TUS,AR,IT,TOT,17750.0,32635.0
2011-04-01,TUS,AR,IT,TOT,25262.0,49306.0
2011-05-01,TUS,AR,IT,TOT,21000.0,39406.0
2011-06-01,TUS,AR,IT,TOT,20476.0,42040.0
2011-07-01,TUS,AR,IT,TOT,20508.0,50427.0
2011-08-01,TUS,AR,IT,TOT,22800.0,72476.0
2011-09-01,TUS,AR,IT,TOT,22477.0,45051.0
2011-10-01,TUS,AR,IT,TOT,22308.0,40432.0
2011-11-01,TUS,AR,IT,TOT,15094.0,32376.0
2011-12-01,TUS,AR,IT,TOT,16335.0,31768.0
2012-01-01,TUS,AR,IT,TOT,11717.0,24256.0
2012-02-01,TUS,AR,IT,TOT,9330.0,17905.0
2012-03-01,TUS,AR,IT,TOT,19056.0,33397.0
2012-04-01,TUS,AR,IT,TOT,24708.0,48417.0
2012-05-01,TUS,AR,IT,TOT,20851.0,38305.0
2012-06-01,TUS,AR,IT,TOT,22325.0,45906.0
2012-07-01,TUS,AR,IT,TOT,20913.0,55461.0
2012-08-01,TUS,AR,IT,TOT,24057.0,77445.0
2012-09-01,TUS,AR,IT,TOT,22927.0,50893.0
2012-10-01,TUS,AR,IT,TOT,20720.0,42594.0
2012-11-01,TUS,AR,IT,TOT,16303.0,34896.0
2012-12-01,TUS,AR,IT,TOT,12937.0,24679.0
2013-01-01,TUS,AR,IT,TOT,11222.0,23870.0
2013-02-01,TUS,AR,IT,TOT,10595.0,19916.0
2013-03-01,TUS,AR,IT,TOT,18999.0,35382.0
2013-04-01,TUS,AR,IT,TOT,21307.0,46606.0
2013-05-01,TUS,AR,IT,TOT,19741.0,42042.0
2013-06-01,TUS,AR,IT,TOT,20075.0,43773.0
2013-07-01,TUS,AR,IT,TOT,19571.0,57778.0
2013-08-01,TUS,AR,IT,TOT,25103.0,81731.0
2013-09-01,TUS,AR,IT,TOT,21522.0,53298.0
