period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,AR,WLD,TOT,17491.0,43307.0
2016-02-01,TUS,AR,WLD,TOT,17927.0,37464.0
2016-03-01,TUS,AR,WLD,TOT,27212.0,61672.0
2016-04-01,TUS,AR,WLD,TOT,37808.0,80866.0
2016-05-01,TUS,AR,WLD,TOT,49122.0,121665.0
2016-06-01,TUS,AR,WLD,TOT,48354.0,133513.0
2016-07-01,TUS,AR,WLD,TOT,57428.0,214318.0
2016-08-01,TUS,AR,WLD,TOT,60440.0,255383.0
2016-09-01,TUS,AR,WLD,TOT,46672.0,133827.0
2016-10-01,TUS,AR,WLD,TOT,39939.0,102291.0
2016-11-01,TUS,AR,WLD,TOT,20271.0,54429.0
2016-12-01,TUS,AR,WLD,TOT,24397.0,60211.0
2017-01-01,TUS,AR,WLD,TOT,18243.0,44216.0
2017-02-01,TUS,AR,WLD,TOT,17242.0,38195.0
2017-03-01,TUS,AR,WLD,TOT,28901.0,61566.0
2017-04-01,TUS,AR,WLD,TOT,47246.0,102935.0
2017-05-01,TUS,AR,WLD,TOT,51818.0,117111.0
2017-06-01,TUS,AR,WLD,TOT,60526.0,165186.0
2017-07-01,TUS,AR,WLD,TOT,64834.0,230696.0
2017-08-01,TUS,AR,WLD,TOT,67297.0,266870.0
2017-09-01,TUS,AR,WLD,TOT,57147.0,150746.0
2017-10-01,TUS,AR,WLD,TOT,41496.0,97152.0
2017-11-01,TUS,AR,WLD,TOT,26114.0,51523.0
2017-12-01,TUS,AR,WLD,TOT,29644.0,57512.0
2018-01-01,TUS,AR,WLD,TOT,19436.0,45497.0
2018-02-01,TUS,AR,WLD,TOT,18425.0,38586.0
2018-03-01,TUS,AR,WLD,TOT,30489.0,63993.0
2018-04-01,TUS,AR,WLD,TOT,49044.0,107231.0
2018-05-01,TUS,AR,WLD,TOT,61616.0,156350.0
2018-06-01,TUS,AR,WLD,TOT,65775.0,174559.0
2018-07-01,TUS,AR,WLD,TOT,69118.0,265248.0
2018-08-01,TUS,AR,WLD,TOT,70775.0,289578.0
2018-09-01,TUS,AR,WLD,TOT,58733.0,159257.0
2018-10-01,TUS,AR,WLD,TOT,46629.0,109305.0
2018-11-01,TUS,AR,WLD,TOT,31613.0,63358.0
2018-12-01,TUS,AR,WLD,TOT,35337.0,68288.0
2019-01-01,TUS,AR,WLD,TOT,20807.0,46520.0
2019-02-01,TUS,AR,WLD,TOT,19348.0,40523.0
2019-03-01,TUS,AR,WLD,TOT,31391.0,65371.0
2019-04-01,TUS,AR,WLD,TOT,54409.0,123181.0
2019-05-01,TUS,AR,WLD,TOT,61420.0,137547.0
2019-06-01,TUS,AR,WLD,TOT,67932.0,182973.0
2019-07-01,TUS,AR,WLD,TOT,69361.0,243012.0
2019-08-01,TUS,AR,WLD,TOT,76307.0,279082.0
2019-09-01,TUS,AR,WLD,TOT,60156.0,160885.0
2019-10-01,TUS,AR,WLD,TOT,49160.0,109506.0
2019-11-01,TUS,AR,WLD,TOT,37559.0,67764.0
2019-12-01,TUS,AR,WLD,TOT,37122.0,67559.0
2020-01-01,TUS,AR,WLD,TOT,24407.0,51577.0
2020-02-01,TUS,AR,WLD,TOT,19156.0,39643.0
2020-03-01,TUS,AR,WLD,TOT,3688.0,16902.0
2020-04-01,TUS,AR,WLD,TOT,545.0,10808.0
2020-05-01,TUS,AR,WLD,TOT,2565.0,14420.0
2020-06-01,TUS,AR,WLD,TOT,16024.0,40654.0
2020-07-01,TUS,AR,WLD,TOT,41895.0,141482.0
2020-08-01,TUS,AR,WLD,TOT,75052.0,268475.0
2020-09-01,TUS,AR,WLD,TOT,39178.0,112897.0
2020-10-01,TUS,AR,WLD,TOT,23724.0,58417.0
2020-11-01,TUS,AR,WLD,TOT,6512.0,23829.0
2020-12-01,TUS,AR,WLD,TOT,5182.0,19503.0
2021-01-01,TUS,AR,WLD,TOT,7100.0,23039.0
2021-02-01,TUS,AR,WLD,TOT,8526.0,26564.0
2021-03-01,TUS,AR,WLD,TOT,7521.0,25472.0
2021-04-01,TUS,AR,WLD,TOT,11255.0,31029.0
2021-05-01,TUS,AR,WLD,TOT,21373.0,54768.0
2021-06-01,TUS,AR,WLD,TOT,34284.0,92546.0
2021-07-01,TUS,AR,WLD,TOT,63231.0,220739.0
2021-08-01,TUS,AR,WLD,TOT,86779.0,328191.0
2021-09-01,TUS,AR,WLD,TOT,51341.0,158753.0
2021-10-01,TUS,AR,WLD,TOT,44999.0,103438.0
2021-11-01,TUS,AR,WLD,TOT,28664.0,56949.0
2021-12-01,TUS,AR,WLD,TOT,36774.0,66599.0
