period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,EXTR,EXTRHOT,10030.0,45891.0
2009-02-01,TUS,FI,EXTR,EXTRHOT,10370.0,44791.0
2009-03-01,TUS,FI,EXTR,EXTRHOT,15899.0,66391.0
2009-04-01,TUS,FI,EXTR,EXTRHOT,42296.0,180230.0
2009-05-01,TUS,FI,EXTR,EXTRHOT,56564.0,248980.0
2009-06-01,TUS,FI,EXTR,EXTRHOT,62520.0,299668.0
2009-07-01,TUS,FI,EXTR,EXTRHOT,98463.0,489376.0
2009-08-01,TUS,FI,EXTR,EXTRHOT,100249.0,490609.0
2009-09-01,TUS,FI,EXTR,EXTRHOT,69831.0,317250.0
2009-10-01,TUS,FI,EXTR,EXTRHOT,41245.0,179477.0
2009-11-01,TUS,FI,EXTR,EXTRHOT,14457.0,64129.0
2009-12-01,TUS,FI,EXTR,EXTRHOT,12478.0,49744.0
2010-01-01,TUS,FI,EXTR,EXTRHOT,11885.0,48118.0
2010-02-01,TUS,FI,EXTR,EXTRHOT,11631.0,50557.0
2010-03-01,TUS,FI,EXTR,EXTRHOT,23213.0,86035.0
2010-04-01,TUS,FI,EXTR,EXTRHOT,44191.0,168691.0
2010-05-01,TUS,FI,EXTR,EXTRHOT,71391.0,299324.0
2010-06-01,TUS,FI,EXTR,EXTRHOT,75202.0,321468.0
2010-07-01,TUS,FI,EXTR,EXTRHOT,116525.0,539127.0
2010-08-01,TUS,FI,EXTR,EXTRHOT,97927.0,510283.0
2010-09-01,TUS,FI,EXTR,EXTRHOT,76567.0,330515.0
2010-10-01,TUS,FI,EXTR,EXTRHOT,47632.0,192657.0
2010-11-01,TUS,FI,EXTR,EXTRHOT,15639.0,69880.0
2010-12-01,TUS,FI,EXTR,EXTRHOT,12604.0,51309.0
2011-01-01,TUS,FI,EXTR,EXTRHOT,13089.0,57170.0
2011-02-01,TUS,FI,EXTR,EXTRHOT,12190.0,54451.0
2011-03-01,TUS,FI,EXTR,EXTRHOT,21682.0,84931.0
2011-04-01,TUS,FI,EXTR,EXTRHOT,60898.0,219568.0
2011-05-01,TUS,FI,EXTR,EXTRHOT,65141.0,294647.0
2011-06-01,TUS,FI,EXTR,EXTRHOT,87416.0,394747.0
