period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,IT,EXTRHOT,14245.0,70662.0
2009-02-01,TUS,FI,IT,EXTRHOT,13070.0,58595.0
2009-03-01,TUS,FI,IT,EXTRHOT,13875.0,65447.0
2009-04-01,TUS,FI,IT,EXTRHOT,24764.0,90488.0
2009-05-01,TUS,FI,IT,EXTRHOT,28034.0,103473.0
2009-06-01,TUS,FI,IT,EXTRHOT,20867.0,91112.0
2009-07-01,TUS,FI,IT,EXTRHOT,16594.0,81179.0
2009-08-01,TUS,FI,IT,EXTRHOT,21336.0,106073.0
2009-09-01,TUS,FI,IT,EXTRHOT,19479.0,72159.0
2009-10-01,TUS,FI,IT,EXTRHOT,18325.0,72947.0
2009-11-01,TUS,FI,IT,EXTRHOT,14520.0,63716.0
2009-12-01,TUS,FI,IT,EXTRHOT,24335.0,81928.0
2010-01-01,TUS,FI,IT,EXTRHOT,14083.0,73305.0
2010-02-01,TUS,FI,IT,EXTRHOT,12890.0,58290.0
2010-03-01,TUS,FI,IT,EXTRHOT,16811.0,71424.0
2010-04-01,TUS,FI,IT,EXTRHOT,29374.0,95871.0
2010-05-01,TUS,FI,IT,EXTRHOT,23351.0,85394.0
2010-06-01,TUS,FI,IT,EXTRHOT,23779.0,93272.0
2010-07-01,TUS,FI,IT,EXTRHOT,18694.0,91344.0
2010-08-01,TUS,FI,IT,EXTRHOT,22517.0,109907.0
2010-09-01,TUS,FI,IT,EXTRHOT,20731.0,78512.0
2010-10-01,TUS,FI,IT,EXTRHOT,25353.0,90391.0
2010-11-01,TUS,FI,IT,EXTRHOT,16086.0,69922.0
2010-12-01,TUS,FI,IT,EXTRHOT,22555.0,81333.0
2011-01-01,TUS,FI,IT,EXTRHOT,16519.0,84398.0
2011-02-01,TUS,FI,IT,EXTRHOT,13252.0,62725.0
2011-03-01,TUS,FI,IT,EXTRHOT,19814.0,83187.0
2011-04-01,TUS,FI,IT,EXTRHOT,29868.0,102619.0
2011-05-01,TUS,FI,IT,EXTRHOT,24780.0,92230.0
2011-06-01,TUS,FI,IT,EXTRHOT,25480.0,101902.0
2011-07-01,TUS,FI,IT,EXTRHOT,21459.0,101399.0
2011-08-01,TUS,FI,IT,EXTRHOT,24168.0,124005.0
2011-09-01,TUS,FI,IT,EXTRHOT,26012.0,92797.0
2011-10-01,TUS,FI,IT,EXTRHOT,26148.0,89318.0
2011-11-01,TUS,FI,IT,EXTRHOT,16673.0,67251.0
2011-12-01,TUS,FI,IT,EXTRHOT,24653.0,84451.0
2012-01-01,TUS,FI,IT,EXTRHOT,17560.0,76287.0
2012-02-01,TUS,FI,IT,EXTRHOT,12319.0,60057.0
2012-03-01,TUS,FI,IT,EXTRHOT,24347.0,80526.0
2012-04-01,TUS,FI,IT,EXTRHOT,35598.0,112919.0
2012-05-01,TUS,FI,IT,EXTRHOT,23934.0,85925.0
2012-06-01,TUS,FI,IT,EXTRHOT,31828.0,104389.0
2012-07-01,TUS,FI,IT,EXTRHOT,21023.0,92248.0
2012-08-01,TUS,FI,IT,EXTRHOT,22942.0,107969.0
2012-09-01,TUS,FI,IT,EXTRHOT,26609.0,87049.0
2012-10-01,TUS,FI,IT,EXTRHOT,20957.0,73641.0
2012-11-01,TUS,FI,IT,EXTRHOT,22811.0,77840.0
2012-12-01,TUS,FI,IT,EXTRHOT,24127.0,81731.0
2013-01-01,TUS,FI,IT,EXTRHOT,16709.0,69553.0
2013-02-01,TUS,FI,IT,EXTRHOT,15911.0,61360.0
2013-03-01,TUS,FI,IT,EXTRHOT,29741.0,91345.0
2013-04-01,TUS,FI,IT,EXTRHOT,29922.0,94728.0
2013-05-01,TUS,FI,IT,EXTRHOT,26614.0,83482.0
2013-06-01,TUS,FI,IT,EXTRHOT,28582.0,94613.0
2013-07-01,TUS,FI,IT,EXTRHOT,22896.0,92383.0
2013-08-01,TUS,FI,IT,EXTRHOT,26434.0,109398.0
2013-09-01,TUS,FI,IT,EXTRHOT,26962.0,86798.0
2013-10-01,TUS,FI,IT,EXTRHOT,26143.0,80459.0
2013-11-01,TUS,FI,IT,EXTRHOT,25917.0,84222.0
2013-12-01,TUS,FI,IT,EXTRHOT,24324.0,82378.0
2014-01-01,TUS,FI,IT,EXTRHOT,18217.0,75423.0
2014-02-01,TUS,FI,IT,EXTRHOT,16465.0,62865.0
2014-03-01,TUS,FI,IT,EXTRHOT,27063.0,86690.0
2014-04-01,TUS,FI,IT,EXTRHOT,38470.0,112383.0
2014-05-01,TUS,FI,IT,EXTRHOT,34339.0,102492.0
2014-06-01,TUS,FI,IT,EXTRHOT,26012.0,94470.0
