period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,FI,WLD,EXTRHOT,49158.0,185941.0
2016-02-01,TUS,FI,WLD,EXTRHOT,49502.0,168965.0
2016-03-01,TUS,FI,WLD,EXTRHOT,77974.0,253013.0
2016-04-01,TUS,FI,WLD,EXTRHOT,99717.0,332815.0
2016-05-01,TUS,FI,WLD,EXTRHOT,130455.0,494250.0
2016-06-01,TUS,FI,WLD,EXTRHOT,143144.0,540059.0
2016-07-01,TUS,FI,WLD,EXTRHOT,188276.0,801274.0
2016-08-01,TUS,FI,WLD,EXTRHOT,172169.0,829606.0
2016-09-01,TUS,FI,WLD,EXTRHOT,145096.0,549967.0
2016-10-01,TUS,FI,WLD,EXTRHOT,115611.0,401630.0
2016-11-01,TUS,FI,WLD,EXTRHOT,56182.0,209771.0
2016-12-01,TUS,FI,WLD,EXTRHOT,62140.0,210067.0
2017-01-01,TUS,FI,WLD,EXTRHOT,54021.0,204143.0
2017-02-01,TUS,FI,WLD,EXTRHOT,47697.0,177399.0
2017-03-01,TUS,FI,WLD,EXTRHOT,72006.0,239504.0
2017-04-01,TUS,FI,WLD,EXTRHOT,139153.0,432509.0
2017-05-01,TUS,FI,WLD,EXTRHOT,129969.0,448845.0
2017-06-01,TUS,FI,WLD,EXTRHOT,172246.0,610596.0
2017-07-01,TUS,FI,WLD,EXTRHOT,191348.0,801855.0
2017-08-01,TUS,FI,WLD,EXTRHOT,175585.0,810048.0
2017-09-01,TUS,FI,WLD,EXTRHOT,154330.0,565342.0
2017-10-01,TUS,FI,WLD,EXTRHOT,115420.0,416731.0
2017-11-01,TUS,FI,WLD,EXTRHOT,64011.0,246990.0
2017-12-01,TUS,FI,WLD,EXTRHOT,67114.0,227087.0
2018-01-01,TUS,FI,WLD,EXTRHOT,54962.0,227557.0
2018-02-01,TUS,FI,WLD,EXTRHOT,55326.0,213389.0
2018-03-01,TUS,FI,WLD,EXTRHOT,89240.0,304304.0
2018-04-01,TUS,FI,WLD,EXTRHOT,126835.0,408418.0
2018-05-01,TUS,FI,WLD,EXTRHOT,151089.0,563094.0
2018-06-01,TUS,FI,WLD,EXTRHOT,174558.0,617184.0
2018-07-01,TUS,FI,WLD,EXTRHOT,185416.0,826633.0
2018-08-01,TUS,FI,WLD,EXTRHOT,174220.0,830702.0
2018-09-01,TUS,FI,WLD,EXTRHOT,155254.0,581137.0
2018-10-01,TUS,FI,WLD,EXTRHOT,120426.0,438161.0
2018-11-01,TUS,FI,WLD,EXTRHOT,72671.0,266830.0
2018-12-01,TUS,FI,WLD,EXTRHOT,70146.0,249081.0
2019-01-01,TUS,FI,WLD,EXTRHOT,57591.0,231197.0
2019-02-01,TUS,FI,WLD,EXTRHOT,57356.0,215584.0
2019-03-01,TUS,FI,WLD,EXTRHOT,88931.0,307802.0
2019-04-01,TUS,FI,WLD,EXTRHOT,153808.0,497613.0
2019-05-01,TUS,FI,WLD,EXTRHOT,148671.0,516478.0
2019-06-01,TUS,FI,WLD,EXTRHOT,187591.0,662641.0
2019-07-01,TUS,FI,WLD,EXTRHOT,184105.0,811458.0
2019-08-01,TUS,FI,WLD,EXTRHOT,179520.0,807408.0
2019-09-01,TUS,FI,WLD,EXTRHOT,162634.0,598793.0
2019-10-01,TUS,FI,WLD,EXTRHOT,136335.0,481829.0
2019-11-01,TUS,FI,WLD,EXTRHOT,76535.0,286203.0
2019-12-01,TUS,FI,WLD,EXTRHOT,70923.0,262876.0
2020-01-01,TUS,FI,WLD,EXTRHOT,58065.0,223290.0
2020-02-01,TUS,FI,WLD,EXTRHOT,40647.0,134330.0
2020-03-01,TUS,FI,WLD,EXTRHOT,5189.0,29912.0
2020-04-01,TUS,FI,WLD,EXTRHOT,561.0,11725.0
2020-05-01,TUS,FI,WLD,EXTRHOT,1825.0,16426.0
2020-06-01,TUS,FI,WLD,EXTRHOT,20901.0,55586.0
2020-07-01,TUS,FI,WLD,EXTRHOT,61591.0,215393.0
2020-08-01,TUS,FI,WLD,EXTRHOT,115730.0,423138.0
2020-09-01,TUS,FI,WLD,EXTRHOT,72001.0,220037.0
2020-10-01,TUS,FI,WLD,EXTRHOT,39176.0,113104.0
2020-11-01,TUS,FI,WLD,EXTRHOT,5270.0,38257.0
2020-12-01,TUS,FI,WLD,EXTRHOT,3912.0,29696.0
2021-01-01,TUS,FI,WLD,EXTRHOT,5280.0,32487.0
2021-02-01,TUS,FI,WLD,EXTRHOT,6592.0,34435.0
2021-03-01,TUS,FI,WLD,EXTRHOT,6697.0,38407.0
2021-04-01,TUS,FI,WLD,EXTRHOT,8003.0,39047.0
2021-05-01,TUS,FI,WLD,EXTRHOT,36276.0,99592.0
2021-06-01,TUS,FI,WLD,EXTRHOT,64967.0,186622.0
2021-07-01,TUS,FI,WLD,EXTRHOT,127923.0,439405.0
2021-08-01,TUS,FI,WLD,EXTRHOT,163191.0,614941.0
2021-09-01,TUS,FI,WLD,EXTRHOT,113385.0,349614.0
2021-10-01,TUS,FI,WLD,EXTRHOT,97089.0,259340.0
2021-11-01,TUS,FI,WLD,EXTRHOT,52709.0,145564.0
2021-12-01,TUS,FI,WLD,EXTRHOT,49639.0,134957.0
