period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,EXTR,HOT,87210.0,218373.0
2009-02-01,TUS,FI,EXTR,HOT,90888.0,222373.0
2009-03-01,TUS,FI,EXTR,HOT,126885.0,305410.0
2009-04-01,TUS,FI,EXTR,HOT,166146.0,409868.0
2009-05-01,TUS,FI,EXTR,HOT,168395.0,413164.0
2009-06-01,TUS,FI,EXTR,HOT,156740.0,373761.0
2009-07-01,TUS,FI,EXTR,HOT,229311.0,539372.0
2009-08-01,TUS,FI,EXTR,HOT,217460.0,539593.0
2009-09-01,TUS,FI,EXTR,HOT,229780.0,548081.0
2009-10-01,TUS,FI,EXTR,HOT,203117.0,497402.0
2009-11-01,TUS,FI,EXTR,HOT,112284.0,280442.0
2009-12-01,TUS,FI,EXTR,HOT,98100.0,237703.0
2010-01-01,TUS,FI,EXTR,HOT,91177.0,227637.0
2010-02-01,TUS,FI,EXTR,HOT,104323.0,245294.0
2010-03-01,TUS,FI,EXTR,HOT,158867.0,378919.0
2010-04-01,TUS,FI,EXTR,HOT,184192.0,454777.0
2010-05-01,TUS,FI,EXTR,HOT,236516.0,556113.0
2010-06-01,TUS,FI,EXTR,HOT,239722.0,545421.0
2010-07-01,TUS,FI,EXTR,HOT,292524.0,669111.0
2010-08-01,TUS,FI,EXTR,HOT,259363.0,601811.0
2010-09-01,TUS,FI,EXTR,HOT,274766.0,639198.0
2010-10-01,TUS,FI,EXTR,HOT,233255.0,572757.0
2010-11-01,TUS,FI,EXTR,HOT,132105.0,335005.0
2010-12-01,TUS,FI,EXTR,HOT,102957.0,254740.0
2011-01-01,TUS,FI,EXTR,HOT,94971.0,262872.0
2011-02-01,TUS,FI,EXTR,HOT,102105.0,254291.0
2011-03-01,TUS,FI,EXTR,HOT,159859.0,398707.0
2011-04-01,TUS,FI,EXTR,HOT,233660.0,572112.0
2011-05-01,TUS,FI,EXTR,HOT,250472.0,601554.0
2011-06-01,TUS,FI,EXTR,HOT,265813.0,626114.0
2011-07-01,TUS,FI,EXTR,HOT,322487.0,757803.0
2011-08-01,TUS,FI,EXTR,HOT,279424.0,664926.0
2011-09-01,TUS,FI,EXTR,HOT,276230.0,651460.0
2011-10-01,TUS,FI,EXTR,HOT,242356.0,592479.0
2011-11-01,TUS,FI,EXTR,HOT,130662.0,319514.0
2011-12-01,TUS,FI,EXTR,HOT,107649.0,269291.0
2012-01-01,TUS,FI,EXTR,HOT,110620.0,277218.0
2012-02-01,TUS,FI,EXTR,HOT,103869.0,252314.0
2012-03-01,TUS,FI,EXTR,HOT,167299.0,407947.0
2012-04-01,TUS,FI,EXTR,HOT,223374.0,545130.0
