period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,IT,HOT,80760.0,180147.0
2009-02-01,TUS,FI,IT,HOT,85765.0,166592.0
2009-03-01,TUS,FI,IT,HOT,99923.0,201092.0
2009-04-01,TUS,FI,IT,HOT,101484.0,212816.0
2009-05-01,TUS,FI,IT,HOT,94591.0,194597.0
2009-06-01,TUS,FI,IT,HOT,77026.0,169648.0
2009-07-01,TUS,FI,IT,HOT,65803.0,167898.0
2009-08-01,TUS,FI,IT,HOT,53945.0,152976.0
2009-09-01,TUS,FI,IT,HOT,80060.0,171781.0
2009-10-01,TUS,FI,IT,HOT,89524.0,183000.0
2009-11-01,TUS,FI,IT,HOT,87868.0,173572.0
2009-12-01,TUS,FI,IT,HOT,106559.0,205335.0
2010-01-01,TUS,FI,IT,HOT,84070.0,187358.0
2010-02-01,TUS,FI,IT,HOT,85116.0,164780.0
2010-03-01,TUS,FI,IT,HOT,110542.0,222287.0
2010-04-01,TUS,FI,IT,HOT,111990.0,225095.0
2010-05-01,TUS,FI,IT,HOT,90675.0,179876.0
2010-06-01,TUS,FI,IT,HOT,82779.0,165790.0
2010-07-01,TUS,FI,IT,HOT,64703.0,138581.0
2010-08-01,TUS,FI,IT,HOT,52831.0,132282.0
2010-09-01,TUS,FI,IT,HOT,78847.0,155604.0
2010-10-01,TUS,FI,IT,HOT,105804.0,202929.0
2010-11-01,TUS,FI,IT,HOT,94998.0,188900.0
2010-12-01,TUS,FI,IT,HOT,98523.0,196130.0
2011-01-01,TUS,FI,IT,HOT,91842.0,205142.0
2011-02-01,TUS,FI,IT,HOT,89363.0,169818.0
2011-03-01,TUS,FI,IT,HOT,107707.0,222840.0
2011-04-01,TUS,FI,IT,HOT,106636.0,229302.0
2011-05-01,TUS,FI,IT,HOT,93389.0,199285.0
2011-06-01,TUS,FI,IT,HOT,83394.0,183155.0
2011-07-01,TUS,FI,IT,HOT,66967.0,157964.0
2011-08-01,TUS,FI,IT,HOT,54378.0,145171.0
2011-09-01,TUS,FI,IT,HOT,81008.0,162945.0
2011-10-01,TUS,FI,IT,HOT,100647.0,206176.0
2011-11-01,TUS,FI,IT,HOT,91903.0,177758.0
2011-12-01,TUS,FI,IT,HOT,99171.0,192952.0
2012-01-01,TUS,FI,IT,HOT,88262.0,192946.0
2012-02-01,TUS,FI,IT,HOT,74201.0,150598.0
2012-03-01,TUS,FI,IT,HOT,120081.0,239376.0
2012-04-01,TUS,FI,IT,HOT,106457.0,229084.0
2012-05-01,TUS,FI,IT,HOT,83797.0,169598.0
2012-06-01,TUS,FI,IT,HOT,92342.0,188660.0
2012-07-01,TUS,FI,IT,HOT,65742.0,149435.0
2012-08-01,TUS,FI,IT,HOT,51560.0,138517.0
2012-09-01,TUS,FI,IT,HOT,79615.0,161179.0
2012-10-01,TUS,FI,IT,HOT,80801.0,165444.0
2012-11-01,TUS,FI,IT,HOT,102728.0,206570.0
2012-12-01,TUS,FI,IT,HOT,93575.0,187375.0
2013-01-01,TUS,FI,IT,HOT,79339.0,166261.0
2013-02-01,TUS,FI,IT,HOT,77468.0,150111.0
2013-03-01,TUS,FI,IT,HOT,110292.0,215684.0
2013-04-01,TUS,FI,IT,HOT,107459.0,219402.0
2013-05-01,TUS,FI,IT,HOT,88620.0,183849.0
2013-06-01,TUS,FI,IT,HOT,80928.0,173187.0
2013-07-01,TUS,FI,IT,HOT,64261.0,151044.0
