period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,FI,WLD,HOT,198464.0,523505.0
2016-02-01,TUS,FI,WLD,HOT,218330.0,528983.0
2016-03-01,TUS,FI,WLD,HOT,299338.0,727095.0
2016-04-01,TUS,FI,WLD,HOT,310726.0,761415.0
2016-05-01,TUS,FI,WLD,HOT,347684.0,854835.0
2016-06-01,TUS,FI,WLD,HOT,346187.0,833590.0
2016-07-01,TUS,FI,WLD,HOT,387506.0,928412.0
2016-08-01,TUS,FI,WLD,HOT,353784.0,895715.0
2016-09-01,TUS,FI,WLD,HOT,349095.0,865134.0
2016-10-01,TUS,FI,WLD,HOT,340729.0,845226.0
2016-11-01,TUS,FI,WLD,HOT,250904.0,616181.0
2016-12-01,TUS,FI,WLD,HOT,231156.0,581972.0
2017-01-01,TUS,FI,WLD,HOT,222417.0,576552.0
2017-02-01,TUS,FI,WLD,HOT,221214.0,537536.0
2017-03-01,TUS,FI,WLD,HOT,302219.0,737614.0
2017-04-01,TUS,FI,WLD,HOT,360590.0,883742.0
2017-05-01,TUS,FI,WLD,HOT,358063.0,877375.0
2017-06-01,TUS,FI,WLD,HOT,375461.0,912617.0
2017-07-01,TUS,FI,WLD,HOT,395481.0,968569.0
2017-08-01,TUS,FI,WLD,HOT,369019.0,953581.0
2017-09-01,TUS,FI,WLD,HOT,367312.0,912566.0
2017-10-01,TUS,FI,WLD,HOT,343714.0,875219.0
2017-11-01,TUS,FI,WLD,HOT,268990.0,678390.0
2017-12-01,TUS,FI,WLD,HOT,241423.0,621656.0
2018-01-01,TUS,FI,WLD,HOT,224248.0,603536.0
2018-02-01,TUS,FI,WLD,HOT,241008.0,587168.0
2018-03-01,TUS,FI,WLD,HOT,308784.0,769402.0
2018-04-01,TUS,FI,WLD,HOT,340316.0,853358.0
2018-05-01,TUS,FI,WLD,HOT,368631.0,915187.0
2018-06-01,TUS,FI,WLD,HOT,373295.0,911371.0
2018-07-01,TUS,FI,WLD,HOT,386703.0,984691.0
2018-08-01,TUS,FI,WLD,HOT,363569.0,956861.0
2018-09-01,TUS,FI,WLD,HOT,359934.0,927974.0
2018-10-01,TUS,FI,WLD,HOT,348760.0,908028.0
2018-11-01,TUS,FI,WLD,HOT,268849.0,705209.0
2018-12-01,TUS,FI,WLD,HOT,230877.0,632050.0
2019-01-01,TUS,FI,WLD,HOT,208111.0,621601.0
2019-02-01,TUS,FI,WLD,HOT,232494.0,602706.0
2019-03-01,TUS,FI,WLD,HOT,308787.0,800776.0
2019-04-01,TUS,FI,WLD,HOT,355851.0,911919.0
2019-05-01,TUS,FI,WLD,HOT,364502.0,921525.0
2019-06-01,TUS,FI,WLD,HOT,380059.0,953934.0
2019-07-01,TUS,FI,WLD,HOT,385947.0,983161.0
2019-08-01,TUS,FI,WLD,HOT,358378.0,955884.0
2019-09-01,TUS,FI,WLD,HOT,357727.0,928799.0
2019-10-01,TUS,FI,WLD,HOT,351955.0,913047.0
2019-11-01,TUS,FI,WLD,HOT,272751.0,722792.0
2019-12-01,TUS,FI,WLD,HOT,236777.0,655440.0
2020-01-01,TUS,FI,WLD,HOT,195072.0,524365.0
2020-02-01,TUS,FI,WLD,HOT,135520.0,334273.0
2020-03-01,TUS,FI,WLD,HOT,15592.0,32183.0
2020-04-01,TUS,FI,WLD,HOT,1416.0,6935.0
2020-05-01,TUS,FI,WLD,HOT,5153.0,14680.0
2020-06-01,TUS,FI,WLD,HOT,29280.0,52346.0
2020-07-01,TUS,FI,WLD,HOT,67453.0,127267.0
2020-08-01,TUS,FI,WLD,HOT,118080.0,245220.0
2020-09-01,TUS,FI,WLD,HOT,105489.0,210607.0
2020-10-01,TUS,FI,WLD,HOT,80813.0,157734.0
2020-11-01,TUS,FI,WLD,HOT,19535.0,46611.0
2020-12-01,TUS,FI,WLD,HOT,14572.0,32233.0
2021-01-01,TUS,FI,WLD,HOT,21894.0,43993.0
2021-02-01,TUS,FI,WLD,HOT,26103.0,53962.0
2021-03-01,TUS,FI,WLD,HOT,27329.0,58351.0
2021-04-01,TUS,FI,WLD,HOT,23561.0,49774.0
2021-05-01,TUS,FI,WLD,HOT,69715.0,131550.0
2021-06-01,TUS,FI,WLD,HOT,101519.0,216810.0
2021-07-01,TUS,FI,WLD,HOT,171094.0,358744.0
2021-08-01,TUS,FI,WLD,HOT,227015.0,516297.0
2021-09-01,TUS,FI,WLD,HOT,196972.0,419436.0
2021-10-01,TUS,FI,WLD,HOT,213638.0,445501.0
2021-11-01,TUS,FI,WLD,HOT,159779.0,325490.0
2021-12-01,TUS,FI,WLD,HOT,142811.0,289821.0
