period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,EXTR,TOT,97240.0,264264.0
2009-02-01,TUS,FI,EXTR,TOT,101258.0,267164.0
2009-03-01,TUS,FI,EXTR,TOT,142784.0,371801.0
2009-04-01,TUS,FI,EXTR,TOT,208442.0,590098.0
2009-05-01,TUS,FI,EXTR,TOT,224959.0,662144.0
2009-06-01,TUS,FI,EXTR,TOT,219260.0,673429.0
2009-07-01,TUS,FI,EXTR,TOT,327774.0,1028748.0
2009-08-01,TUS,FI,EXTR,TOT,317709.0,1030202.0
2009-09-01,TUS,FI,EXTR,TOT,299611.0,865331.0
2009-10-01,TUS,FI,EXTR,TOT,244362.0,676879.0
2009-11-01,TUS,FI,EXTR,TOT,126741.0,344571.0
2009-12-01,TUS,FI,EXTR,TOT,110578.0,287447.0
2010-01-01,TUS,FI,EXTR,TOT,103062.0,275755.0
2010-02-01,TUS,FI,EXTR,TOT,115954.0,295851.0
2010-03-01,TUS,FI,EXTR,TOT,182080.0,464954.0
2010-04-01,TUS,FI,EXTR,TOT,228383.0,623468.0
2010-05-01,TUS,FI,EXTR,TOT,307907.0,855437.0
2010-06-01,TUS,FI,EXTR,TOT,314924.0,866889.0
2010-07-01,TUS,FI,EXTR,TOT,409049.0,1208238.0
2010-08-01,TUS,FI,EXTR,TOT,357290.0,1112094.0
2010-09-01,TUS,FI,EXTR,TOT,351333.0,969713.0
2010-10-01,TUS,FI,EXTR,TOT,280887.0,765414.0
2010-11-01,TUS,FI,EXTR,TOT,147744.0,404885.0
2010-12-01,TUS,FI,EXTR,TOT,115561.0,306049.0
2011-01-01,TUS,FI,EXTR,TOT,108060.0,320042.0
2011-02-01,TUS,FI,EXTR,TOT,114295.0,308742.0
2011-03-01,TUS,FI,EXTR,TOT,181541.0,483638.0
2011-04-01,TUS,FI,EXTR,TOT,294558.0,791680.0
2011-05-01,TUS,FI,EXTR,TOT,315613.0,896201.0
2011-06-01,TUS,FI,EXTR,TOT,353229.0,1020861.0
2011-07-01,TUS,FI,EXTR,TOT,449710.0,1340383.0
2011-08-01,TUS,FI,EXTR,TOT,384658.0,1229336.0
2011-09-01,TUS,FI,EXTR,TOT,355934.0,1009412.0
2011-10-01,TUS,FI,EXTR,TOT,292965.0,810897.0
2011-11-01,TUS,FI,EXTR,TOT,146609.0,392962.0
