period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,FI,IT,TOT,95005.0,250809.0
2009-02-01,TUS,FI,IT,TOT,98835.0,225187.0
2009-03-01,TUS,FI,IT,TOT,113798.0,266539.0
2009-04-01,TUS,FI,IT,TOT,126248.0,303304.0
2009-05-01,TUS,FI,IT,TOT,122625.0,298070.0
2009-06-01,TUS,FI,IT,TOT,97893.0,260760.0
2009-07-01,TUS,FI,IT,TOT,82397.0,249077.0
2009-08-01,TUS,FI,IT,TOT,75281.0,259049.0
2009-09-01,TUS,FI,IT,TOT,99539.0,243940.0
2009-10-01,TUS,FI,IT,TOT,107849.0,255947.0
2009-11-01,TUS,FI,IT,TOT,102388.0,237288.0
2009-12-01,TUS,FI,IT,TOT,130894.0,287263.0
2010-01-01,TUS,FI,IT,TOT,98153.0,260663.0
2010-02-01,TUS,FI,IT,TOT,98006.0,223070.0
2010-03-01,TUS,FI,IT,TOT,127353.0,293711.0
2010-04-01,TUS,FI,IT,TOT,141364.0,320966.0
2010-05-01,TUS,FI,IT,TOT,114026.0,265270.0
2010-06-01,TUS,FI,IT,TOT,106558.0,259062.0
2010-07-01,TUS,FI,IT,TOT,83397.0,229925.0
2010-08-01,TUS,FI,IT,TOT,75348.0,242189.0
2010-09-01,TUS,FI,IT,TOT,99578.0,234116.0
2010-10-01,TUS,FI,IT,TOT,131157.0,293320.0
2010-11-01,TUS,FI,IT,TOT,111084.0,258822.0
2010-12-01,TUS,FI,IT,TOT,121078.0,277463.0
2011-01-01,TUS,FI,IT,TOT,108361.0,289540.0
2011-02-01,TUS,FI,IT,TOT,102615.0,232543.0
2011-03-01,TUS,FI,IT,TOT,127521.0,306027.0
2011-04-01,TUS,FI,IT,TOT,136504.0,331921.0
2011-05-01,TUS,FI,IT,TOT,118169.0,291515.0
2011-06-01,TUS,FI,IT,TOT,108874.0,285057.0
2011-07-01,TUS,FI,IT,TOT,88426.0,259363.0
2011-08-01,TUS,FI,IT,TOT,78546.0,269176.0
2011-09-01,TUS,FI,IT,TOT,107020.0,255742.0
2011-10-01,TUS,FI,IT,TOT,126795.0,295494.0
2011-11-01,TUS,FI,IT,TOT,108576.0,245009.0
2011-12-01,TUS,FI,IT,TOT,123824.0,277403.0
2012-01-01,TUS,FI,IT,TOT,105822.0,269233.0
2012-02-01,TUS,FI,IT,TOT,86520.0,210655.0
2012-03-01,TUS,FI,IT,TOT,144428.0,319902.0
2012-04-01,TUS,FI,IT,TOT,142055.0,342003.0
2012-05-01,TUS,FI,IT,TOT,107731.0,255523.0
2012-06-01,TUS,FI,IT,TOT,124170.0,293049.0
2012-07-01,TUS,FI,IT,TOT,86765.0,241683.0
2012-08-01,TUS,FI,IT,TOT,74502.0,246486.0
2012-09-01,TUS,FI,IT,TOT,106224.0,248228.0
2012-10-01,TUS,FI,IT,TOT,101758.0,239085.0
2012-11-01,TUS,FI,IT,TOT,125539.0,284410.0
2012-12-01,TUS,FI,IT,TOT,117702.0,269106.0
2013-01-01,TUS,FI,IT,TOT,96048.0,235814.0
2013-02-01,TUS,FI,IT,TOT,93379.0,211471.0
2013-03-01,TUS,FI,IT,TOT,140033.0,307029.0
2013-04-01,TUS,FI,IT,TOT,137381.0,314130.0
2013-05-01,TUS,FI,IT,TOT,115234.0,267331.0
2013-06-01,TUS,FI,IT,TOT,109510.0,267800.0
2013-07-01,TUS,FI,IT,TOT,87157.0,243427.0
2013-08-01,TUS,FI,IT,TOT,81791.0,257177.0
2013-09-01,TUS,FI,IT,TOT,98364.0,244746.0
2013-10-01,TUS,FI,IT,TOT,111388.0,257145.0
2013-11-01,TUS,FI,IT,TOT,124583.0,285019.0
2013-12-01,TUS,FI,IT,TOT,113307.0,261457.0
2014-01-01,TUS,FI,IT,TOT,102110.0,254351.0
2014-02-01,TUS,FI,IT,TOT,96245.0,221201.0
2014-03-01,TUS,FI,IT,TOT,144246.0,324218.0
2014-04-01,TUS,FI,IT,TOT,148654.0,346966.0
2014-05-01,TUS,FI,IT,TOT,134665.0,310399.0
2014-06-01,TUS,FI,IT,TOT,103829.0,267161.0
2014-07-01,TUS,FI,IT,TOT,88675.0,253328.0
2014-08-01,TUS,FI,IT,TOT,88648.0,275878.0
2014-09-01,TUS,FI,IT,TOT,102726.0,256648.0
2014-10-01,TUS,FI,IT,TOT,118209.0,281699.0
2014-11-01,TUS,FI,IT,TOT,121664.0,282720.0
