period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,FI,WLD,TOT,247622.0,709446.0
2016-02-01,TUS,FI,WLD,TOT,267832.0,697948.0
2016-03-01,TUS,FI,WLD,TOT,377312.0,980108.0
2016-04-01,TUS,FI,WLD,TOT,410443.0,1094230.0
2016-05-01,TUS,FI,WLD,TOT,478139.0,1349085.0
2016-06-01,TUS,FI,WLD,TOT,489331.0,1373649.0
2016-07-01,TUS,FI,WLD,TOT,575782.0,1729686.0
2016-08-01,TUS,FI,WLD,TOT,525953.0,1725321.0
2016-09-01,TUS,FI,WLD,TOT,494191.0,1415101.0
2016-10-01,TUS,FI,WLD,TOT,456340.0,1246856.0
2016-11-01,TUS,FI,WLD,TOT,307086.0,825952.0
2016-12-01,TUS,FI,WLD,TOT,293296.0,792039.0
2017-01-01,TUS,FI,WLD,TOT,276438.0,780695.0
2017-02-01,TUS,FI,WLD,TOT,268911.0,714935.0
2017-03-01,TUS,FI,WLD,TOT,374225.0,977118.0
2017-04-01,TUS,FI,WLD,TOT,499743.0,1316251.0
2017-05-01,TUS,FI,WLD,TOT,488032.0,1326220.0
2017-06-01,TUS,FI,WLD,TOT,547707.0,1523213.0
2017-07-01,TUS,FI,WLD,TOT,586829.0,1770424.0
2017-08-01,TUS,FI,WLD,TOT,544604.0,1763629.0
2017-09-01,TUS,FI,WLD,TOT,521642.0,1477908.0
2017-10-01,TUS,FI,WLD,TOT,459134.0,1291950.0
2017-11-01,TUS,FI,WLD,TOT,333001.0,925380.0
2017-12-01,TUS,FI,WLD,TOT,308537.0,848743.0
2018-01-01,TUS,FI,WLD,TOT,279210.0,831093.0
2018-02-01,TUS,FI,WLD,TOT,296334.0,800557.0
2018-03-01,TUS,FI,WLD,TOT,398024.0,1073706.0
2018-04-01,TUS,FI,WLD,TOT,467151.0,1261776.0
2018-05-01,TUS,FI,WLD,TOT,519720.0,1478281.0
2018-06-01,TUS,FI,WLD,TOT,547853.0,1528555.0
2018-07-01,TUS,FI,WLD,TOT,572119.0,1811324.0
2018-08-01,TUS,FI,WLD,TOT,537789.0,1787563.0
2018-09-01,TUS,FI,WLD,TOT,515188.0,1509111.0
2018-10-01,TUS,FI,WLD,TOT,469186.0,1346189.0
2018-11-01,TUS,FI,WLD,TOT,341520.0,972039.0
2018-12-01,TUS,FI,WLD,TOT,301023.0,881131.0
2019-01-01,TUS,FI,WLD,TOT,265702.0,852798.0
2019-02-01,TUS,FI,WLD,TOT,289850.0,818290.0
2019-03-01,TUS,FI,WLD,TOT,397718.0,1108578.0
2019-04-01,TUS,FI,WLD,TOT,509659.0,1409532.0
2019-05-01,TUS,FI,WLD,TOT,513173.0,1438003.0
2019-06-01,TUS,FI,WLD,TOT,567650.0,1616575.0
2019-07-01,TUS,FI,WLD,TOT,570052.0,1794619.0
2019-08-01,TUS,FI,WLD,TOT,537898.0,1763292.0
2019-09-01,TUS,FI,WLD,TOT,520361.0,1527592.0
2019-10-01,TUS,FI,WLD,TOT,488290.0,1394876.0
2019-11-01,TUS,FI,WLD,TOT,349286.0,1008995.0
2019-12-01,TUS,FI,WLD,TOT,307700.0,918316.0
2020-01-01,TUS,FI,WLD,TOT,253137.0,747655.0
2020-02-01,TUS,FI,WLD,TOT,176167.0,468603.0
2020-03-01,TUS,FI,WLD,TOT,20781.0,62095.0
2020-04-01,TUS,FI,WLD,TOT,1977.0,18660.0
2020-05-01,TUS,FI,WLD,TOT,6978.0,31106.0
2020-06-01,TUS,FI,WLD,TOT,50181.0,107932.0
2020-07-01,TUS,FI,WLD,TOT,129044.0,342660.0
2020-08-01,TUS,FI,WLD,TOT,233810.0,668358.0
2020-09-01,TUS,FI,WLD,TOT,177490.0,430644.0
2020-10-01,TUS,FI,WLD,TOT,119989.0,270838.0
2020-11-01,TUS,FI,WLD,TOT,24805.0,84868.0
2020-12-01,TUS,FI,WLD,TOT,18484.0,61929.0
2021-01-01,TUS,FI,WLD,TOT,27174.0,76480.0
2021-02-01,TUS,FI,WLD,TOT,32695.0,88397.0
2021-03-01,TUS,FI,WLD,TOT,34026.0,96758.0
2021-04-01,TUS,FI,WLD,TOT,31564.0,88821.0
2021-05-01,TUS,FI,WLD,TOT,105991.0,231142.0
2021-06-01,TUS,FI,WLD,TOT,166486.0,403432.0
2021-07-01,TUS,FI,WLD,TOT,299017.0,798149.0
2021-08-01,TUS,FI,WLD,TOT,390206.0,1131238.0
2021-09-01,TUS,FI,WLD,TOT,310357.0,769050.0
2021-10-01,TUS,FI,WLD,TOT,310727.0,704841.0
2021-11-01,TUS,FI,WLD,TOT,212488.0,471054.0
2021-12-01,TUS,FI,WLD,TOT,192450.0,424778.0
