period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,EXTR,EXTRHOT,217.0,12207.0
2009-02-01,TUS,GR,EXTR,EXTRHOT,356.0,11536.0
2009-03-01,TUS,GR,EXTR,EXTRHOT,777.0,11743.0
2009-04-01,TUS,GR,EXTR,EXTRHOT,6961.0,45513.0
2009-05-01,TUS,GR,EXTR,EXTRHOT,14266.0,83314.0
2009-06-01,TUS,GR,EXTR,EXTRHOT,17256.0,143913.0
2009-07-01,TUS,GR,EXTR,EXTRHOT,31167.0,288704.0
2009-08-01,TUS,GR,EXTR,EXTRHOT,26543.0,221335.0
2009-09-01,TUS,GR,EXTR,EXTRHOT,17788.0,163357.0
2009-10-01,TUS,GR,EXTR,EXTRHOT,6714.0,59275.0
2009-11-01,TUS,GR,EXTR,EXTRHOT,384.0,5915.0
2009-12-01,TUS,GR,EXTR,EXTRHOT,323.0,4937.0
2010-01-01,TUS,GR,EXTR,EXTRHOT,151.0,3297.0
2010-02-01,TUS,GR,EXTR,EXTRHOT,219.0,3169.0
2010-03-01,TUS,GR,EXTR,EXTRHOT,1286.0,7556.0
2010-04-01,TUS,GR,EXTR,EXTRHOT,4447.0,21928.0
2010-05-01,TUS,GR,EXTR,EXTRHOT,17591.0,104889.0
2010-06-01,TUS,GR,EXTR,EXTRHOT,15486.0,122427.0
2010-07-01,TUS,GR,EXTR,EXTRHOT,33192.0,275813.0
2010-08-01,TUS,GR,EXTR,EXTRHOT,24682.0,218202.0
2010-09-01,TUS,GR,EXTR,EXTRHOT,18578.0,161949.0
2010-10-01,TUS,GR,EXTR,EXTRHOT,7599.0,72723.0
2010-11-01,TUS,GR,EXTR,EXTRHOT,477.0,5317.0
2010-12-01,TUS,GR,EXTR,EXTRHOT,268.0,2779.0
2011-01-01,TUS,GR,EXTR,EXTRHOT,258.0,3169.0
2011-02-01,TUS,GR,EXTR,EXTRHOT,428.0,3535.0
2011-03-01,TUS,GR,EXTR,EXTRHOT,793.0,5141.0
