period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,IT,EXTRHOT,3964.0,29415.0
2009-02-01,TUS,GR,IT,EXTRHOT,4362.0,22288.0
2009-03-01,TUS,GR,IT,EXTRHOT,6233.0,22903.0
2009-04-01,TUS,GR,IT,EXTRHOT,29978.0,80984.0
2009-05-01,TUS,GR,IT,EXTRHOT,60725.0,178244.0
2009-06-01,TUS,GR,IT,EXTRHOT,75587.0,432282.0
2009-07-01,TUS,GR,IT,EXTRHOT,103860.0,820071.0
2009-08-01,TUS,GR,IT,EXTRHOT,142613.0,1188442.0
2009-09-01,TUS,GR,IT,EXTRHOT,31742.0,223147.0
2009-10-01,TUS,GR,IT,EXTRHOT,10265.0,43897.0
2009-11-01,TUS,GR,IT,EXTRHOT,4349.0,21219.0
2009-12-01,TUS,GR,IT,EXTRHOT,10487.0,29699.0
2010-01-01,TUS,GR,IT,EXTRHOT,3372.0,23994.0
2010-02-01,TUS,GR,IT,EXTRHOT,3656.0,16484.0
2010-03-01,TUS,GR,IT,EXTRHOT,6512.0,23446.0
2010-04-01,TUS,GR,IT,EXTRHOT,26907.0,79633.0
2010-05-01,TUS,GR,IT,EXTRHOT,32767.0,123762.0
2010-06-01,TUS,GR,IT,EXTRHOT,75500.0,408997.0
2010-07-01,TUS,GR,IT,EXTRHOT,115712.0,828242.0
2010-08-01,TUS,GR,IT,EXTRHOT,133220.0,1169806.0
2010-09-01,TUS,GR,IT,EXTRHOT,31110.0,239405.0
2010-10-01,TUS,GR,IT,EXTRHOT,10831.0,57629.0
2010-11-01,TUS,GR,IT,EXTRHOT,3709.0,17594.0
2010-12-01,TUS,GR,IT,EXTRHOT,7963.0,22602.0
2011-01-01,TUS,GR,IT,EXTRHOT,4417.0,23825.0
2011-02-01,TUS,GR,IT,EXTRHOT,3808.0,15533.0
2011-03-01,TUS,GR,IT,EXTRHOT,6761.0,23113.0
2011-04-01,TUS,GR,IT,EXTRHOT,26959.0,73135.0
2011-05-01,TUS,GR,IT,EXTRHOT,31735.0,110518.0
2011-06-01,TUS,GR,IT,EXTRHOT,89181.0,430630.0
2011-07-01,TUS,GR,IT,EXTRHOT,118061.0,796512.0
2011-08-01,TUS,GR,IT,EXTRHOT,136344.0,1137421.0
2011-09-01,TUS,GR,IT,EXTRHOT,37840.0,223489.0
2011-10-01,TUS,GR,IT,EXTRHOT,10568.0,31233.0
2011-11-01,TUS,GR,IT,EXTRHOT,3621.0,14135.0
2011-12-01,TUS,GR,IT,EXTRHOT,7867.0,21435.0
2012-01-01,TUS,GR,IT,EXTRHOT,3758.0,16879.0
2012-02-01,TUS,GR,IT,EXTRHOT,2174.0,8914.0
2012-03-01,TUS,GR,IT,EXTRHOT,7537.0,18484.0
2012-04-01,TUS,GR,IT,EXTRHOT,32809.0,87912.0
2012-05-01,TUS,GR,IT,EXTRHOT,21869.0,90787.0
2012-06-01,TUS,GR,IT,EXTRHOT,83170.0,357850.0
2012-07-01,TUS,GR,IT,EXTRHOT,102131.0,748850.0
2012-08-01,TUS,GR,IT,EXTRHOT,132685.0,1084052.0
2012-09-01,TUS,GR,IT,EXTRHOT,31927.0,194105.0
2012-10-01,TUS,GR,IT,EXTRHOT,7387.0,30388.0
2012-11-01,TUS,GR,IT,EXTRHOT,4650.0,17062.0
2012-12-01,TUS,GR,IT,EXTRHOT,6017.0,18226.0
2013-01-01,TUS,GR,IT,EXTRHOT,2688.0,14940.0
2013-02-01,TUS,GR,IT,EXTRHOT,2520.0,12259.0
2013-03-01,TUS,GR,IT,EXTRHOT,10565.0,27973.0
2013-04-01,TUS,GR,IT,EXTRHOT,21712.0,61583.0
2013-05-01,TUS,GR,IT,EXTRHOT,23445.0,81274.0
2013-06-01,TUS,GR,IT,EXTRHOT,82917.0,377641.0
2013-07-01,TUS,GR,IT,EXTRHOT,103237.0,750240.0
2013-08-01,TUS,GR,IT,EXTRHOT,149058.0,1105194.0
2013-09-01,TUS,GR,IT,EXTRHOT,36179.0,223479.0
2013-10-01,TUS,GR,IT,EXTRHOT,7948.0,35399.0
2013-11-01,TUS,GR,IT,EXTRHOT,5900.0,23922.0
2013-12-01,TUS,GR,IT,EXTRHOT,6052.0,21623.0
2014-01-01,TUS,GR,IT,EXTRHOT,3180.0,18287.0
2014-02-01,TUS,GR,IT,EXTRHOT,3084.0,15393.0
2014-03-01,TUS,GR,IT,EXTRHOT,6480.0,21614.0
2014-04-01,TUS,GR,IT,EXTRHOT,30985.0,90042.0
2014-05-01,TUS,GR,IT,EXTRHOT,42147.0,135748.0
2014-06-01,TUS,GR,IT,EXTRHOT,78115.0,391928.0
2014-07-01,TUS,GR,IT,EXTRHOT,102391.0,740656.0
2014-08-01,TUS,GR,IT,EXTRHOT,154231.0,1137142.0
2014-09-01,TUS,GR,IT,EXTRHOT,37131.0,238083.0
2014-10-01,TUS,GR,IT,EXTRHOT,7929.0,25307.0
2014-11-01,TUS,GR,IT,EXTRHOT,3301.0,11767.0
2014-12-01,TUS,GR,IT,EXTRHOT,6565.0,17519.0
2015-01-01,TUS,GR,IT,EXTRHOT,3510.0,17201.0
2015-02-01,TUS,GR,IT,EXTRHOT,3482.0,12781.0
2015-03-01,TUS,GR,IT,EXTRHOT,5963.0,16847.0
2015-04-01,TUS,GR,IT,EXTRHOT,27665.0,64424.0
2015-05-01,TUS,GR,IT,EXTRHOT,52924.0,151034.0
2015-06-01,TUS,GR,IT,EXTRHOT,81637.0,420653.0
2015-07-01,TUS,GR,IT,EXTRHOT,111320.0,791716.0
2015-08-01,TUS,GR,IT,EXTRHOT,153501.0,1182046.0
2015-09-01,TUS,GR,IT,EXTRHOT,36825.0,261352.0
2015-10-01,TUS,GR,IT,EXTRHOT,7785.0,54991.0
2015-11-01,TUS,GR,IT,EXTRHOT,4629.0,17888.0
2015-12-01,TUS,GR,IT,EXTRHOT,8660.0,23254.0
2016-01-01,TUS,GR,IT,EXTRHOT,4149.0,19003.0
2016-02-01,TUS,GR,IT,EXTRHOT,3335.0,11830.0
2016-03-01,TUS,GR,IT,EXTRHOT,13374.0,39032.0
2016-04-01,TUS,GR,IT,EXTRHOT,24165.0,79119.0
2016-05-01,TUS,GR,IT,EXTRHOT,26790.0,125908.0
2016-06-01,TUS,GR,IT,EXTRHOT,89357.0,430098.0
2016-07-01,TUS,GR,IT,EXTRHOT,125376.0,797216.0
2016-08-01,TUS,GR,IT,EXTRHOT,131640.0,1093789.0
2016-09-01,TUS,GR,IT,EXTRHOT,44735.0,275073.0
2016-10-01,TUS,GR,IT,EXTRHOT,10856.0,38355.0
2016-11-01,TUS,GR,IT,EXTRHOT,4164.0,14772.0
2016-12-01,TUS,GR,IT,EXTRHOT,8321.0,22712.0
2017-01-01,TUS,GR,IT,EXTRHOT,3685.0,17554.0
2017-02-01,TUS,GR,IT,EXTRHOT,4046.0,13740.0
2017-03-01,TUS,GR,IT,EXTRHOT,6789.0,19913.0
2017-04-01,TUS,GR,IT,EXTRHOT,44460.0,111406.0
2017-05-01,TUS,GR,IT,EXTRHOT,29105.0,98082.0
2017-06-01,TUS,GR,IT,EXTRHOT,106907.0,445033.0
2017-07-01,TUS,GR,IT,EXTRHOT,125658.0,784415.0
2017-08-01,TUS,GR,IT,EXTRHOT,142580.0,1110937.0
2017-09-01,TUS,GR,IT,EXTRHOT,42909.0,244028.0
2017-10-01,TUS,GR,IT,EXTRHOT,11351.0,34674.0
2017-11-01,TUS,GR,IT,EXTRHOT,5640.0,20244.0
2017-12-01,TUS,GR,IT,EXTRHOT,8896.0,26329.0
2018-01-01,TUS,GR,IT,EXTRHOT,4413.0,23271.0
2018-02-01,TUS,GR,IT,EXTRHOT,4209.0,20248.0
2018-03-01,TUS,GR,IT,EXTRHOT,11949.0,32672.0
2018-04-01,TUS,GR,IT,EXTRHOT,41142.0,111906.0
2018-05-01,TUS,GR,IT,EXTRHOT,28534.0,95819.0
2018-06-01,TUS,GR,IT,EXTRHOT,109605.0,447114.0
2018-07-01,TUS,GR,IT,EXTRHOT,114818.0,764891.0
2018-08-01,TUS,GR,IT,EXTRHOT,144501.0,1105342.0
2018-09-01,TUS,GR,IT,EXTRHOT,53677.0,275868.0
2018-10-01,TUS,GR,IT,EXTRHOT,10584.0,37929.0
2018-11-01,TUS,GR,IT,EXTRHOT,6237.0,26400.0
2018-12-01,TUS,GR,IT,EXTRHOT,8683.0,30795.0
2019-01-01,TUS,GR,IT,EXTRHOT,3881.0,23614.0
2019-02-01,TUS,GR,IT,EXTRHOT,4581.0,20527.0
2019-03-01,TUS,GR,IT,EXTRHOT,10791.0,32914.0
2019-04-01,TUS,GR,IT,EXTRHOT,40453.0,123335.0
2019-05-01,TUS,GR,IT,EXTRHOT,26571.0,110232.0
2019-06-01,TUS,GR,IT,EXTRHOT,103089.0,459646.0
2019-07-01,TUS,GR,IT,EXTRHOT,110337.0,794072.0
2019-08-01,TUS,GR,IT,EXTRHOT,155525.0,1159155.0
2019-09-01,TUS,GR,IT,EXTRHOT,50844.0,314344.0
2019-10-01,TUS,GR,IT,EXTRHOT,10816.0,53929.0
2019-11-01,TUS,GR,IT,EXTRHOT,6206.0,28937.0
2019-12-01,TUS,GR,IT,EXTRHOT,7968.0,31091.0
2020-01-01,TUS,GR,IT,EXTRHOT,3832.0,24309.0
2020-02-01,TUS,GR,IT,EXTRHOT,4982.0,21769.0
2020-03-01,TUS,GR,IT,EXTRHOT,847.0,8380.0
2020-04-01,TUS,GR,IT,EXTRHOT,138.0,5238.0
2020-05-01,TUS,GR,IT,EXTRHOT,7992.0,21060.0
2020-06-01,TUS,GR,IT,EXTRHOT,71099.0,282849.0
2020-07-01,TUS,GR,IT,EXTRHOT,133677.0,795072.0
2020-08-01,TUS,GR,IT,EXTRHOT,167287.0,1138141.0
2020-09-01,TUS,GR,IT,EXTRHOT,63027.0,365247.0
2020-10-01,TUS,GR,IT,EXTRHOT,9031.0,59705.0
2020-11-01,TUS,GR,IT,EXTRHOT,1362.0,12035.0
2020-12-01,TUS,GR,IT,EXTRHOT,863.0,12041.0
2021-01-01,TUS,GR,IT,EXTRHOT,1416.0,12085.0
2021-02-01,TUS,GR,IT,EXTRHOT,1824.0,11891.0
2021-03-01,TUS,GR,IT,EXTRHOT,1745.0,13726.0
2021-04-01,TUS,GR,IT,EXTRHOT,3230.0,16835.0
2021-05-01,TUS,GR,IT,EXTRHOT,36320.0,104641.0
2021-06-01,TUS,GR,IT,EXTRHOT,101040.0,446944.0
2021-07-01,TUS,GR,IT,EXTRHOT,136222.0,858474.0
2021-08-01,TUS,GR,IT,EXTRHOT,154592.0,1186521.0
2021-09-01,TUS,GR,IT,EXTRHOT,59463.0,352379.0
2021-10-01,TUS,GR,IT,EXTRHOT,17003.0,65866.0
2021-11-01,TUS,GR,IT,EXTRHOT,4731.0,17736.0
2021-12-01,TUS,GR,IT,EXTRHOT,6344.0,19358.0
