period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,GR,WLD,EXTRHOT,4463.0,22187.0
2016-02-01,TUS,GR,WLD,EXTRHOT,3733.0,14806.0
2016-03-01,TUS,GR,WLD,EXTRHOT,16364.0,54605.0
2016-04-01,TUS,GR,WLD,EXTRHOT,30942.0,109937.0
2016-05-01,TUS,GR,WLD,EXTRHOT,46386.0,251650.0
2016-06-01,TUS,GR,WLD,EXTRHOT,108919.0,559152.0
2016-07-01,TUS,GR,WLD,EXTRHOT,164719.0,1078644.0
2016-08-01,TUS,GR,WLD,EXTRHOT,160981.0,1353345.0
2016-09-01,TUS,GR,WLD,EXTRHOT,68294.0,451312.0
2016-10-01,TUS,GR,WLD,EXTRHOT,21656.0,112834.0
2016-11-01,TUS,GR,WLD,EXTRHOT,4800.0,17976.0
2016-12-01,TUS,GR,WLD,EXTRHOT,8846.0,25071.0
2017-01-01,TUS,GR,WLD,EXTRHOT,4007.0,20241.0
2017-02-01,TUS,GR,WLD,EXTRHOT,4527.0,16615.0
2017-03-01,TUS,GR,WLD,EXTRHOT,7840.0,25217.0
2017-04-01,TUS,GR,WLD,EXTRHOT,55761.0,169072.0
2017-05-01,TUS,GR,WLD,EXTRHOT,42470.0,170595.0
2017-06-01,TUS,GR,WLD,EXTRHOT,134260.0,631817.0
2017-07-01,TUS,GR,WLD,EXTRHOT,166997.0,1077387.0
2017-08-01,TUS,GR,WLD,EXTRHOT,172963.0,1365265.0
2017-09-01,TUS,GR,WLD,EXTRHOT,70973.0,430994.0
2017-10-01,TUS,GR,WLD,EXTRHOT,21590.0,113540.0
2017-11-01,TUS,GR,WLD,EXTRHOT,6409.0,24162.0
2017-12-01,TUS,GR,WLD,EXTRHOT,9461.0,28887.0
2018-01-01,TUS,GR,WLD,EXTRHOT,4875.0,27023.0
2018-02-01,TUS,GR,WLD,EXTRHOT,4862.0,23924.0
2018-03-01,TUS,GR,WLD,EXTRHOT,15660.0,48719.0
2018-04-01,TUS,GR,WLD,EXTRHOT,50596.0,157557.0
2018-05-01,TUS,GR,WLD,EXTRHOT,52425.0,243441.0
2018-06-01,TUS,GR,WLD,EXTRHOT,131521.0,579087.0
2018-07-01,TUS,GR,WLD,EXTRHOT,155238.0,1064121.0
2018-08-01,TUS,GR,WLD,EXTRHOT,173624.0,1346882.0
2018-09-01,TUS,GR,WLD,EXTRHOT,80881.0,446535.0
2018-10-01,TUS,GR,WLD,EXTRHOT,20736.0,115913.0
2018-11-01,TUS,GR,WLD,EXTRHOT,7284.0,30623.0
2018-12-01,TUS,GR,WLD,EXTRHOT,9367.0,33621.0
2019-01-01,TUS,GR,WLD,EXTRHOT,4393.0,26054.0
2019-02-01,TUS,GR,WLD,EXTRHOT,5579.0,24146.0
2019-03-01,TUS,GR,WLD,EXTRHOT,12500.0,39999.0
2019-04-01,TUS,GR,WLD,EXTRHOT,52191.0,178140.0
2019-05-01,TUS,GR,WLD,EXTRHOT,40321.0,179467.0
2019-06-01,TUS,GR,WLD,EXTRHOT,132457.0,645052.0
2019-07-01,TUS,GR,WLD,EXTRHOT,147341.0,1069321.0
2019-08-01,TUS,GR,WLD,EXTRHOT,185777.0,1381413.0
2019-09-01,TUS,GR,WLD,EXTRHOT,80374.0,501709.0
2019-10-01,TUS,GR,WLD,EXTRHOT,21172.0,157078.0
2019-11-01,TUS,GR,WLD,EXTRHOT,7200.0,35656.0
2019-12-01,TUS,GR,WLD,EXTRHOT,8912.0,35366.0
2020-01-01,TUS,GR,WLD,EXTRHOT,4293.0,27337.0
2020-02-01,TUS,GR,WLD,EXTRHOT,5714.0,25209.0
2020-03-01,TUS,GR,WLD,EXTRHOT,964.0,10068.0
2020-04-01,TUS,GR,WLD,EXTRHOT,149.0,6100.0
2020-05-01,TUS,GR,WLD,EXTRHOT,8114.0,22068.0
2020-06-01,TUS,GR,WLD,EXTRHOT,74893.0,301006.0
2020-07-01,TUS,GR,WLD,EXTRHOT,148839.0,897406.0
2020-08-01,TUS,GR,WLD,EXTRHOT,187162.0,1261817.0
2020-09-01,TUS,GR,WLD,EXTRHOT,90462.0,533486.0
2020-10-01,TUS,GR,WLD,EXTRHOT,18890.0,130888.0
2020-11-01,TUS,GR,WLD,EXTRHOT,1505.0,13292.0
2020-12-01,TUS,GR,WLD,EXTRHOT,927.0,12802.0
2021-01-01,TUS,GR,WLD,EXTRHOT,1513.0,13089.0
2021-02-01,TUS,GR,WLD,EXTRHOT,2038.0,13457.0
2021-03-01,TUS,GR,WLD,EXTRHOT,1993.0,15731.0
2021-04-01,TUS,GR,WLD,EXTRHOT,3516.0,19263.0
2021-05-01,TUS,GR,WLD,EXTRHOT,46339.0,157518.0
2021-06-01,TUS,GR,WLD,EXTRHOT,113927.0,531759.0
2021-07-01,TUS,GR,WLD,EXTRHOT,168940.0,1073260.0
2021-08-01,TUS,GR,WLD,EXTRHOT,187661.0,1425120.0
2021-09-01,TUS,GR,WLD,EXTRHOT,92593.0,584995.0
2021-10-01,TUS,GR,WLD,EXTRHOT,33618.0,184003.0
2021-11-01,TUS,GR,WLD,EXTRHOT,5618.0,22218.0
2021-12-01,TUS,GR,WLD,EXTRHOT,6889.0,22301.0
