period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,EXTR,HOT,894.0,7021.0
2009-02-01,TUS,GR,EXTR,HOT,1635.0,9540.0
2009-03-01,TUS,GR,EXTR,HOT,2900.0,14224.0
2009-04-01,TUS,GR,EXTR,HOT,5627.0,22497.0
2009-05-01,TUS,GR,EXTR,HOT,10308.0,39957.0
2009-06-01,TUS,GR,EXTR,HOT,12079.0,59936.0
2009-07-01,TUS,GR,EXTR,HOT,15601.0,92486.0
2009-08-01,TUS,GR,EXTR,HOT,12666.0,69006.0
2009-09-01,TUS,GR,EXTR,HOT,13595.0,69745.0
2009-10-01,TUS,GR,EXTR,HOT,7041.0,28445.0
2009-11-01,TUS,GR,EXTR,HOT,2240.0,8892.0
2009-12-01,TUS,GR,EXTR,HOT,1106.0,4966.0
2010-01-01,TUS,GR,EXTR,HOT,881.0,4107.0
2010-02-01,TUS,GR,EXTR,HOT,1358.0,6582.0
2010-03-01,TUS,GR,EXTR,HOT,2228.0,9039.0
2010-04-01,TUS,GR,EXTR,HOT,6588.0,28844.0
2010-05-01,TUS,GR,EXTR,HOT,10673.0,41695.0
2010-06-01,TUS,GR,EXTR,HOT,11251.0,53808.0
2010-07-01,TUS,GR,EXTR,HOT,16966.0,89881.0
2010-08-01,TUS,GR,EXTR,HOT,13116.0,78885.0
2010-09-01,TUS,GR,EXTR,HOT,14082.0,71429.0
2010-10-01,TUS,GR,EXTR,HOT,7252.0,29337.0
2010-11-01,TUS,GR,EXTR,HOT,1748.0,10713.0
2010-12-01,TUS,GR,EXTR,HOT,1054.0,6634.0
2011-01-01,TUS,GR,EXTR,HOT,1040.0,6483.0
2011-02-01,TUS,GR,EXTR,HOT,1289.0,8927.0
2011-03-01,TUS,GR,EXTR,HOT,2591.0,14744.0
2011-04-01,TUS,GR,EXTR,HOT,6482.0,24472.0
2011-05-01,TUS,GR,EXTR,HOT,10337.0,39858.0
2011-06-01,TUS,GR,EXTR,HOT,12326.0,59185.0
2011-07-01,TUS,GR,EXTR,HOT,16020.0,80397.0
2011-08-01,TUS,GR,EXTR,HOT,11813.0,67732.0
2011-09-01,TUS,GR,EXTR,HOT,14273.0,66399.0
2011-10-01,TUS,GR,EXTR,HOT,7329.0,31863.0
2011-11-01,TUS,GR,EXTR,HOT,1439.0,7192.0
2011-12-01,TUS,GR,EXTR,HOT,817.0,4323.0
2012-01-01,TUS,GR,EXTR,HOT,1864.0,5354.0
2012-02-01,TUS,GR,EXTR,HOT,1284.0,5882.0
2012-03-01,TUS,GR,EXTR,HOT,2884.0,11933.0
2012-04-01,TUS,GR,EXTR,HOT,5776.0,20899.0
2012-05-01,TUS,GR,EXTR,HOT,10462.0,40120.0
2012-06-01,TUS,GR,EXTR,HOT,12553.0,57516.0
2012-07-01,TUS,GR,EXTR,HOT,17698.0,92116.0
2012-08-01,TUS,GR,EXTR,HOT,12256.0,67421.0
2012-09-01,TUS,GR,EXTR,HOT,15794.0,73815.0
2012-10-01,TUS,GR,EXTR,HOT,6805.0,32485.0
2012-11-01,TUS,GR,EXTR,HOT,1814.0,8844.0
2012-12-01,TUS,GR,EXTR,HOT,1255.0,5486.0
2013-01-01,TUS,GR,EXTR,HOT,1245.0,9477.0
2013-02-01,TUS,GR,EXTR,HOT,1209.0,8634.0
2013-03-01,TUS,GR,EXTR,HOT,3463.0,15390.0
2013-04-01,TUS,GR,EXTR,HOT,5235.0,21675.0
2013-05-01,TUS,GR,EXTR,HOT,13041.0,58354.0
2013-06-01,TUS,GR,EXTR,HOT,14250.0,70649.0
2013-07-01,TUS,GR,EXTR,HOT,19130.0,113408.0
2013-08-01,TUS,GR,EXTR,HOT,14498.0,92018.0
2013-09-01,TUS,GR,EXTR,HOT,17198.0,89326.0
2013-10-01,TUS,GR,EXTR,HOT,7683.0,43135.0
2013-11-01,TUS,GR,EXTR,HOT,1558.0,9648.0
2013-12-01,TUS,GR,EXTR,HOT,1178.0,8375.0
2014-01-01,TUS,GR,EXTR,HOT,968.0,7930.0
2014-02-01,TUS,GR,EXTR,HOT,1007.0,7638.0
2014-03-01,TUS,GR,EXTR,HOT,2084.0,13848.0
2014-04-01,TUS,GR,EXTR,HOT,6068.0,24745.0
2014-05-01,TUS,GR,EXTR,HOT,11466.0,44588.0
2014-06-01,TUS,GR,EXTR,HOT,14419.0,72081.0
2014-07-01,TUS,GR,EXTR,HOT,18440.0,105091.0
2014-08-01,TUS,GR,EXTR,HOT,15705.0,86166.0
2014-09-01,TUS,GR,EXTR,HOT,16956.0,85737.0
2014-10-01,TUS,GR,EXTR,HOT,7402.0,30561.0
2014-11-01,TUS,GR,EXTR,HOT,1448.0,7856.0
2014-12-01,TUS,GR,EXTR,HOT,1131.0,5156.0
2015-01-01,TUS,GR,EXTR,HOT,879.0,3442.0
2015-02-01,TUS,GR,EXTR,HOT,1507.0,4741.0
2015-03-01,TUS,GR,EXTR,HOT,2529.0,9513.0
2015-04-01,TUS,GR,EXTR,HOT,6178.0,21042.0
2015-05-01,TUS,GR,EXTR,HOT,14027.0,47881.0
2015-06-01,TUS,GR,EXTR,HOT,14060.0,63830.0
2015-07-01,TUS,GR,EXTR,HOT,19974.0,106509.0
2015-08-01,TUS,GR,EXTR,HOT,16376.0,88464.0
2015-09-01,TUS,GR,EXTR,HOT,17668.0,84435.0
2015-10-01,TUS,GR,EXTR,HOT,7835.0,32242.0
2015-11-01,TUS,GR,EXTR,HOT,1744.0,6955.0
2015-12-01,TUS,GR,EXTR,HOT,1247.0,3789.0
2016-01-01,TUS,GR,EXTR,HOT,810.0,3242.0
2016-02-01,TUS,GR,EXTR,HOT,1593.0,5138.0
2016-03-01,TUS,GR,EXTR,HOT,2973.0,10680.0
2016-04-01,TUS,GR,EXTR,HOT,6523.0,22734.0
2016-05-01,TUS,GR,EXTR,HOT,13713.0,53305.0
2016-06-01,TUS,GR,EXTR,HOT,14990.0,66232.0
2016-07-01,TUS,GR,EXTR,HOT,21713.0,106238.0
2016-08-01,TUS,GR,EXTR,HOT,15291.0,84380.0
2016-09-01,TUS,GR,EXTR,HOT,18429.0,79534.0
2016-10-01,TUS,GR,EXTR,HOT,8510.0,35528.0
2016-11-01,TUS,GR,EXTR,HOT,1684.0,6133.0
2016-12-01,TUS,GR,EXTR,HOT,1094.0,2974.0
2017-01-01,TUS,GR,EXTR,HOT,609.0,2710.0
2017-02-01,TUS,GR,EXTR,HOT,812.0,2676.0
2017-03-01,TUS,GR,EXTR,HOT,1801.0,6563.0
2017-04-01,TUS,GR,EXTR,HOT,6363.0,21009.0
2017-05-01,TUS,GR,EXTR,HOT,12794.0,41723.0
2017-06-01,TUS,GR,EXTR,HOT,16588.0,67628.0
2017-07-01,TUS,GR,EXTR,HOT,22036.0,105980.0
2017-08-01,TUS,GR,EXTR,HOT,14950.0,81667.0
2017-09-01,TUS,GR,EXTR,HOT,19599.0,77465.0
2017-10-01,TUS,GR,EXTR,HOT,9208.0,36305.0
2017-11-01,TUS,GR,EXTR,HOT,1647.0,6403.0
2017-12-01,TUS,GR,EXTR,HOT,1233.0,4107.0
2018-01-01,TUS,GR,EXTR,HOT,911.0,3000.0
2018-02-01,TUS,GR,EXTR,HOT,1828.0,5327.0
2018-03-01,TUS,GR,EXTR,HOT,3117.0,10187.0
2018-04-01,TUS,GR,EXTR,HOT,7205.0,22943.0
2018-05-01,TUS,GR,EXTR,HOT,14341.0,52440.0
2018-06-01,TUS,GR,EXTR,HOT,16034.0,64529.0
2018-07-01,TUS,GR,EXTR,HOT,21977.0,110029.0
2018-08-01,TUS,GR,EXTR,HOT,14836.0,79226.0
2018-09-01,TUS,GR,EXTR,HOT,18359.0,72327.0
2018-10-01,TUS,GR,EXTR,HOT,8189.0,32827.0
2018-11-01,TUS,GR,EXTR,HOT,1557.0,5996.0
2018-12-01,TUS,GR,EXTR,HOT,1400.0,4461.0
2019-01-01,TUS,GR,EXTR,HOT,1038.0,5236.0
2019-02-01,TUS,GR,EXTR,HOT,1569.0,6733.0
2019-03-01,TUS,GR,EXTR,HOT,2623.0,8961.0
2019-04-01,TUS,GR,EXTR,HOT,7902.0,26007.0
2019-05-01,TUS,GR,EXTR,HOT,13005.0,42117.0
2019-06-01,TUS,GR,EXTR,HOT,16494.0,64375.0
2019-07-01,TUS,GR,EXTR,HOT,20400.0,95982.0
2019-08-01,TUS,GR,EXTR,HOT,14835.0,72872.0
2019-09-01,TUS,GR,EXTR,HOT,19240.0,73511.0
2019-10-01,TUS,GR,EXTR,HOT,9416.0,33445.0
2019-11-01,TUS,GR,EXTR,HOT,1895.0,6309.0
2019-12-01,TUS,GR,EXTR,HOT,1565.0,5337.0
2020-01-01,TUS,GR,EXTR,HOT,1253.0,4696.0
2020-02-01,TUS,GR,EXTR,HOT,1371.0,5415.0
2020-03-01,TUS,GR,EXTR,HOT,172.0,1442.0
2020-04-01,TUS,GR,EXTR,HOT,30.0,1379.0
2020-05-01,TUS,GR,EXTR,HOT,119.0,1671.0
2020-06-01,TUS,GR,EXTR,HOT,2096.0,7390.0
2020-07-01,TUS,GR,EXTR,HOT,7570.0,34356.0
2020-08-01,TUS,GR,EXTR,HOT,6364.0,30521.0
2020-09-01,TUS,GR,EXTR,HOT,9924.0,42485.0
2020-10-01,TUS,GR,EXTR,HOT,4089.0,17640.0
2020-11-01,TUS,GR,EXTR,HOT,328.0,3271.0
2020-12-01,TUS,GR,EXTR,HOT,183.0,1630.0
2021-01-01,TUS,GR,EXTR,HOT,269.0,1667.0
2021-02-01,TUS,GR,EXTR,HOT,330.0,1867.0
2021-03-01,TUS,GR,EXTR,HOT,325.0,2312.0
2021-04-01,TUS,GR,EXTR,HOT,356.0,2190.0
2021-05-01,TUS,GR,EXTR,HOT,2855.0,9627.0
2021-06-01,TUS,GR,EXTR,HOT,6258.0,24635.0
2021-07-01,TUS,GR,EXTR,HOT,13067.0,60652.0
2021-08-01,TUS,GR,EXTR,HOT,11430.0,58180.0
2021-09-01,TUS,GR,EXTR,HOT,14026.0,61054.0
2021-10-01,TUS,GR,EXTR,HOT,9409.0,35593.0
2021-11-01,TUS,GR,EXTR,HOT,1643.0,5278.0
2021-12-01,TUS,GR,EXTR,HOT,1079.0,3785.0
