period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,IT,HOT,9863.0,27526.0
2009-02-01,TUS,GR,IT,HOT,12378.0,26397.0
2009-03-01,TUS,GR,IT,HOT,16245.0,34990.0
2009-04-01,TUS,GR,IT,HOT,31803.0,66334.0
2009-05-01,TUS,GR,IT,HOT,51219.0,112876.0
2009-06-01,TUS,GR,IT,HOT,45011.0,160073.0
2009-07-01,TUS,GR,IT,HOT,50792.0,239108.0
2009-08-01,TUS,GR,IT,HOT,67358.0,340213.0
2009-09-01,TUS,GR,IT,HOT,37587.0,143555.0
2009-10-01,TUS,GR,IT,HOT,24157.0,69095.0
2009-11-01,TUS,GR,IT,HOT,12432.0,35584.0
2009-12-01,TUS,GR,IT,HOT,16144.0,43250.0
2010-01-01,TUS,GR,IT,HOT,9671.0,35070.0
2010-02-01,TUS,GR,IT,HOT,11121.0,30285.0
2010-03-01,TUS,GR,IT,HOT,16880.0,33493.0
2010-04-01,TUS,GR,IT,HOT,34140.0,74607.0
2010-05-01,TUS,GR,IT,HOT,38394.0,86959.0
2010-06-01,TUS,GR,IT,HOT,48564.0,157251.0
2010-07-01,TUS,GR,IT,HOT,55858.0,231250.0
2010-08-01,TUS,GR,IT,HOT,64430.0,320831.0
2010-09-01,TUS,GR,IT,HOT,35521.0,119229.0
2010-10-01,TUS,GR,IT,HOT,23930.0,53154.0
2010-11-01,TUS,GR,IT,HOT,12386.0,29654.0
2010-12-01,TUS,GR,IT,HOT,14619.0,33980.0
2011-01-01,TUS,GR,IT,HOT,10620.0,33392.0
2011-02-01,TUS,GR,IT,HOT,11130.0,24653.0
2011-03-01,TUS,GR,IT,HOT,16920.0,37759.0
2011-04-01,TUS,GR,IT,HOT,32157.0,72367.0
2011-05-01,TUS,GR,IT,HOT,35487.0,86539.0
2011-06-01,TUS,GR,IT,HOT,52973.0,173564.0
2011-07-01,TUS,GR,IT,HOT,52716.0,228297.0
2011-08-01,TUS,GR,IT,HOT,57663.0,316501.0
2011-09-01,TUS,GR,IT,HOT,40756.0,143484.0
2011-10-01,TUS,GR,IT,HOT,21828.0,51905.0
2011-11-01,TUS,GR,IT,HOT,9145.0,24863.0
2011-12-01,TUS,GR,IT,HOT,12074.0,32423.0
2012-01-01,TUS,GR,IT,HOT,9800.0,31422.0
2012-02-01,TUS,GR,IT,HOT,8502.0,24236.0
2012-03-01,TUS,GR,IT,HOT,16990.0,40063.0
2012-04-01,TUS,GR,IT,HOT,31965.0,78505.0
2012-05-01,TUS,GR,IT,HOT,27185.0,71589.0
2012-06-01,TUS,GR,IT,HOT,52686.0,149165.0
2012-07-01,TUS,GR,IT,HOT,49603.0,215373.0
2012-08-01,TUS,GR,IT,HOT,59520.0,297279.0
2012-09-01,TUS,GR,IT,HOT,38648.0,131142.0
2012-10-01,TUS,GR,IT,HOT,17203.0,43478.0
2012-11-01,TUS,GR,IT,HOT,11400.0,29662.0
2012-12-01,TUS,GR,IT,HOT,10964.0,30802.0
2013-01-01,TUS,GR,IT,HOT,7533.0,28625.0
2013-02-01,TUS,GR,IT,HOT,9694.0,27321.0
2013-03-01,TUS,GR,IT,HOT,17028.0,43317.0
2013-04-01,TUS,GR,IT,HOT,24631.0,61313.0
2013-05-01,TUS,GR,IT,HOT,28871.0,74441.0
2013-06-01,TUS,GR,IT,HOT,48628.0,156125.0
2013-07-01,TUS,GR,IT,HOT,49185.0,228392.0
2013-08-01,TUS,GR,IT,HOT,68238.0,347843.0
2013-09-01,TUS,GR,IT,HOT,36371.0,131970.0
2013-10-01,TUS,GR,IT,HOT,15936.0,49342.0
2013-11-01,TUS,GR,IT,HOT,11620.0,35190.0
2013-12-01,TUS,GR,IT,HOT,11882.0,33553.0
2014-01-01,TUS,GR,IT,HOT,7689.0,22453.0
2014-02-01,TUS,GR,IT,HOT,8146.0,20697.0
2014-03-01,TUS,GR,IT,HOT,13542.0,29876.0
2014-04-01,TUS,GR,IT,HOT,29595.0,65167.0
2014-05-01,TUS,GR,IT,HOT,37236.0,80716.0
2014-06-01,TUS,GR,IT,HOT,46525.0,144322.0
2014-07-01,TUS,GR,IT,HOT,51048.0,218780.0
2014-08-01,TUS,GR,IT,HOT,70212.0,327695.0
2014-09-01,TUS,GR,IT,HOT,39443.0,133311.0
2014-10-01,TUS,GR,IT,HOT,17512.0,39710.0
2014-11-01,TUS,GR,IT,HOT,9989.0,24265.0
2014-12-01,TUS,GR,IT,HOT,11747.0,28642.0
2015-01-01,TUS,GR,IT,HOT,8329.0,22992.0
2015-02-01,TUS,GR,IT,HOT,10512.0,22537.0
2015-03-01,TUS,GR,IT,HOT,14129.0,28338.0
2015-04-01,TUS,GR,IT,HOT,29517.0,60108.0
2015-05-01,TUS,GR,IT,HOT,46985.0,97750.0
2015-06-01,TUS,GR,IT,HOT,49437.0,157952.0
2015-07-01,TUS,GR,IT,HOT,55959.0,236720.0
2015-08-01,TUS,GR,IT,HOT,72495.0,343636.0
2015-09-01,TUS,GR,IT,HOT,36350.0,127657.0
2015-10-01,TUS,GR,IT,HOT,17399.0,43484.0
2015-11-01,TUS,GR,IT,HOT,11400.0,25932.0
2015-12-01,TUS,GR,IT,HOT,15863.0,34492.0
2016-01-01,TUS,GR,IT,HOT,8781.0,24639.0
2016-02-01,TUS,GR,IT,HOT,10436.0,21403.0
2016-03-01,TUS,GR,IT,HOT,19137.0,39826.0
2016-04-01,TUS,GR,IT,HOT,28052.0,56177.0
2016-05-01,TUS,GR,IT,HOT,29787.0,65195.0
2016-06-01,TUS,GR,IT,HOT,53189.0,156959.0
2016-07-01,TUS,GR,IT,HOT,61804.0,233271.0
2016-08-01,TUS,GR,IT,HOT,69516.0,329154.0
2016-09-01,TUS,GR,IT,HOT,43524.0,138593.0
2016-10-01,TUS,GR,IT,HOT,21905.0,52537.0
2016-11-01,TUS,GR,IT,HOT,10943.0,23876.0
2016-12-01,TUS,GR,IT,HOT,14463.0,30786.0
2017-01-01,TUS,GR,IT,HOT,7242.0,18862.0
2017-02-01,TUS,GR,IT,HOT,7727.0,17443.0
2017-03-01,TUS,GR,IT,HOT,12234.0,23832.0
2017-04-01,TUS,GR,IT,HOT,34339.0,70085.0
2017-05-01,TUS,GR,IT,HOT,32870.0,71807.0
2017-06-01,TUS,GR,IT,HOT,59675.0,170991.0
2017-07-01,TUS,GR,IT,HOT,60424.0,238555.0
2017-08-01,TUS,GR,IT,HOT,69241.0,333196.0
2017-09-01,TUS,GR,IT,HOT,41585.0,133040.0
2017-10-01,TUS,GR,IT,HOT,21062.0,47198.0
2017-11-01,TUS,GR,IT,HOT,12397.0,28341.0
2017-12-01,TUS,GR,IT,HOT,15620.0,33168.0
2018-01-01,TUS,GR,IT,HOT,9855.0,25989.0
2018-02-01,TUS,GR,IT,HOT,10053.0,22401.0
2018-03-01,TUS,GR,IT,HOT,18095.0,36014.0
2018-04-01,TUS,GR,IT,HOT,36115.0,79257.0
2018-05-01,TUS,GR,IT,HOT,31684.0,69954.0
2018-06-01,TUS,GR,IT,HOT,59877.0,167104.0
2018-07-01,TUS,GR,IT,HOT,57784.0,232375.0
2018-08-01,TUS,GR,IT,HOT,70684.0,329412.0
2018-09-01,TUS,GR,IT,HOT,49212.0,144340.0
2018-10-01,TUS,GR,IT,HOT,20570.0,45438.0
2018-11-01,TUS,GR,IT,HOT,13211.0,31083.0
2018-12-01,TUS,GR,IT,HOT,14565.0,34509.0
2019-01-01,TUS,GR,IT,HOT,9933.0,23975.0
2019-02-01,TUS,GR,IT,HOT,10813.0,20234.0
2019-03-01,TUS,GR,IT,HOT,16787.0,30879.0
2019-04-01,TUS,GR,IT,HOT,35809.0,76398.0
2019-05-01,TUS,GR,IT,HOT,32727.0,68375.0
2019-06-01,TUS,GR,IT,HOT,58195.0,160793.0
2019-07-01,TUS,GR,IT,HOT,57181.0,235774.0
2019-08-01,TUS,GR,IT,HOT,70127.0,321215.0
2019-09-01,TUS,GR,IT,HOT,44429.0,135315.0
2019-10-01,TUS,GR,IT,HOT,20505.0,42510.0
2019-11-01,TUS,GR,IT,HOT,12764.0,27572.0
2019-12-01,TUS,GR,IT,HOT,13100.0,29755.0
2020-01-01,TUS,GR,IT,HOT,10273.0,24056.0
2020-02-01,TUS,GR,IT,HOT,9264.0,19402.0
2020-03-01,TUS,GR,IT,HOT,2172.0,7389.0
2020-04-01,TUS,GR,IT,HOT,548.0,8209.0
2020-05-01,TUS,GR,IT,HOT,2565.0,11331.0
2020-06-01,TUS,GR,IT,HOT,31395.0,83133.0
2020-07-01,TUS,GR,IT,HOT,59055.0,225207.0
2020-08-01,TUS,GR,IT,HOT,60626.0,289034.0
2020-09-01,TUS,GR,IT,HOT,43985.0,151272.0
2020-10-01,TUS,GR,IT,HOT,14282.0,44924.0
2020-11-01,TUS,GR,IT,HOT,4308.0,21464.0
2020-12-01,TUS,GR,IT,HOT,3459.0,11925.0
2021-01-01,TUS,GR,IT,HOT,4958.0,13903.0
2021-02-01,TUS,GR,IT,HOT,5768.0,15947.0
