period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,GR,WLD,HOT,9591.0,27881.0
2016-02-01,TUS,GR,WLD,HOT,12029.0,26541.0
2016-03-01,TUS,GR,WLD,HOT,22110.0,50506.0
2016-04-01,TUS,GR,WLD,HOT,34575.0,78911.0
2016-05-01,TUS,GR,WLD,HOT,43500.0,118500.0
2016-06-01,TUS,GR,WLD,HOT,68179.0,223191.0
2016-07-01,TUS,GR,WLD,HOT,83517.0,339509.0
2016-08-01,TUS,GR,WLD,HOT,84807.0,413534.0
2016-09-01,TUS,GR,WLD,HOT,61953.0,218127.0
2016-10-01,TUS,GR,WLD,HOT,30415.0,88065.0
2016-11-01,TUS,GR,WLD,HOT,12627.0,30009.0
2016-12-01,TUS,GR,WLD,HOT,15557.0,33760.0
2017-01-01,TUS,GR,WLD,HOT,7851.0,21572.0
2017-02-01,TUS,GR,WLD,HOT,8539.0,20119.0
2017-03-01,TUS,GR,WLD,HOT,14035.0,30395.0
2017-04-01,TUS,GR,WLD,HOT,40702.0,91094.0
2017-05-01,TUS,GR,WLD,HOT,45664.0,113530.0
2017-06-01,TUS,GR,WLD,HOT,76263.0,238619.0
2017-07-01,TUS,GR,WLD,HOT,82460.0,344535.0
2017-08-01,TUS,GR,WLD,HOT,84191.0,414863.0
2017-09-01,TUS,GR,WLD,HOT,61184.0,210505.0
2017-10-01,TUS,GR,WLD,HOT,30270.0,83503.0
2017-11-01,TUS,GR,WLD,HOT,14044.0,34744.0
2017-12-01,TUS,GR,WLD,HOT,16853.0,37275.0
2018-01-01,TUS,GR,WLD,HOT,10766.0,28989.0
2018-02-01,TUS,GR,WLD,HOT,11881.0,27728.0
2018-03-01,TUS,GR,WLD,HOT,21212.0,46201.0
2018-04-01,TUS,GR,WLD,HOT,43320.0,102200.0
2018-05-01,TUS,GR,WLD,HOT,46025.0,122394.0
2018-06-01,TUS,GR,WLD,HOT,75911.0,231633.0
2018-07-01,TUS,GR,WLD,HOT,79761.0,342404.0
2018-08-01,TUS,GR,WLD,HOT,85520.0,408638.0
2018-09-01,TUS,GR,WLD,HOT,67571.0,216667.0
2018-10-01,TUS,GR,WLD,HOT,28759.0,78265.0
2018-11-01,TUS,GR,WLD,HOT,14768.0,37079.0
2018-12-01,TUS,GR,WLD,HOT,15965.0,38970.0
2019-01-01,TUS,GR,WLD,HOT,10971.0,29211.0
2019-02-01,TUS,GR,WLD,HOT,12382.0,26967.0
2019-03-01,TUS,GR,WLD,HOT,19410.0,39840.0
2019-04-01,TUS,GR,WLD,HOT,43711.0,102405.0
2019-05-01,TUS,GR,WLD,HOT,45732.0,110492.0
2019-06-01,TUS,GR,WLD,HOT,74689.0,225168.0
2019-07-01,TUS,GR,WLD,HOT,77581.0,331756.0
2019-08-01,TUS,GR,WLD,HOT,84962.0,394087.0
2019-09-01,TUS,GR,WLD,HOT,63669.0,208826.0
2019-10-01,TUS,GR,WLD,HOT,29921.0,75955.0
2019-11-01,TUS,GR,WLD,HOT,14659.0,33881.0
2019-12-01,TUS,GR,WLD,HOT,14665.0,35092.0
2020-01-01,TUS,GR,WLD,HOT,11526.0,28752.0
2020-02-01,TUS,GR,WLD,HOT,10635.0,24817.0
2020-03-01,TUS,GR,WLD,HOT,2344.0,8831.0
2020-04-01,TUS,GR,WLD,HOT,578.0,9588.0
2020-05-01,TUS,GR,WLD,HOT,2684.0,13002.0
2020-06-01,TUS,GR,WLD,HOT,33491.0,90523.0
2020-07-01,TUS,GR,WLD,HOT,66625.0,259563.0
2020-08-01,TUS,GR,WLD,HOT,66990.0,319555.0
2020-09-01,TUS,GR,WLD,HOT,53909.0,193757.0
2020-10-01,TUS,GR,WLD,HOT,18371.0,62564.0
2020-11-01,TUS,GR,WLD,HOT,4636.0,24735.0
2020-12-01,TUS,GR,WLD,HOT,3642.0,13555.0
2021-01-01,TUS,GR,WLD,HOT,5227.0,15570.0
2021-02-01,TUS,GR,WLD,HOT,6098.0,17814.0
2021-03-01,TUS,GR,WLD,HOT,5680.0,22293.0
2021-04-01,TUS,GR,WLD,HOT,6447.0,26025.0
2021-05-01,TUS,GR,WLD,HOT,27992.0,74595.0
2021-06-01,TUS,GR,WLD,HOT,56087.0,175932.0
2021-07-01,TUS,GR,WLD,HOT,66916.0,294057.0
2021-08-01,TUS,GR,WLD,HOT,73737.0,362928.0
2021-09-01,TUS,GR,WLD,HOT,56062.0,199797.0
2021-10-01,TUS,GR,WLD,HOT,32107.0,84165.0
2021-11-01,TUS,GR,WLD,HOT,12439.0,28577.0
2021-12-01,TUS,GR,WLD,HOT,10869.0,24873.0
