period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,EXTR,TOT,1111.0,19228.0
2009-02-01,TUS,GR,EXTR,TOT,1991.0,21076.0
2009-03-01,TUS,GR,EXTR,TOT,3677.0,25967.0
2009-04-01,TUS,GR,EXTR,TOT,12588.0,68010.0
2009-05-01,TUS,GR,EXTR,TOT,24574.0,123271.0
2009-06-01,TUS,GR,EXTR,TOT,29335.0,203849.0
2009-07-01,TUS,GR,EXTR,TOT,46768.0,381190.0
2009-08-01,TUS,GR,EXTR,TOT,39209.0,290341.0
2009-09-01,TUS,GR,EXTR,TOT,31383.0,233102.0
2009-10-01,TUS,GR,EXTR,TOT,13755.0,87720.0
2009-11-01,TUS,GR,EXTR,TOT,2624.0,14807.0
2009-12-01,TUS,GR,EXTR,TOT,1429.0,9903.0
2010-01-01,TUS,GR,EXTR,TOT,1032.0,7404.0
2010-02-01,TUS,GR,EXTR,TOT,1577.0,9751.0
2010-03-01,TUS,GR,EXTR,TOT,3514.0,16595.0
2010-04-01,TUS,GR,EXTR,TOT,11035.0,50772.0
2010-05-01,TUS,GR,EXTR,TOT,28264.0,146584.0
2010-06-01,TUS,GR,EXTR,TOT,26737.0,176235.0
2010-07-01,TUS,GR,EXTR,TOT,50158.0,365694.0
2010-08-01,TUS,GR,EXTR,TOT,37798.0,297087.0
2010-09-01,TUS,GR,EXTR,TOT,32660.0,233378.0
2010-10-01,TUS,GR,EXTR,TOT,14851.0,102060.0
2010-11-01,TUS,GR,EXTR,TOT,2225.0,16030.0
2010-12-01,TUS,GR,EXTR,TOT,1322.0,9413.0
2011-01-01,TUS,GR,EXTR,TOT,1298.0,9652.0
2011-02-01,TUS,GR,EXTR,TOT,1717.0,12462.0
2011-03-01,TUS,GR,EXTR,TOT,3384.0,19885.0
2011-04-01,TUS,GR,EXTR,TOT,14392.0,67627.0
2011-05-01,TUS,GR,EXTR,TOT,19843.0,101628.0
2011-06-01,TUS,GR,EXTR,TOT,35720.0,232047.0
2011-07-01,TUS,GR,EXTR,TOT,50662.0,345325.0
2011-08-01,TUS,GR,EXTR,TOT,38656.0,298899.0
2011-09-01,TUS,GR,EXTR,TOT,32417.0,220174.0
2011-10-01,TUS,GR,EXTR,TOT,15660.0,98418.0
2011-11-01,TUS,GR,EXTR,TOT,1948.0,11411.0
2011-12-01,TUS,GR,EXTR,TOT,1143.0,6738.0
2012-01-01,TUS,GR,EXTR,TOT,2155.0,7844.0
2012-02-01,TUS,GR,EXTR,TOT,1628.0,8320.0
2012-03-01,TUS,GR,EXTR,TOT,4223.0,17765.0
2012-04-01,TUS,GR,EXTR,TOT,12923.0,59845.0
2012-05-01,TUS,GR,EXTR,TOT,25106.0,123720.0
2012-06-01,TUS,GR,EXTR,TOT,30759.0,187877.0
2012-07-01,TUS,GR,EXTR,TOT,54523.0,391685.0
2012-08-01,TUS,GR,EXTR,TOT,38585.0,306464.0
2012-09-01,TUS,GR,EXTR,TOT,38579.0,239491.0
2012-10-01,TUS,GR,EXTR,TOT,14042.0,110143.0
2012-11-01,TUS,GR,EXTR,TOT,2320.0,18827.0
2012-12-01,TUS,GR,EXTR,TOT,1553.0,9066.0
2013-01-01,TUS,GR,EXTR,TOT,1494.0,14071.0
2013-02-01,TUS,GR,EXTR,TOT,1509.0,12579.0
2013-03-01,TUS,GR,EXTR,TOT,5950.0,29348.0
2013-04-01,TUS,GR,EXTR,TOT,11139.0,54871.0
2013-05-01,TUS,GR,EXTR,TOT,32604.0,182126.0
2013-06-01,TUS,GR,EXTR,TOT,34675.0,198949.0
2013-07-01,TUS,GR,EXTR,TOT,55829.0,436654.0
2013-08-01,TUS,GR,EXTR,TOT,45449.0,356721.0
2013-09-01,TUS,GR,EXTR,TOT,41348.0,266836.0
2013-10-01,TUS,GR,EXTR,TOT,15899.0,115606.0
2013-11-01,TUS,GR,EXTR,TOT,2207.0,16775.0
2013-12-01,TUS,GR,EXTR,TOT,1492.0,12276.0
2014-01-01,TUS,GR,EXTR,TOT,1267.0,11059.0
2014-02-01,TUS,GR,EXTR,TOT,1391.0,10643.0
2014-03-01,TUS,GR,EXTR,TOT,2965.0,20360.0
2014-04-01,TUS,GR,EXTR,TOT,15164.0,73104.0
2014-05-01,TUS,GR,EXTR,TOT,23817.0,113474.0
2014-06-01,TUS,GR,EXTR,TOT,38936.0,254291.0
2014-07-01,TUS,GR,EXTR,TOT,53887.0,396574.0
2014-08-01,TUS,GR,EXTR,TOT,49893.0,349260.0
2014-09-01,TUS,GR,EXTR,TOT,42349.0,298862.0
2014-10-01,TUS,GR,EXTR,TOT,16038.0,95288.0
2014-11-01,TUS,GR,EXTR,TOT,1960.0,11499.0
2014-12-01,TUS,GR,EXTR,TOT,1535.0,8042.0
2015-01-01,TUS,GR,EXTR,TOT,1207.0,6195.0
2015-02-01,TUS,GR,EXTR,TOT,1940.0,7655.0
2015-03-01,TUS,GR,EXTR,TOT,4645.0,18791.0
2015-04-01,TUS,GR,EXTR,TOT,13906.0,64378.0
2015-05-01,TUS,GR,EXTR,TOT,34028.0,155603.0
2015-06-01,TUS,GR,EXTR,TOT,32417.0,205537.0
2015-07-01,TUS,GR,EXTR,TOT,56533.0,419427.0
2015-08-01,TUS,GR,EXTR,TOT,50605.0,360529.0
2015-09-01,TUS,GR,EXTR,TOT,43578.0,304169.0
2015-10-01,TUS,GR,EXTR,TOT,16194.0,107995.0
2015-11-01,TUS,GR,EXTR,TOT,2388.0,11384.0
2015-12-01,TUS,GR,EXTR,TOT,1769.0,7198.0
2016-01-01,TUS,GR,EXTR,TOT,1124.0,6426.0
2016-02-01,TUS,GR,EXTR,TOT,1991.0,8114.0
2016-03-01,TUS,GR,EXTR,TOT,5963.0,26253.0
2016-04-01,TUS,GR,EXTR,TOT,13300.0,53552.0
2016-05-01,TUS,GR,EXTR,TOT,33309.0,179047.0
2016-06-01,TUS,GR,EXTR,TOT,34552.0,195286.0
2016-07-01,TUS,GR,EXTR,TOT,61056.0,387666.0
2016-08-01,TUS,GR,EXTR,TOT,44632.0,343936.0
2016-09-01,TUS,GR,EXTR,TOT,41988.0,255773.0
2016-10-01,TUS,GR,EXTR,TOT,19310.0,110007.0
2016-11-01,TUS,GR,EXTR,TOT,2320.0,9337.0
2016-12-01,TUS,GR,EXTR,TOT,1619.0,5333.0
2017-01-01,TUS,GR,EXTR,TOT,931.0,5397.0
2017-02-01,TUS,GR,EXTR,TOT,1293.0,5551.0
2017-03-01,TUS,GR,EXTR,TOT,2852.0,11867.0
2017-04-01,TUS,GR,EXTR,TOT,17664.0,78675.0
