period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,GR,IT,TOT,13827.0,56941.0
2009-02-01,TUS,GR,IT,TOT,16740.0,48685.0
2009-03-01,TUS,GR,IT,TOT,22478.0,57893.0
2009-04-01,TUS,GR,IT,TOT,61781.0,147318.0
2009-05-01,TUS,GR,IT,TOT,111944.0,291120.0
2009-06-01,TUS,GR,IT,TOT,120598.0,592355.0
2009-07-01,TUS,GR,IT,TOT,154652.0,1059179.0
2009-08-01,TUS,GR,IT,TOT,209971.0,1528655.0
2009-09-01,TUS,GR,IT,TOT,69329.0,366702.0
2009-10-01,TUS,GR,IT,TOT,34422.0,112992.0
2009-11-01,TUS,GR,IT,TOT,16781.0,56803.0
2009-12-01,TUS,GR,IT,TOT,26631.0,72949.0
2010-01-01,TUS,GR,IT,TOT,13043.0,59064.0
2010-02-01,TUS,GR,IT,TOT,14777.0,46769.0
2010-03-01,TUS,GR,IT,TOT,23392.0,56939.0
2010-04-01,TUS,GR,IT,TOT,61047.0,154240.0
2010-05-01,TUS,GR,IT,TOT,71161.0,210721.0
2010-06-01,TUS,GR,IT,TOT,124064.0,566248.0
2010-07-01,TUS,GR,IT,TOT,171570.0,1059492.0
2010-08-01,TUS,GR,IT,TOT,197650.0,1490637.0
2010-09-01,TUS,GR,IT,TOT,66631.0,358634.0
2010-10-01,TUS,GR,IT,TOT,34761.0,110783.0
2010-11-01,TUS,GR,IT,TOT,16095.0,47248.0
2010-12-01,TUS,GR,IT,TOT,22582.0,56582.0
2011-01-01,TUS,GR,IT,TOT,15037.0,57217.0
2011-02-01,TUS,GR,IT,TOT,14938.0,40186.0
2011-03-01,TUS,GR,IT,TOT,23681.0,60872.0
2011-04-01,TUS,GR,IT,TOT,59116.0,145502.0
2011-05-01,TUS,GR,IT,TOT,67222.0,197057.0
2011-06-01,TUS,GR,IT,TOT,142154.0,604194.0
2011-07-01,TUS,GR,IT,TOT,170777.0,1024809.0
2011-08-01,TUS,GR,IT,TOT,194007.0,1453922.0
2011-09-01,TUS,GR,IT,TOT,78596.0,366973.0
2011-10-01,TUS,GR,IT,TOT,32396.0,83138.0
2011-11-01,TUS,GR,IT,TOT,12766.0,38998.0
2011-12-01,TUS,GR,IT,TOT,19941.0,53858.0
2012-01-01,TUS,GR,IT,TOT,13558.0,48301.0
2012-02-01,TUS,GR,IT,TOT,10676.0,33150.0
2012-03-01,TUS,GR,IT,TOT,24527.0,58547.0
2012-04-01,TUS,GR,IT,TOT,64774.0,166417.0
2012-05-01,TUS,GR,IT,TOT,49054.0,162376.0
2012-06-01,TUS,GR,IT,TOT,135856.0,507015.0
2012-07-01,TUS,GR,IT,TOT,151734.0,964223.0
2012-08-01,TUS,GR,IT,TOT,192205.0,1381331.0
2012-09-01,TUS,GR,IT,TOT,70575.0,325247.0
2012-10-01,TUS,GR,IT,TOT,24590.0,73866.0
2012-11-01,TUS,GR,IT,TOT,16050.0,46724.0
2012-12-01,TUS,GR,IT,TOT,16981.0,49028.0
2013-01-01,TUS,GR,IT,TOT,10221.0,43565.0
2013-02-01,TUS,GR,IT,TOT,12214.0,39580.0
2013-03-01,TUS,GR,IT,TOT,27593.0,71290.0
2013-04-01,TUS,GR,IT,TOT,46343.0,122896.0
2013-05-01,TUS,GR,IT,TOT,52316.0,155715.0
2013-06-01,TUS,GR,IT,TOT,131545.0,533766.0
2013-07-01,TUS,GR,IT,TOT,152422.0,978632.0
2013-08-01,TUS,GR,IT,TOT,217296.0,1453037.0
2013-09-01,TUS,GR,IT,TOT,72550.0,355449.0
2013-10-01,TUS,GR,IT,TOT,23884.0,84741.0
2013-11-01,TUS,GR,IT,TOT,17520.0,59112.0
2013-12-01,TUS,GR,IT,TOT,17934.0,55176.0
2014-01-01,TUS,GR,IT,TOT,10869.0,40740.0
2014-02-01,TUS,GR,IT,TOT,11230.0,36090.0
2014-03-01,TUS,GR,IT,TOT,20022.0,51490.0
2014-04-01,TUS,GR,IT,TOT,60580.0,155209.0
2014-05-01,TUS,GR,IT,TOT,79383.0,216464.0
2014-06-01,TUS,GR,IT,TOT,124640.0,536250.0
2014-07-01,TUS,GR,IT,TOT,153439.0,959436.0
2014-08-01,TUS,GR,IT,TOT,224443.0,1464837.0
2014-09-01,TUS,GR,IT,TOT,76574.0,371394.0
