period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,GR,WLD,TOT,14054.0,50068.0
2016-02-01,TUS,GR,WLD,TOT,15762.0,41347.0
2016-03-01,TUS,GR,WLD,TOT,38474.0,105111.0
2016-04-01,TUS,GR,WLD,TOT,65517.0,188848.0
2016-05-01,TUS,GR,WLD,TOT,89886.0,370150.0
2016-06-01,TUS,GR,WLD,TOT,177098.0,782343.0
2016-07-01,TUS,GR,WLD,TOT,248236.0,1418153.0
2016-08-01,TUS,GR,WLD,TOT,245788.0,1766879.0
2016-09-01,TUS,GR,WLD,TOT,130247.0,669439.0
2016-10-01,TUS,GR,WLD,TOT,52071.0,200899.0
2016-11-01,TUS,GR,WLD,TOT,17427.0,47985.0
2016-12-01,TUS,GR,WLD,TOT,24403.0,58831.0
2017-01-01,TUS,GR,WLD,TOT,11858.0,41813.0
2017-02-01,TUS,GR,WLD,TOT,13066.0,36734.0
2017-03-01,TUS,GR,WLD,TOT,21875.0,55612.0
2017-04-01,TUS,GR,WLD,TOT,96463.0,260166.0
2017-05-01,TUS,GR,WLD,TOT,88134.0,284125.0
2017-06-01,TUS,GR,WLD,TOT,210523.0,870436.0
2017-07-01,TUS,GR,WLD,TOT,249457.0,1421922.0
2017-08-01,TUS,GR,WLD,TOT,257154.0,1780128.0
2017-09-01,TUS,GR,WLD,TOT,132157.0,641499.0
2017-10-01,TUS,GR,WLD,TOT,51860.0,197043.0
2017-11-01,TUS,GR,WLD,TOT,20453.0,58906.0
2017-12-01,TUS,GR,WLD,TOT,26314.0,66162.0
2018-01-01,TUS,GR,WLD,TOT,15641.0,56012.0
2018-02-01,TUS,GR,WLD,TOT,16743.0,51652.0
2018-03-01,TUS,GR,WLD,TOT,36872.0,94920.0
2018-04-01,TUS,GR,WLD,TOT,93916.0,259757.0
2018-05-01,TUS,GR,WLD,TOT,98450.0,365835.0
2018-06-01,TUS,GR,WLD,TOT,207432.0,810720.0
2018-07-01,TUS,GR,WLD,TOT,234999.0,1406525.0
2018-08-01,TUS,GR,WLD,TOT,259144.0,1755520.0
2018-09-01,TUS,GR,WLD,TOT,148452.0,663202.0
2018-10-01,TUS,GR,WLD,TOT,49495.0,194178.0
2018-11-01,TUS,GR,WLD,TOT,22052.0,67702.0
2018-12-01,TUS,GR,WLD,TOT,25332.0,72591.0
2019-01-01,TUS,GR,WLD,TOT,15364.0,55265.0
2019-02-01,TUS,GR,WLD,TOT,17961.0,51113.0
2019-03-01,TUS,GR,WLD,TOT,31910.0,79839.0
2019-04-01,TUS,GR,WLD,TOT,95902.0,280545.0
2019-05-01,TUS,GR,WLD,TOT,86053.0,289959.0
2019-06-01,TUS,GR,WLD,TOT,207146.0,870220.0
2019-07-01,TUS,GR,WLD,TOT,224922.0,1401077.0
2019-08-01,TUS,GR,WLD,TOT,270739.0,1775500.0
2019-09-01,TUS,GR,WLD,TOT,144043.0,710535.0
2019-10-01,TUS,GR,WLD,TOT,51093.0,233033.0
2019-11-01,TUS,GR,WLD,TOT,21859.0,69537.0
2019-12-01,TUS,GR,WLD,TOT,23577.0,70458.0
2020-01-01,TUS,GR,WLD,TOT,15819.0,56089.0
2020-02-01,TUS,GR,WLD,TOT,16349.0,50026.0
2020-03-01,TUS,GR,WLD,TOT,3308.0,18899.0
2020-04-01,TUS,GR,WLD,TOT,727.0,15688.0
2020-05-01,TUS,GR,WLD,TOT,10798.0,35070.0
2020-06-01,TUS,GR,WLD,TOT,108384.0,391529.0
2020-07-01,TUS,GR,WLD,TOT,215464.0,1156969.0
2020-08-01,TUS,GR,WLD,TOT,254152.0,1581372.0
2020-09-01,TUS,GR,WLD,TOT,144371.0,727243.0
2020-10-01,TUS,GR,WLD,TOT,37261.0,193452.0
2020-11-01,TUS,GR,WLD,TOT,6141.0,38027.0
2020-12-01,TUS,GR,WLD,TOT,4569.0,26357.0
2021-01-01,TUS,GR,WLD,TOT,6740.0,28659.0
2021-02-01,TUS,GR,WLD,TOT,8136.0,31271.0
2021-03-01,TUS,GR,WLD,TOT,7673.0,38024.0
2021-04-01,TUS,GR,WLD,TOT,9963.0,45288.0
2021-05-01,TUS,GR,WLD,TOT,74331.0,232113.0
2021-06-01,TUS,GR,WLD,TOT,170014.0,707691.0
2021-07-01,TUS,GR,WLD,TOT,235856.0,1367317.0
2021-08-01,TUS,GR,WLD,TOT,261398.0,1788048.0
2021-09-01,TUS,GR,WLD,TOT,148655.0,784792.0
2021-10-01,TUS,GR,WLD,TOT,65725.0,268168.0
2021-11-01,TUS,GR,WLD,TOT,18057.0,50795.0
2021-12-01,TUS,GR,WLD,TOT,17758.0,47174.0
