period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,EXTR,EXTRHOT,67.0,1407.0
2009-02-01,TUS,LI,EXTR,EXTRHOT,116.0,1754.0
2009-03-01,TUS,LI,EXTR,EXTRHOT,485.0,3377.0
2009-04-01,TUS,LI,EXTR,EXTRHOT,10075.0,56420.0
2009-05-01,TUS,LI,EXTR,EXTRHOT,23708.0,159329.0
2009-06-01,TUS,LI,EXTR,EXTRHOT,29954.0,292095.0
2009-07-01,TUS,LI,EXTR,EXTRHOT,68401.0,623899.0
2009-08-01,TUS,LI,EXTR,EXTRHOT,58159.0,516436.0
2009-09-01,TUS,LI,EXTR,EXTRHOT,30099.0,336984.0
2009-10-01,TUS,LI,EXTR,EXTRHOT,8597.0,82383.0
2009-11-01,TUS,LI,EXTR,EXTRHOT,140.0,1871.0
2009-12-01,TUS,LI,EXTR,EXTRHOT,80.0,1345.0
2010-01-01,TUS,LI,EXTR,EXTRHOT,63.0,4942.0
2010-02-01,TUS,LI,EXTR,EXTRHOT,83.0,4358.0
2010-03-01,TUS,LI,EXTR,EXTRHOT,1015.0,8139.0
2010-04-01,TUS,LI,EXTR,EXTRHOT,4860.0,27741.0
2010-05-01,TUS,LI,EXTR,EXTRHOT,31970.0,235677.0
2010-06-01,TUS,LI,EXTR,EXTRHOT,26000.0,242377.0
2010-07-01,TUS,LI,EXTR,EXTRHOT,69362.0,584821.0
2010-08-01,TUS,LI,EXTR,EXTRHOT,57715.0,485549.0
2010-09-01,TUS,LI,EXTR,EXTRHOT,31403.0,341826.0
2010-10-01,TUS,LI,EXTR,EXTRHOT,9338.0,107250.0
2010-11-01,TUS,LI,EXTR,EXTRHOT,217.0,3791.0
2010-12-01,TUS,LI,EXTR,EXTRHOT,150.0,1834.0
2011-01-01,TUS,LI,EXTR,EXTRHOT,137.0,2142.0
2011-02-01,TUS,LI,EXTR,EXTRHOT,151.0,2254.0
2011-03-01,TUS,LI,EXTR,EXTRHOT,475.0,4599.0
2011-04-01,TUS,LI,EXTR,EXTRHOT,9726.0,50969.0
2011-05-01,TUS,LI,EXTR,EXTRHOT,15951.0,106762.0
2011-06-01,TUS,LI,EXTR,EXTRHOT,43696.0,374031.0
2011-07-01,TUS,LI,EXTR,EXTRHOT,76127.0,606280.0
2011-08-01,TUS,LI,EXTR,EXTRHOT,58157.0,548956.0
