period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,IT,EXTRHOT,1333.0,6739.0
2009-02-01,TUS,LI,IT,EXTRHOT,1368.0,5710.0
2009-03-01,TUS,LI,IT,EXTRHOT,2571.0,8637.0
2009-04-01,TUS,LI,IT,EXTRHOT,18723.0,70393.0
2009-05-01,TUS,LI,IT,EXTRHOT,45443.0,166674.0
2009-06-01,TUS,LI,IT,EXTRHOT,72603.0,543507.0
2009-07-01,TUS,LI,IT,EXTRHOT,90691.0,885999.0
2009-08-01,TUS,LI,IT,EXTRHOT,122421.0,1288693.0
2009-09-01,TUS,LI,IT,EXTRHOT,24373.0,263812.0
2009-10-01,TUS,LI,IT,EXTRHOT,2869.0,21268.0
2009-11-01,TUS,LI,IT,EXTRHOT,1851.0,6766.0
2009-12-01,TUS,LI,IT,EXTRHOT,2440.0,7297.0
2010-01-01,TUS,LI,IT,EXTRHOT,2415.0,11261.0
2010-02-01,TUS,LI,IT,EXTRHOT,1352.0,8782.0
2010-03-01,TUS,LI,IT,EXTRHOT,2622.0,12200.0
2010-04-01,TUS,LI,IT,EXTRHOT,15713.0,59154.0
2010-05-01,TUS,LI,IT,EXTRHOT,25317.0,110936.0
2010-06-01,TUS,LI,IT,EXTRHOT,70808.0,469197.0
2010-07-01,TUS,LI,IT,EXTRHOT,99274.0,893382.0
2010-08-01,TUS,LI,IT,EXTRHOT,111514.0,1242057.0
2010-09-01,TUS,LI,IT,EXTRHOT,23861.0,278950.0
2010-10-01,TUS,LI,IT,EXTRHOT,3890.0,39816.0
2010-11-01,TUS,LI,IT,EXTRHOT,1540.0,10457.0
2010-12-01,TUS,LI,IT,EXTRHOT,2442.0,12483.0
2011-01-01,TUS,LI,IT,EXTRHOT,2588.0,15038.0
2011-02-01,TUS,LI,IT,EXTRHOT,1851.0,11484.0
2011-03-01,TUS,LI,IT,EXTRHOT,3146.0,14174.0
2011-04-01,TUS,LI,IT,EXTRHOT,21150.0,63962.0
