period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,LI,WLD,EXTRHOT,1873.0,10622.0
2016-02-01,TUS,LI,WLD,EXTRHOT,1670.0,7645.0
2016-03-01,TUS,LI,WLD,EXTRHOT,10366.0,35614.0
2016-04-01,TUS,LI,WLD,EXTRHOT,23609.0,90289.0
2016-05-01,TUS,LI,WLD,EXTRHOT,55298.0,355407.0
2016-06-01,TUS,LI,WLD,EXTRHOT,124476.0,749598.0
2016-07-01,TUS,LI,WLD,EXTRHOT,195701.0,1471269.0
2016-08-01,TUS,LI,WLD,EXTRHOT,188111.0,1777714.0
2016-09-01,TUS,LI,WLD,EXTRHOT,80214.0,694217.0
2016-10-01,TUS,LI,WLD,EXTRHOT,20510.0,169953.0
2016-11-01,TUS,LI,WLD,EXTRHOT,2068.0,15961.0
2016-12-01,TUS,LI,WLD,EXTRHOT,3958.0,16270.0
2017-01-01,TUS,LI,WLD,EXTRHOT,1957.0,14825.0
2017-02-01,TUS,LI,WLD,EXTRHOT,2083.0,13311.0
2017-03-01,TUS,LI,WLD,EXTRHOT,4373.0,20282.0
2017-04-01,TUS,LI,WLD,EXTRHOT,49606.0,171139.0
2017-05-01,TUS,LI,WLD,EXTRHOT,44560.0,226202.0
2017-06-01,TUS,LI,WLD,EXTRHOT,163531.0,985713.0
2017-07-01,TUS,LI,WLD,EXTRHOT,202806.0,1580163.0
2017-08-01,TUS,LI,WLD,EXTRHOT,190508.0,1853809.0
2017-09-01,TUS,LI,WLD,EXTRHOT,86484.0,738419.0
2017-10-01,TUS,LI,WLD,EXTRHOT,17893.0,171857.0
2017-11-01,TUS,LI,WLD,EXTRHOT,2719.0,15090.0
2017-12-01,TUS,LI,WLD,EXTRHOT,4340.0,17813.0
2018-01-01,TUS,LI,WLD,EXTRHOT,2277.0,16826.0
2018-02-01,TUS,LI,WLD,EXTRHOT,2185.0,13997.0
2018-03-01,TUS,LI,WLD,EXTRHOT,9883.0,35093.0
2018-04-01,TUS,LI,WLD,EXTRHOT,43623.0,161131.0
2018-05-01,TUS,LI,WLD,EXTRHOT,69329.0,461565.0
2018-06-01,TUS,LI,WLD,EXTRHOT,152103.0,866092.0
2018-07-01,TUS,LI,WLD,EXTRHOT,190891.0,1575754.0
2018-08-01,TUS,LI,WLD,EXTRHOT,189390.0,1760013.0
2018-09-01,TUS,LI,WLD,EXTRHOT,94651.0,706731.0
2018-10-01,TUS,LI,WLD,EXTRHOT,17042.0,161126.0
2018-11-01,TUS,LI,WLD,EXTRHOT,3252.0,16007.0
2018-12-01,TUS,LI,WLD,EXTRHOT,4432.0,17451.0
2019-01-01,TUS,LI,WLD,EXTRHOT,2641.0,19938.0
2019-02-01,TUS,LI,WLD,EXTRHOT,2783.0,17817.0
2019-03-01,TUS,LI,WLD,EXTRHOT,5526.0,24542.0
2019-04-01,TUS,LI,WLD,EXTRHOT,45719.0,181372.0
2019-05-01,TUS,LI,WLD,EXTRHOT,40886.0,199646.0
2019-06-01,TUS,LI,WLD,EXTRHOT,172191.0,992854.0
2019-07-01,TUS,LI,WLD,EXTRHOT,191647.0,1573418.0
2019-08-01,TUS,LI,WLD,EXTRHOT,216498.0,1831720.0
2019-09-01,TUS,LI,WLD,EXTRHOT,100387.0,782376.0
2019-10-01,TUS,LI,WLD,EXTRHOT,22191.0,206829.0
2019-11-01,TUS,LI,WLD,EXTRHOT,3587.0,39807.0
2019-12-01,TUS,LI,WLD,EXTRHOT,5953.0,44699.0
2020-01-01,TUS,LI,WLD,EXTRHOT,3055.0,26348.0
2020-02-01,TUS,LI,WLD,EXTRHOT,4093.0,24559.0
2020-03-01,TUS,LI,WLD,EXTRHOT,1032.0,15138.0
2020-04-01,TUS,LI,WLD,EXTRHOT,126.0,10891.0
2020-05-01,TUS,LI,WLD,EXTRHOT,5967.0,22182.0
2020-06-01,TUS,LI,WLD,EXTRHOT,70740.0,323511.0
2020-07-01,TUS,LI,WLD,EXTRHOT,165182.0,1108341.0
2020-08-01,TUS,LI,WLD,EXTRHOT,229361.0,1677132.0
2020-09-01,TUS,LI,WLD,EXTRHOT,118668.0,858614.0
2020-10-01,TUS,LI,WLD,EXTRHOT,19970.0,146589.0
2020-11-01,TUS,LI,WLD,EXTRHOT,1261.0,12361.0
2020-12-01,TUS,LI,WLD,EXTRHOT,1047.0,10866.0
2021-01-01,TUS,LI,WLD,EXTRHOT,1410.0,16620.0
2021-02-01,TUS,LI,WLD,EXTRHOT,2025.0,18290.0
2021-03-01,TUS,LI,WLD,EXTRHOT,1940.0,21774.0
2021-04-01,TUS,LI,WLD,EXTRHOT,5446.0,43635.0
2021-05-01,TUS,LI,WLD,EXTRHOT,51320.0,209843.0
2021-06-01,TUS,LI,WLD,EXTRHOT,141398.0,795056.0
2021-07-01,TUS,LI,WLD,EXTRHOT,220715.0,1572649.0
2021-08-01,TUS,LI,WLD,EXTRHOT,238202.0,1962029.0
2021-09-01,TUS,LI,WLD,EXTRHOT,122283.0,934416.0
2021-10-01,TUS,LI,WLD,EXTRHOT,37404.0,248518.0
2021-11-01,TUS,LI,WLD,EXTRHOT,4081.0,27935.0
2021-12-01,TUS,LI,WLD,EXTRHOT,2860.0,20262.0
