period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,EXTR,HOT,1274.0,5372.0
2009-02-01,TUS,LI,EXTR,HOT,1845.0,6034.0
2009-03-01,TUS,LI,EXTR,HOT,2834.0,8532.0
2009-04-01,TUS,LI,EXTR,HOT,11610.0,41501.0
2009-05-01,TUS,LI,EXTR,HOT,23704.0,94164.0
2009-06-01,TUS,LI,EXTR,HOT,20949.0,106128.0
2009-07-01,TUS,LI,EXTR,HOT,29367.0,159315.0
2009-08-01,TUS,LI,EXTR,HOT,23822.0,108407.0
2009-09-01,TUS,LI,EXTR,HOT,29079.0,164745.0
2009-10-01,TUS,LI,EXTR,HOT,11610.0,61254.0
2009-11-01,TUS,LI,EXTR,HOT,2556.0,10225.0
2009-12-01,TUS,LI,EXTR,HOT,1799.0,6216.0
2010-01-01,TUS,LI,EXTR,HOT,1717.0,8901.0
2010-02-01,TUS,LI,EXTR,HOT,2345.0,10790.0
2010-03-01,TUS,LI,EXTR,HOT,3847.0,15584.0
2010-04-01,TUS,LI,EXTR,HOT,9232.0,36920.0
2010-05-01,TUS,LI,EXTR,HOT,22347.0,100215.0
2010-06-01,TUS,LI,EXTR,HOT,20781.0,112953.0
2010-07-01,TUS,LI,EXTR,HOT,32097.0,173736.0
2010-08-01,TUS,LI,EXTR,HOT,22502.0,123628.0
2010-09-01,TUS,LI,EXTR,HOT,30296.0,167068.0
2010-10-01,TUS,LI,EXTR,HOT,12149.0,62056.0
2010-11-01,TUS,LI,EXTR,HOT,2362.0,10429.0
2010-12-01,TUS,LI,EXTR,HOT,1890.0,10091.0
2011-01-01,TUS,LI,EXTR,HOT,1978.0,9871.0
2011-02-01,TUS,LI,EXTR,HOT,2071.0,10305.0
2011-03-01,TUS,LI,EXTR,HOT,3308.0,12908.0
2011-04-01,TUS,LI,EXTR,HOT,13224.0,47844.0
2011-05-01,TUS,LI,EXTR,HOT,19759.0,79571.0
2011-06-01,TUS,LI,EXTR,HOT,26992.0,135220.0
2011-07-01,TUS,LI,EXTR,HOT,33209.0,177395.0
2011-08-01,TUS,LI,EXTR,HOT,23483.0,137933.0
2011-09-01,TUS,LI,EXTR,HOT,30745.0,175430.0
2011-10-01,TUS,LI,EXTR,HOT,13955.0,76177.0
2011-11-01,TUS,LI,EXTR,HOT,2018.0,15079.0
2011-12-01,TUS,LI,EXTR,HOT,1620.0,14712.0
2012-01-01,TUS,LI,EXTR,HOT,1563.0,11032.0
2012-02-01,TUS,LI,EXTR,HOT,1885.0,11719.0
2012-03-01,TUS,LI,EXTR,HOT,3752.0,15817.0
2012-04-01,TUS,LI,EXTR,HOT,12228.0,47078.0
2012-05-01,TUS,LI,EXTR,HOT,25057.0,104968.0
2012-06-01,TUS,LI,EXTR,HOT,24657.0,125372.0
2012-07-01,TUS,LI,EXTR,HOT,43263.0,210868.0
2012-08-01,TUS,LI,EXTR,HOT,31119.0,152338.0
2012-09-01,TUS,LI,EXTR,HOT,37089.0,185437.0
2012-10-01,TUS,LI,EXTR,HOT,10700.0,67825.0
2012-11-01,TUS,LI,EXTR,HOT,2550.0,13045.0
2012-12-01,TUS,LI,EXTR,HOT,1599.0,11253.0
2013-01-01,TUS,LI,EXTR,HOT,1499.0,5661.0
2013-02-01,TUS,LI,EXTR,HOT,2204.0,8345.0
2013-03-01,TUS,LI,EXTR,HOT,4620.0,21553.0
2013-04-01,TUS,LI,EXTR,HOT,10068.0,36276.0
2013-05-01,TUS,LI,EXTR,HOT,28434.0,128723.0
2013-06-01,TUS,LI,EXTR,HOT,28407.0,126909.0
2013-07-01,TUS,LI,EXTR,HOT,39004.0,228610.0
2013-08-01,TUS,LI,EXTR,HOT,30261.0,163919.0
2013-09-01,TUS,LI,EXTR,HOT,35316.0,188577.0
2013-10-01,TUS,LI,EXTR,HOT,11281.0,58559.0
