period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,IT,HOT,8989.0,29302.0
2009-02-01,TUS,LI,IT,HOT,11502.0,31148.0
2009-03-01,TUS,LI,IT,HOT,14667.0,38951.0
2009-04-01,TUS,LI,IT,HOT,32919.0,79757.0
2009-05-01,TUS,LI,IT,HOT,60686.0,167736.0
2009-06-01,TUS,LI,IT,HOT,69765.0,343846.0
2009-07-01,TUS,LI,IT,HOT,77260.0,469240.0
2009-08-01,TUS,LI,IT,HOT,100489.0,598945.0
2009-09-01,TUS,LI,IT,HOT,48860.0,242067.0
2009-10-01,TUS,LI,IT,HOT,15547.0,48321.0
2009-11-01,TUS,LI,IT,HOT,10568.0,27715.0
2009-12-01,TUS,LI,IT,HOT,12035.0,28739.0
2010-01-01,TUS,LI,IT,HOT,9173.0,25804.0
2010-02-01,TUS,LI,IT,HOT,10941.0,30617.0
2010-03-01,TUS,LI,IT,HOT,15574.0,42527.0
2010-04-01,TUS,LI,IT,HOT,32054.0,78444.0
2010-05-01,TUS,LI,IT,HOT,48997.0,141874.0
2010-06-01,TUS,LI,IT,HOT,73263.0,342218.0
2010-07-01,TUS,LI,IT,HOT,81754.0,469551.0
2010-08-01,TUS,LI,IT,HOT,91955.0,580789.0
2010-09-01,TUS,LI,IT,HOT,46610.0,234502.0
2010-10-01,TUS,LI,IT,HOT,18895.0,59414.0
2010-11-01,TUS,LI,IT,HOT,10086.0,32349.0
2010-12-01,TUS,LI,IT,HOT,11300.0,34895.0
2011-01-01,TUS,LI,IT,HOT,9047.0,34012.0
2011-02-01,TUS,LI,IT,HOT,10375.0,33752.0
2011-03-01,TUS,LI,IT,HOT,16069.0,42955.0
2011-04-01,TUS,LI,IT,HOT,37045.0,92719.0
2011-05-01,TUS,LI,IT,HOT,44995.0,128660.0
2011-06-01,TUS,LI,IT,HOT,77884.0,350179.0
2011-07-01,TUS,LI,IT,HOT,82981.0,488353.0
2011-08-01,TUS,LI,IT,HOT,88657.0,587377.0
2011-09-01,TUS,LI,IT,HOT,51822.0,253595.0
2011-10-01,TUS,LI,IT,HOT,19641.0,65220.0
2011-11-01,TUS,LI,IT,HOT,10349.0,36938.0
2011-12-01,TUS,LI,IT,HOT,13306.0,43241.0
2012-01-01,TUS,LI,IT,HOT,9616.0,36683.0
2012-02-01,TUS,LI,IT,HOT,10195.0,33540.0
2012-03-01,TUS,LI,IT,HOT,16585.0,46575.0
2012-04-01,TUS,LI,IT,HOT,33348.0,81935.0
2012-05-01,TUS,LI,IT,HOT,37540.0,103594.0
2012-06-01,TUS,LI,IT,HOT,70451.0,287864.0
2012-07-01,TUS,LI,IT,HOT,75515.0,396477.0
2012-08-01,TUS,LI,IT,HOT,92373.0,545522.0
2012-09-01,TUS,LI,IT,HOT,49378.0,214690.0
2012-10-01,TUS,LI,IT,HOT,14027.0,44848.0
2012-11-01,TUS,LI,IT,HOT,10692.0,32321.0
2012-12-01,TUS,LI,IT,HOT,10144.0,32288.0
2013-01-01,TUS,LI,IT,HOT,8775.0,25309.0
2013-02-01,TUS,LI,IT,HOT,10656.0,25164.0
2013-03-01,TUS,LI,IT,HOT,18241.0,40599.0
2013-04-01,TUS,LI,IT,HOT,29832.0,78509.0
2013-05-01,TUS,LI,IT,HOT,36942.0,108606.0
2013-06-01,TUS,LI,IT,HOT,73705.0,308144.0
2013-07-01,TUS,LI,IT,HOT,67973.0,416063.0
2013-08-01,TUS,LI,IT,HOT,92367.0,560573.0
2013-09-01,TUS,LI,IT,HOT,45349.0,225929.0
2013-10-01,TUS,LI,IT,HOT,14646.0,49417.0
2013-11-01,TUS,LI,IT,HOT,10484.0,31080.0
2013-12-01,TUS,LI,IT,HOT,10917.0,26128.0
2014-01-01,TUS,LI,IT,HOT,8946.0,23634.0
2014-02-01,TUS,LI,IT,HOT,10564.0,24244.0
2014-03-01,TUS,LI,IT,HOT,16322.0,36118.0
2014-04-01,TUS,LI,IT,HOT,32650.0,79149.0
2014-05-01,TUS,LI,IT,HOT,47812.0,118747.0
2014-06-01,TUS,LI,IT,HOT,71559.0,306565.0
2014-07-01,TUS,LI,IT,HOT,74042.0,436381.0
2014-08-01,TUS,LI,IT,HOT,102057.0,582327.0
2014-09-01,TUS,LI,IT,HOT,47625.0,224160.0
2014-10-01,TUS,LI,IT,HOT,17059.0,48124.0
2014-11-01,TUS,LI,IT,HOT,10412.0,24645.0
2014-12-01,TUS,LI,IT,HOT,11000.0,25070.0
2015-01-01,TUS,LI,IT,HOT,8497.0,25512.0
2015-02-01,TUS,LI,IT,HOT,9641.0,23871.0
2015-03-01,TUS,LI,IT,HOT,14592.0,32270.0
2015-04-01,TUS,LI,IT,HOT,33312.0,75586.0
2015-05-01,TUS,LI,IT,HOT,56721.0,131755.0
2015-06-01,TUS,LI,IT,HOT,72925.0,317184.0
2015-07-01,TUS,LI,IT,HOT,79666.0,455104.0
2015-08-01,TUS,LI,IT,HOT,102413.0,588213.0
2015-09-01,TUS,LI,IT,HOT,44861.0,233394.0
2015-10-01,TUS,LI,IT,HOT,14475.0,50706.0
2015-11-01,TUS,LI,IT,HOT,9104.0,23320.0
2015-12-01,TUS,LI,IT,HOT,11231.0,25987.0
2016-01-01,TUS,LI,IT,HOT,8329.0,27006.0
2016-02-01,TUS,LI,IT,HOT,10416.0,28249.0
2016-03-01,TUS,LI,IT,HOT,18346.0,41613.0
2016-04-01,TUS,LI,IT,HOT,30801.0,65696.0
2016-05-01,TUS,LI,IT,HOT,39694.0,97817.0
2016-06-01,TUS,LI,IT,HOT,76946.0,302913.0
2016-07-01,TUS,LI,IT,HOT,84201.0,420248.0
2016-08-01,TUS,LI,IT,HOT,91972.0,540413.0
2016-09-01,TUS,LI,IT,HOT,56673.0,240942.0
2016-10-01,TUS,LI,IT,HOT,17907.0,51446.0
2016-11-01,TUS,LI,IT,HOT,8845.0,25549.0
2016-12-01,TUS,LI,IT,HOT,11313.0,28010.0
2017-01-01,TUS,LI,IT,HOT,9630.0,25601.0
2017-02-01,TUS,LI,IT,HOT,9762.0,22195.0
2017-03-01,TUS,LI,IT,HOT,16403.0,34633.0
2017-04-01,TUS,LI,IT,HOT,45978.0,102806.0
2017-05-01,TUS,LI,IT,HOT,44457.0,110289.0
2017-06-01,TUS,LI,IT,HOT,83234.0,317423.0
2017-07-01,TUS,LI,IT,HOT,83073.0,414390.0
2017-08-01,TUS,LI,IT,HOT,92486.0,542036.0
2017-09-01,TUS,LI,IT,HOT,51647.0,226033.0
2017-10-01,TUS,LI,IT,HOT,18576.0,49434.0
2017-11-01,TUS,LI,IT,HOT,10579.0,23278.0
2017-12-01,TUS,LI,IT,HOT,11598.0,27073.0
2018-01-01,TUS,LI,IT,HOT,10043.0,24575.0
2018-02-01,TUS,LI,IT,HOT,10786.0,23921.0
2018-03-01,TUS,LI,IT,HOT,18042.0,36268.0
2018-04-01,TUS,LI,IT,HOT,39455.0,89568.0
2018-05-01,TUS,LI,IT,HOT,45426.0,108956.0
2018-06-01,TUS,LI,IT,HOT,83854.0,301419.0
2018-07-01,TUS,LI,IT,HOT,78248.0,405491.0
2018-08-01,TUS,LI,IT,HOT,94229.0,527292.0
2018-09-01,TUS,LI,IT,HOT,63251.0,244069.0
2018-10-01,TUS,LI,IT,HOT,17595.0,43585.0
2018-11-01,TUS,LI,IT,HOT,12146.0,26826.0
