period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,LI,WLD,HOT,9847.0,34533.0
2016-02-01,TUS,LI,WLD,HOT,12883.0,37576.0
2016-03-01,TUS,LI,WLD,HOT,23098.0,59906.0
2016-04-01,TUS,LI,WLD,HOT,41055.0,100359.0
2016-05-01,TUS,LI,WLD,HOT,66483.0,207326.0
2016-06-01,TUS,LI,WLD,HOT,103147.0,416652.0
2016-07-01,TUS,LI,WLD,HOT,125084.0,624195.0
2016-08-01,TUS,LI,WLD,HOT,120303.0,697102.0
2016-09-01,TUS,LI,WLD,HOT,91365.0,423158.0
2016-10-01,TUS,LI,WLD,HOT,30963.0,110025.0
2016-11-01,TUS,LI,WLD,HOT,10943.0,33150.0
2016-12-01,TUS,LI,WLD,HOT,12796.0,34070.0
2017-01-01,TUS,LI,WLD,HOT,11738.0,33441.0
2017-02-01,TUS,LI,WLD,HOT,11733.0,30064.0
2017-03-01,TUS,LI,WLD,HOT,19471.0,44350.0
2017-04-01,TUS,LI,WLD,HOT,60393.0,153053.0
2017-05-01,TUS,LI,WLD,HOT,68955.0,200724.0
2017-06-01,TUS,LI,WLD,HOT,115680.0,473628.0
2017-07-01,TUS,LI,WLD,HOT,123478.0,621662.0
2017-08-01,TUS,LI,WLD,HOT,120711.0,696223.0
2017-09-01,TUS,LI,WLD,HOT,88298.0,406967.0
2017-10-01,TUS,LI,WLD,HOT,34062.0,130855.0
2017-11-01,TUS,LI,WLD,HOT,13065.0,30663.0
2017-12-01,TUS,LI,WLD,HOT,13394.0,33319.0
2018-01-01,TUS,LI,WLD,HOT,12277.0,32945.0
2018-02-01,TUS,LI,WLD,HOT,13571.0,33271.0
2018-03-01,TUS,LI,WLD,HOT,23897.0,55492.0
2018-04-01,TUS,LI,WLD,HOT,53194.0,136190.0
2018-05-01,TUS,LI,WLD,HOT,76236.0,233152.0
2018-06-01,TUS,LI,WLD,HOT,114754.0,431081.0
2018-07-01,TUS,LI,WLD,HOT,119661.0,615212.0
2018-08-01,TUS,LI,WLD,HOT,123006.0,670474.0
2018-09-01,TUS,LI,WLD,HOT,100681.0,408562.0
2018-10-01,TUS,LI,WLD,HOT,32786.0,110616.0
2018-11-01,TUS,LI,WLD,HOT,15111.0,34922.0
2018-12-01,TUS,LI,WLD,HOT,15016.0,33310.0
2019-01-01,TUS,LI,WLD,HOT,12170.0,30533.0
2019-02-01,TUS,LI,WLD,HOT,14282.0,31643.0
2019-03-01,TUS,LI,WLD,HOT,22838.0,49907.0
2019-04-01,TUS,LI,WLD,HOT,55373.0,144531.0
2019-05-01,TUS,LI,WLD,HOT,72678.0,202402.0
2019-06-01,TUS,LI,WLD,HOT,123174.0,464168.0
2019-07-01,TUS,LI,WLD,HOT,117042.0,607634.0
2019-08-01,TUS,LI,WLD,HOT,130532.0,676957.0
2019-09-01,TUS,LI,WLD,HOT,98899.0,409178.0
2019-10-01,TUS,LI,WLD,HOT,37614.0,116676.0
2019-11-01,TUS,LI,WLD,HOT,17330.0,37675.0
2019-12-01,TUS,LI,WLD,HOT,17488.0,38118.0
2020-01-01,TUS,LI,WLD,HOT,14895.0,34674.0
2020-02-01,TUS,LI,WLD,HOT,16111.0,36080.0
2020-03-01,TUS,LI,WLD,HOT,3929.0,15543.0
2020-04-01,TUS,LI,WLD,HOT,657.0,8769.0
2020-05-01,TUS,LI,WLD,HOT,4528.0,14790.0
2020-06-01,TUS,LI,WLD,HOT,48503.0,161960.0
2020-07-01,TUS,LI,WLD,HOT,105787.0,490164.0
2020-08-01,TUS,LI,WLD,HOT,127875.0,633350.0
2020-09-01,TUS,LI,WLD,HOT,87134.0,395306.0
2020-10-01,TUS,LI,WLD,HOT,26197.0,84931.0
2020-11-01,TUS,LI,WLD,HOT,5392.0,15592.0
2020-12-01,TUS,LI,WLD,HOT,5140.0,14452.0
2021-01-01,TUS,LI,WLD,HOT,6590.0,16415.0
2021-02-01,TUS,LI,WLD,HOT,7895.0,19389.0
2021-03-01,TUS,LI,WLD,HOT,8225.0,21602.0
2021-04-01,TUS,LI,WLD,HOT,9399.0,23022.0
2021-05-01,TUS,LI,WLD,HOT,39671.0,98435.0
2021-06-01,TUS,LI,WLD,HOT,104245.0,396367.0
2021-07-01,TUS,LI,WLD,HOT,137121.0,653480.0
2021-08-01,TUS,LI,WLD,HOT,133119.0,702730.0
2021-09-01,TUS,LI,WLD,HOT,101344.0,448625.0
2021-10-01,TUS,LI,WLD,HOT,39861.0,120764.0
2021-11-01,TUS,LI,WLD,HOT,12012.0,25524.0
2021-12-01,TUS,LI,WLD,HOT,7257.0,16349.0
