period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,EXTR,TOT,1341.0,6779.0
2009-02-01,TUS,LI,EXTR,TOT,1961.0,7788.0
2009-03-01,TUS,LI,EXTR,TOT,3319.0,11909.0
2009-04-01,TUS,LI,EXTR,TOT,21685.0,97921.0
2009-05-01,TUS,LI,EXTR,TOT,47412.0,253493.0
2009-06-01,TUS,LI,EXTR,TOT,50903.0,398223.0
2009-07-01,TUS,LI,EXTR,TOT,97768.0,783214.0
2009-08-01,TUS,LI,EXTR,TOT,81981.0,624843.0
2009-09-01,TUS,LI,EXTR,TOT,59178.0,501729.0
2009-10-01,TUS,LI,EXTR,TOT,20207.0,143637.0
2009-11-01,TUS,LI,EXTR,TOT,2696.0,12096.0
2009-12-01,TUS,LI,EXTR,TOT,1879.0,7561.0
2010-01-01,TUS,LI,EXTR,TOT,1780.0,13843.0
2010-02-01,TUS,LI,EXTR,TOT,2428.0,15148.0
2010-03-01,TUS,LI,EXTR,TOT,4862.0,23723.0
2010-04-01,TUS,LI,EXTR,TOT,14092.0,64661.0
2010-05-01,TUS,LI,EXTR,TOT,54317.0,335892.0
2010-06-01,TUS,LI,EXTR,TOT,46781.0,355330.0
2010-07-01,TUS,LI,EXTR,TOT,101459.0,758557.0
2010-08-01,TUS,LI,EXTR,TOT,80217.0,609177.0
2010-09-01,TUS,LI,EXTR,TOT,61699.0,508894.0
2010-10-01,TUS,LI,EXTR,TOT,21487.0,169306.0
2010-11-01,TUS,LI,EXTR,TOT,2579.0,14220.0
2010-12-01,TUS,LI,EXTR,TOT,2040.0,11925.0
2011-01-01,TUS,LI,EXTR,TOT,2115.0,12013.0
2011-02-01,TUS,LI,EXTR,TOT,2222.0,12559.0
2011-03-01,TUS,LI,EXTR,TOT,3783.0,17507.0
2011-04-01,TUS,LI,EXTR,TOT,22950.0,98813.0
2011-05-01,TUS,LI,EXTR,TOT,35710.0,186333.0
2011-06-01,TUS,LI,EXTR,TOT,70688.0,509251.0
2011-07-01,TUS,LI,EXTR,TOT,109336.0,783675.0
2011-08-01,TUS,LI,EXTR,TOT,81640.0,686889.0
2011-09-01,TUS,LI,EXTR,TOT,62680.0,529911.0
2011-10-01,TUS,LI,EXTR,TOT,24735.0,201604.0
2011-11-01,TUS,LI,EXTR,TOT,2200.0,25835.0
2011-12-01,TUS,LI,EXTR,TOT,1720.0,21778.0
2012-01-01,TUS,LI,EXTR,TOT,1627.0,12377.0
2012-02-01,TUS,LI,EXTR,TOT,1986.0,12963.0
2012-03-01,TUS,LI,EXTR,TOT,4730.0,21667.0
2012-04-01,TUS,LI,EXTR,TOT,19875.0,90236.0
2012-05-01,TUS,LI,EXTR,TOT,52553.0,279644.0
2012-06-01,TUS,LI,EXTR,TOT,57005.0,451710.0
2012-07-01,TUS,LI,EXTR,TOT,117013.0,853858.0
2012-08-01,TUS,LI,EXTR,TOT,87831.0,697708.0
2012-09-01,TUS,LI,EXTR,TOT,75544.0,548936.0
2012-10-01,TUS,LI,EXTR,TOT,19227.0,197611.0
2012-11-01,TUS,LI,EXTR,TOT,2786.0,16178.0
2012-12-01,TUS,LI,EXTR,TOT,1782.0,14030.0
2013-01-01,TUS,LI,EXTR,TOT,1595.0,7119.0
2013-02-01,TUS,LI,EXTR,TOT,2387.0,10056.0
2013-03-01,TUS,LI,EXTR,TOT,7250.0,35682.0
2013-04-01,TUS,LI,EXTR,TOT,17042.0,73616.0
2013-05-01,TUS,LI,EXTR,TOT,58631.0,378497.0
2013-06-01,TUS,LI,EXTR,TOT,63850.0,391388.0
2013-07-01,TUS,LI,EXTR,TOT,104767.0,884464.0
2013-08-01,TUS,LI,EXTR,TOT,86525.0,710039.0
2013-09-01,TUS,LI,EXTR,TOT,67468.0,523789.0
2013-10-01,TUS,LI,EXTR,TOT,20442.0,167118.0
2013-11-01,TUS,LI,EXTR,TOT,2827.0,13312.0
2013-12-01,TUS,LI,EXTR,TOT,1906.0,9516.0
2014-01-01,TUS,LI,EXTR,TOT,2063.0,9855.0
2014-02-01,TUS,LI,EXTR,TOT,2544.0,12120.0
2014-03-01,TUS,LI,EXTR,TOT,4272.0,15063.0
2014-04-01,TUS,LI,EXTR,TOT,23302.0,102069.0
2014-05-01,TUS,LI,EXTR,TOT,41361.0,194407.0
2014-06-01,TUS,LI,EXTR,TOT,77467.0,537602.0
2014-07-01,TUS,LI,EXTR,TOT,103786.0,792858.0
2014-08-01,TUS,LI,EXTR,TOT,100630.0,715819.0
2014-09-01,TUS,LI,EXTR,TOT,74509.0,583397.0
2014-10-01,TUS,LI,EXTR,TOT,23701.0,172857.0
2014-11-01,TUS,LI,EXTR,TOT,2562.0,10169.0
2014-12-01,TUS,LI,EXTR,TOT,2012.0,8502.0
2015-01-01,TUS,LI,EXTR,TOT,1608.0,9224.0
2015-02-01,TUS,LI,EXTR,TOT,2368.0,11180.0
