period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LI,IT,TOT,10322.0,36041.0
2009-02-01,TUS,LI,IT,TOT,12870.0,36858.0
2009-03-01,TUS,LI,IT,TOT,17238.0,47588.0
2009-04-01,TUS,LI,IT,TOT,51642.0,150150.0
2009-05-01,TUS,LI,IT,TOT,106129.0,334410.0
2009-06-01,TUS,LI,IT,TOT,142368.0,887353.0
2009-07-01,TUS,LI,IT,TOT,167951.0,1355239.0
2009-08-01,TUS,LI,IT,TOT,222910.0,1887638.0
2009-09-01,TUS,LI,IT,TOT,73233.0,505879.0
2009-10-01,TUS,LI,IT,TOT,18416.0,69589.0
2009-11-01,TUS,LI,IT,TOT,12419.0,34481.0
2009-12-01,TUS,LI,IT,TOT,14475.0,36036.0
2010-01-01,TUS,LI,IT,TOT,11588.0,37065.0
2010-02-01,TUS,LI,IT,TOT,12293.0,39399.0
2010-03-01,TUS,LI,IT,TOT,18196.0,54727.0
2010-04-01,TUS,LI,IT,TOT,47767.0,137598.0
2010-05-01,TUS,LI,IT,TOT,74314.0,252810.0
2010-06-01,TUS,LI,IT,TOT,144071.0,811415.0
2010-07-01,TUS,LI,IT,TOT,181028.0,1362933.0
2010-08-01,TUS,LI,IT,TOT,203469.0,1822846.0
2010-09-01,TUS,LI,IT,TOT,70471.0,513452.0
2010-10-01,TUS,LI,IT,TOT,22785.0,99230.0
2010-11-01,TUS,LI,IT,TOT,11626.0,42806.0
2010-12-01,TUS,LI,IT,TOT,13742.0,47378.0
2011-01-01,TUS,LI,IT,TOT,11635.0,49050.0
2011-02-01,TUS,LI,IT,TOT,12226.0,45236.0
2011-03-01,TUS,LI,IT,TOT,19215.0,57129.0
2011-04-01,TUS,LI,IT,TOT,58195.0,156681.0
2011-05-01,TUS,LI,IT,TOT,73746.0,242299.0
2011-06-01,TUS,LI,IT,TOT,165405.0,865627.0
2011-07-01,TUS,LI,IT,TOT,189774.0,1422104.0
2011-08-01,TUS,LI,IT,TOT,203824.0,1855339.0
2011-09-01,TUS,LI,IT,TOT,84833.0,542398.0
2011-10-01,TUS,LI,IT,TOT,24093.0,98822.0
2011-11-01,TUS,LI,IT,TOT,12259.0,52561.0
2011-12-01,TUS,LI,IT,TOT,15897.0,54117.0
2012-01-01,TUS,LI,IT,TOT,11341.0,44806.0
2012-02-01,TUS,LI,IT,TOT,11583.0,41105.0
2012-03-01,TUS,LI,IT,TOT,20278.0,67879.0
2012-04-01,TUS,LI,IT,TOT,56912.0,165250.0
2012-05-01,TUS,LI,IT,TOT,54044.0,192826.0
2012-06-01,TUS,LI,IT,TOT,159448.0,764514.0
2012-07-01,TUS,LI,IT,TOT,167869.0,1248134.0
2012-08-01,TUS,LI,IT,TOT,211890.0,1804929.0
2012-09-01,TUS,LI,IT,TOT,82155.0,494385.0
2012-10-01,TUS,LI,IT,TOT,17125.0,78512.0
