period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,LI,WLD,TOT,11720.0,45155.0
2016-02-01,TUS,LI,WLD,TOT,14553.0,45221.0
2016-03-01,TUS,LI,WLD,TOT,33464.0,95520.0
2016-04-01,TUS,LI,WLD,TOT,64664.0,190648.0
2016-05-01,TUS,LI,WLD,TOT,121781.0,562733.0
2016-06-01,TUS,LI,WLD,TOT,227623.0,1166250.0
2016-07-01,TUS,LI,WLD,TOT,320785.0,2095464.0
2016-08-01,TUS,LI,WLD,TOT,308414.0,2474816.0
2016-09-01,TUS,LI,WLD,TOT,171579.0,1117375.0
2016-10-01,TUS,LI,WLD,TOT,51473.0,279978.0
2016-11-01,TUS,LI,WLD,TOT,13011.0,49111.0
2016-12-01,TUS,LI,WLD,TOT,16754.0,50340.0
2017-01-01,TUS,LI,WLD,TOT,13695.0,48266.0
2017-02-01,TUS,LI,WLD,TOT,13816.0,43375.0
2017-03-01,TUS,LI,WLD,TOT,23844.0,64632.0
2017-04-01,TUS,LI,WLD,TOT,109999.0,324192.0
2017-05-01,TUS,LI,WLD,TOT,113515.0,426926.0
2017-06-01,TUS,LI,WLD,TOT,279211.0,1459341.0
2017-07-01,TUS,LI,WLD,TOT,326284.0,2201825.0
2017-08-01,TUS,LI,WLD,TOT,311219.0,2550032.0
2017-09-01,TUS,LI,WLD,TOT,174782.0,1145386.0
2017-10-01,TUS,LI,WLD,TOT,51955.0,302712.0
2017-11-01,TUS,LI,WLD,TOT,15784.0,45753.0
2017-12-01,TUS,LI,WLD,TOT,17734.0,51132.0
2018-01-01,TUS,LI,WLD,TOT,14554.0,49771.0
2018-02-01,TUS,LI,WLD,TOT,15756.0,47268.0
2018-03-01,TUS,LI,WLD,TOT,33780.0,90585.0
2018-04-01,TUS,LI,WLD,TOT,96817.0,297321.0
2018-05-01,TUS,LI,WLD,TOT,145565.0,694717.0
2018-06-01,TUS,LI,WLD,TOT,266857.0,1297173.0
2018-07-01,TUS,LI,WLD,TOT,310552.0,2190966.0
2018-08-01,TUS,LI,WLD,TOT,312396.0,2430487.0
2018-09-01,TUS,LI,WLD,TOT,195332.0,1115293.0
2018-10-01,TUS,LI,WLD,TOT,49828.0,271742.0
2018-11-01,TUS,LI,WLD,TOT,18363.0,50929.0
2018-12-01,TUS,LI,WLD,TOT,19448.0,50761.0
2019-01-01,TUS,LI,WLD,TOT,14811.0,50471.0
2019-02-01,TUS,LI,WLD,TOT,17065.0,49460.0
2019-03-01,TUS,LI,WLD,TOT,28364.0,74449.0
2019-04-01,TUS,LI,WLD,TOT,101092.0,325903.0
2019-05-01,TUS,LI,WLD,TOT,113564.0,402048.0
2019-06-01,TUS,LI,WLD,TOT,295365.0,1457022.0
2019-07-01,TUS,LI,WLD,TOT,308689.0,2181052.0
2019-08-01,TUS,LI,WLD,TOT,347030.0,2508677.0
2019-09-01,TUS,LI,WLD,TOT,199286.0,1191554.0
2019-10-01,TUS,LI,WLD,TOT,59805.0,323505.0
2019-11-01,TUS,LI,WLD,TOT,20917.0,77482.0
2019-12-01,TUS,LI,WLD,TOT,23441.0,82817.0
2020-01-01,TUS,LI,WLD,TOT,17950.0,61022.0
2020-02-01,TUS,LI,WLD,TOT,20204.0,60639.0
2020-03-01,TUS,LI,WLD,TOT,4961.0,30681.0
2020-04-01,TUS,LI,WLD,TOT,783.0,19660.0
2020-05-01,TUS,LI,WLD,TOT,10495.0,36972.0
2020-06-01,TUS,LI,WLD,TOT,119243.0,485471.0
2020-07-01,TUS,LI,WLD,TOT,270969.0,1598505.0
2020-08-01,TUS,LI,WLD,TOT,357236.0,2310482.0
2020-09-01,TUS,LI,WLD,TOT,205802.0,1253920.0
2020-10-01,TUS,LI,WLD,TOT,46167.0,231520.0
2020-11-01,TUS,LI,WLD,TOT,6653.0,27953.0
2020-12-01,TUS,LI,WLD,TOT,6187.0,25318.0
2021-01-01,TUS,LI,WLD,TOT,8000.0,33035.0
2021-02-01,TUS,LI,WLD,TOT,9920.0,37679.0
2021-03-01,TUS,LI,WLD,TOT,10165.0,43376.0
2021-04-01,TUS,LI,WLD,TOT,14845.0,66657.0
2021-05-01,TUS,LI,WLD,TOT,90991.0,308278.0
2021-06-01,TUS,LI,WLD,TOT,245643.0,1191423.0
2021-07-01,TUS,LI,WLD,TOT,357836.0,2226129.0
2021-08-01,TUS,LI,WLD,TOT,371321.0,2664759.0
2021-09-01,TUS,LI,WLD,TOT,223627.0,1383041.0
2021-10-01,TUS,LI,WLD,TOT,77265.0,369282.0
2021-11-01,TUS,LI,WLD,TOT,16093.0,53459.0
2021-12-01,TUS,LI,WLD,TOT,10117.0,36611.0
