period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,EXTR,EXTRHOT,619.0,2409.0
2009-02-01,TUS,LU,EXTR,EXTRHOT,842.0,3086.0
2009-03-01,TUS,LU,EXTR,EXTRHOT,1900.0,6019.0
2009-04-01,TUS,LU,EXTR,EXTRHOT,5684.0,15937.0
2009-05-01,TUS,LU,EXTR,EXTRHOT,9997.0,33385.0
2009-06-01,TUS,LU,EXTR,EXTRHOT,11606.0,50219.0
2009-07-01,TUS,LU,EXTR,EXTRHOT,17993.0,106313.0
2009-08-01,TUS,LU,EXTR,EXTRHOT,17449.0,102189.0
2009-09-01,TUS,LU,EXTR,EXTRHOT,11826.0,54907.0
2009-10-01,TUS,LU,EXTR,EXTRHOT,5491.0,21356.0
2009-11-01,TUS,LU,EXTR,EXTRHOT,941.0,4837.0
2009-12-01,TUS,LU,EXTR,EXTRHOT,821.0,3942.0
2010-01-01,TUS,LU,EXTR,EXTRHOT,502.0,2413.0
2010-02-01,TUS,LU,EXTR,EXTRHOT,766.0,2737.0
2010-03-01,TUS,LU,EXTR,EXTRHOT,1615.0,5312.0
2010-04-01,TUS,LU,EXTR,EXTRHOT,4491.0,14154.0
2010-05-01,TUS,LU,EXTR,EXTRHOT,9614.0,33651.0
2010-06-01,TUS,LU,EXTR,EXTRHOT,10870.0,48326.0
2010-07-01,TUS,LU,EXTR,EXTRHOT,20614.0,109867.0
2010-08-01,TUS,LU,EXTR,EXTRHOT,16517.0,97884.0
2010-09-01,TUS,LU,EXTR,EXTRHOT,12551.0,54892.0
2010-10-01,TUS,LU,EXTR,EXTRHOT,5177.0,18105.0
2010-11-01,TUS,LU,EXTR,EXTRHOT,853.0,4388.0
2010-12-01,TUS,LU,EXTR,EXTRHOT,597.0,3583.0
2011-01-01,TUS,LU,EXTR,EXTRHOT,433.0,2387.0
2011-02-01,TUS,LU,EXTR,EXTRHOT,844.0,3109.0
2011-03-01,TUS,LU,EXTR,EXTRHOT,1680.0,5799.0
2011-04-01,TUS,LU,EXTR,EXTRHOT,6864.0,21122.0
2011-05-01,TUS,LU,EXTR,EXTRHOT,9377.0,31457.0
2011-06-01,TUS,LU,EXTR,EXTRHOT,12947.0,58324.0
2011-07-01,TUS,LU,EXTR,EXTRHOT,22520.0,111102.0
2011-08-01,TUS,LU,EXTR,EXTRHOT,17916.0,98613.0
2011-09-01,TUS,LU,EXTR,EXTRHOT,13585.0,58813.0
2011-10-01,TUS,LU,EXTR,EXTRHOT,5884.0,22451.0
2011-11-01,TUS,LU,EXTR,EXTRHOT,1042.0,4973.0
2011-12-01,TUS,LU,EXTR,EXTRHOT,1053.0,4190.0
2012-01-01,TUS,LU,EXTR,EXTRHOT,545.0,4960.0
2012-02-01,TUS,LU,EXTR,EXTRHOT,726.0,5214.0
2012-03-01,TUS,LU,EXTR,EXTRHOT,1896.0,7440.0
2012-04-01,TUS,LU,EXTR,EXTRHOT,6212.0,19444.0
2012-05-01,TUS,LU,EXTR,EXTRHOT,11180.0,42021.0
2012-06-01,TUS,LU,EXTR,EXTRHOT,13347.0,55454.0
2012-07-01,TUS,LU,EXTR,EXTRHOT,24836.0,127595.0
2012-08-01,TUS,LU,EXTR,EXTRHOT,18826.0,114860.0
2012-09-01,TUS,LU,EXTR,EXTRHOT,14050.0,67379.0
2012-10-01,TUS,LU,EXTR,EXTRHOT,5266.0,21599.0
