period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,IT,EXTRHOT,2120.0,9411.0
2009-02-01,TUS,LU,IT,EXTRHOT,3022.0,10297.0
2009-03-01,TUS,LU,IT,EXTRHOT,3280.0,16378.0
2009-04-01,TUS,LU,IT,EXTRHOT,9714.0,34263.0
2009-05-01,TUS,LU,IT,EXTRHOT,12964.0,65260.0
2009-06-01,TUS,LU,IT,EXTRHOT,10738.0,88910.0
2009-07-01,TUS,LU,IT,EXTRHOT,15023.0,147387.0
2009-08-01,TUS,LU,IT,EXTRHOT,22990.0,239612.0
2009-09-01,TUS,LU,IT,EXTRHOT,6513.0,70158.0
2009-10-01,TUS,LU,IT,EXTRHOT,5723.0,23419.0
2009-11-01,TUS,LU,IT,EXTRHOT,2330.0,15413.0
2009-12-01,TUS,LU,IT,EXTRHOT,4474.0,18194.0
2010-01-01,TUS,LU,IT,EXTRHOT,1646.0,8868.0
2010-02-01,TUS,LU,IT,EXTRHOT,2806.0,11335.0
2010-03-01,TUS,LU,IT,EXTRHOT,2881.0,10160.0
2010-04-01,TUS,LU,IT,EXTRHOT,8928.0,31501.0
2010-05-01,TUS,LU,IT,EXTRHOT,7679.0,43975.0
2010-06-01,TUS,LU,IT,EXTRHOT,11670.0,76386.0
2010-07-01,TUS,LU,IT,EXTRHOT,17460.0,143120.0
2010-08-01,TUS,LU,IT,EXTRHOT,19659.0,221634.0
2010-09-01,TUS,LU,IT,EXTRHOT,5971.0,90161.0
2010-10-01,TUS,LU,IT,EXTRHOT,5572.0,20254.0
2010-11-01,TUS,LU,IT,EXTRHOT,2239.0,10140.0
2010-12-01,TUS,LU,IT,EXTRHOT,3706.0,11977.0
2011-01-01,TUS,LU,IT,EXTRHOT,2449.0,9913.0
2011-02-01,TUS,LU,IT,EXTRHOT,2225.0,7161.0
2011-03-01,TUS,LU,IT,EXTRHOT,3983.0,12543.0
2011-04-01,TUS,LU,IT,EXTRHOT,8773.0,26754.0
2011-05-01,TUS,LU,IT,EXTRHOT,7317.0,37055.0
2011-06-01,TUS,LU,IT,EXTRHOT,12815.0,71461.0
2011-07-01,TUS,LU,IT,EXTRHOT,17816.0,130488.0
2011-08-01,TUS,LU,IT,EXTRHOT,20863.0,200141.0
2011-09-01,TUS,LU,IT,EXTRHOT,6770.0,71459.0
2011-10-01,TUS,LU,IT,EXTRHOT,6359.0,21805.0
2011-11-01,TUS,LU,IT,EXTRHOT,2001.0,7989.0
2011-12-01,TUS,LU,IT,EXTRHOT,4052.0,10877.0
2012-01-01,TUS,LU,IT,EXTRHOT,2318.0,11581.0
2012-02-01,TUS,LU,IT,EXTRHOT,1728.0,8953.0
2012-03-01,TUS,LU,IT,EXTRHOT,3718.0,9416.0
2012-04-01,TUS,LU,IT,EXTRHOT,9498.0,32469.0
2012-05-01,TUS,LU,IT,EXTRHOT,4717.0,35382.0
2012-06-01,TUS,LU,IT,EXTRHOT,12880.0,70820.0
2012-07-01,TUS,LU,IT,EXTRHOT,16831.0,133324.0
2012-08-01,TUS,LU,IT,EXTRHOT,20648.0,200265.0
2012-09-01,TUS,LU,IT,EXTRHOT,6827.0,67248.0
2012-10-01,TUS,LU,IT,EXTRHOT,4072.0,10941.0
2012-11-01,TUS,LU,IT,EXTRHOT,4047.0,12077.0
2012-12-01,TUS,LU,IT,EXTRHOT,4164.0,10145.0
2013-01-01,TUS,LU,IT,EXTRHOT,1889.0,8634.0
2013-02-01,TUS,LU,IT,EXTRHOT,2021.0,7433.0
2013-03-01,TUS,LU,IT,EXTRHOT,4554.0,12907.0
2013-04-01,TUS,LU,IT,EXTRHOT,7527.0,20691.0
2013-05-01,TUS,LU,IT,EXTRHOT,6047.0,25547.0
2013-06-01,TUS,LU,IT,EXTRHOT,11242.0,55657.0
2013-07-01,TUS,LU,IT,EXTRHOT,15509.0,107113.0
2013-08-01,TUS,LU,IT,EXTRHOT,19993.0,156079.0
2013-09-01,TUS,LU,IT,EXTRHOT,7379.0,52514.0
2013-10-01,TUS,LU,IT,EXTRHOT,6689.0,17887.0
2013-11-01,TUS,LU,IT,EXTRHOT,4304.0,14465.0
2013-12-01,TUS,LU,IT,EXTRHOT,4418.0,11740.0
2014-01-01,TUS,LU,IT,EXTRHOT,2136.0,10112.0
2014-02-01,TUS,LU,IT,EXTRHOT,2520.0,9278.0
2014-03-01,TUS,LU,IT,EXTRHOT,4516.0,12394.0
2014-04-01,TUS,LU,IT,EXTRHOT,8476.0,26035.0
2014-05-01,TUS,LU,IT,EXTRHOT,8238.0,34540.0
2014-06-01,TUS,LU,IT,EXTRHOT,10868.0,61669.0
2014-07-01,TUS,LU,IT,EXTRHOT,15069.0,110205.0
