period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,LU,WLD,EXTRHOT,3491.0,25525.0
2016-02-01,TUS,LU,WLD,EXTRHOT,3661.0,22380.0
2016-03-01,TUS,LU,WLD,EXTRHOT,8076.0,34030.0
2016-04-01,TUS,LU,WLD,EXTRHOT,11805.0,43874.0
2016-05-01,TUS,LU,WLD,EXTRHOT,17135.0,74624.0
2016-06-01,TUS,LU,WLD,EXTRHOT,25684.0,123583.0
2016-07-01,TUS,LU,WLD,EXTRHOT,42914.0,262276.0
2016-08-01,TUS,LU,WLD,EXTRHOT,38941.0,316268.0
2016-09-01,TUS,LU,WLD,EXTRHOT,20523.0,155475.0
2016-10-01,TUS,LU,WLD,EXTRHOT,12205.0,46559.0
2016-11-01,TUS,LU,WLD,EXTRHOT,3686.0,12695.0
2016-12-01,TUS,LU,WLD,EXTRHOT,5284.0,15980.0
2017-01-01,TUS,LU,WLD,EXTRHOT,3425.0,11846.0
2017-02-01,TUS,LU,WLD,EXTRHOT,4026.0,12309.0
2017-03-01,TUS,LU,WLD,EXTRHOT,5602.0,15315.0
2017-04-01,TUS,LU,WLD,EXTRHOT,19445.0,54226.0
2017-05-01,TUS,LU,WLD,EXTRHOT,17215.0,67881.0
2017-06-01,TUS,LU,WLD,EXTRHOT,29843.0,132849.0
2017-07-01,TUS,LU,WLD,EXTRHOT,44159.0,251572.0
2017-08-01,TUS,LU,WLD,EXTRHOT,42037.0,304151.0
2017-09-01,TUS,LU,WLD,EXTRHOT,22813.0,149342.0
2017-10-01,TUS,LU,WLD,EXTRHOT,11894.0,34342.0
2017-11-01,TUS,LU,WLD,EXTRHOT,6649.0,19774.0
2017-12-01,TUS,LU,WLD,EXTRHOT,6532.0,15952.0
2018-01-01,TUS,LU,WLD,EXTRHOT,3325.0,10888.0
2018-02-01,TUS,LU,WLD,EXTRHOT,3910.0,10687.0
2018-03-01,TUS,LU,WLD,EXTRHOT,7723.0,19315.0
2018-04-01,TUS,LU,WLD,EXTRHOT,17237.0,51915.0
2018-05-01,TUS,LU,WLD,EXTRHOT,19496.0,81853.0
2018-06-01,TUS,LU,WLD,EXTRHOT,32026.0,138356.0
2018-07-01,TUS,LU,WLD,EXTRHOT,43930.0,270589.0
2018-08-01,TUS,LU,WLD,EXTRHOT,43564.0,315911.0
2018-09-01,TUS,LU,WLD,EXTRHOT,23287.0,138500.0
2018-10-01,TUS,LU,WLD,EXTRHOT,11538.0,33685.0
2018-11-01,TUS,LU,WLD,EXTRHOT,5821.0,18838.0
2018-12-01,TUS,LU,WLD,EXTRHOT,5924.0,15612.0
2019-01-01,TUS,LU,WLD,EXTRHOT,3463.0,12240.0
2019-02-01,TUS,LU,WLD,EXTRHOT,3917.0,11678.0
2019-03-01,TUS,LU,WLD,EXTRHOT,7210.0,19362.0
2019-04-01,TUS,LU,WLD,EXTRHOT,19125.0,55635.0
2019-05-01,TUS,LU,WLD,EXTRHOT,17916.0,69667.0
2019-06-01,TUS,LU,WLD,EXTRHOT,36310.0,159859.0
2019-07-01,TUS,LU,WLD,EXTRHOT,45245.0,281402.0
2019-08-01,TUS,LU,WLD,EXTRHOT,49255.0,345435.0
2019-09-01,TUS,LU,WLD,EXTRHOT,25772.0,155873.0
2019-10-01,TUS,LU,WLD,EXTRHOT,14979.0,44539.0
2019-11-01,TUS,LU,WLD,EXTRHOT,5703.0,18377.0
2019-12-01,TUS,LU,WLD,EXTRHOT,5826.0,15554.0
2020-01-01,TUS,LU,WLD,EXTRHOT,3874.0,12774.0
2020-02-01,TUS,LU,WLD,EXTRHOT,2257.0,8241.0
2020-03-01,TUS,LU,WLD,EXTRHOT,325.0,1869.0
2020-04-01,TUS,LU,WLD,EXTRHOT,37.0,3040.0
2020-05-01,TUS,LU,WLD,EXTRHOT,322.0,2023.0
2020-06-01,TUS,LU,WLD,EXTRHOT,7171.0,28179.0
2020-07-01,TUS,LU,WLD,EXTRHOT,24538.0,162271.0
2020-08-01,TUS,LU,WLD,EXTRHOT,35595.0,261915.0
2020-09-01,TUS,LU,WLD,EXTRHOT,16436.0,95102.0
2020-10-01,TUS,LU,WLD,EXTRHOT,3094.0,9824.0
2020-11-01,TUS,LU,WLD,EXTRHOT,529.0,4026.0
2020-12-01,TUS,LU,WLD,EXTRHOT,578.0,4834.0
2021-01-01,TUS,LU,WLD,EXTRHOT,903.0,6561.0
2021-02-01,TUS,LU,WLD,EXTRHOT,1232.0,6695.0
2021-03-01,TUS,LU,WLD,EXTRHOT,1042.0,8870.0
2021-04-01,TUS,LU,WLD,EXTRHOT,1033.0,7562.0
2021-05-01,TUS,LU,WLD,EXTRHOT,9999.0,48303.0
2021-06-01,TUS,LU,WLD,EXTRHOT,21870.0,125171.0
2021-07-01,TUS,LU,WLD,EXTRHOT,43345.0,260320.0
2021-08-01,TUS,LU,WLD,EXTRHOT,50622.0,355585.0
2021-09-01,TUS,LU,WLD,EXTRHOT,25365.0,165740.0
2021-10-01,TUS,LU,WLD,EXTRHOT,12468.0,34328.0
2021-11-01,TUS,LU,WLD,EXTRHOT,4179.0,14085.0
2021-12-01,TUS,LU,WLD,EXTRHOT,4618.0,13677.0
