period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,EXTR,HOT,3103.0,9014.0
2009-02-01,TUS,LU,EXTR,HOT,5884.0,18331.0
2009-03-01,TUS,LU,EXTR,HOT,10278.0,27813.0
2009-04-01,TUS,LU,EXTR,HOT,27092.0,77822.0
2009-05-01,TUS,LU,EXTR,HOT,40811.0,128029.0
2009-06-01,TUS,LU,EXTR,HOT,32791.0,127148.0
2009-07-01,TUS,LU,EXTR,HOT,36377.0,154517.0
2009-08-01,TUS,LU,EXTR,HOT,31591.0,132436.0
2009-09-01,TUS,LU,EXTR,HOT,46364.0,177243.0
2009-10-01,TUS,LU,EXTR,HOT,30666.0,98857.0
2009-11-01,TUS,LU,EXTR,HOT,6198.0,19502.0
2009-12-01,TUS,LU,EXTR,HOT,3754.0,12759.0
2010-01-01,TUS,LU,EXTR,HOT,3398.0,9260.0
2010-02-01,TUS,LU,EXTR,HOT,5479.0,15666.0
2010-03-01,TUS,LU,EXTR,HOT,10781.0,28431.0
2010-04-01,TUS,LU,EXTR,HOT,29634.0,84665.0
2010-05-01,TUS,LU,EXTR,HOT,49621.0,161302.0
2010-06-01,TUS,LU,EXTR,HOT,34757.0,137230.0
2010-07-01,TUS,LU,EXTR,HOT,40886.0,168808.0
2010-08-01,TUS,LU,EXTR,HOT,34150.0,147095.0
2010-09-01,TUS,LU,EXTR,HOT,50801.0,192951.0
2010-10-01,TUS,LU,EXTR,HOT,34209.0,107855.0
2010-11-01,TUS,LU,EXTR,HOT,5969.0,18182.0
2010-12-01,TUS,LU,EXTR,HOT,3946.0,14466.0
2011-01-01,TUS,LU,EXTR,HOT,3431.0,8905.0
2011-02-01,TUS,LU,EXTR,HOT,5364.0,15233.0
2011-03-01,TUS,LU,EXTR,HOT,11083.0,29462.0
2011-04-01,TUS,LU,EXTR,HOT,34588.0,100419.0
2011-05-01,TUS,LU,EXTR,HOT,47877.0,157839.0
2011-06-01,TUS,LU,EXTR,HOT,39844.0,148494.0
2011-07-01,TUS,LU,EXTR,HOT,44889.0,181423.0
