period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,IT,HOT,14531.0,35831.0
2009-02-01,TUS,LU,IT,HOT,31331.0,63135.0
2009-03-01,TUS,LU,IT,HOT,23722.0,53366.0
2009-04-01,TUS,LU,IT,HOT,37540.0,84297.0
2009-05-01,TUS,LU,IT,HOT,52817.0,127057.0
2009-06-01,TUS,LU,IT,HOT,47890.0,201988.0
2009-07-01,TUS,LU,IT,HOT,53134.0,275138.0
2009-08-01,TUS,LU,IT,HOT,63267.0,357389.0
2009-09-01,TUS,LU,IT,HOT,35980.0,126326.0
2009-10-01,TUS,LU,IT,HOT,27459.0,59018.0
2009-11-01,TUS,LU,IT,HOT,16729.0,39493.0
2009-12-01,TUS,LU,IT,HOT,18797.0,44465.0
2010-01-01,TUS,LU,IT,HOT,16624.0,44555.0
2010-02-01,TUS,LU,IT,HOT,27086.0,60039.0
2010-03-01,TUS,LU,IT,HOT,23931.0,53123.0
2010-04-01,TUS,LU,IT,HOT,40870.0,92021.0
2010-05-01,TUS,LU,IT,HOT,39563.0,94181.0
2010-06-01,TUS,LU,IT,HOT,51379.0,197731.0
2010-07-01,TUS,LU,IT,HOT,58595.0,287356.0
2010-08-01,TUS,LU,IT,HOT,61782.0,345445.0
2010-09-01,TUS,LU,IT,HOT,35651.0,123697.0
2010-10-01,TUS,LU,IT,HOT,30175.0,67809.0
2010-11-01,TUS,LU,IT,HOT,16801.0,42338.0
2010-12-01,TUS,LU,IT,HOT,18183.0,46900.0
2011-01-01,TUS,LU,IT,HOT,15980.0,41319.0
2011-02-01,TUS,LU,IT,HOT,23590.0,49307.0
2011-03-01,TUS,LU,IT,HOT,32994.0,72660.0
2011-04-01,TUS,LU,IT,HOT,42066.0,94823.0
2011-05-01,TUS,LU,IT,HOT,38723.0,91396.0
2011-06-01,TUS,LU,IT,HOT,56786.0,204974.0
2011-07-01,TUS,LU,IT,HOT,58898.0,279638.0
2011-08-01,TUS,LU,IT,HOT,62921.0,342977.0
2011-09-01,TUS,LU,IT,HOT,38636.0,135543.0
2011-10-01,TUS,LU,IT,HOT,31124.0,72618.0
2011-11-01,TUS,LU,IT,HOT,15110.0,36343.0
2011-12-01,TUS,LU,IT,HOT,18660.0,42895.0
2012-01-01,TUS,LU,IT,HOT,15488.0,41271.0
2012-02-01,TUS,LU,IT,HOT,23841.0,52281.0
2012-03-01,TUS,LU,IT,HOT,30440.0,60457.0
2012-04-01,TUS,LU,IT,HOT,39623.0,91529.0
2012-05-01,TUS,LU,IT,HOT,30376.0,72634.0
2012-06-01,TUS,LU,IT,HOT,62807.0,197776.0
2012-07-01,TUS,LU,IT,HOT,54528.0,263680.0
2012-08-01,TUS,LU,IT,HOT,59784.0,320129.0
2012-09-01,TUS,LU,IT,HOT,35447.0,122161.0
2012-10-01,TUS,LU,IT,HOT,22993.0,52341.0
2012-11-01,TUS,LU,IT,HOT,21346.0,45682.0
2012-12-01,TUS,LU,IT,HOT,17549.0,36396.0
2013-01-01,TUS,LU,IT,HOT,14294.0,36780.0
2013-02-01,TUS,LU,IT,HOT,22432.0,48004.0
2013-03-01,TUS,LU,IT,HOT,30027.0,60183.0
2013-04-01,TUS,LU,IT,HOT,32771.0,68172.0
2013-05-01,TUS,LU,IT,HOT,31544.0,71103.0
2013-06-01,TUS,LU,IT,HOT,51852.0,164262.0
2013-07-01,TUS,LU,IT,HOT,54352.0,235768.0
2013-08-01,TUS,LU,IT,HOT,60072.0,299718.0
2013-09-01,TUS,LU,IT,HOT,32339.0,106381.0
2013-10-01,TUS,LU,IT,HOT,20567.0,48303.0
2013-11-01,TUS,LU,IT,HOT,18751.0,44719.0
2013-12-01,TUS,LU,IT,HOT,16121.0,35759.0
2014-01-01,TUS,LU,IT,HOT,12196.0,30318.0
2014-02-01,TUS,LU,IT,HOT,20358.0,42707.0
2014-03-01,TUS,LU,IT,HOT,31434.0,58961.0
2014-04-01,TUS,LU,IT,HOT,37194.0,77559.0
2014-05-01,TUS,LU,IT,HOT,41010.0,81955.0
2014-06-01,TUS,LU,IT,HOT,51572.0,161148.0
2014-07-01,TUS,LU,IT,HOT,54203.0,232702.0
2014-08-01,TUS,LU,IT,HOT,64451.0,302867.0
2014-09-01,TUS,LU,IT,HOT,36943.0,112614.0
2014-10-01,TUS,LU,IT,HOT,27263.0,53524.0
2014-11-01,TUS,LU,IT,HOT,18045.0,41569.0
2014-12-01,TUS,LU,IT,HOT,18924.0,38594.0
2015-01-01,TUS,LU,IT,HOT,15537.0,36344.0
2015-02-01,TUS,LU,IT,HOT,28333.0,53309.0
2015-03-01,TUS,LU,IT,HOT,22200.0,44776.0
2015-04-01,TUS,LU,IT,HOT,38735.0,76877.0
2015-05-01,TUS,LU,IT,HOT,48469.0,96751.0
2015-06-01,TUS,LU,IT,HOT,52778.0,174359.0
2015-07-01,TUS,LU,IT,HOT,59727.0,249011.0
2015-08-01,TUS,LU,IT,HOT,63845.0,314053.0
2015-09-01,TUS,LU,IT,HOT,34429.0,118840.0
2015-10-01,TUS,LU,IT,HOT,28276.0,59771.0
2015-11-01,TUS,LU,IT,HOT,15829.0,35511.0
2015-12-01,TUS,LU,IT,HOT,21982.0,45114.0
2016-01-01,TUS,LU,IT,HOT,16017.0,46881.0
2016-02-01,TUS,LU,IT,HOT,24800.0,54012.0
2016-03-01,TUS,LU,IT,HOT,34241.0,75765.0
2016-04-01,TUS,LU,IT,HOT,35913.0,73978.0
2016-05-01,TUS,LU,IT,HOT,33678.0,75223.0
2016-06-01,TUS,LU,IT,HOT,54690.0,170760.0
2016-07-01,TUS,LU,IT,HOT,60861.0,248478.0
2016-08-01,TUS,LU,IT,HOT,63079.0,304212.0
2016-09-01,TUS,LU,IT,HOT,37681.0,120024.0
2016-10-01,TUS,LU,IT,HOT,31690.0,70344.0
2016-11-01,TUS,LU,IT,HOT,16724.0,37729.0
2016-12-01,TUS,LU,IT,HOT,20937.0,46309.0
