period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,EXTR,TOT,3722.0,11423.0
2009-02-01,TUS,LU,EXTR,TOT,6726.0,21417.0
2009-03-01,TUS,LU,EXTR,TOT,12178.0,33832.0
2009-04-01,TUS,LU,EXTR,TOT,32776.0,93759.0
2009-05-01,TUS,LU,EXTR,TOT,50808.0,161414.0
2009-06-01,TUS,LU,EXTR,TOT,44397.0,177367.0
2009-07-01,TUS,LU,EXTR,TOT,54370.0,260830.0
2009-08-01,TUS,LU,EXTR,TOT,49040.0,234625.0
2009-09-01,TUS,LU,EXTR,TOT,58190.0,232150.0
2009-10-01,TUS,LU,EXTR,TOT,36157.0,120213.0
2009-11-01,TUS,LU,EXTR,TOT,7139.0,24339.0
2009-12-01,TUS,LU,EXTR,TOT,4575.0,16701.0
2010-01-01,TUS,LU,EXTR,TOT,3900.0,11673.0
2010-02-01,TUS,LU,EXTR,TOT,6245.0,18403.0
2010-03-01,TUS,LU,EXTR,TOT,12396.0,33743.0
2010-04-01,TUS,LU,EXTR,TOT,34125.0,98819.0
2010-05-01,TUS,LU,EXTR,TOT,59235.0,194953.0
2010-06-01,TUS,LU,EXTR,TOT,45627.0,185556.0
2010-07-01,TUS,LU,EXTR,TOT,61500.0,278675.0
2010-08-01,TUS,LU,EXTR,TOT,50667.0,244979.0
2010-09-01,TUS,LU,EXTR,TOT,63352.0,247843.0
2010-10-01,TUS,LU,EXTR,TOT,39386.0,125960.0
2010-11-01,TUS,LU,EXTR,TOT,6822.0,22570.0
2010-12-01,TUS,LU,EXTR,TOT,4543.0,18049.0
2011-01-01,TUS,LU,EXTR,TOT,3864.0,11292.0
2011-02-01,TUS,LU,EXTR,TOT,6208.0,18342.0
2011-03-01,TUS,LU,EXTR,TOT,12763.0,35261.0
2011-04-01,TUS,LU,EXTR,TOT,41452.0,121541.0
2011-05-01,TUS,LU,EXTR,TOT,57254.0,189296.0
2011-06-01,TUS,LU,EXTR,TOT,52791.0,206818.0
2011-07-01,TUS,LU,EXTR,TOT,67409.0,292525.0
2011-08-01,TUS,LU,EXTR,TOT,54725.0,259191.0
2011-09-01,TUS,LU,EXTR,TOT,69030.0,267823.0
2011-10-01,TUS,LU,EXTR,TOT,38239.0,128050.0
2011-11-01,TUS,LU,EXTR,TOT,7015.0,23121.0
2011-12-01,TUS,LU,EXTR,TOT,5426.0,16728.0
2012-01-01,TUS,LU,EXTR,TOT,4333.0,15164.0
2012-02-01,TUS,LU,EXTR,TOT,6475.0,22343.0
2012-03-01,TUS,LU,EXTR,TOT,14313.0,41950.0
2012-04-01,TUS,LU,EXTR,TOT,38439.0,121316.0
2012-05-01,TUS,LU,EXTR,TOT,58736.0,204230.0
2012-06-01,TUS,LU,EXTR,TOT,50559.0,197503.0
2012-07-01,TUS,LU,EXTR,TOT,68667.0,310626.0
2012-08-01,TUS,LU,EXTR,TOT,55775.0,280994.0
2012-09-01,TUS,LU,EXTR,TOT,68831.0,277687.0
2012-10-01,TUS,LU,EXTR,TOT,34587.0,120585.0
2012-11-01,TUS,LU,EXTR,TOT,6776.0,21334.0
2012-12-01,TUS,LU,EXTR,TOT,4658.0,15197.0
2013-01-01,TUS,LU,EXTR,TOT,4247.0,12353.0
2013-02-01,TUS,LU,EXTR,TOT,7013.0,22313.0
2013-03-01,TUS,LU,EXTR,TOT,16488.0,50492.0
2013-04-01,TUS,LU,EXTR,TOT,35458.0,107053.0
2013-05-01,TUS,LU,EXTR,TOT,64217.0,216284.0
2013-06-01,TUS,LU,EXTR,TOT,56921.0,216031.0
2013-07-01,TUS,LU,EXTR,TOT,71422.0,324919.0
2013-08-01,TUS,LU,EXTR,TOT,60613.0,289366.0
2013-09-01,TUS,LU,EXTR,TOT,70964.0,277905.0
2013-10-01,TUS,LU,EXTR,TOT,37647.0,130295.0
2013-11-01,TUS,LU,EXTR,TOT,7046.0,23047.0
2013-12-01,TUS,LU,EXTR,TOT,5200.0,14872.0
2014-01-01,TUS,LU,EXTR,TOT,3916.0,13355.0
2014-02-01,TUS,LU,EXTR,TOT,5431.0,19084.0
2014-03-01,TUS,LU,EXTR,TOT,14633.0,42572.0
2014-04-01,TUS,LU,EXTR,TOT,36772.0,113950.0
2014-05-01,TUS,LU,EXTR,TOT,58021.0,193269.0
2014-06-01,TUS,LU,EXTR,TOT,56758.0,224327.0
2014-07-01,TUS,LU,EXTR,TOT,68733.0,310571.0
2014-08-01,TUS,LU,EXTR,TOT,64109.0,293767.0
2014-09-01,TUS,LU,EXTR,TOT,70840.0,279766.0
2014-10-01,TUS,LU,EXTR,TOT,38270.0,131350.0
2014-11-01,TUS,LU,EXTR,TOT,7214.0,23851.0
2014-12-01,TUS,LU,EXTR,TOT,5035.0,14584.0
2015-01-01,TUS,LU,EXTR,TOT,4062.0,13483.0
2015-02-01,TUS,LU,EXTR,TOT,7053.0,20443.0
2015-03-01,TUS,LU,EXTR,TOT,14546.0,43795.0
2015-04-01,TUS,LU,EXTR,TOT,35881.0,107206.0
2015-05-01,TUS,LU,EXTR,TOT,59474.0,191510.0
2015-06-01,TUS,LU,EXTR,TOT,54977.0,215042.0
2015-07-01,TUS,LU,EXTR,TOT,69465.0,310249.0
2015-08-01,TUS,LU,EXTR,TOT,62181.0,285705.0
2015-09-01,TUS,LU,EXTR,TOT,70603.0,279440.0
2015-10-01,TUS,LU,EXTR,TOT,36374.0,128036.0
2015-11-01,TUS,LU,EXTR,TOT,8043.0,23478.0
2015-12-01,TUS,LU,EXTR,TOT,5875.0,17527.0
2016-01-01,TUS,LU,EXTR,TOT,4632.0,29797.0
2016-02-01,TUS,LU,EXTR,TOT,6992.0,32043.0
2016-03-01,TUS,LU,EXTR,TOT,18714.0,71461.0
2016-04-01,TUS,LU,EXTR,TOT,36669.0,114697.0
2016-05-01,TUS,LU,EXTR,TOT,64832.0,221202.0
2016-06-01,TUS,LU,EXTR,TOT,55536.0,232284.0
2016-07-01,TUS,LU,EXTR,TOT,74602.0,343928.0
2016-08-01,TUS,LU,EXTR,TOT,61486.0,323274.0
2016-09-01,TUS,LU,EXTR,TOT,68280.0,302223.0
2016-10-01,TUS,LU,EXTR,TOT,36957.0,128615.0
2016-11-01,TUS,LU,EXTR,TOT,7992.0,25438.0
2016-12-01,TUS,LU,EXTR,TOT,5823.0,20133.0
2017-01-01,TUS,LU,EXTR,TOT,4922.0,13831.0
2017-02-01,TUS,LU,EXTR,TOT,7587.0,19973.0
2017-03-01,TUS,LU,EXTR,TOT,14863.0,44429.0
2017-04-01,TUS,LU,EXTR,TOT,44009.0,129852.0
2017-05-01,TUS,LU,EXTR,TOT,61057.0,193764.0
2017-06-01,TUS,LU,EXTR,TOT,60191.0,229466.0
2017-07-01,TUS,LU,EXTR,TOT,74117.0,326889.0
2017-08-01,TUS,LU,EXTR,TOT,61776.0,286368.0
2017-09-01,TUS,LU,EXTR,TOT,71206.0,286683.0
2017-10-01,TUS,LU,EXTR,TOT,39718.0,126631.0
2017-11-01,TUS,LU,EXTR,TOT,8500.0,23233.0
2017-12-01,TUS,LU,EXTR,TOT,6067.0,14901.0
2018-01-01,TUS,LU,EXTR,TOT,5349.0,13219.0
2018-02-01,TUS,LU,EXTR,TOT,8707.0,20814.0
2018-03-01,TUS,LU,EXTR,TOT,17400.0,46783.0
2018-04-01,TUS,LU,EXTR,TOT,40634.0,114935.0
2018-05-01,TUS,LU,EXTR,TOT,66931.0,211906.0
2018-06-01,TUS,LU,EXTR,TOT,63019.0,226128.0
2018-07-01,TUS,LU,EXTR,TOT,75308.0,328671.0
2018-08-01,TUS,LU,EXTR,TOT,61561.0,291347.0
2018-09-01,TUS,LU,EXTR,TOT,71409.0,271813.0
2018-10-01,TUS,LU,EXTR,TOT,39678.0,127700.0
2018-11-01,TUS,LU,EXTR,TOT,8529.0,22994.0
2018-12-01,TUS,LU,EXTR,TOT,6894.0,17121.0
2019-01-01,TUS,LU,EXTR,TOT,5792.0,14838.0
