period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,LU,IT,TOT,16651.0,45242.0
2009-02-01,TUS,LU,IT,TOT,34353.0,73432.0
2009-03-01,TUS,LU,IT,TOT,27002.0,69744.0
2009-04-01,TUS,LU,IT,TOT,47254.0,118560.0
2009-05-01,TUS,LU,IT,TOT,65781.0,192317.0
2009-06-01,TUS,LU,IT,TOT,58628.0,290898.0
2009-07-01,TUS,LU,IT,TOT,68157.0,422525.0
2009-08-01,TUS,LU,IT,TOT,86257.0,597001.0
2009-09-01,TUS,LU,IT,TOT,42493.0,196484.0
2009-10-01,TUS,LU,IT,TOT,33182.0,82437.0
2009-11-01,TUS,LU,IT,TOT,19059.0,54906.0
2009-12-01,TUS,LU,IT,TOT,23271.0,62659.0
2010-01-01,TUS,LU,IT,TOT,18270.0,53423.0
2010-02-01,TUS,LU,IT,TOT,29892.0,71374.0
2010-03-01,TUS,LU,IT,TOT,26812.0,63283.0
2010-04-01,TUS,LU,IT,TOT,49798.0,123522.0
2010-05-01,TUS,LU,IT,TOT,47242.0,138156.0
2010-06-01,TUS,LU,IT,TOT,63049.0,274117.0
2010-07-01,TUS,LU,IT,TOT,76055.0,430476.0
2010-08-01,TUS,LU,IT,TOT,81441.0,567079.0
2010-09-01,TUS,LU,IT,TOT,41622.0,213858.0
2010-10-01,TUS,LU,IT,TOT,35747.0,88063.0
2010-11-01,TUS,LU,IT,TOT,19040.0,52478.0
2010-12-01,TUS,LU,IT,TOT,21889.0,58877.0
2011-01-01,TUS,LU,IT,TOT,18429.0,51232.0
2011-02-01,TUS,LU,IT,TOT,25815.0,56468.0
2011-03-01,TUS,LU,IT,TOT,36977.0,85203.0
2011-04-01,TUS,LU,IT,TOT,50839.0,121577.0
2011-05-01,TUS,LU,IT,TOT,46040.0,128451.0
2011-06-01,TUS,LU,IT,TOT,69601.0,276435.0
2011-07-01,TUS,LU,IT,TOT,76714.0,410126.0
2011-08-01,TUS,LU,IT,TOT,83784.0,543118.0
2011-09-01,TUS,LU,IT,TOT,45406.0,207002.0
2011-10-01,TUS,LU,IT,TOT,37483.0,94423.0
2011-11-01,TUS,LU,IT,TOT,17111.0,44332.0
2011-12-01,TUS,LU,IT,TOT,22712.0,53772.0
2012-01-01,TUS,LU,IT,TOT,17806.0,52852.0
2012-02-01,TUS,LU,IT,TOT,25569.0,61234.0
2012-03-01,TUS,LU,IT,TOT,34158.0,69873.0
2012-04-01,TUS,LU,IT,TOT,49121.0,123998.0
2012-05-01,TUS,LU,IT,TOT,35093.0,108016.0
2012-06-01,TUS,LU,IT,TOT,75687.0,268596.0
2012-07-01,TUS,LU,IT,TOT,71359.0,397004.0
2012-08-01,TUS,LU,IT,TOT,80432.0,520394.0
2012-09-01,TUS,LU,IT,TOT,42274.0,189409.0
2012-10-01,TUS,LU,IT,TOT,27065.0,63282.0
2012-11-01,TUS,LU,IT,TOT,25393.0,57759.0
2012-12-01,TUS,LU,IT,TOT,21713.0,46541.0
2013-01-01,TUS,LU,IT,TOT,16183.0,45414.0
2013-02-01,TUS,LU,IT,TOT,24453.0,55437.0
2013-03-01,TUS,LU,IT,TOT,34581.0,73090.0
2013-04-01,TUS,LU,IT,TOT,40298.0,88863.0
2013-05-01,TUS,LU,IT,TOT,37591.0,96650.0
2013-06-01,TUS,LU,IT,TOT,63094.0,219919.0
2013-07-01,TUS,LU,IT,TOT,69861.0,342881.0
2013-08-01,TUS,LU,IT,TOT,80065.0,455797.0
2013-09-01,TUS,LU,IT,TOT,39718.0,158895.0
2013-10-01,TUS,LU,IT,TOT,27256.0,66190.0
2013-11-01,TUS,LU,IT,TOT,23055.0,59184.0
2013-12-01,TUS,LU,IT,TOT,20539.0,47499.0
2014-01-01,TUS,LU,IT,TOT,14332.0,40430.0
2014-02-01,TUS,LU,IT,TOT,22878.0,51985.0
2014-03-01,TUS,LU,IT,TOT,35950.0,71355.0
2014-04-01,TUS,LU,IT,TOT,45670.0,103594.0
2014-05-01,TUS,LU,IT,TOT,49248.0,116495.0
2014-06-01,TUS,LU,IT,TOT,62440.0,222817.0
2014-07-01,TUS,LU,IT,TOT,69272.0,342907.0
2014-08-01,TUS,LU,IT,TOT,85028.0,468443.0
2014-09-01,TUS,LU,IT,TOT,44456.0,174953.0
2014-10-01,TUS,LU,IT,TOT,33895.0,72237.0
2014-11-01,TUS,LU,IT,TOT,21469.0,52940.0
2014-12-01,TUS,LU,IT,TOT,23321.0,49154.0
2015-01-01,TUS,LU,IT,TOT,17950.0,44857.0
2015-02-01,TUS,LU,IT,TOT,31189.0,61080.0
2015-03-01,TUS,LU,IT,TOT,25561.0,53561.0
2015-04-01,TUS,LU,IT,TOT,46425.0,97268.0
