period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,EXTR,EXTRHOT,87.0,683.0
2009-02-01,TUS,MS,EXTR,EXTRHOT,98.0,814.0
2009-03-01,TUS,MS,EXTR,EXTRHOT,301.0,1692.0
2009-04-01,TUS,MS,EXTR,EXTRHOT,1095.0,4258.0
2009-05-01,TUS,MS,EXTR,EXTRHOT,2362.0,9333.0
2009-06-01,TUS,MS,EXTR,EXTRHOT,2921.0,12200.0
2009-07-01,TUS,MS,EXTR,EXTRHOT,6162.0,28663.0
2009-08-01,TUS,MS,EXTR,EXTRHOT,4658.0,21413.0
2009-09-01,TUS,MS,EXTR,EXTRHOT,3057.0,14536.0
2009-10-01,TUS,MS,EXTR,EXTRHOT,1382.0,7877.0
2009-11-01,TUS,MS,EXTR,EXTRHOT,117.0,1806.0
2009-12-01,TUS,MS,EXTR,EXTRHOT,66.0,1067.0
2010-01-01,TUS,MS,EXTR,EXTRHOT,65.0,412.0
2010-02-01,TUS,MS,EXTR,EXTRHOT,144.0,552.0
2010-03-01,TUS,MS,EXTR,EXTRHOT,222.0,2271.0
2010-04-01,TUS,MS,EXTR,EXTRHOT,1438.0,5009.0
2010-05-01,TUS,MS,EXTR,EXTRHOT,3232.0,12934.0
2010-06-01,TUS,MS,EXTR,EXTRHOT,2829.0,11679.0
2010-07-01,TUS,MS,EXTR,EXTRHOT,6056.0,29207.0
2010-08-01,TUS,MS,EXTR,EXTRHOT,3800.0,18869.0
2010-09-01,TUS,MS,EXTR,EXTRHOT,3016.0,12940.0
2010-10-01,TUS,MS,EXTR,EXTRHOT,872.0,4208.0
2010-11-01,TUS,MS,EXTR,EXTRHOT,105.0,1147.0
2010-12-01,TUS,MS,EXTR,EXTRHOT,93.0,700.0
2011-01-01,TUS,MS,EXTR,EXTRHOT,120.0,515.0
2011-02-01,TUS,MS,EXTR,EXTRHOT,47.0,332.0
2011-03-01,TUS,MS,EXTR,EXTRHOT,138.0,734.0
2011-04-01,TUS,MS,EXTR,EXTRHOT,869.0,4211.0
2011-05-01,TUS,MS,EXTR,EXTRHOT,1458.0,4967.0
2011-06-01,TUS,MS,EXTR,EXTRHOT,3017.0,12493.0
2011-07-01,TUS,MS,EXTR,EXTRHOT,6362.0,29617.0
2011-08-01,TUS,MS,EXTR,EXTRHOT,4262.0,24498.0
2011-09-01,TUS,MS,EXTR,EXTRHOT,2648.0,17324.0
2011-10-01,TUS,MS,EXTR,EXTRHOT,558.0,2942.0
2011-11-01,TUS,MS,EXTR,EXTRHOT,172.0,1142.0
2011-12-01,TUS,MS,EXTR,EXTRHOT,99.0,754.0
2012-01-01,TUS,MS,EXTR,EXTRHOT,163.0,803.0
2012-02-01,TUS,MS,EXTR,EXTRHOT,83.0,683.0
2012-03-01,TUS,MS,EXTR,EXTRHOT,219.0,1111.0
2012-04-01,TUS,MS,EXTR,EXTRHOT,980.0,3721.0
2012-05-01,TUS,MS,EXTR,EXTRHOT,1874.0,6927.0
2012-06-01,TUS,MS,EXTR,EXTRHOT,4175.0,16888.0
2012-07-01,TUS,MS,EXTR,EXTRHOT,7793.0,33266.0
2012-08-01,TUS,MS,EXTR,EXTRHOT,8869.0,27183.0
2012-09-01,TUS,MS,EXTR,EXTRHOT,3983.0,20794.0
2012-10-01,TUS,MS,EXTR,EXTRHOT,1046.0,4906.0
2012-11-01,TUS,MS,EXTR,EXTRHOT,120.0,947.0
2012-12-01,TUS,MS,EXTR,EXTRHOT,83.0,827.0
2013-01-01,TUS,MS,EXTR,EXTRHOT,45.0,645.0
2013-02-01,TUS,MS,EXTR,EXTRHOT,75.0,876.0
2013-03-01,TUS,MS,EXTR,EXTRHOT,168.0,835.0
2013-04-01,TUS,MS,EXTR,EXTRHOT,776.0,2683.0
2013-05-01,TUS,MS,EXTR,EXTRHOT,1954.0,6048.0
2013-06-01,TUS,MS,EXTR,EXTRHOT,2734.0,10056.0
2013-07-01,TUS,MS,EXTR,EXTRHOT,6140.0,23328.0
2013-08-01,TUS,MS,EXTR,EXTRHOT,8100.0,25314.0
2013-09-01,TUS,MS,EXTR,EXTRHOT,2079.0,7963.0
2013-10-01,TUS,MS,EXTR,EXTRHOT,383.0,1638.0
2013-11-01,TUS,MS,EXTR,EXTRHOT,71.0,412.0
2013-12-01,TUS,MS,EXTR,EXTRHOT,60.0,375.0
2014-01-01,TUS,MS,EXTR,EXTRHOT,55.0,370.0
2014-02-01,TUS,MS,EXTR,EXTRHOT,65.0,400.0
2014-03-01,TUS,MS,EXTR,EXTRHOT,122.0,728.0
2014-04-01,TUS,MS,EXTR,EXTRHOT,967.0,2984.0
2014-05-01,TUS,MS,EXTR,EXTRHOT,2202.0,6691.0
2014-06-01,TUS,MS,EXTR,EXTRHOT,2948.0,11229.0
2014-07-01,TUS,MS,EXTR,EXTRHOT,6020.0,22014.0
2014-08-01,TUS,MS,EXTR,EXTRHOT,9804.0,27550.0
2014-09-01,TUS,MS,EXTR,EXTRHOT,3149.0,10673.0
2014-10-01,TUS,MS,EXTR,EXTRHOT,436.0,1925.0
2014-11-01,TUS,MS,EXTR,EXTRHOT,92.0,857.0
2014-12-01,TUS,MS,EXTR,EXTRHOT,69.0,670.0
2015-01-01,TUS,MS,EXTR,EXTRHOT,65.0,818.0
2015-02-01,TUS,MS,EXTR,EXTRHOT,54.0,1121.0
2015-03-01,TUS,MS,EXTR,EXTRHOT,163.0,1362.0
2015-04-01,TUS,MS,EXTR,EXTRHOT,734.0,2565.0
2015-05-01,TUS,MS,EXTR,EXTRHOT,2334.0,7339.0
2015-06-01,TUS,MS,EXTR,EXTRHOT,2783.0,11996.0
2015-07-01,TUS,MS,EXTR,EXTRHOT,5419.0,22014.0
