period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,IT,EXTRHOT,625.0,3470.0
2009-02-01,TUS,MS,IT,EXTRHOT,652.0,2604.0
2009-03-01,TUS,MS,IT,EXTRHOT,844.0,6518.0
2009-04-01,TUS,MS,IT,EXTRHOT,7799.0,28853.0
2009-05-01,TUS,MS,IT,EXTRHOT,16140.0,69962.0
2009-06-01,TUS,MS,IT,EXTRHOT,15334.0,110331.0
2009-07-01,TUS,MS,IT,EXTRHOT,19758.0,179218.0
2009-08-01,TUS,MS,IT,EXTRHOT,24668.0,299799.0
2009-09-01,TUS,MS,IT,EXTRHOT,7338.0,60504.0
2009-10-01,TUS,MS,IT,EXTRHOT,1217.0,6651.0
2009-11-01,TUS,MS,IT,EXTRHOT,539.0,5887.0
2009-12-01,TUS,MS,IT,EXTRHOT,669.0,6682.0
2010-01-01,TUS,MS,IT,EXTRHOT,477.0,1836.0
2010-02-01,TUS,MS,IT,EXTRHOT,370.0,2281.0
2010-03-01,TUS,MS,IT,EXTRHOT,868.0,5997.0
2010-04-01,TUS,MS,IT,EXTRHOT,5811.0,25244.0
2010-05-01,TUS,MS,IT,EXTRHOT,10799.0,51911.0
2010-06-01,TUS,MS,IT,EXTRHOT,12929.0,89997.0
2010-07-01,TUS,MS,IT,EXTRHOT,21538.0,182178.0
2010-08-01,TUS,MS,IT,EXTRHOT,24421.0,296849.0
2010-09-01,TUS,MS,IT,EXTRHOT,8016.0,65349.0
2010-10-01,TUS,MS,IT,EXTRHOT,1357.0,5645.0
2010-11-01,TUS,MS,IT,EXTRHOT,558.0,4146.0
2010-12-01,TUS,MS,IT,EXTRHOT,602.0,4359.0
2011-01-01,TUS,MS,IT,EXTRHOT,504.0,2011.0
2011-02-01,TUS,MS,IT,EXTRHOT,443.0,1648.0
2011-03-01,TUS,MS,IT,EXTRHOT,697.0,4209.0
2011-04-01,TUS,MS,IT,EXTRHOT,6445.0,22955.0
2011-05-01,TUS,MS,IT,EXTRHOT,7722.0,34351.0
2011-06-01,TUS,MS,IT,EXTRHOT,15162.0,93735.0
2011-07-01,TUS,MS,IT,EXTRHOT,21460.0,192694.0
2011-08-01,TUS,MS,IT,EXTRHOT,25489.0,292427.0
2011-09-01,TUS,MS,IT,EXTRHOT,5431.0,50988.0
2011-10-01,TUS,MS,IT,EXTRHOT,1221.0,5036.0
2011-11-01,TUS,MS,IT,EXTRHOT,581.0,3952.0
2011-12-01,TUS,MS,IT,EXTRHOT,560.0,2597.0
2012-01-01,TUS,MS,IT,EXTRHOT,454.0,2406.0
2012-02-01,TUS,MS,IT,EXTRHOT,461.0,2136.0
2012-03-01,TUS,MS,IT,EXTRHOT,904.0,3767.0
2012-04-01,TUS,MS,IT,EXTRHOT,6984.0,21426.0
2012-05-01,TUS,MS,IT,EXTRHOT,5951.0,26412.0
2012-06-01,TUS,MS,IT,EXTRHOT,22367.0,75751.0
2012-07-01,TUS,MS,IT,EXTRHOT,25801.0,143924.0
2012-08-01,TUS,MS,IT,EXTRHOT,35225.0,263894.0
2012-09-01,TUS,MS,IT,EXTRHOT,5701.0,59156.0
2012-10-01,TUS,MS,IT,EXTRHOT,754.0,12419.0
2012-11-01,TUS,MS,IT,EXTRHOT,592.0,4054.0
2012-12-01,TUS,MS,IT,EXTRHOT,482.0,2921.0
2013-01-01,TUS,MS,IT,EXTRHOT,515.0,3151.0
2013-02-01,TUS,MS,IT,EXTRHOT,721.0,3683.0
2013-03-01,TUS,MS,IT,EXTRHOT,1588.0,5819.0
2013-04-01,TUS,MS,IT,EXTRHOT,4873.0,17386.0
2013-05-01,TUS,MS,IT,EXTRHOT,4980.0,23225.0
2013-06-01,TUS,MS,IT,EXTRHOT,18285.0,70346.0
2013-07-01,TUS,MS,IT,EXTRHOT,22293.0,123088.0
2013-08-01,TUS,MS,IT,EXTRHOT,34169.0,234527.0
2013-09-01,TUS,MS,IT,EXTRHOT,4853.0,35530.0
2013-10-01,TUS,MS,IT,EXTRHOT,1364.0,6502.0
2013-11-01,TUS,MS,IT,EXTRHOT,545.0,3768.0
