period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,MS,WLD,EXTRHOT,382.0,3406.0
2016-02-01,TUS,MS,WLD,EXTRHOT,345.0,3068.0
2016-03-01,TUS,MS,WLD,EXTRHOT,1482.0,4183.0
2016-04-01,TUS,MS,WLD,EXTRHOT,5475.0,19474.0
2016-05-01,TUS,MS,WLD,EXTRHOT,9529.0,37927.0
2016-06-01,TUS,MS,WLD,EXTRHOT,19415.0,80855.0
2016-07-01,TUS,MS,WLD,EXTRHOT,30933.0,162040.0
2016-08-01,TUS,MS,WLD,EXTRHOT,29668.0,221755.0
2016-09-01,TUS,MS,WLD,EXTRHOT,10560.0,44734.0
2016-10-01,TUS,MS,WLD,EXTRHOT,1446.0,6055.0
2016-11-01,TUS,MS,WLD,EXTRHOT,418.0,2721.0
2016-12-01,TUS,MS,WLD,EXTRHOT,829.0,3956.0
2017-01-01,TUS,MS,WLD,EXTRHOT,476.0,2970.0
2017-02-01,TUS,MS,WLD,EXTRHOT,623.0,3215.0
2017-03-01,TUS,MS,WLD,EXTRHOT,1116.0,3894.0
2017-04-01,TUS,MS,WLD,EXTRHOT,11419.0,33526.0
2017-05-01,TUS,MS,WLD,EXTRHOT,8810.0,32831.0
2017-06-01,TUS,MS,WLD,EXTRHOT,25126.0,96010.0
2017-07-01,TUS,MS,WLD,EXTRHOT,29469.0,171365.0
2017-08-01,TUS,MS,WLD,EXTRHOT,30773.0,246350.0
2017-09-01,TUS,MS,WLD,EXTRHOT,10713.0,47182.0
2017-10-01,TUS,MS,WLD,EXTRHOT,1773.0,7059.0
2017-11-01,TUS,MS,WLD,EXTRHOT,911.0,4620.0
2017-12-01,TUS,MS,WLD,EXTRHOT,903.0,4562.0
2018-01-01,TUS,MS,WLD,EXTRHOT,800.0,4869.0
2018-02-01,TUS,MS,WLD,EXTRHOT,792.0,4249.0
2018-03-01,TUS,MS,WLD,EXTRHOT,1929.0,5683.0
2018-04-01,TUS,MS,WLD,EXTRHOT,10017.0,30686.0
2018-05-01,TUS,MS,WLD,EXTRHOT,11421.0,37323.0
2018-06-01,TUS,MS,WLD,EXTRHOT,27632.0,92199.0
2018-07-01,TUS,MS,WLD,EXTRHOT,28705.0,165405.0
2018-08-01,TUS,MS,WLD,EXTRHOT,29060.0,224642.0
2018-09-01,TUS,MS,WLD,EXTRHOT,11641.0,49013.0
2018-10-01,TUS,MS,WLD,EXTRHOT,2543.0,7909.0
2018-11-01,TUS,MS,WLD,EXTRHOT,1044.0,4264.0
2018-12-01,TUS,MS,WLD,EXTRHOT,1360.0,5340.0
2019-01-01,TUS,MS,WLD,EXTRHOT,1348.0,6820.0
2019-02-01,TUS,MS,WLD,EXTRHOT,1725.0,7765.0
2019-03-01,TUS,MS,WLD,EXTRHOT,2572.0,10120.0
2019-04-01,TUS,MS,WLD,EXTRHOT,9814.0,33125.0
2019-05-01,TUS,MS,WLD,EXTRHOT,9497.0,31435.0
2019-06-01,TUS,MS,WLD,EXTRHOT,25705.0,91018.0
2019-07-01,TUS,MS,WLD,EXTRHOT,26770.0,156663.0
2019-08-01,TUS,MS,WLD,EXTRHOT,31963.0,232608.0
2019-09-01,TUS,MS,WLD,EXTRHOT,10281.0,52163.0
2019-10-01,TUS,MS,WLD,EXTRHOT,2960.0,9463.0
2019-11-01,TUS,MS,WLD,EXTRHOT,1497.0,4955.0
2019-12-01,TUS,MS,WLD,EXTRHOT,1495.0,5349.0
2020-01-01,TUS,MS,WLD,EXTRHOT,1060.0,5578.0
2020-02-01,TUS,MS,WLD,EXTRHOT,1239.0,5516.0
2020-03-01,TUS,MS,WLD,EXTRHOT,217.0,3168.0
2020-04-01,TUS,MS,WLD,EXTRHOT,64.0,2611.0
2020-05-01,TUS,MS,WLD,EXTRHOT,327.0,3452.0
2020-06-01,TUS,MS,WLD,EXTRHOT,14266.0,45507.0
2020-07-01,TUS,MS,WLD,EXTRHOT,26744.0,135393.0
2020-08-01,TUS,MS,WLD,EXTRHOT,31499.0,222547.0
2020-09-01,TUS,MS,WLD,EXTRHOT,11779.0,53932.0
2020-10-01,TUS,MS,WLD,EXTRHOT,1921.0,8745.0
2020-11-01,TUS,MS,WLD,EXTRHOT,378.0,4993.0
2020-12-01,TUS,MS,WLD,EXTRHOT,309.0,4379.0
2021-01-01,TUS,MS,WLD,EXTRHOT,503.0,4157.0
2021-02-01,TUS,MS,WLD,EXTRHOT,499.0,5700.0
2021-03-01,TUS,MS,WLD,EXTRHOT,504.0,5610.0
2021-04-01,TUS,MS,WLD,EXTRHOT,725.0,5708.0
2021-05-01,TUS,MS,WLD,EXTRHOT,8350.0,25477.0
2021-06-01,TUS,MS,WLD,EXTRHOT,19489.0,72788.0
2021-07-01,TUS,MS,WLD,EXTRHOT,32781.0,154915.0
2021-08-01,TUS,MS,WLD,EXTRHOT,38183.0,245413.0
2021-09-01,TUS,MS,WLD,EXTRHOT,13162.0,66344.0
2021-10-01,TUS,MS,WLD,EXTRHOT,3360.0,14126.0
2021-11-01,TUS,MS,WLD,EXTRHOT,1626.0,7861.0
2021-12-01,TUS,MS,WLD,EXTRHOT,1338.0,4861.0
