period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,EXTR,HOT,509.0,1441.0
2009-02-01,TUS,MS,EXTR,HOT,791.0,2026.0
2009-03-01,TUS,MS,EXTR,HOT,1314.0,3389.0
2009-04-01,TUS,MS,EXTR,HOT,2580.0,6471.0
2009-05-01,TUS,MS,EXTR,HOT,3818.0,10632.0
2009-06-01,TUS,MS,EXTR,HOT,4237.0,15250.0
2009-07-01,TUS,MS,EXTR,HOT,4148.0,16431.0
2009-08-01,TUS,MS,EXTR,HOT,3293.0,13151.0
2009-09-01,TUS,MS,EXTR,HOT,5110.0,17063.0
2009-10-01,TUS,MS,EXTR,HOT,2832.0,7701.0
2009-11-01,TUS,MS,EXTR,HOT,928.0,2725.0
2009-12-01,TUS,MS,EXTR,HOT,610.0,1399.0
2010-01-01,TUS,MS,EXTR,HOT,559.0,1371.0
2010-02-01,TUS,MS,EXTR,HOT,875.0,1918.0
2010-03-01,TUS,MS,EXTR,HOT,1235.0,2820.0
2010-04-01,TUS,MS,EXTR,HOT,2853.0,6538.0
2010-05-01,TUS,MS,EXTR,HOT,5006.0,14847.0
2010-06-01,TUS,MS,EXTR,HOT,3895.0,11793.0
2010-07-01,TUS,MS,EXTR,HOT,5058.0,19090.0
2010-08-01,TUS,MS,EXTR,HOT,3863.0,15555.0
2010-09-01,TUS,MS,EXTR,HOT,4958.0,17395.0
2010-10-01,TUS,MS,EXTR,HOT,3144.0,9729.0
2010-11-01,TUS,MS,EXTR,HOT,729.0,2143.0
2010-12-01,TUS,MS,EXTR,HOT,515.0,1485.0
2011-01-01,TUS,MS,EXTR,HOT,438.0,997.0
2011-02-01,TUS,MS,EXTR,HOT,838.0,2034.0
2011-03-01,TUS,MS,EXTR,HOT,1403.0,2988.0
2011-04-01,TUS,MS,EXTR,HOT,2401.0,5817.0
2011-05-01,TUS,MS,EXTR,HOT,3691.0,9302.0
2011-06-01,TUS,MS,EXTR,HOT,4941.0,15071.0
2011-07-01,TUS,MS,EXTR,HOT,5729.0,20265.0
2011-08-01,TUS,MS,EXTR,HOT,4139.0,17342.0
2011-09-01,TUS,MS,EXTR,HOT,5092.0,17247.0
2011-10-01,TUS,MS,EXTR,HOT,2612.0,7553.0
2011-11-01,TUS,MS,EXTR,HOT,919.0,2539.0
2011-12-01,TUS,MS,EXTR,HOT,637.0,1801.0
2012-01-01,TUS,MS,EXTR,HOT,639.0,2210.0
2012-02-01,TUS,MS,EXTR,HOT,975.0,2774.0
2012-03-01,TUS,MS,EXTR,HOT,1500.0,4046.0
2012-04-01,TUS,MS,EXTR,HOT,2924.0,8544.0
2012-05-01,TUS,MS,EXTR,HOT,4931.0,16155.0
2012-06-01,TUS,MS,EXTR,HOT,4913.0,17263.0
2012-07-01,TUS,MS,EXTR,HOT,6116.0,23530.0
2012-08-01,TUS,MS,EXTR,HOT,4144.0,16404.0
2012-09-01,TUS,MS,EXTR,HOT,5838.0,20019.0
2012-10-01,TUS,MS,EXTR,HOT,2672.0,8017.0
2012-11-01,TUS,MS,EXTR,HOT,1013.0,3921.0
2012-12-01,TUS,MS,EXTR,HOT,713.0,2083.0
2013-01-01,TUS,MS,EXTR,HOT,534.0,1787.0
2013-02-01,TUS,MS,EXTR,HOT,896.0,2801.0
2013-03-01,TUS,MS,EXTR,HOT,1570.0,4330.0
2013-04-01,TUS,MS,EXTR,HOT,2464.0,6981.0
2013-05-01,TUS,MS,EXTR,HOT,4704.0,15492.0
2013-06-01,TUS,MS,EXTR,HOT,5466.0,17468.0
2013-07-01,TUS,MS,EXTR,HOT,6752.0,27300.0
2013-08-01,TUS,MS,EXTR,HOT,4779.0,18956.0
2013-09-01,TUS,MS,EXTR,HOT,6331.0,22556.0
2013-10-01,TUS,MS,EXTR,HOT,2684.0,8564.0
2013-11-01,TUS,MS,EXTR,HOT,1017.0,4291.0
2013-12-01,TUS,MS,EXTR,HOT,854.0,2788.0
2014-01-01,TUS,MS,EXTR,HOT,597.0,2397.0
2014-02-01,TUS,MS,EXTR,HOT,892.0,2712.0
2014-03-01,TUS,MS,EXTR,HOT,1257.0,3614.0
2014-04-01,TUS,MS,EXTR,HOT,3146.0,9551.0
2014-05-01,TUS,MS,EXTR,HOT,4966.0,16047.0
2014-06-01,TUS,MS,EXTR,HOT,4953.0,18470.0
2014-07-01,TUS,MS,EXTR,HOT,6117.0,24536.0
2014-08-01,TUS,MS,EXTR,HOT,4762.0,18794.0
2014-09-01,TUS,MS,EXTR,HOT,6537.0,22472.0
2014-10-01,TUS,MS,EXTR,HOT,3044.0,9124.0
2014-11-01,TUS,MS,EXTR,HOT,880.0,3313.0
2014-12-01,TUS,MS,EXTR,HOT,856.0,2635.0
2015-01-01,TUS,MS,EXTR,HOT,691.0,2108.0
2015-02-01,TUS,MS,EXTR,HOT,897.0,2871.0
2015-03-01,TUS,MS,EXTR,HOT,1221.0,4143.0
2015-04-01,TUS,MS,EXTR,HOT,2637.0,8048.0
2015-05-01,TUS,MS,EXTR,HOT,4396.0,12203.0
2015-06-01,TUS,MS,EXTR,HOT,5105.0,18157.0
2015-07-01,TUS,MS,EXTR,HOT,6703.0,28002.0
2015-08-01,TUS,MS,EXTR,HOT,5130.0,21883.0
2015-09-01,TUS,MS,EXTR,HOT,6182.0,22110.0
2015-10-01,TUS,MS,EXTR,HOT,2420.0,7550.0
2015-11-01,TUS,MS,EXTR,HOT,986.0,2818.0
2015-12-01,TUS,MS,EXTR,HOT,810.0,2383.0
2016-01-01,TUS,MS,EXTR,HOT,707.0,2127.0
2016-02-01,TUS,MS,EXTR,HOT,781.0,2194.0
2016-03-01,TUS,MS,EXTR,HOT,1471.0,4087.0
2016-04-01,TUS,MS,EXTR,HOT,2521.0,6572.0
2016-05-01,TUS,MS,EXTR,HOT,5392.0,15773.0
2016-06-01,TUS,MS,EXTR,HOT,4660.0,16411.0
2016-07-01,TUS,MS,EXTR,HOT,6554.0,27690.0
2016-08-01,TUS,MS,EXTR,HOT,4765.0,20192.0
2016-09-01,TUS,MS,EXTR,HOT,6306.0,22572.0
2016-10-01,TUS,MS,EXTR,HOT,2986.0,9095.0
2016-11-01,TUS,MS,EXTR,HOT,1028.0,3230.0
2016-12-01,TUS,MS,EXTR,HOT,735.0,2524.0
2017-01-01,TUS,MS,EXTR,HOT,601.0,1821.0
2017-02-01,TUS,MS,EXTR,HOT,901.0,2237.0
2017-03-01,TUS,MS,EXTR,HOT,1316.0,3658.0
2017-04-01,TUS,MS,EXTR,HOT,3470.0,8532.0
2017-05-01,TUS,MS,EXTR,HOT,4972.0,14529.0
2017-06-01,TUS,MS,EXTR,HOT,5573.0,19679.0
2017-07-01,TUS,MS,EXTR,HOT,7087.0,28013.0
2017-08-01,TUS,MS,EXTR,HOT,5131.0,21857.0
2017-09-01,TUS,MS,EXTR,HOT,6811.0,24612.0
2017-10-01,TUS,MS,EXTR,HOT,3707.0,11781.0
2017-11-01,TUS,MS,EXTR,HOT,1115.0,3237.0
2017-12-01,TUS,MS,EXTR,HOT,936.0,2994.0
2018-01-01,TUS,MS,EXTR,HOT,720.0,2185.0
2018-02-01,TUS,MS,EXTR,HOT,974.0,2591.0
2018-03-01,TUS,MS,EXTR,HOT,1632.0,4391.0
2018-04-01,TUS,MS,EXTR,HOT,3435.0,9404.0
2018-05-01,TUS,MS,EXTR,HOT,6268.0,17665.0
2018-06-01,TUS,MS,EXTR,HOT,5682.0,19682.0
2018-07-01,TUS,MS,EXTR,HOT,6996.0,29930.0
2018-08-01,TUS,MS,EXTR,HOT,5044.0,22334.0
2018-09-01,TUS,MS,EXTR,HOT,6929.0,24222.0
2018-10-01,TUS,MS,EXTR,HOT,3106.0,9746.0
2018-11-01,TUS,MS,EXTR,HOT,1121.0,3552.0
2018-12-01,TUS,MS,EXTR,HOT,973.0,2999.0
2019-01-01,TUS,MS,EXTR,HOT,821.0,3176.0
2019-02-01,TUS,MS,EXTR,HOT,889.0,3168.0
2019-03-01,TUS,MS,EXTR,HOT,1318.0,4024.0
2019-04-01,TUS,MS,EXTR,HOT,3655.0,10050.0
2019-05-01,TUS,MS,EXTR,HOT,4420.0,12809.0
2019-06-01,TUS,MS,EXTR,HOT,5649.0,20081.0
2019-07-01,TUS,MS,EXTR,HOT,6191.0,25942.0
2019-08-01,TUS,MS,EXTR,HOT,5153.0,20925.0
2019-09-01,TUS,MS,EXTR,HOT,6065.0,20511.0
2019-10-01,TUS,MS,EXTR,HOT,3585.0,10407.0
2019-11-01,TUS,MS,EXTR,HOT,1176.0,4533.0
2019-12-01,TUS,MS,EXTR,HOT,1027.0,3100.0
2020-01-01,TUS,MS,EXTR,HOT,773.0,2342.0
2020-02-01,TUS,MS,EXTR,HOT,936.0,2943.0
2020-03-01,TUS,MS,EXTR,HOT,78.0,762.0
2020-04-01,TUS,MS,EXTR,HOT,28.0,515.0
2020-05-01,TUS,MS,EXTR,HOT,72.0,960.0
2020-06-01,TUS,MS,EXTR,HOT,650.0,2310.0
2020-07-01,TUS,MS,EXTR,HOT,2576.0,9005.0
2020-08-01,TUS,MS,EXTR,HOT,2779.0,9760.0
2020-09-01,TUS,MS,EXTR,HOT,2893.0,9666.0
2020-10-01,TUS,MS,EXTR,HOT,1215.0,3901.0
2020-11-01,TUS,MS,EXTR,HOT,177.0,1654.0
2020-12-01,TUS,MS,EXTR,HOT,124.0,1221.0
