period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,IT,HOT,2523.0,7214.0
2009-02-01,TUS,MS,IT,HOT,4189.0,10113.0
2009-03-01,TUS,MS,IT,HOT,5016.0,13164.0
2009-04-01,TUS,MS,IT,HOT,6922.0,16822.0
2009-05-01,TUS,MS,IT,HOT,11282.0,27583.0
2009-06-01,TUS,MS,IT,HOT,11986.0,48185.0
2009-07-01,TUS,MS,IT,HOT,13579.0,67818.0
2009-08-01,TUS,MS,IT,HOT,17041.0,88324.0
2009-09-01,TUS,MS,IT,HOT,8522.0,35843.0
2009-10-01,TUS,MS,IT,HOT,5264.0,13622.0
2009-11-01,TUS,MS,IT,HOT,3306.0,10185.0
2009-12-01,TUS,MS,IT,HOT,2887.0,7482.0
2010-01-01,TUS,MS,IT,HOT,2391.0,5919.0
2010-02-01,TUS,MS,IT,HOT,4211.0,10618.0
2010-03-01,TUS,MS,IT,HOT,5117.0,12594.0
2010-04-01,TUS,MS,IT,HOT,7570.0,18353.0
2010-05-01,TUS,MS,IT,HOT,10608.0,24189.0
2010-06-01,TUS,MS,IT,HOT,10915.0,32435.0
2010-07-01,TUS,MS,IT,HOT,14822.0,65793.0
2010-08-01,TUS,MS,IT,HOT,16919.0,89302.0
2010-09-01,TUS,MS,IT,HOT,7698.0,27585.0
2010-10-01,TUS,MS,IT,HOT,5146.0,12907.0
2010-11-01,TUS,MS,IT,HOT,3164.0,10237.0
2010-12-01,TUS,MS,IT,HOT,2675.0,8219.0
2011-01-01,TUS,MS,IT,HOT,2458.0,5888.0
2011-02-01,TUS,MS,IT,HOT,3496.0,8254.0
2011-03-01,TUS,MS,IT,HOT,5678.0,13924.0
2011-04-01,TUS,MS,IT,HOT,7193.0,19114.0
2011-05-01,TUS,MS,IT,HOT,7553.0,17505.0
2011-06-01,TUS,MS,IT,HOT,12153.0,33967.0
2011-07-01,TUS,MS,IT,HOT,13368.0,45134.0
2011-08-01,TUS,MS,IT,HOT,14246.0,60380.0
2011-09-01,TUS,MS,IT,HOT,8070.0,22828.0
2011-10-01,TUS,MS,IT,HOT,5863.0,14380.0
2011-11-01,TUS,MS,IT,HOT,3700.0,10897.0
2011-12-01,TUS,MS,IT,HOT,2970.0,8452.0
2012-01-01,TUS,MS,IT,HOT,3294.0,9530.0
2012-02-01,TUS,MS,IT,HOT,3896.0,9322.0
2012-03-01,TUS,MS,IT,HOT,6361.0,14120.0
2012-04-01,TUS,MS,IT,HOT,7820.0,18111.0
2012-05-01,TUS,MS,IT,HOT,7524.0,17144.0
2012-06-01,TUS,MS,IT,HOT,16085.0,44428.0
2012-07-01,TUS,MS,IT,HOT,16356.0,64795.0
2012-08-01,TUS,MS,IT,HOT,18922.0,85615.0
2012-09-01,TUS,MS,IT,HOT,8399.0,25082.0
2012-10-01,TUS,MS,IT,HOT,5526.0,12052.0
2012-11-01,TUS,MS,IT,HOT,4181.0,11240.0
2012-12-01,TUS,MS,IT,HOT,3246.0,8993.0
2013-01-01,TUS,MS,IT,HOT,2878.0,8244.0
2013-02-01,TUS,MS,IT,HOT,3489.0,9207.0
2013-03-01,TUS,MS,IT,HOT,5436.0,13401.0
2013-04-01,TUS,MS,IT,HOT,5381.0,13105.0
2013-05-01,TUS,MS,IT,HOT,5511.0,13272.0
2013-06-01,TUS,MS,IT,HOT,12596.0,35447.0
2013-07-01,TUS,MS,IT,HOT,14501.0,52019.0
2013-08-01,TUS,MS,IT,HOT,17091.0,74151.0
2013-09-01,TUS,MS,IT,HOT,8300.0,23114.0
2013-10-01,TUS,MS,IT,HOT,5108.0,11157.0
2013-11-01,TUS,MS,IT,HOT,4205.0,11658.0
2013-12-01,TUS,MS,IT,HOT,3028.0,9116.0
2014-01-01,TUS,MS,IT,HOT,2806.0,8260.0
2014-02-01,TUS,MS,IT,HOT,4070.0,10916.0
2014-03-01,TUS,MS,IT,HOT,4477.0,12763.0
2014-04-01,TUS,MS,IT,HOT,7145.0,18930.0
2014-05-01,TUS,MS,IT,HOT,8708.0,22048.0
2014-06-01,TUS,MS,IT,HOT,12001.0,35904.0
2014-07-01,TUS,MS,IT,HOT,13169.0,51355.0
2014-08-01,TUS,MS,IT,HOT,16673.0,76945.0
2014-09-01,TUS,MS,IT,HOT,8561.0,26668.0
2014-10-01,TUS,MS,IT,HOT,5109.0,14090.0
2014-11-01,TUS,MS,IT,HOT,2775.0,9332.0
2014-12-01,TUS,MS,IT,HOT,3354.0,9626.0
2015-01-01,TUS,MS,IT,HOT,2668.0,8680.0
2015-02-01,TUS,MS,IT,HOT,3971.0,12216.0
2015-03-01,TUS,MS,IT,HOT,3928.0,11975.0
2015-04-01,TUS,MS,IT,HOT,6840.0,18958.0
2015-05-01,TUS,MS,IT,HOT,9791.0,23936.0
2015-06-01,TUS,MS,IT,HOT,12617.0,37495.0
2015-07-01,TUS,MS,IT,HOT,14966.0,55906.0
2015-08-01,TUS,MS,IT,HOT,16260.0,76770.0
2015-09-01,TUS,MS,IT,HOT,7561.0,24763.0
2015-10-01,TUS,MS,IT,HOT,5034.0,15539.0
2015-11-01,TUS,MS,IT,HOT,4247.0,14535.0
2015-12-01,TUS,MS,IT,HOT,4025.0,13678.0
2016-01-01,TUS,MS,IT,HOT,3293.0,12653.0
2016-02-01,TUS,MS,IT,HOT,3930.0,12314.0
2016-03-01,TUS,MS,IT,HOT,5237.0,15468.0
2016-04-01,TUS,MS,IT,HOT,6933.0,18587.0
2016-05-01,TUS,MS,IT,HOT,6988.0,19787.0
2016-06-01,TUS,MS,IT,HOT,12284.0,38997.0
2016-07-01,TUS,MS,IT,HOT,15027.0,54015.0
2016-08-01,TUS,MS,IT,HOT,13184.0,64980.0
2016-09-01,TUS,MS,IT,HOT,9071.0,28898.0
2016-10-01,TUS,MS,IT,HOT,5403.0,17556.0
2016-11-01,TUS,MS,IT,HOT,3196.0,13874.0
2016-12-01,TUS,MS,IT,HOT,3476.0,13010.0
2017-01-01,TUS,MS,IT,HOT,3046.0,8700.0
2017-02-01,TUS,MS,IT,HOT,4425.0,11980.0
2017-03-01,TUS,MS,IT,HOT,5000.0,13077.0
2017-04-01,TUS,MS,IT,HOT,11224.0,24949.0
2017-05-01,TUS,MS,IT,HOT,7548.0,18193.0
2017-06-01,TUS,MS,IT,HOT,14667.0,39922.0
2017-07-01,TUS,MS,IT,HOT,14824.0,53283.0
2017-08-01,TUS,MS,IT,HOT,15121.0,70954.0
2017-09-01,TUS,MS,IT,HOT,8061.0,24648.0
2017-10-01,TUS,MS,IT,HOT,5870.0,15694.0
2017-11-01,TUS,MS,IT,HOT,3895.0,11525.0
2017-12-01,TUS,MS,IT,HOT,3798.0,11202.0
2018-01-01,TUS,MS,IT,HOT,3306.0,9229.0
2018-02-01,TUS,MS,IT,HOT,4366.0,11598.0
2018-03-01,TUS,MS,IT,HOT,5185.0,12593.0
2018-04-01,TUS,MS,IT,HOT,9971.0,22428.0
2018-05-01,TUS,MS,IT,HOT,7883.0,18634.0
2018-06-01,TUS,MS,IT,HOT,15084.0,38540.0
2018-07-01,TUS,MS,IT,HOT,13914.0,49901.0
2018-08-01,TUS,MS,IT,HOT,15451.0,70395.0
2018-09-01,TUS,MS,IT,HOT,9399.0,26297.0
2018-10-01,TUS,MS,IT,HOT,5776.0,14987.0
2018-11-01,TUS,MS,IT,HOT,4584.0,12355.0
2018-12-01,TUS,MS,IT,HOT,4393.0,10618.0
2019-01-01,TUS,MS,IT,HOT,3315.0,9242.0
2019-02-01,TUS,MS,IT,HOT,4633.0,11594.0
2019-03-01,TUS,MS,IT,HOT,5616.0,13122.0
2019-04-01,TUS,MS,IT,HOT,9203.0,21605.0
2019-05-01,TUS,MS,IT,HOT,7059.0,15943.0
2019-06-01,TUS,MS,IT,HOT,15098.0,36896.0
2019-07-01,TUS,MS,IT,HOT,14182.0,48244.0
2019-08-01,TUS,MS,IT,HOT,16903.0,70841.0
2019-09-01,TUS,MS,IT,HOT,8961.0,23989.0
2019-10-01,TUS,MS,IT,HOT,5885.0,13824.0
2019-11-01,TUS,MS,IT,HOT,4332.0,11495.0
2019-12-01,TUS,MS,IT,HOT,4130.0,10422.0
2020-01-01,TUS,MS,IT,HOT,3753.0,10292.0
2020-02-01,TUS,MS,IT,HOT,4776.0,11615.0
2020-03-01,TUS,MS,IT,HOT,925.0,5170.0
2020-04-01,TUS,MS,IT,HOT,242.0,3430.0
2020-05-01,TUS,MS,IT,HOT,1130.0,6503.0
2020-06-01,TUS,MS,IT,HOT,8263.0,20944.0
2020-07-01,TUS,MS,IT,HOT,16502.0,50004.0
2020-08-01,TUS,MS,IT,HOT,18226.0,72611.0
2020-09-01,TUS,MS,IT,HOT,10034.0,27659.0
2020-10-01,TUS,MS,IT,HOT,3590.0,11069.0
2020-11-01,TUS,MS,IT,HOT,1515.0,8337.0
2020-12-01,TUS,MS,IT,HOT,1469.0,8272.0
2021-01-01,TUS,MS,IT,HOT,1878.0,8463.0
2021-02-01,TUS,MS,IT,HOT,2355.0,9091.0
2021-03-01,TUS,MS,IT,HOT,2436.0,10833.0
2021-04-01,TUS,MS,IT,HOT,2966.0,11212.0
2021-05-01,TUS,MS,IT,HOT,7801.0,19812.0
2021-06-01,TUS,MS,IT,HOT,12617.0,34718.0
2021-07-01,TUS,MS,IT,HOT,16309.0,56593.0
2021-08-01,TUS,MS,IT,HOT,16191.0,72733.0
2021-09-01,TUS,MS,IT,HOT,8795.0,27784.0
2021-10-01,TUS,MS,IT,HOT,5457.0,14051.0
2021-11-01,TUS,MS,IT,HOT,4333.0,12232.0
2021-12-01,TUS,MS,IT,HOT,3731.0,11152.0
