period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,MS,WLD,HOT,4000.0,14780.0
2016-02-01,TUS,MS,WLD,HOT,4711.0,14508.0
2016-03-01,TUS,MS,WLD,HOT,6708.0,19555.0
2016-04-01,TUS,MS,WLD,HOT,9454.0,25159.0
2016-05-01,TUS,MS,WLD,HOT,12380.0,35560.0
2016-06-01,TUS,MS,WLD,HOT,16944.0,55408.0
2016-07-01,TUS,MS,WLD,HOT,21581.0,81705.0
2016-08-01,TUS,MS,WLD,HOT,17949.0,85172.0
2016-09-01,TUS,MS,WLD,HOT,15377.0,51470.0
2016-10-01,TUS,MS,WLD,HOT,8389.0,26651.0
2016-11-01,TUS,MS,WLD,HOT,4224.0,17104.0
2016-12-01,TUS,MS,WLD,HOT,4211.0,15534.0
2017-01-01,TUS,MS,WLD,HOT,3647.0,10521.0
2017-02-01,TUS,MS,WLD,HOT,5326.0,14217.0
2017-03-01,TUS,MS,WLD,HOT,6316.0,16735.0
2017-04-01,TUS,MS,WLD,HOT,14694.0,33481.0
2017-05-01,TUS,MS,WLD,HOT,12520.0,32722.0
2017-06-01,TUS,MS,WLD,HOT,20240.0,59601.0
2017-07-01,TUS,MS,WLD,HOT,21911.0,81296.0
2017-08-01,TUS,MS,WLD,HOT,20252.0,92811.0
2017-09-01,TUS,MS,WLD,HOT,14872.0,49260.0
2017-10-01,TUS,MS,WLD,HOT,9577.0,27475.0
2017-11-01,TUS,MS,WLD,HOT,5010.0,14762.0
2017-12-01,TUS,MS,WLD,HOT,4734.0,14196.0
2018-01-01,TUS,MS,WLD,HOT,4026.0,11414.0
2018-02-01,TUS,MS,WLD,HOT,5340.0,14189.0
2018-03-01,TUS,MS,WLD,HOT,6817.0,16984.0
2018-04-01,TUS,MS,WLD,HOT,13406.0,31832.0
2018-05-01,TUS,MS,WLD,HOT,14151.0,36299.0
2018-06-01,TUS,MS,WLD,HOT,20766.0,58222.0
2018-07-01,TUS,MS,WLD,HOT,20910.0,79831.0
2018-08-01,TUS,MS,WLD,HOT,20495.0,92729.0
2018-09-01,TUS,MS,WLD,HOT,16328.0,50519.0
2018-10-01,TUS,MS,WLD,HOT,8882.0,24733.0
2018-11-01,TUS,MS,WLD,HOT,5705.0,15907.0
2018-12-01,TUS,MS,WLD,HOT,5366.0,13617.0
2019-01-01,TUS,MS,WLD,HOT,4136.0,12418.0
2019-02-01,TUS,MS,WLD,HOT,5522.0,14762.0
2019-03-01,TUS,MS,WLD,HOT,6934.0,17146.0
2019-04-01,TUS,MS,WLD,HOT,12858.0,31655.0
2019-05-01,TUS,MS,WLD,HOT,11479.0,28752.0
2019-06-01,TUS,MS,WLD,HOT,20747.0,56977.0
2019-07-01,TUS,MS,WLD,HOT,20373.0,74186.0
2019-08-01,TUS,MS,WLD,HOT,22056.0,91766.0
2019-09-01,TUS,MS,WLD,HOT,15026.0,44500.0
2019-10-01,TUS,MS,WLD,HOT,9470.0,24231.0
2019-11-01,TUS,MS,WLD,HOT,5508.0,16028.0
2019-12-01,TUS,MS,WLD,HOT,5157.0,13522.0
2020-01-01,TUS,MS,WLD,HOT,4526.0,12634.0
2020-02-01,TUS,MS,WLD,HOT,5712.0,14558.0
2020-03-01,TUS,MS,WLD,HOT,1003.0,5932.0
2020-04-01,TUS,MS,WLD,HOT,270.0,3945.0
2020-05-01,TUS,MS,WLD,HOT,1202.0,7463.0
2020-06-01,TUS,MS,WLD,HOT,8913.0,23254.0
2020-07-01,TUS,MS,WLD,HOT,19078.0,59009.0
2020-08-01,TUS,MS,WLD,HOT,21005.0,82371.0
2020-09-01,TUS,MS,WLD,HOT,12927.0,37325.0
2020-10-01,TUS,MS,WLD,HOT,4805.0,14970.0
2020-11-01,TUS,MS,WLD,HOT,1692.0,9991.0
2020-12-01,TUS,MS,WLD,HOT,1593.0,9493.0
2021-01-01,TUS,MS,WLD,HOT,2068.0,9498.0
2021-02-01,TUS,MS,WLD,HOT,2569.0,10461.0
2021-03-01,TUS,MS,WLD,HOT,2782.0,12964.0
2021-04-01,TUS,MS,WLD,HOT,3233.0,12787.0
2021-05-01,TUS,MS,WLD,HOT,8969.0,24127.0
2021-06-01,TUS,MS,WLD,HOT,14618.0,42159.0
2021-07-01,TUS,MS,WLD,HOT,21103.0,75378.0
2021-08-01,TUS,MS,WLD,HOT,20894.0,92346.0
2021-09-01,TUS,MS,WLD,HOT,13254.0,46394.0
2021-10-01,TUS,MS,WLD,HOT,8055.0,23391.0
2021-11-01,TUS,MS,WLD,HOT,5464.0,16643.0
2021-12-01,TUS,MS,WLD,HOT,4270.0,14265.0
