period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,EXTR,TOT,596.0,2124.0
2009-02-01,TUS,MS,EXTR,TOT,889.0,2840.0
2009-03-01,TUS,MS,EXTR,TOT,1615.0,5081.0
2009-04-01,TUS,MS,EXTR,TOT,3675.0,10729.0
2009-05-01,TUS,MS,EXTR,TOT,6180.0,19965.0
2009-06-01,TUS,MS,EXTR,TOT,7158.0,27450.0
2009-07-01,TUS,MS,EXTR,TOT,10310.0,45094.0
2009-08-01,TUS,MS,EXTR,TOT,7951.0,34564.0
2009-09-01,TUS,MS,EXTR,TOT,8167.0,31599.0
2009-10-01,TUS,MS,EXTR,TOT,4214.0,15578.0
2009-11-01,TUS,MS,EXTR,TOT,1045.0,4531.0
2009-12-01,TUS,MS,EXTR,TOT,676.0,2466.0
2010-01-01,TUS,MS,EXTR,TOT,624.0,1783.0
2010-02-01,TUS,MS,EXTR,TOT,1019.0,2470.0
2010-03-01,TUS,MS,EXTR,TOT,1457.0,5091.0
2010-04-01,TUS,MS,EXTR,TOT,4291.0,11547.0
2010-05-01,TUS,MS,EXTR,TOT,8238.0,27781.0
2010-06-01,TUS,MS,EXTR,TOT,6724.0,23472.0
2010-07-01,TUS,MS,EXTR,TOT,11114.0,48297.0
2010-08-01,TUS,MS,EXTR,TOT,7663.0,34424.0
2010-09-01,TUS,MS,EXTR,TOT,7974.0,30335.0
2010-10-01,TUS,MS,EXTR,TOT,4016.0,13937.0
2010-11-01,TUS,MS,EXTR,TOT,834.0,3290.0
2010-12-01,TUS,MS,EXTR,TOT,608.0,2185.0
2011-01-01,TUS,MS,EXTR,TOT,558.0,1512.0
2011-02-01,TUS,MS,EXTR,TOT,885.0,2366.0
2011-03-01,TUS,MS,EXTR,TOT,1541.0,3722.0
2011-04-01,TUS,MS,EXTR,TOT,3270.0,10028.0
2011-05-01,TUS,MS,EXTR,TOT,5149.0,14269.0
2011-06-01,TUS,MS,EXTR,TOT,7958.0,27564.0
2011-07-01,TUS,MS,EXTR,TOT,12091.0,49882.0
2011-08-01,TUS,MS,EXTR,TOT,8401.0,41840.0
2011-09-01,TUS,MS,EXTR,TOT,7740.0,34571.0
2011-10-01,TUS,MS,EXTR,TOT,3170.0,10495.0
2011-11-01,TUS,MS,EXTR,TOT,1091.0,3681.0
2011-12-01,TUS,MS,EXTR,TOT,736.0,2555.0
2012-01-01,TUS,MS,EXTR,TOT,802.0,3013.0
2012-02-01,TUS,MS,EXTR,TOT,1058.0,3457.0
2012-03-01,TUS,MS,EXTR,TOT,1719.0,5157.0
2012-04-01,TUS,MS,EXTR,TOT,3904.0,12265.0
2012-05-01,TUS,MS,EXTR,TOT,6805.0,23082.0
2012-06-01,TUS,MS,EXTR,TOT,9088.0,34151.0
2012-07-01,TUS,MS,EXTR,TOT,13909.0,56796.0
2012-08-01,TUS,MS,EXTR,TOT,13013.0,43587.0
2012-09-01,TUS,MS,EXTR,TOT,9821.0,40813.0
2012-10-01,TUS,MS,EXTR,TOT,3718.0,12923.0
2012-11-01,TUS,MS,EXTR,TOT,1133.0,4868.0
2012-12-01,TUS,MS,EXTR,TOT,796.0,2910.0
2013-01-01,TUS,MS,EXTR,TOT,579.0,2432.0
2013-02-01,TUS,MS,EXTR,TOT,971.0,3677.0
2013-03-01,TUS,MS,EXTR,TOT,1738.0,5165.0
2013-04-01,TUS,MS,EXTR,TOT,3240.0,9664.0
2013-05-01,TUS,MS,EXTR,TOT,6658.0,21540.0
2013-06-01,TUS,MS,EXTR,TOT,8200.0,27524.0
2013-07-01,TUS,MS,EXTR,TOT,12892.0,50628.0
2013-08-01,TUS,MS,EXTR,TOT,12879.0,44270.0
2013-09-01,TUS,MS,EXTR,TOT,8410.0,30519.0
2013-10-01,TUS,MS,EXTR,TOT,3067.0,10202.0
2013-11-01,TUS,MS,EXTR,TOT,1088.0,4703.0
2013-12-01,TUS,MS,EXTR,TOT,914.0,3163.0
2014-01-01,TUS,MS,EXTR,TOT,652.0,2767.0
2014-02-01,TUS,MS,EXTR,TOT,957.0,3112.0
2014-03-01,TUS,MS,EXTR,TOT,1379.0,4342.0
