period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,MS,IT,TOT,3148.0,10684.0
2009-02-01,TUS,MS,IT,TOT,4841.0,12717.0
2009-03-01,TUS,MS,IT,TOT,5860.0,19682.0
2009-04-01,TUS,MS,IT,TOT,14721.0,45675.0
2009-05-01,TUS,MS,IT,TOT,27422.0,97545.0
2009-06-01,TUS,MS,IT,TOT,27320.0,158516.0
2009-07-01,TUS,MS,IT,TOT,33337.0,247036.0
2009-08-01,TUS,MS,IT,TOT,41709.0,388123.0
2009-09-01,TUS,MS,IT,TOT,15860.0,96347.0
2009-10-01,TUS,MS,IT,TOT,6481.0,20273.0
2009-11-01,TUS,MS,IT,TOT,3845.0,16072.0
2009-12-01,TUS,MS,IT,TOT,3556.0,14164.0
2010-01-01,TUS,MS,IT,TOT,2868.0,7755.0
2010-02-01,TUS,MS,IT,TOT,4581.0,12899.0
2010-03-01,TUS,MS,IT,TOT,5985.0,18591.0
2010-04-01,TUS,MS,IT,TOT,13381.0,43597.0
2010-05-01,TUS,MS,IT,TOT,21407.0,76100.0
2010-06-01,TUS,MS,IT,TOT,23844.0,122432.0
2010-07-01,TUS,MS,IT,TOT,36360.0,247971.0
2010-08-01,TUS,MS,IT,TOT,41340.0,386151.0
2010-09-01,TUS,MS,IT,TOT,15714.0,92934.0
2010-10-01,TUS,MS,IT,TOT,6503.0,18552.0
2010-11-01,TUS,MS,IT,TOT,3722.0,14383.0
2010-12-01,TUS,MS,IT,TOT,3277.0,12578.0
2011-01-01,TUS,MS,IT,TOT,2962.0,7899.0
2011-02-01,TUS,MS,IT,TOT,3939.0,9902.0
2011-03-01,TUS,MS,IT,TOT,6375.0,18133.0
2011-04-01,TUS,MS,IT,TOT,13638.0,42069.0
2011-05-01,TUS,MS,IT,TOT,15275.0,51856.0
2011-06-01,TUS,MS,IT,TOT,27315.0,127702.0
2011-07-01,TUS,MS,IT,TOT,34828.0,237828.0
2011-08-01,TUS,MS,IT,TOT,39735.0,352807.0
2011-09-01,TUS,MS,IT,TOT,13501.0,73816.0
2011-10-01,TUS,MS,IT,TOT,7084.0,19416.0
2011-11-01,TUS,MS,IT,TOT,4281.0,14849.0
2011-12-01,TUS,MS,IT,TOT,3530.0,11049.0
2012-01-01,TUS,MS,IT,TOT,3748.0,11936.0
2012-02-01,TUS,MS,IT,TOT,4357.0,11458.0
2012-03-01,TUS,MS,IT,TOT,7265.0,17887.0
2012-04-01,TUS,MS,IT,TOT,14804.0,39537.0
2012-05-01,TUS,MS,IT,TOT,13475.0,43556.0
2012-06-01,TUS,MS,IT,TOT,38452.0,120179.0
2012-07-01,TUS,MS,IT,TOT,42157.0,208719.0
2012-08-01,TUS,MS,IT,TOT,54147.0,349509.0
2012-09-01,TUS,MS,IT,TOT,14100.0,84238.0
2012-10-01,TUS,MS,IT,TOT,6280.0,24471.0
2012-11-01,TUS,MS,IT,TOT,4773.0,15294.0
2012-12-01,TUS,MS,IT,TOT,3728.0,11914.0
2013-01-01,TUS,MS,IT,TOT,3393.0,11395.0
2013-02-01,TUS,MS,IT,TOT,4210.0,12890.0
2013-03-01,TUS,MS,IT,TOT,7024.0,19220.0
2013-04-01,TUS,MS,IT,TOT,10254.0,30491.0
2013-05-01,TUS,MS,IT,TOT,10491.0,36497.0
2013-06-01,TUS,MS,IT,TOT,30881.0,105793.0
2013-07-01,TUS,MS,IT,TOT,36794.0,175107.0
2013-08-01,TUS,MS,IT,TOT,51260.0,308678.0
2013-09-01,TUS,MS,IT,TOT,13153.0,58644.0
2013-10-01,TUS,MS,IT,TOT,6472.0,17659.0
2013-11-01,TUS,MS,IT,TOT,4750.0,15426.0
2013-12-01,TUS,MS,IT,TOT,3616.0,12350.0
2014-01-01,TUS,MS,IT,TOT,3507.0,12143.0
2014-02-01,TUS,MS,IT,TOT,4516.0,13478.0
2014-03-01,TUS,MS,IT,TOT,5757.0,17976.0
2014-04-01,TUS,MS,IT,TOT,14318.0,43230.0
2014-05-01,TUS,MS,IT,TOT,19074.0,52388.0
2014-06-01,TUS,MS,IT,TOT,29509.0,108867.0
2014-07-01,TUS,MS,IT,TOT,36039.0,190378.0
2014-08-01,TUS,MS,IT,TOT,44583.0,297835.0
2014-09-01,TUS,MS,IT,TOT,13822.0,60516.0
2014-10-01,TUS,MS,IT,TOT,6561.0,19706.0
2014-11-01,TUS,MS,IT,TOT,3280.0,12504.0
2014-12-01,TUS,MS,IT,TOT,4048.0,12926.0
2015-01-01,TUS,MS,IT,TOT,3135.0,12598.0
2015-02-01,TUS,MS,IT,TOT,4425.0,15680.0
2015-03-01,TUS,MS,IT,TOT,4854.0,16130.0
2015-04-01,TUS,MS,IT,TOT,13222.0,37610.0
2015-05-01,TUS,MS,IT,TOT,21951.0,60224.0
2015-06-01,TUS,MS,IT,TOT,28283.0,108248.0
2015-07-01,TUS,MS,IT,TOT,37786.0,206046.0
2015-08-01,TUS,MS,IT,TOT,40799.0,290091.0
2015-09-01,TUS,MS,IT,TOT,12054.0,54751.0
2015-10-01,TUS,MS,IT,TOT,5579.0,18490.0
2015-11-01,TUS,MS,IT,TOT,4610.0,17126.0
2015-12-01,TUS,MS,IT,TOT,4700.0,15466.0
2016-01-01,TUS,MS,IT,TOT,3627.0,15625.0
2016-02-01,TUS,MS,IT,TOT,4222.0,14918.0
2016-03-01,TUS,MS,IT,TOT,6581.0,19313.0
2016-04-01,TUS,MS,IT,TOT,11565.0,35660.0
2016-05-01,TUS,MS,IT,TOT,13572.0,48326.0
2016-06-01,TUS,MS,IT,TOT,28746.0,107925.0
2016-07-01,TUS,MS,IT,TOT,40077.0,195972.0
2016-08-01,TUS,MS,IT,TOT,36012.0,262696.0
