period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,EXTR,EXTRHOT,988.0,5498.0
2009-02-01,TUS,PI,EXTR,EXTRHOT,977.0,4739.0
2009-03-01,TUS,PI,EXTR,EXTRHOT,1548.0,7200.0
2009-04-01,TUS,PI,EXTR,EXTRHOT,8562.0,28584.0
2009-05-01,TUS,PI,EXTR,EXTRHOT,10139.0,48306.0
2009-06-01,TUS,PI,EXTR,EXTRHOT,9670.0,56342.0
2009-07-01,TUS,PI,EXTR,EXTRHOT,37301.0,230419.0
2009-08-01,TUS,PI,EXTR,EXTRHOT,36577.0,220227.0
2009-09-01,TUS,PI,EXTR,EXTRHOT,15402.0,79591.0
2009-10-01,TUS,PI,EXTR,EXTRHOT,7085.0,34219.0
2009-11-01,TUS,PI,EXTR,EXTRHOT,1093.0,12117.0
2009-12-01,TUS,PI,EXTR,EXTRHOT,786.0,12067.0
2010-01-01,TUS,PI,EXTR,EXTRHOT,777.0,11644.0
2010-02-01,TUS,PI,EXTR,EXTRHOT,1064.0,11341.0
2010-03-01,TUS,PI,EXTR,EXTRHOT,1780.0,13195.0
2010-04-01,TUS,PI,EXTR,EXTRHOT,5213.0,25477.0
2010-05-01,TUS,PI,EXTR,EXTRHOT,14843.0,70527.0
2010-06-01,TUS,PI,EXTR,EXTRHOT,16111.0,85341.0
2010-07-01,TUS,PI,EXTR,EXTRHOT,37952.0,228070.0
2010-08-01,TUS,PI,EXTR,EXTRHOT,33743.0,218524.0
2010-09-01,TUS,PI,EXTR,EXTRHOT,11694.0,74324.0
2010-10-01,TUS,PI,EXTR,EXTRHOT,6702.0,31666.0
2010-11-01,TUS,PI,EXTR,EXTRHOT,1090.0,11666.0
2010-12-01,TUS,PI,EXTR,EXTRHOT,559.0,10040.0
2011-01-01,TUS,PI,EXTR,EXTRHOT,916.0,10653.0
2011-02-01,TUS,PI,EXTR,EXTRHOT,1272.0,10752.0
2011-03-01,TUS,PI,EXTR,EXTRHOT,2043.0,13259.0
2011-04-01,TUS,PI,EXTR,EXTRHOT,10875.0,41528.0
2011-05-01,TUS,PI,EXTR,EXTRHOT,12778.0,54986.0
2011-06-01,TUS,PI,EXTR,EXTRHOT,21645.0,110296.0
2011-07-01,TUS,PI,EXTR,EXTRHOT,39765.0,218482.0
2011-08-01,TUS,PI,EXTR,EXTRHOT,36925.0,228311.0
2011-09-01,TUS,PI,EXTR,EXTRHOT,17770.0,87420.0
2011-10-01,TUS,PI,EXTR,EXTRHOT,7509.0,32151.0
2011-11-01,TUS,PI,EXTR,EXTRHOT,1337.0,12621.0
2011-12-01,TUS,PI,EXTR,EXTRHOT,1241.0,11879.0
2012-01-01,TUS,PI,EXTR,EXTRHOT,1039.0,10045.0
2012-02-01,TUS,PI,EXTR,EXTRHOT,1271.0,10657.0
2012-03-01,TUS,PI,EXTR,EXTRHOT,2869.0,14752.0
2012-04-01,TUS,PI,EXTR,EXTRHOT,9792.0,36127.0
2012-05-01,TUS,PI,EXTR,EXTRHOT,11805.0,58112.0
2012-06-01,TUS,PI,EXTR,EXTRHOT,20748.0,97293.0
2012-07-01,TUS,PI,EXTR,EXTRHOT,39960.0,210551.0
2012-08-01,TUS,PI,EXTR,EXTRHOT,35207.0,204913.0
2012-09-01,TUS,PI,EXTR,EXTRHOT,20438.0,90930.0
2012-10-01,TUS,PI,EXTR,EXTRHOT,9466.0,40062.0
2012-11-01,TUS,PI,EXTR,EXTRHOT,1501.0,11625.0
2012-12-01,TUS,PI,EXTR,EXTRHOT,800.0,8987.0
2013-01-01,TUS,PI,EXTR,EXTRHOT,898.0,9595.0
2013-02-01,TUS,PI,EXTR,EXTRHOT,1269.0,8266.0
2013-03-01,TUS,PI,EXTR,EXTRHOT,3919.0,17176.0
2013-04-01,TUS,PI,EXTR,EXTRHOT,8665.0,30704.0
2013-05-01,TUS,PI,EXTR,EXTRHOT,19153.0,82140.0
2013-06-01,TUS,PI,EXTR,EXTRHOT,23614.0,99419.0
2013-07-01,TUS,PI,EXTR,EXTRHOT,44063.0,247099.0
2013-08-01,TUS,PI,EXTR,EXTRHOT,39735.0,226317.0
2013-09-01,TUS,PI,EXTR,EXTRHOT,21246.0,89694.0
2013-10-01,TUS,PI,EXTR,EXTRHOT,8032.0,34150.0
2013-11-01,TUS,PI,EXTR,EXTRHOT,1383.0,11131.0
2013-12-01,TUS,PI,EXTR,EXTRHOT,1115.0,9971.0
2014-01-01,TUS,PI,EXTR,EXTRHOT,854.0,8810.0
2014-02-01,TUS,PI,EXTR,EXTRHOT,954.0,8401.0
2014-03-01,TUS,PI,EXTR,EXTRHOT,1897.0,12431.0
2014-04-01,TUS,PI,EXTR,EXTRHOT,12244.0,38836.0
2014-05-01,TUS,PI,EXTR,EXTRHOT,17918.0,59954.0
2014-06-01,TUS,PI,EXTR,EXTRHOT,23550.0,112221.0
2014-07-01,TUS,PI,EXTR,EXTRHOT,41773.0,227977.0
2014-08-01,TUS,PI,EXTR,EXTRHOT,41043.0,216397.0
2014-09-01,TUS,PI,EXTR,EXTRHOT,20202.0,90367.0
2014-10-01,TUS,PI,EXTR,EXTRHOT,8538.0,35118.0
2014-11-01,TUS,PI,EXTR,EXTRHOT,1404.0,12192.0
2014-12-01,TUS,PI,EXTR,EXTRHOT,1660.0,13265.0
2015-01-01,TUS,PI,EXTR,EXTRHOT,1253.0,11873.0
2015-02-01,TUS,PI,EXTR,EXTRHOT,1513.0,11702.0
2015-03-01,TUS,PI,EXTR,EXTRHOT,2285.0,14754.0
2015-04-01,TUS,PI,EXTR,EXTRHOT,9971.0,32941.0
2015-05-01,TUS,PI,EXTR,EXTRHOT,19875.0,69848.0
2015-06-01,TUS,PI,EXTR,EXTRHOT,22426.0,90992.0
2015-07-01,TUS,PI,EXTR,EXTRHOT,41887.0,227778.0
2015-08-01,TUS,PI,EXTR,EXTRHOT,42876.0,229247.0
2015-09-01,TUS,PI,EXTR,EXTRHOT,21676.0,89380.0
2015-10-01,TUS,PI,EXTR,EXTRHOT,8077.0,30390.0
2015-11-01,TUS,PI,EXTR,EXTRHOT,1650.0,6797.0
2015-12-01,TUS,PI,EXTR,EXTRHOT,1248.0,5789.0
2016-01-01,TUS,PI,EXTR,EXTRHOT,1280.0,10452.0
2016-02-01,TUS,PI,EXTR,EXTRHOT,1565.0,11552.0
2016-03-01,TUS,PI,EXTR,EXTRHOT,4481.0,19974.0
2016-04-01,TUS,PI,EXTR,EXTRHOT,7795.0,28557.0
2016-05-01,TUS,PI,EXTR,EXTRHOT,20360.0,72814.0
2016-06-01,TUS,PI,EXTR,EXTRHOT,21807.0,88361.0
2016-07-01,TUS,PI,EXTR,EXTRHOT,41890.0,203911.0
2016-08-01,TUS,PI,EXTR,EXTRHOT,38494.0,205981.0
2016-09-01,TUS,PI,EXTR,EXTRHOT,21439.0,84147.0
2016-10-01,TUS,PI,EXTR,EXTRHOT,12519.0,41666.0
2016-11-01,TUS,PI,EXTR,EXTRHOT,2170.0,13678.0
2016-12-01,TUS,PI,EXTR,EXTRHOT,1839.0,12019.0
2017-01-01,TUS,PI,EXTR,EXTRHOT,2014.0,13309.0
2017-02-01,TUS,PI,EXTR,EXTRHOT,2523.0,13511.0
2017-03-01,TUS,PI,EXTR,EXTRHOT,4103.0,18240.0
2017-04-01,TUS,PI,EXTR,EXTRHOT,15975.0,50368.0
