period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,IT,EXTRHOT,5432.0,35441.0
2009-02-01,TUS,PI,IT,EXTRHOT,5276.0,35229.0
2009-03-01,TUS,PI,IT,EXTRHOT,5980.0,39390.0
2009-04-01,TUS,PI,IT,EXTRHOT,10261.0,57938.0
2009-05-01,TUS,PI,IT,EXTRHOT,11208.0,80902.0
2009-06-01,TUS,PI,IT,EXTRHOT,8187.0,87517.0
2009-07-01,TUS,PI,IT,EXTRHOT,13720.0,150626.0
2009-08-01,TUS,PI,IT,EXTRHOT,16958.0,164875.0
2009-09-01,TUS,PI,IT,EXTRHOT,9398.0,97781.0
2009-10-01,TUS,PI,IT,EXTRHOT,8033.0,52907.0
2009-11-01,TUS,PI,IT,EXTRHOT,6286.0,49997.0
2009-12-01,TUS,PI,IT,EXTRHOT,6712.0,52583.0
2010-01-01,TUS,PI,IT,EXTRHOT,5305.0,53148.0
2010-02-01,TUS,PI,IT,EXTRHOT,5067.0,50643.0
2010-03-01,TUS,PI,IT,EXTRHOT,5643.0,56829.0
2010-04-01,TUS,PI,IT,EXTRHOT,10723.0,79856.0
2010-05-01,TUS,PI,IT,EXTRHOT,10363.0,107397.0
2010-06-01,TUS,PI,IT,EXTRHOT,12510.0,139276.0
2010-07-01,TUS,PI,IT,EXTRHOT,14315.0,152987.0
2010-08-01,TUS,PI,IT,EXTRHOT,16043.0,165611.0
2010-09-01,TUS,PI,IT,EXTRHOT,8916.0,85373.0
2010-10-01,TUS,PI,IT,EXTRHOT,7970.0,60329.0
2010-11-01,TUS,PI,IT,EXTRHOT,5401.0,54003.0
2010-12-01,TUS,PI,IT,EXTRHOT,6496.0,53368.0
2011-01-01,TUS,PI,IT,EXTRHOT,5335.0,52105.0
2011-02-01,TUS,PI,IT,EXTRHOT,4638.0,43788.0
2011-03-01,TUS,PI,IT,EXTRHOT,6075.0,59982.0
2011-04-01,TUS,PI,IT,EXTRHOT,11203.0,65516.0
2011-05-01,TUS,PI,IT,EXTRHOT,10777.0,68540.0
2011-06-01,TUS,PI,IT,EXTRHOT,16068.0,98189.0
2011-07-01,TUS,PI,IT,EXTRHOT,17785.0,124664.0
2011-08-01,TUS,PI,IT,EXTRHOT,20408.0,158451.0
2011-09-01,TUS,PI,IT,EXTRHOT,12549.0,84343.0
2011-10-01,TUS,PI,IT,EXTRHOT,9089.0,60645.0
2011-11-01,TUS,PI,IT,EXTRHOT,5463.0,50686.0
2011-12-01,TUS,PI,IT,EXTRHOT,6819.0,51575.0
2012-01-01,TUS,PI,IT,EXTRHOT,5618.0,50958.0
2012-02-01,TUS,PI,IT,EXTRHOT,4620.0,47106.0
2012-03-01,TUS,PI,IT,EXTRHOT,6469.0,55890.0
2012-04-01,TUS,PI,IT,EXTRHOT,12355.0,68424.0
2012-05-01,TUS,PI,IT,EXTRHOT,7845.0,65440.0
2012-06-01,TUS,PI,IT,EXTRHOT,14466.0,109823.0
2012-07-01,TUS,PI,IT,EXTRHOT,13805.0,133021.0
2012-08-01,TUS,PI,IT,EXTRHOT,19424.0,145348.0
2012-09-01,TUS,PI,IT,EXTRHOT,11969.0,81870.0
2012-10-01,TUS,PI,IT,EXTRHOT,7924.0,53773.0
2012-11-01,TUS,PI,IT,EXTRHOT,7674.0,57404.0
2012-12-01,TUS,PI,IT,EXTRHOT,6411.0,56725.0
2013-01-01,TUS,PI,IT,EXTRHOT,4620.0,52091.0
2013-02-01,TUS,PI,IT,EXTRHOT,4412.0,44980.0
2013-03-01,TUS,PI,IT,EXTRHOT,7327.0,60030.0
2013-04-01,TUS,PI,IT,EXTRHOT,9086.0,62593.0
2013-05-01,TUS,PI,IT,EXTRHOT,8164.0,64019.0
2013-06-01,TUS,PI,IT,EXTRHOT,13266.0,89360.0
2013-07-01,TUS,PI,IT,EXTRHOT,13198.0,121071.0
2013-08-01,TUS,PI,IT,EXTRHOT,18231.0,149896.0
2013-09-01,TUS,PI,IT,EXTRHOT,10553.0,75341.0
2013-10-01,TUS,PI,IT,EXTRHOT,7693.0,55714.0
2013-11-01,TUS,PI,IT,EXTRHOT,7366.0,54727.0
2013-12-01,TUS,PI,IT,EXTRHOT,6312.0,52704.0
2014-01-01,TUS,PI,IT,EXTRHOT,4798.0,49653.0
2014-02-01,TUS,PI,IT,EXTRHOT,4327.0,45961.0
2014-03-01,TUS,PI,IT,EXTRHOT,5784.0,51037.0
2014-04-01,TUS,PI,IT,EXTRHOT,11714.0,62137.0
2014-05-01,TUS,PI,IT,EXTRHOT,11561.0,74389.0
2014-06-01,TUS,PI,IT,EXTRHOT,13356.0,109238.0
2014-07-01,TUS,PI,IT,EXTRHOT,12630.0,130389.0
2014-08-01,TUS,PI,IT,EXTRHOT,19384.0,146674.0
2014-09-01,TUS,PI,IT,EXTRHOT,9922.0,64103.0
2014-10-01,TUS,PI,IT,EXTRHOT,8962.0,48534.0
2014-11-01,TUS,PI,IT,EXTRHOT,6480.0,50027.0
2014-12-01,TUS,PI,IT,EXTRHOT,6018.0,49594.0
2015-01-01,TUS,PI,IT,EXTRHOT,5518.0,44749.0
2015-02-01,TUS,PI,IT,EXTRHOT,4210.0,39808.0
2015-03-01,TUS,PI,IT,EXTRHOT,4903.0,44420.0
2015-04-01,TUS,PI,IT,EXTRHOT,9997.0,53504.0
2015-05-01,TUS,PI,IT,EXTRHOT,11706.0,55980.0
2015-06-01,TUS,PI,IT,EXTRHOT,14008.0,84627.0
2015-07-01,TUS,PI,IT,EXTRHOT,14172.0,134466.0
2015-08-01,TUS,PI,IT,EXTRHOT,19947.0,161990.0
2015-09-01,TUS,PI,IT,EXTRHOT,10225.0,75327.0
2015-10-01,TUS,PI,IT,EXTRHOT,8330.0,36397.0
2015-11-01,TUS,PI,IT,EXTRHOT,6254.0,30804.0
2015-12-01,TUS,PI,IT,EXTRHOT,7016.0,29514.0
2016-01-01,TUS,PI,IT,EXTRHOT,4137.0,39625.0
2016-02-01,TUS,PI,IT,EXTRHOT,3917.0,36895.0
2016-03-01,TUS,PI,IT,EXTRHOT,6418.0,52808.0
2016-04-01,TUS,PI,IT,EXTRHOT,7254.0,51352.0
2016-05-01,TUS,PI,IT,EXTRHOT,9088.0,75882.0
2016-06-01,TUS,PI,IT,EXTRHOT,13418.0,97045.0
2016-07-01,TUS,PI,IT,EXTRHOT,13704.0,120278.0
2016-08-01,TUS,PI,IT,EXTRHOT,18295.0,154084.0
2016-09-01,TUS,PI,IT,EXTRHOT,9992.0,96167.0
2016-10-01,TUS,PI,IT,EXTRHOT,10179.0,56461.0
2016-11-01,TUS,PI,IT,EXTRHOT,5734.0,51284.0
2016-12-01,TUS,PI,IT,EXTRHOT,6819.0,53110.0
2017-01-01,TUS,PI,IT,EXTRHOT,5681.0,54355.0
2017-02-01,TUS,PI,IT,EXTRHOT,5102.0,49085.0
2017-03-01,TUS,PI,IT,EXTRHOT,6200.0,56447.0
2017-04-01,TUS,PI,IT,EXTRHOT,13477.0,68109.0
2017-05-01,TUS,PI,IT,EXTRHOT,9754.0,64937.0
2017-06-01,TUS,PI,IT,EXTRHOT,15101.0,88980.0
2017-07-01,TUS,PI,IT,EXTRHOT,12279.0,92543.0
2017-08-01,TUS,PI,IT,EXTRHOT,16973.0,128588.0
2017-09-01,TUS,PI,IT,EXTRHOT,10348.0,72974.0
2017-10-01,TUS,PI,IT,EXTRHOT,7525.0,47661.0
2017-11-01,TUS,PI,IT,EXTRHOT,7360.0,49728.0
2017-12-01,TUS,PI,IT,EXTRHOT,5795.0,48450.0
2018-01-01,TUS,PI,IT,EXTRHOT,4712.0,53965.0
2018-02-01,TUS,PI,IT,EXTRHOT,5525.0,51638.0
2018-03-01,TUS,PI,IT,EXTRHOT,8694.0,61481.0
2018-04-01,TUS,PI,IT,EXTRHOT,14360.0,75528.0
2018-05-01,TUS,PI,IT,EXTRHOT,11390.0,72732.0
2018-06-01,TUS,PI,IT,EXTRHOT,17827.0,100305.0
2018-07-01,TUS,PI,IT,EXTRHOT,17485.0,128640.0
2018-08-01,TUS,PI,IT,EXTRHOT,23089.0,166390.0
2018-09-01,TUS,PI,IT,EXTRHOT,13444.0,98300.0
2018-10-01,TUS,PI,IT,EXTRHOT,9394.0,61271.0
2018-11-01,TUS,PI,IT,EXTRHOT,9145.0,61836.0
2018-12-01,TUS,PI,IT,EXTRHOT,8208.0,61768.0
2019-01-01,TUS,PI,IT,EXTRHOT,5947.0,59965.0
2019-02-01,TUS,PI,IT,EXTRHOT,5875.0,55791.0
2019-03-01,TUS,PI,IT,EXTRHOT,8303.0,64002.0
2019-04-01,TUS,PI,IT,EXTRHOT,17898.0,81276.0
2019-05-01,TUS,PI,IT,EXTRHOT,12278.0,72005.0
2019-06-01,TUS,PI,IT,EXTRHOT,18928.0,105018.0
2019-07-01,TUS,PI,IT,EXTRHOT,17595.0,129270.0
2019-08-01,TUS,PI,IT,EXTRHOT,26547.0,177807.0
2019-09-01,TUS,PI,IT,EXTRHOT,14864.0,104787.0
2019-10-01,TUS,PI,IT,EXTRHOT,12010.0,66838.0
2019-11-01,TUS,PI,IT,EXTRHOT,9573.0,65006.0
2019-12-01,TUS,PI,IT,EXTRHOT,9081.0,64618.0
2020-01-01,TUS,PI,IT,EXTRHOT,6607.0,59796.0
2020-02-01,TUS,PI,IT,EXTRHOT,7080.0,58684.0
2020-03-01,TUS,PI,IT,EXTRHOT,1309.0,53425.0
2020-04-01,TUS,PI,IT,EXTRHOT,307.0,45604.0
2020-05-01,TUS,PI,IT,EXTRHOT,872.0,46760.0
2020-06-01,TUS,PI,IT,EXTRHOT,7062.0,59221.0
2020-07-01,TUS,PI,IT,EXTRHOT,18726.0,119348.0
2020-08-01,TUS,PI,IT,EXTRHOT,38131.0,216091.0
2020-09-01,TUS,PI,IT,EXTRHOT,13908.0,92200.0
2020-10-01,TUS,PI,IT,EXTRHOT,6262.0,43523.0
2020-11-01,TUS,PI,IT,EXTRHOT,2002.0,35474.0
2020-12-01,TUS,PI,IT,EXTRHOT,1426.0,34197.0
2021-01-01,TUS,PI,IT,EXTRHOT,2081.0,35597.0
2021-02-01,TUS,PI,IT,EXTRHOT,2246.0,34983.0
2021-03-01,TUS,PI,IT,EXTRHOT,2134.0,38982.0
2021-04-01,TUS,PI,IT,EXTRHOT,2385.0,38687.0
2021-05-01,TUS,PI,IT,EXTRHOT,8960.0,57201.0
2021-06-01,TUS,PI,IT,EXTRHOT,16522.0,80862.0
2021-07-01,TUS,PI,IT,EXTRHOT,25875.0,127108.0
2021-08-01,TUS,PI,IT,EXTRHOT,35775.0,199886.0
2021-09-01,TUS,PI,IT,EXTRHOT,17035.0,92224.0
2021-10-01,TUS,PI,IT,EXTRHOT,14706.0,56389.0
2021-11-01,TUS,PI,IT,EXTRHOT,7479.0,47066.0
2021-12-01,TUS,PI,IT,EXTRHOT,8193.0,49962.0
