period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PI,WLD,EXTRHOT,5417.0,50077.0
2016-02-01,TUS,PI,WLD,EXTRHOT,5482.0,48447.0
2016-03-01,TUS,PI,WLD,EXTRHOT,10899.0,72782.0
2016-04-01,TUS,PI,WLD,EXTRHOT,15049.0,79909.0
2016-05-01,TUS,PI,WLD,EXTRHOT,29448.0,148696.0
2016-06-01,TUS,PI,WLD,EXTRHOT,35225.0,185406.0
2016-07-01,TUS,PI,WLD,EXTRHOT,55594.0,324189.0
2016-08-01,TUS,PI,WLD,EXTRHOT,56789.0,360065.0
2016-09-01,TUS,PI,WLD,EXTRHOT,31431.0,180314.0
2016-10-01,TUS,PI,WLD,EXTRHOT,22698.0,98127.0
2016-11-01,TUS,PI,WLD,EXTRHOT,7904.0,64962.0
2016-12-01,TUS,PI,WLD,EXTRHOT,8658.0,65129.0
2017-01-01,TUS,PI,WLD,EXTRHOT,7695.0,67664.0
2017-02-01,TUS,PI,WLD,EXTRHOT,7625.0,62596.0
2017-03-01,TUS,PI,WLD,EXTRHOT,10303.0,74687.0
2017-04-01,TUS,PI,WLD,EXTRHOT,29452.0,118477.0
2017-05-01,TUS,PI,WLD,EXTRHOT,28224.0,130333.0
2017-06-01,TUS,PI,WLD,EXTRHOT,40391.0,199823.0
2017-07-01,TUS,PI,WLD,EXTRHOT,54445.0,309308.0
2017-08-01,TUS,PI,WLD,EXTRHOT,54094.0,353242.0
2017-09-01,TUS,PI,WLD,EXTRHOT,32627.0,163870.0
2017-10-01,TUS,PI,WLD,EXTRHOT,20648.0,95020.0
2017-11-01,TUS,PI,WLD,EXTRHOT,9908.0,66230.0
2017-12-01,TUS,PI,WLD,EXTRHOT,8288.0,62767.0
2018-01-01,TUS,PI,WLD,EXTRHOT,7438.0,70741.0
2018-02-01,TUS,PI,WLD,EXTRHOT,8653.0,68170.0
2018-03-01,TUS,PI,WLD,EXTRHOT,16652.0,90464.0
2018-04-01,TUS,PI,WLD,EXTRHOT,32038.0,131492.0
2018-05-01,TUS,PI,WLD,EXTRHOT,41106.0,181295.0
2018-06-01,TUS,PI,WLD,EXTRHOT,49513.0,222127.0
2018-07-01,TUS,PI,WLD,EXTRHOT,71306.0,389762.0
2018-08-01,TUS,PI,WLD,EXTRHOT,69844.0,422556.0
2018-09-01,TUS,PI,WLD,EXTRHOT,42271.0,206089.0
2018-10-01,TUS,PI,WLD,EXTRHOT,26379.0,115746.0
2018-11-01,TUS,PI,WLD,EXTRHOT,13233.0,80262.0
2018-12-01,TUS,PI,WLD,EXTRHOT,12078.0,80569.0
2019-01-01,TUS,PI,WLD,EXTRHOT,9118.0,80252.0
2019-02-01,TUS,PI,WLD,EXTRHOT,9747.0,75261.0
2019-03-01,TUS,PI,WLD,EXTRHOT,14393.0,89043.0
2019-04-01,TUS,PI,WLD,EXTRHOT,39451.0,146669.0
2019-05-01,TUS,PI,WLD,EXTRHOT,37818.0,150981.0
2019-06-01,TUS,PI,WLD,EXTRHOT,56181.0,246403.0
2019-07-01,TUS,PI,WLD,EXTRHOT,69328.0,370861.0
2019-08-01,TUS,PI,WLD,EXTRHOT,75951.0,420055.0
2019-09-01,TUS,PI,WLD,EXTRHOT,47037.0,221152.0
2019-10-01,TUS,PI,WLD,EXTRHOT,32743.0,126880.0
2019-11-01,TUS,PI,WLD,EXTRHOT,14847.0,83858.0
2019-12-01,TUS,PI,WLD,EXTRHOT,14287.0,83644.0
2020-01-01,TUS,PI,WLD,EXTRHOT,11205.0,77713.0
2020-02-01,TUS,PI,WLD,EXTRHOT,11723.0,76117.0
2020-03-01,TUS,PI,WLD,EXTRHOT,1849.0,64908.0
2020-04-01,TUS,PI,WLD,EXTRHOT,333.0,54843.0
2020-05-01,TUS,PI,WLD,EXTRHOT,915.0,56133.0
2020-06-01,TUS,PI,WLD,EXTRHOT,8704.0,73243.0
2020-07-01,TUS,PI,WLD,EXTRHOT,34112.0,196988.0
2020-08-01,TUS,PI,WLD,EXTRHOT,61634.0,330213.0
2020-09-01,TUS,PI,WLD,EXTRHOT,30256.0,160099.0
2020-10-01,TUS,PI,WLD,EXTRHOT,11545.0,66777.0
2020-11-01,TUS,PI,WLD,EXTRHOT,2252.0,41868.0
2020-12-01,TUS,PI,WLD,EXTRHOT,1550.0,39963.0
2021-01-01,TUS,PI,WLD,EXTRHOT,2293.0,42492.0
2021-02-01,TUS,PI,WLD,EXTRHOT,2498.0,41665.0
2021-03-01,TUS,PI,WLD,EXTRHOT,2383.0,46554.0
2021-04-01,TUS,PI,WLD,EXTRHOT,2713.0,46383.0
2021-05-01,TUS,PI,WLD,EXTRHOT,13386.0,79979.0
2021-06-01,TUS,PI,WLD,EXTRHOT,26484.0,126939.0
2021-07-01,TUS,PI,WLD,EXTRHOT,66964.0,312259.0
2021-08-01,TUS,PI,WLD,EXTRHOT,81943.0,445539.0
2021-09-01,TUS,PI,WLD,EXTRHOT,45439.0,207024.0
2021-10-01,TUS,PI,WLD,EXTRHOT,32798.0,107674.0
2021-11-01,TUS,PI,WLD,EXTRHOT,12293.0,61281.0
2021-12-01,TUS,PI,WLD,EXTRHOT,10931.0,59895.0
