period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,EXTR,HOT,9708.0,16912.0
2009-02-01,TUS,PI,EXTR,HOT,11390.0,22398.0
2009-03-01,TUS,PI,EXTR,HOT,14120.0,27158.0
2009-04-01,TUS,PI,EXTR,HOT,28084.0,55274.0
2009-05-01,TUS,PI,EXTR,HOT,35089.0,71791.0
2009-06-01,TUS,PI,EXTR,HOT,35374.0,76801.0
2009-07-01,TUS,PI,EXTR,HOT,56820.0,132516.0
2009-08-01,TUS,PI,EXTR,HOT,45721.0,105677.0
2009-09-01,TUS,PI,EXTR,HOT,41097.0,94698.0
2009-10-01,TUS,PI,EXTR,HOT,30399.0,61021.0
2009-11-01,TUS,PI,EXTR,HOT,12234.0,22278.0
2009-12-01,TUS,PI,EXTR,HOT,10826.0,18815.0
2010-01-01,TUS,PI,EXTR,HOT,9130.0,17713.0
2010-02-01,TUS,PI,EXTR,HOT,10396.0,21212.0
2010-03-01,TUS,PI,EXTR,HOT,14408.0,28296.0
2010-04-01,TUS,PI,EXTR,HOT,30576.0,57450.0
2010-05-01,TUS,PI,EXTR,HOT,39983.0,80063.0
2010-06-01,TUS,PI,EXTR,HOT,39350.0,82300.0
2010-07-01,TUS,PI,EXTR,HOT,55290.0,128612.0
2010-08-01,TUS,PI,EXTR,HOT,47691.0,115960.0
2010-09-01,TUS,PI,EXTR,HOT,42167.0,86877.0
2010-10-01,TUS,PI,EXTR,HOT,34266.0,65399.0
2010-11-01,TUS,PI,EXTR,HOT,10725.0,19310.0
2010-12-01,TUS,PI,EXTR,HOT,10878.0,20220.0
2011-01-01,TUS,PI,EXTR,HOT,8773.0,17434.0
2011-02-01,TUS,PI,EXTR,HOT,9124.0,19661.0
2011-03-01,TUS,PI,EXTR,HOT,14386.0,29921.0
2011-04-01,TUS,PI,EXTR,HOT,32939.0,68047.0
2011-05-01,TUS,PI,EXTR,HOT,38579.0,79868.0
2011-06-01,TUS,PI,EXTR,HOT,47362.0,100704.0
2011-07-01,TUS,PI,EXTR,HOT,60270.0,137883.0
2011-08-01,TUS,PI,EXTR,HOT,53983.0,123207.0
2011-09-01,TUS,PI,EXTR,HOT,53320.0,115418.0
2011-10-01,TUS,PI,EXTR,HOT,36429.0,71002.0
2011-11-01,TUS,PI,EXTR,HOT,13825.0,28657.0
2011-12-01,TUS,PI,EXTR,HOT,12011.0,21875.0
2012-01-01,TUS,PI,EXTR,HOT,10361.0,20994.0
2012-02-01,TUS,PI,EXTR,HOT,10961.0,23308.0
2012-03-01,TUS,PI,EXTR,HOT,16089.0,31754.0
2012-04-01,TUS,PI,EXTR,HOT,32748.0,64381.0
2012-05-01,TUS,PI,EXTR,HOT,35070.0,71667.0
2012-06-01,TUS,PI,EXTR,HOT,42814.0,88721.0
2012-07-01,TUS,PI,EXTR,HOT,58186.0,136800.0
2012-08-01,TUS,PI,EXTR,HOT,54483.0,126599.0
2012-09-01,TUS,PI,EXTR,HOT,42851.0,96123.0
2012-10-01,TUS,PI,EXTR,HOT,31592.0,63603.0
2012-11-01,TUS,PI,EXTR,HOT,13128.0,23762.0
2012-12-01,TUS,PI,EXTR,HOT,13880.0,25366.0
2013-01-01,TUS,PI,EXTR,HOT,12760.0,22823.0
2013-02-01,TUS,PI,EXTR,HOT,10046.0,18444.0
2013-03-01,TUS,PI,EXTR,HOT,16440.0,32966.0
2013-04-01,TUS,PI,EXTR,HOT,26044.0,50826.0
2013-05-01,TUS,PI,EXTR,HOT,42527.0,88630.0
2013-06-01,TUS,PI,EXTR,HOT,45368.0,94814.0
2013-07-01,TUS,PI,EXTR,HOT,58773.0,141194.0
2013-08-01,TUS,PI,EXTR,HOT,53115.0,130185.0
2013-09-01,TUS,PI,EXTR,HOT,45013.0,98546.0
2013-10-01,TUS,PI,EXTR,HOT,32848.0,66711.0
2013-11-01,TUS,PI,EXTR,HOT,13993.0,25241.0
2013-12-01,TUS,PI,EXTR,HOT,12089.0,20905.0
2014-01-01,TUS,PI,EXTR,HOT,9266.0,19360.0
2014-02-01,TUS,PI,EXTR,HOT,8973.0,19124.0
2014-03-01,TUS,PI,EXTR,HOT,14336.0,28145.0
2014-04-01,TUS,PI,EXTR,HOT,33711.0,65001.0
2014-05-01,TUS,PI,EXTR,HOT,43030.0,83752.0
2014-06-01,TUS,PI,EXTR,HOT,45204.0,99806.0
2014-07-01,TUS,PI,EXTR,HOT,56453.0,132399.0
2014-08-01,TUS,PI,EXTR,HOT,58055.0,139952.0
2014-09-01,TUS,PI,EXTR,HOT,44203.0,103853.0
2014-10-01,TUS,PI,EXTR,HOT,31217.0,67383.0
2014-11-01,TUS,PI,EXTR,HOT,11480.0,22947.0
2014-12-01,TUS,PI,EXTR,HOT,11260.0,20235.0
2015-01-01,TUS,PI,EXTR,HOT,9747.0,19085.0
2015-02-01,TUS,PI,EXTR,HOT,11241.0,21654.0
2015-03-01,TUS,PI,EXTR,HOT,15636.0,28342.0
2015-04-01,TUS,PI,EXTR,HOT,31024.0,58144.0
2015-05-01,TUS,PI,EXTR,HOT,46306.0,87810.0
2015-06-01,TUS,PI,EXTR,HOT,45217.0,97158.0
2015-07-01,TUS,PI,EXTR,HOT,58388.0,136403.0
2015-08-01,TUS,PI,EXTR,HOT,55935.0,136873.0
2015-09-01,TUS,PI,EXTR,HOT,45911.0,107068.0
2015-10-01,TUS,PI,EXTR,HOT,32269.0,70072.0
2015-11-01,TUS,PI,EXTR,HOT,14609.0,26727.0
2015-12-01,TUS,PI,EXTR,HOT,10026.0,18714.0
2016-01-01,TUS,PI,EXTR,HOT,9809.0,19162.0
2016-02-01,TUS,PI,EXTR,HOT,11768.0,22346.0
2016-03-01,TUS,PI,EXTR,HOT,20464.0,38312.0
2016-04-01,TUS,PI,EXTR,HOT,30161.0,58368.0
2016-05-01,TUS,PI,EXTR,HOT,44702.0,83695.0
2016-06-01,TUS,PI,EXTR,HOT,42287.0,84408.0
2016-07-01,TUS,PI,EXTR,HOT,57728.0,128732.0
2016-08-01,TUS,PI,EXTR,HOT,55633.0,126553.0
2016-09-01,TUS,PI,EXTR,HOT,43181.0,93095.0
2016-10-01,TUS,PI,EXTR,HOT,35848.0,68553.0
2016-11-01,TUS,PI,EXTR,HOT,15720.0,31167.0
