period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,IT,HOT,19977.0,43788.0
2009-02-01,TUS,PI,IT,HOT,23858.0,48240.0
2009-03-01,TUS,PI,IT,HOT,26161.0,54890.0
2009-04-01,TUS,PI,IT,HOT,29276.0,60718.0
2009-05-01,TUS,PI,IT,HOT,33869.0,70546.0
2009-06-01,TUS,PI,IT,HOT,28399.0,67618.0
2009-07-01,TUS,PI,IT,HOT,30944.0,86379.0
2009-08-01,TUS,PI,IT,HOT,29217.0,96666.0
2009-09-01,TUS,PI,IT,HOT,28245.0,63504.0
2009-10-01,TUS,PI,IT,HOT,28162.0,54743.0
2009-11-01,TUS,PI,IT,HOT,24263.0,48255.0
2009-12-01,TUS,PI,IT,HOT,24777.0,48247.0
2010-01-01,TUS,PI,IT,HOT,20978.0,44416.0
2010-02-01,TUS,PI,IT,HOT,22594.0,46848.0
2010-03-01,TUS,PI,IT,HOT,23569.0,45678.0
2010-04-01,TUS,PI,IT,HOT,30663.0,58252.0
2010-05-01,TUS,PI,IT,HOT,28981.0,55441.0
2010-06-01,TUS,PI,IT,HOT,26651.0,64842.0
2010-07-01,TUS,PI,IT,HOT,27985.0,74268.0
2010-08-01,TUS,PI,IT,HOT,26936.0,90730.0
2010-09-01,TUS,PI,IT,HOT,27036.0,61019.0
2010-10-01,TUS,PI,IT,HOT,30550.0,59066.0
2010-11-01,TUS,PI,IT,HOT,22463.0,41808.0
2010-12-01,TUS,PI,IT,HOT,23007.0,46819.0
2011-01-01,TUS,PI,IT,HOT,21947.0,47205.0
2011-02-01,TUS,PI,IT,HOT,21959.0,43772.0
2011-03-01,TUS,PI,IT,HOT,26517.0,53568.0
2011-04-01,TUS,PI,IT,HOT,27761.0,60113.0
2011-05-01,TUS,PI,IT,HOT,29502.0,68539.0
2011-06-01,TUS,PI,IT,HOT,30685.0,72467.0
2011-07-01,TUS,PI,IT,HOT,30475.0,77936.0
2011-08-01,TUS,PI,IT,HOT,30596.0,91856.0
2011-09-01,TUS,PI,IT,HOT,31504.0,70047.0
2011-10-01,TUS,PI,IT,HOT,31383.0,62989.0
2011-11-01,TUS,PI,IT,HOT,23225.0,49269.0
2011-12-01,TUS,PI,IT,HOT,24675.0,48005.0
2012-01-01,TUS,PI,IT,HOT,23971.0,51012.0
2012-02-01,TUS,PI,IT,HOT,21466.0,45006.0
2012-03-01,TUS,PI,IT,HOT,29409.0,59924.0
2012-04-01,TUS,PI,IT,HOT,28564.0,58205.0
2012-05-01,TUS,PI,IT,HOT,24353.0,52091.0
2012-06-01,TUS,PI,IT,HOT,28181.0,64074.0
2012-07-01,TUS,PI,IT,HOT,26381.0,70323.0
2012-08-01,TUS,PI,IT,HOT,26752.0,84873.0
2012-09-01,TUS,PI,IT,HOT,26688.0,58866.0
2012-10-01,TUS,PI,IT,HOT,25507.0,53740.0
2012-11-01,TUS,PI,IT,HOT,27310.0,55169.0
2012-12-01,TUS,PI,IT,HOT,23127.0,46061.0
2013-01-01,TUS,PI,IT,HOT,20082.0,40381.0
2013-02-01,TUS,PI,IT,HOT,19468.0,38360.0
2013-03-01,TUS,PI,IT,HOT,24375.0,47533.0
2013-04-01,TUS,PI,IT,HOT,24818.0,48352.0
2013-05-01,TUS,PI,IT,HOT,23982.0,46131.0
2013-06-01,TUS,PI,IT,HOT,27692.0,61940.0
2013-07-01,TUS,PI,IT,HOT,27591.0,71595.0
2013-08-01,TUS,PI,IT,HOT,28168.0,85245.0
2013-09-01,TUS,PI,IT,HOT,27235.0,58696.0
2013-10-01,TUS,PI,IT,HOT,27622.0,55667.0
2013-11-01,TUS,PI,IT,HOT,23736.0,50201.0
2013-12-01,TUS,PI,IT,HOT,19827.0,39804.0
2014-01-01,TUS,PI,IT,HOT,19286.0,46405.0
2014-02-01,TUS,PI,IT,HOT,18899.0,46410.0
2014-03-01,TUS,PI,IT,HOT,24866.0,54191.0
2014-04-01,TUS,PI,IT,HOT,31410.0,68257.0
2014-05-01,TUS,PI,IT,HOT,28499.0,58094.0
2014-06-01,TUS,PI,IT,HOT,27527.0,67780.0
2014-07-01,TUS,PI,IT,HOT,26287.0,68364.0
