period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PI,WLD,HOT,26091.0,54667.0
2016-02-01,TUS,PI,WLD,HOT,30683.0,59720.0
2016-03-01,TUS,PI,WLD,HOT,44490.0,84340.0
2016-04-01,TUS,PI,WLD,HOT,54424.0,105164.0
2016-05-01,TUS,PI,WLD,HOT,68246.0,129500.0
2016-06-01,TUS,PI,WLD,HOT,68546.0,140522.0
2016-07-01,TUS,PI,WLD,HOT,82254.0,189009.0
2016-08-01,TUS,PI,WLD,HOT,81977.0,202329.0
2016-09-01,TUS,PI,WLD,HOT,67948.0,147915.0
2016-10-01,TUS,PI,WLD,HOT,65521.0,131501.0
2016-11-01,TUS,PI,WLD,HOT,36609.0,75234.0
2016-12-01,TUS,PI,WLD,HOT,36648.0,68447.0
2017-01-01,TUS,PI,WLD,HOT,34229.0,65767.0
2017-02-01,TUS,PI,WLD,HOT,35452.0,65827.0
2017-03-01,TUS,PI,WLD,HOT,47374.0,86485.0
2017-04-01,TUS,PI,WLD,HOT,70933.0,129154.0
2017-05-01,TUS,PI,WLD,HOT,72151.0,131604.0
2017-06-01,TUS,PI,WLD,HOT,67361.0,139119.0
2017-07-01,TUS,PI,WLD,HOT,75779.0,172644.0
2017-08-01,TUS,PI,WLD,HOT,73126.0,183520.0
2017-09-01,TUS,PI,WLD,HOT,60085.0,129190.0
2017-10-01,TUS,PI,WLD,HOT,56387.0,99456.0
2017-11-01,TUS,PI,WLD,HOT,39239.0,68961.0
2017-12-01,TUS,PI,WLD,HOT,31561.0,57012.0
2018-01-01,TUS,PI,WLD,HOT,35330.0,63950.0
2018-02-01,TUS,PI,WLD,HOT,40037.0,70976.0
2018-03-01,TUS,PI,WLD,HOT,52420.0,93479.0
2018-04-01,TUS,PI,WLD,HOT,74616.0,130004.0
2018-05-01,TUS,PI,WLD,HOT,82058.0,145973.0
2018-06-01,TUS,PI,WLD,HOT,90389.0,168231.0
2018-07-01,TUS,PI,WLD,HOT,97973.0,213265.0
2018-08-01,TUS,PI,WLD,HOT,89999.0,211102.0
2018-09-01,TUS,PI,WLD,HOT,80670.0,157013.0
2018-10-01,TUS,PI,WLD,HOT,70395.0,124138.0
2018-11-01,TUS,PI,WLD,HOT,47823.0,81396.0
2018-12-01,TUS,PI,WLD,HOT,41951.0,70985.0
2019-01-01,TUS,PI,WLD,HOT,35404.0,64145.0
2019-02-01,TUS,PI,WLD,HOT,38763.0,66305.0
2019-03-01,TUS,PI,WLD,HOT,50330.0,89447.0
2019-04-01,TUS,PI,WLD,HOT,75813.0,130975.0
2019-05-01,TUS,PI,WLD,HOT,82281.0,141662.0
2019-06-01,TUS,PI,WLD,HOT,89898.0,171292.0
2019-07-01,TUS,PI,WLD,HOT,91195.0,205070.0
2019-08-01,TUS,PI,WLD,HOT,90966.0,214223.0
2019-09-01,TUS,PI,WLD,HOT,75115.0,155441.0
2019-10-01,TUS,PI,WLD,HOT,68587.0,119260.0
2019-11-01,TUS,PI,WLD,HOT,44703.0,75744.0
2019-12-01,TUS,PI,WLD,HOT,39893.0,65691.0
2020-01-01,TUS,PI,WLD,HOT,41867.0,71012.0
2020-02-01,TUS,PI,WLD,HOT,34303.0,60933.0
2020-03-01,TUS,PI,WLD,HOT,5160.0,17488.0
2020-04-01,TUS,PI,WLD,HOT,567.0,10641.0
2020-05-01,TUS,PI,WLD,HOT,2146.0,13343.0
2020-06-01,TUS,PI,WLD,HOT,12158.0,27440.0
2020-07-01,TUS,PI,WLD,HOT,35197.0,87778.0
2020-08-01,TUS,PI,WLD,HOT,55887.0,147310.0
2020-09-01,TUS,PI,WLD,HOT,37082.0,84528.0
2020-10-01,TUS,PI,WLD,HOT,20820.0,45201.0
2020-11-01,TUS,PI,WLD,HOT,6807.0,22425.0
2020-12-01,TUS,PI,WLD,HOT,5676.0,16414.0
2021-01-01,TUS,PI,WLD,HOT,8227.0,26486.0
2021-02-01,TUS,PI,WLD,HOT,9390.0,25773.0
2021-03-01,TUS,PI,WLD,HOT,8763.0,24720.0
2021-04-01,TUS,PI,WLD,HOT,9535.0,26415.0
2021-05-01,TUS,PI,WLD,HOT,19216.0,43826.0
2021-06-01,TUS,PI,WLD,HOT,35345.0,83434.0
2021-07-01,TUS,PI,WLD,HOT,61909.0,159037.0
2021-08-01,TUS,PI,WLD,HOT,75921.0,207032.0
2021-09-01,TUS,PI,WLD,HOT,52288.0,119482.0
2021-10-01,TUS,PI,WLD,HOT,47321.0,91655.0
2021-11-01,TUS,PI,WLD,HOT,30046.0,58045.0
2021-12-01,TUS,PI,WLD,HOT,24534.0,47880.0
