period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,EXTR,TOT,10696.0,22410.0
2009-02-01,TUS,PI,EXTR,TOT,12367.0,27137.0
2009-03-01,TUS,PI,EXTR,TOT,15668.0,34358.0
2009-04-01,TUS,PI,EXTR,TOT,36646.0,83858.0
2009-05-01,TUS,PI,EXTR,TOT,45228.0,120097.0
2009-06-01,TUS,PI,EXTR,TOT,45044.0,133143.0
2009-07-01,TUS,PI,EXTR,TOT,94121.0,362935.0
2009-08-01,TUS,PI,EXTR,TOT,82298.0,325904.0
2009-09-01,TUS,PI,EXTR,TOT,56499.0,174289.0
2009-10-01,TUS,PI,EXTR,TOT,37484.0,95240.0
2009-11-01,TUS,PI,EXTR,TOT,13327.0,34395.0
2009-12-01,TUS,PI,EXTR,TOT,11612.0,30882.0
2010-01-01,TUS,PI,EXTR,TOT,9907.0,29357.0
2010-02-01,TUS,PI,EXTR,TOT,11460.0,32553.0
2010-03-01,TUS,PI,EXTR,TOT,16188.0,41491.0
2010-04-01,TUS,PI,EXTR,TOT,35789.0,82927.0
2010-05-01,TUS,PI,EXTR,TOT,54826.0,150590.0
2010-06-01,TUS,PI,EXTR,TOT,55461.0,167641.0
2010-07-01,TUS,PI,EXTR,TOT,93242.0,356682.0
2010-08-01,TUS,PI,EXTR,TOT,81434.0,334484.0
2010-09-01,TUS,PI,EXTR,TOT,53861.0,161201.0
2010-10-01,TUS,PI,EXTR,TOT,40968.0,97065.0
2010-11-01,TUS,PI,EXTR,TOT,11815.0,30976.0
2010-12-01,TUS,PI,EXTR,TOT,11437.0,30260.0
2011-01-01,TUS,PI,EXTR,TOT,9689.0,28087.0
2011-02-01,TUS,PI,EXTR,TOT,10396.0,30413.0
2011-03-01,TUS,PI,EXTR,TOT,16429.0,43180.0
2011-04-01,TUS,PI,EXTR,TOT,43814.0,109575.0
2011-05-01,TUS,PI,EXTR,TOT,51357.0,134854.0
2011-06-01,TUS,PI,EXTR,TOT,69007.0,211000.0
2011-07-01,TUS,PI,EXTR,TOT,100035.0,356365.0
2011-08-01,TUS,PI,EXTR,TOT,90908.0,351518.0
2011-09-01,TUS,PI,EXTR,TOT,71090.0,202838.0
2011-10-01,TUS,PI,EXTR,TOT,43938.0,103153.0
2011-11-01,TUS,PI,EXTR,TOT,15162.0,41278.0
2011-12-01,TUS,PI,EXTR,TOT,13252.0,33754.0
2012-01-01,TUS,PI,EXTR,TOT,11400.0,31039.0
2012-02-01,TUS,PI,EXTR,TOT,12232.0,33965.0
2012-03-01,TUS,PI,EXTR,TOT,18958.0,46506.0
2012-04-01,TUS,PI,EXTR,TOT,42540.0,100508.0
2012-05-01,TUS,PI,EXTR,TOT,46875.0,129779.0
2012-06-01,TUS,PI,EXTR,TOT,63562.0,186014.0
2012-07-01,TUS,PI,EXTR,TOT,98146.0,347351.0
2012-08-01,TUS,PI,EXTR,TOT,89690.0,331512.0
2012-09-01,TUS,PI,EXTR,TOT,63289.0,187053.0
2012-10-01,TUS,PI,EXTR,TOT,41058.0,103665.0
2012-11-01,TUS,PI,EXTR,TOT,14629.0,35387.0
2012-12-01,TUS,PI,EXTR,TOT,14680.0,34353.0
2013-01-01,TUS,PI,EXTR,TOT,13658.0,32418.0
2013-02-01,TUS,PI,EXTR,TOT,11315.0,26710.0
2013-03-01,TUS,PI,EXTR,TOT,20359.0,50142.0
2013-04-01,TUS,PI,EXTR,TOT,34709.0,81530.0
2013-05-01,TUS,PI,EXTR,TOT,61680.0,170770.0
2013-06-01,TUS,PI,EXTR,TOT,68982.0,194233.0
2013-07-01,TUS,PI,EXTR,TOT,102836.0,388293.0
2013-08-01,TUS,PI,EXTR,TOT,92850.0,356502.0
2013-09-01,TUS,PI,EXTR,TOT,66259.0,188240.0
2013-10-01,TUS,PI,EXTR,TOT,40880.0,100861.0
2013-11-01,TUS,PI,EXTR,TOT,15376.0,36372.0
2013-12-01,TUS,PI,EXTR,TOT,13204.0,30876.0
2014-01-01,TUS,PI,EXTR,TOT,10120.0,28170.0
2014-02-01,TUS,PI,EXTR,TOT,9927.0,27525.0
2014-03-01,TUS,PI,EXTR,TOT,16233.0,40576.0
2014-04-01,TUS,PI,EXTR,TOT,45955.0,103837.0
2014-05-01,TUS,PI,EXTR,TOT,60948.0,143706.0
2014-06-01,TUS,PI,EXTR,TOT,68754.0,212027.0
2014-07-01,TUS,PI,EXTR,TOT,98226.0,360376.0
2014-08-01,TUS,PI,EXTR,TOT,99098.0,356349.0
2014-09-01,TUS,PI,EXTR,TOT,64405.0,194220.0
2014-10-01,TUS,PI,EXTR,TOT,39755.0,102501.0
2014-11-01,TUS,PI,EXTR,TOT,12884.0,35139.0
2014-12-01,TUS,PI,EXTR,TOT,12920.0,33500.0
2015-01-01,TUS,PI,EXTR,TOT,11000.0,30958.0
2015-02-01,TUS,PI,EXTR,TOT,12754.0,33356.0
2015-03-01,TUS,PI,EXTR,TOT,17921.0,43096.0
2015-04-01,TUS,PI,EXTR,TOT,40995.0,91085.0
2015-05-01,TUS,PI,EXTR,TOT,66181.0,157658.0
2015-06-01,TUS,PI,EXTR,TOT,67643.0,188150.0
