period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PI,IT,TOT,25409.0,79229.0
2009-02-01,TUS,PI,IT,TOT,29134.0,83469.0
2009-03-01,TUS,PI,IT,TOT,32141.0,94280.0
2009-04-01,TUS,PI,IT,TOT,39537.0,118656.0
2009-05-01,TUS,PI,IT,TOT,45077.0,151448.0
2009-06-01,TUS,PI,IT,TOT,36586.0,155135.0
2009-07-01,TUS,PI,IT,TOT,44664.0,237005.0
2009-08-01,TUS,PI,IT,TOT,46175.0,261541.0
2009-09-01,TUS,PI,IT,TOT,37643.0,161285.0
2009-10-01,TUS,PI,IT,TOT,36195.0,107650.0
2009-11-01,TUS,PI,IT,TOT,30549.0,98252.0
2009-12-01,TUS,PI,IT,TOT,31489.0,100830.0
2010-01-01,TUS,PI,IT,TOT,26283.0,97564.0
2010-02-01,TUS,PI,IT,TOT,27661.0,97491.0
2010-03-01,TUS,PI,IT,TOT,29212.0,102507.0
2010-04-01,TUS,PI,IT,TOT,41386.0,138108.0
2010-05-01,TUS,PI,IT,TOT,39344.0,162838.0
2010-06-01,TUS,PI,IT,TOT,39161.0,204118.0
2010-07-01,TUS,PI,IT,TOT,42300.0,227255.0
2010-08-01,TUS,PI,IT,TOT,42979.0,256341.0
2010-09-01,TUS,PI,IT,TOT,35952.0,146392.0
2010-10-01,TUS,PI,IT,TOT,38520.0,119395.0
2010-11-01,TUS,PI,IT,TOT,27864.0,95811.0
2010-12-01,TUS,PI,IT,TOT,29503.0,100187.0
2011-01-01,TUS,PI,IT,TOT,27282.0,99310.0
2011-02-01,TUS,PI,IT,TOT,26597.0,87560.0
2011-03-01,TUS,PI,IT,TOT,32592.0,113550.0
2011-04-01,TUS,PI,IT,TOT,38964.0,125629.0
2011-05-01,TUS,PI,IT,TOT,40279.0,137079.0
2011-06-01,TUS,PI,IT,TOT,46753.0,170656.0
2011-07-01,TUS,PI,IT,TOT,48260.0,202600.0
2011-08-01,TUS,PI,IT,TOT,51004.0,250307.0
2011-09-01,TUS,PI,IT,TOT,44053.0,154390.0
2011-10-01,TUS,PI,IT,TOT,40472.0,123634.0
2011-11-01,TUS,PI,IT,TOT,28688.0,99955.0
2011-12-01,TUS,PI,IT,TOT,31494.0,99580.0
2012-01-01,TUS,PI,IT,TOT,29589.0,101970.0
2012-02-01,TUS,PI,IT,TOT,26086.0,92112.0
2012-03-01,TUS,PI,IT,TOT,35878.0,115814.0
2012-04-01,TUS,PI,IT,TOT,40919.0,126629.0
2012-05-01,TUS,PI,IT,TOT,32198.0,117531.0
2012-06-01,TUS,PI,IT,TOT,42647.0,173897.0
2012-07-01,TUS,PI,IT,TOT,40186.0,203344.0
2012-08-01,TUS,PI,IT,TOT,46176.0,230221.0
2012-09-01,TUS,PI,IT,TOT,38657.0,140736.0
2012-10-01,TUS,PI,IT,TOT,33431.0,107513.0
2012-11-01,TUS,PI,IT,TOT,34984.0,112573.0
2012-12-01,TUS,PI,IT,TOT,29538.0,102786.0
2013-01-01,TUS,PI,IT,TOT,24702.0,92472.0
2013-02-01,TUS,PI,IT,TOT,23880.0,83340.0
2013-03-01,TUS,PI,IT,TOT,31702.0,107563.0
2013-04-01,TUS,PI,IT,TOT,33904.0,110945.0
2013-05-01,TUS,PI,IT,TOT,32146.0,110150.0
2013-06-01,TUS,PI,IT,TOT,40958.0,151300.0
