period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PI,WLD,TOT,31508.0,104744.0
2016-02-01,TUS,PI,WLD,TOT,36165.0,108167.0
2016-03-01,TUS,PI,WLD,TOT,55389.0,157122.0
2016-04-01,TUS,PI,WLD,TOT,69473.0,185073.0
2016-05-01,TUS,PI,WLD,TOT,97694.0,278196.0
2016-06-01,TUS,PI,WLD,TOT,103771.0,325928.0
2016-07-01,TUS,PI,WLD,TOT,137848.0,513198.0
2016-08-01,TUS,PI,WLD,TOT,138766.0,562394.0
2016-09-01,TUS,PI,WLD,TOT,99379.0,328229.0
2016-10-01,TUS,PI,WLD,TOT,88219.0,229628.0
2016-11-01,TUS,PI,WLD,TOT,44513.0,140196.0
2016-12-01,TUS,PI,WLD,TOT,45306.0,133576.0
2017-01-01,TUS,PI,WLD,TOT,41924.0,133431.0
2017-02-01,TUS,PI,WLD,TOT,43077.0,128423.0
2017-03-01,TUS,PI,WLD,TOT,57677.0,161172.0
2017-04-01,TUS,PI,WLD,TOT,100385.0,247631.0
2017-05-01,TUS,PI,WLD,TOT,100375.0,261937.0
2017-06-01,TUS,PI,WLD,TOT,107752.0,338942.0
2017-07-01,TUS,PI,WLD,TOT,130224.0,481952.0
2017-08-01,TUS,PI,WLD,TOT,127220.0,536762.0
2017-09-01,TUS,PI,WLD,TOT,92712.0,293060.0
2017-10-01,TUS,PI,WLD,TOT,77035.0,194476.0
2017-11-01,TUS,PI,WLD,TOT,49147.0,135191.0
2017-12-01,TUS,PI,WLD,TOT,39849.0,119779.0
2018-01-01,TUS,PI,WLD,TOT,42768.0,134691.0
2018-02-01,TUS,PI,WLD,TOT,48690.0,139146.0
2018-03-01,TUS,PI,WLD,TOT,69072.0,183943.0
2018-04-01,TUS,PI,WLD,TOT,106654.0,261496.0
2018-05-01,TUS,PI,WLD,TOT,123164.0,327268.0
2018-06-01,TUS,PI,WLD,TOT,139902.0,390358.0
2018-07-01,TUS,PI,WLD,TOT,169279.0,603027.0
2018-08-01,TUS,PI,WLD,TOT,159843.0,633658.0
2018-09-01,TUS,PI,WLD,TOT,122941.0,363102.0
2018-10-01,TUS,PI,WLD,TOT,96774.0,239884.0
2018-11-01,TUS,PI,WLD,TOT,61056.0,161658.0
2018-12-01,TUS,PI,WLD,TOT,54029.0,151554.0
2019-01-01,TUS,PI,WLD,TOT,44522.0,144397.0
2019-02-01,TUS,PI,WLD,TOT,48510.0,141566.0
2019-03-01,TUS,PI,WLD,TOT,64723.0,178490.0
2019-04-01,TUS,PI,WLD,TOT,115264.0,277644.0
2019-05-01,TUS,PI,WLD,TOT,120099.0,292643.0
2019-06-01,TUS,PI,WLD,TOT,146079.0,417695.0
2019-07-01,TUS,PI,WLD,TOT,160523.0,575931.0
2019-08-01,TUS,PI,WLD,TOT,166917.0,634278.0
2019-09-01,TUS,PI,WLD,TOT,122152.0,376593.0
2019-10-01,TUS,PI,WLD,TOT,101330.0,246140.0
2019-11-01,TUS,PI,WLD,TOT,59550.0,159602.0
2019-12-01,TUS,PI,WLD,TOT,54180.0,149335.0
2020-01-01,TUS,PI,WLD,TOT,53072.0,148725.0
2020-02-01,TUS,PI,WLD,TOT,46026.0,137050.0
2020-03-01,TUS,PI,WLD,TOT,7009.0,82396.0
2020-04-01,TUS,PI,WLD,TOT,900.0,65484.0
2020-05-01,TUS,PI,WLD,TOT,3061.0,69476.0
2020-06-01,TUS,PI,WLD,TOT,20862.0,100683.0
2020-07-01,TUS,PI,WLD,TOT,69309.0,284766.0
2020-08-01,TUS,PI,WLD,TOT,117521.0,477523.0
2020-09-01,TUS,PI,WLD,TOT,67338.0,244627.0
2020-10-01,TUS,PI,WLD,TOT,32365.0,111978.0
2020-11-01,TUS,PI,WLD,TOT,9059.0,64293.0
2020-12-01,TUS,PI,WLD,TOT,7226.0,56377.0
2021-01-01,TUS,PI,WLD,TOT,10520.0,68978.0
2021-02-01,TUS,PI,WLD,TOT,11888.0,67438.0
2021-03-01,TUS,PI,WLD,TOT,11146.0,71274.0
2021-04-01,TUS,PI,WLD,TOT,12248.0,72798.0
2021-05-01,TUS,PI,WLD,TOT,32602.0,123805.0
2021-06-01,TUS,PI,WLD,TOT,61829.0,210373.0
2021-07-01,TUS,PI,WLD,TOT,128873.0,471296.0
2021-08-01,TUS,PI,WLD,TOT,157864.0,652571.0
2021-09-01,TUS,PI,WLD,TOT,97727.0,326506.0
2021-10-01,TUS,PI,WLD,TOT,80119.0,199329.0
2021-11-01,TUS,PI,WLD,TOT,42339.0,119326.0
2021-12-01,TUS,PI,WLD,TOT,35465.0,107775.0
