period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2009-01-01,TUS,PO,EXTR,EXTRHOT,118.0,2344.0
2009-02-01,TUS,PO,EXTR,EXTRHOT,108.0,2022.0
2009-03-01,TUS,PO,EXTR,EXTRHOT,330.0,2908.0
2009-04-01,TUS,PO,EXTR,EXTRHOT,587.0,4134.0
2009-05-01,TUS,PO,EXTR,EXTRHOT,1008.0,5279.0
2009-06-01,TUS,PO,EXTR,EXTRHOT,1086.0,6721.0
2009-07-01,TUS,PO,EXTR,EXTRHOT,1406.0,8741.0
2009-08-01,TUS,PO,EXTR,EXTRHOT,1216.0,8370.0
2009-09-01,TUS,PO,EXTR,EXTRHOT,1195.0,6458.0
2009-10-01,TUS,PO,EXTR,EXTRHOT,807.0,4485.0
2009-11-01,TUS,PO,EXTR,EXTRHOT,276.0,2552.0
2009-12-01,TUS,PO,EXTR,EXTRHOT,215.0,2422.0
2010-01-01,TUS,PO,EXTR,EXTRHOT,220.0,2729.0
2010-02-01,TUS,PO,EXTR,EXTRHOT,297.0,2535.0
2010-03-01,TUS,PO,EXTR,EXTRHOT,380.0,2517.0
2010-04-01,TUS,PO,EXTR,EXTRHOT,720.0,4180.0
2010-05-01,TUS,PO,EXTR,EXTRHOT,1174.0,5868.0
2010-06-01,TUS,PO,EXTR,EXTRHOT,1069.0,6053.0
2010-07-01,TUS,PO,EXTR,EXTRHOT,1582.0,9417.0
2010-08-01,TUS,PO,EXTR,EXTRHOT,1257.0,8775.0
2010-09-01,TUS,PO,EXTR,EXTRHOT,1249.0,7048.0
2010-10-01,TUS,PO,EXTR,EXTRHOT,880.0,5429.0
2010-11-01,TUS,PO,EXTR,EXTRHOT,317.0,3633.0
2010-12-01,TUS,PO,EXTR,EXTRHOT,315.0,2455.0
2011-01-01,TUS,PO,EXTR,EXTRHOT,223.0,3005.0
2011-02-01,TUS,PO,EXTR,EXTRHOT,320.0,2348.0
2011-03-01,TUS,PO,EXTR,EXTRHOT,453.0,2923.0
2011-04-01,TUS,PO,EXTR,EXTRHOT,1109.0,5590.0
2011-05-01,TUS,PO,EXTR,EXTRHOT,1173.0,5597.0
2011-06-01,TUS,PO,EXTR,EXTRHOT,1487.0,7183.0
2011-07-01,TUS,PO,EXTR,EXTRHOT,1823.0,10386.0
2011-08-01,TUS,PO,EXTR,EXTRHOT,1468.0,11253.0
2011-09-01,TUS,PO,EXTR,EXTRHOT,1566.0,8132.0
2011-10-01,TUS,PO,EXTR,EXTRHOT,1076.0,5898.0
2011-11-01,TUS,PO,EXTR,EXTRHOT,379.0,3189.0
2011-12-01,TUS,PO,EXTR,EXTRHOT,352.0,2946.0
2012-01-01,TUS,PO,EXTR,EXTRHOT,345.0,2835.0
2012-02-01,TUS,PO,EXTR,EXTRHOT,231.0,2414.0
2012-03-01,TUS,PO,EXTR,EXTRHOT,499.0,2751.0
2012-04-01,TUS,PO,EXTR,EXTRHOT,834.0,4684.0
2012-05-01,TUS,PO,EXTR,EXTRHOT,1192.0,4978.0
2012-06-01,TUS,PO,EXTR,EXTRHOT,1540.0,5833.0
2012-07-01,TUS,PO,EXTR,EXTRHOT,1431.0,9607.0
2012-08-01,TUS,PO,EXTR,EXTRHOT,1433.0,9648.0
2012-09-01,TUS,PO,EXTR,EXTRHOT,1578.0,7295.0
2012-10-01,TUS,PO,EXTR,EXTRHOT,920.0,5800.0
2012-11-01,TUS,PO,EXTR,EXTRHOT,463.0,3733.0
2012-12-01,TUS,PO,EXTR,EXTRHOT,338.0,3053.0
2013-01-01,TUS,PO,EXTR,EXTRHOT,317.0,3624.0
2013-02-01,TUS,PO,EXTR,EXTRHOT,358.0,3465.0
2013-03-01,TUS,PO,EXTR,EXTRHOT,411.0,4309.0
2013-04-01,TUS,PO,EXTR,EXTRHOT,658.0,4843.0
2013-05-01,TUS,PO,EXTR,EXTRHOT,967.0,7199.0
2013-06-01,TUS,PO,EXTR,EXTRHOT,1400.0,5818.0
2013-07-01,TUS,PO,EXTR,EXTRHOT,1734.0,10112.0
2013-08-01,TUS,PO,EXTR,EXTRHOT,1729.0,10301.0
2013-09-01,TUS,PO,EXTR,EXTRHOT,1463.0,8608.0
2013-10-01,TUS,PO,EXTR,EXTRHOT,869.0,6066.0
2013-11-01,TUS,PO,EXTR,EXTRHOT,404.0,4004.0
2013-12-01,TUS,PO,EXTR,EXTRHOT,357.0,3721.0
2014-01-01,TUS,PO,EXTR,EXTRHOT,236.0,3358.0
2014-02-01,TUS,PO,EXTR,EXTRHOT,287.0,3578.0
2014-03-01,TUS,PO,EXTR,EXTRHOT,333.0,3757.0
2014-04-01,TUS,PO,EXTR,EXTRHOT,961.0,5945.0
2014-05-01,TUS,PO,EXTR,EXTRHOT,1213.0,6081.0
2014-06-01,TUS,PO,EXTR,EXTRHOT,1633.0,8094.0
2014-07-01,TUS,PO,EXTR,EXTRHOT,2122.0,11835.0
2014-08-01,TUS,PO,EXTR,EXTRHOT,1942.0,12185.0
2014-09-01,TUS,PO,EXTR,EXTRHOT,1278.0,9231.0
2014-10-01,TUS,PO,EXTR,EXTRHOT,1154.0,7368.0
2014-11-01,TUS,PO,EXTR,EXTRHOT,337.0,4765.0
2014-12-01,TUS,PO,EXTR,EXTRHOT,299.0,3771.0
2015-01-01,TUS,PO,EXTR,EXTRHOT,313.0,3983.0
2015-02-01,TUS,PO,EXTR,EXTRHOT,355.0,3495.0
2015-03-01,TUS,PO,EXTR,EXTRHOT,557.0,4092.0
2015-04-01,TUS,PO,EXTR,EXTRHOT,876.0,5532.0
2015-05-01,TUS,PO,EXTR,EXTRHOT,1680.0,7249.0
2015-06-01,TUS,PO,EXTR,EXTRHOT,1759.0,6498.0
2015-07-01,TUS,PO,EXTR,EXTRHOT,2390.0,11966.0
2015-08-01,TUS,PO,EXTR,EXTRHOT,2084.0,11633.0
2015-09-01,TUS,PO,EXTR,EXTRHOT,1401.0,7026.0
2015-10-01,TUS,PO,EXTR,EXTRHOT,844.0,4894.0
2015-11-01,TUS,PO,EXTR,EXTRHOT,458.0,3729.0
2015-12-01,TUS,PO,EXTR,EXTRHOT,208.0,3026.0
2016-01-01,TUS,PO,EXTR,EXTRHOT,242.0,2970.0
2016-02-01,TUS,PO,EXTR,EXTRHOT,353.0,3355.0
2016-03-01,TUS,PO,EXTR,EXTRHOT,859.0,5080.0
2016-04-01,TUS,PO,EXTR,EXTRHOT,978.0,5062.0
2016-05-01,TUS,PO,EXTR,EXTRHOT,1389.0,5904.0
2016-06-01,TUS,PO,EXTR,EXTRHOT,1569.0,7696.0
2016-07-01,TUS,PO,EXTR,EXTRHOT,2133.0,11756.0
2016-08-01,TUS,PO,EXTR,EXTRHOT,1842.0,11049.0
2016-09-01,TUS,PO,EXTR,EXTRHOT,1612.0,7654.0
2016-10-01,TUS,PO,EXTR,EXTRHOT,1019.0,5331.0
2016-11-01,TUS,PO,EXTR,EXTRHOT,457.0,3810.0
2016-12-01,TUS,PO,EXTR,EXTRHOT,272.0,2909.0
2017-01-01,TUS,PO,EXTR,EXTRHOT,354.0,3929.0
2017-02-01,TUS,PO,EXTR,EXTRHOT,350.0,3126.0
2017-03-01,TUS,PO,EXTR,EXTRHOT,536.0,4511.0
2017-04-01,TUS,PO,EXTR,EXTRHOT,1091.0,5437.0
2017-05-01,TUS,PO,EXTR,EXTRHOT,1635.0,6469.0
2017-06-01,TUS,PO,EXTR,EXTRHOT,2242.0,8827.0
2017-07-01,TUS,PO,EXTR,EXTRHOT,2538.0,12666.0
2017-08-01,TUS,PO,EXTR,EXTRHOT,2176.0,12421.0
2017-09-01,TUS,PO,EXTR,EXTRHOT,1795.0,9296.0
2017-10-01,TUS,PO,EXTR,EXTRHOT,1356.0,7231.0
2017-11-01,TUS,PO,EXTR,EXTRHOT,643.0,4991.0
2017-12-01,TUS,PO,EXTR,EXTRHOT,473.0,4249.0
2018-01-01,TUS,PO,EXTR,EXTRHOT,529.0,3467.0
2018-02-01,TUS,PO,EXTR,EXTRHOT,569.0,3405.0
2018-03-01,TUS,PO,EXTR,EXTRHOT,908.0,4922.0
2018-04-01,TUS,PO,EXTR,EXTRHOT,1227.0,6058.0
2018-05-01,TUS,PO,EXTR,EXTRHOT,1835.0,7065.0
2018-06-01,TUS,PO,EXTR,EXTRHOT,2233.0,10067.0
2018-07-01,TUS,PO,EXTR,EXTRHOT,2626.0,12156.0
2018-08-01,TUS,PO,EXTR,EXTRHOT,2552.0,12499.0
2018-09-01,TUS,PO,EXTR,EXTRHOT,2050.0,9583.0
2018-10-01,TUS,PO,EXTR,EXTRHOT,1489.0,7236.0
2018-11-01,TUS,PO,EXTR,EXTRHOT,749.0,5566.0
2018-12-01,TUS,PO,EXTR,EXTRHOT,671.0,4601.0
2019-01-01,TUS,PO,EXTR,EXTRHOT,780.0,5532.0
2019-02-01,TUS,PO,EXTR,EXTRHOT,698.0,4397.0
2019-03-01,TUS,PO,EXTR,EXTRHOT,778.0,5007.0
2019-04-01,TUS,PO,EXTR,EXTRHOT,1426.0,7369.0
2019-05-01,TUS,PO,EXTR,EXTRHOT,2163.0,7833.0
2019-06-01,TUS,PO,EXTR,EXTRHOT,2254.0,9530.0
2019-07-01,TUS,PO,EXTR,EXTRHOT,2655.0,12926.0
2019-08-01,TUS,PO,EXTR,EXTRHOT,2685.0,12862.0
2019-09-01,TUS,PO,EXTR,EXTRHOT,1985.0,10319.0
2019-10-01,TUS,PO,EXTR,EXTRHOT,1540.0,7979.0
2019-11-01,TUS,PO,EXTR,EXTRHOT,1026.0,5950.0
2019-12-01,TUS,PO,EXTR,EXTRHOT,542.0,4525.0
2020-01-01,TUS,PO,EXTR,EXTRHOT,935.0,3529.0
2020-02-01,TUS,PO,EXTR,EXTRHOT,548.0,3025.0
2020-03-01,TUS,PO,EXTR,EXTRHOT,70.0,1551.0
2020-04-01,TUS,PO,EXTR,EXTRHOT,7.0,1008.0
2020-05-01,TUS,PO,EXTR,EXTRHOT,46.0,1179.0
2020-06-01,TUS,PO,EXTR,EXTRHOT,188.0,1285.0
2020-07-01,TUS,PO,EXTR,EXTRHOT,558.0,2817.0
2020-08-01,TUS,PO,EXTR,EXTRHOT,1077.0,5282.0
2020-09-01,TUS,PO,EXTR,EXTRHOT,645.0,3177.0
2020-10-01,TUS,PO,EXTR,EXTRHOT,338.0,2023.0
2020-11-01,TUS,PO,EXTR,EXTRHOT,85.0,974.0
2020-12-01,TUS,PO,EXTR,EXTRHOT,66.0,903.0
2021-01-01,TUS,PO,EXTR,EXTRHOT,88.0,949.0
2021-02-01,TUS,PO,EXTR,EXTRHOT,89.0,876.0
2021-03-01,TUS,PO,EXTR,EXTRHOT,71.0,973.0
2021-04-01,TUS,PO,EXTR,EXTRHOT,83.0,908.0
2021-05-01,TUS,PO,EXTR,EXTRHOT,227.0,1256.0
2021-06-01,TUS,PO,EXTR,EXTRHOT,471.0,2146.0
2021-07-01,TUS,PO,EXTR,EXTRHOT,1455.0,6612.0
2021-08-01,TUS,PO,EXTR,EXTRHOT,1943.0,9826.0
2021-09-01,TUS,PO,EXTR,EXTRHOT,999.0,4407.0
2021-10-01,TUS,PO,EXTR,EXTRHOT,762.0,3391.0
2021-11-01,TUS,PO,EXTR,EXTRHOT,365.0,2097.0
2021-12-01,TUS,PO,EXTR,EXTRHOT,285.0,1696.0
